date,hour,value
01/01/21,00:00,8.4
01/02/21,00:00,8.4
01/03/21,00:00,7.8
01/04/21,00:00,7.8
01/05/21,00:00,7.6
01/06/21,00:00,7.84
01/07/21,00:00,8.2
01/08/21,00:00,8.4
01/09/21,00:00,7.44
01/10/21,00:00,7.8
01/11/21,00:00,7.8
01/12/21,00:00,8.0
01/13/21,00:00,8.0
01/14/21,00:00,8.2
01/15/21,00:00,8.36
01/16/21,00:00,8.36
01/17/21,00:00,7.96
01/18/21,00:00,7.60
01/19/21,00:00,3.96
01/22/21,00:00,9.16
01/23/21,00:00,8.16
01/24/21,00:00,8.56
01/25/21,00:00,8.96
01/26/21,00:00,8.80
01/27/21,00:00,8.76
01/28/21,00:00,8.76
01/29/21,00:00,9.76
01/30/21,00:00,8.16
01/31/21,00:00,8.16
02/01/21,00:00,8.16
02/02/21,00:00,8.20
02/03/21,00:00,8.60
02/04/21,00:00,8.00
02/05/21,00:00,9.00
02/06/21,00:00,8.76
02/07/21,00:00,8.76
02/08/21,00:00,8.76
02/09/21,00:00,9.40
02/10/21,00:00,9.76
02/11/21,00:00,9.76
02/12/21,00:00,9.40
02/13/21,00:00,9.76
02/14/21,00:00,9.56
02/15/21,00:00,9.16
02/16/21,00:00,8.6
02/17/21,00:00,8.6
02/18/21,00:00,9.36
02/19/21,00:00,9.56
02/20/21,00:00,9.56
02/21/21,00:00,9.56
02/22/21,00:00,9.56
02/23/21,00:00,8.0
02/24/21,00:00,9.36
02/25/21,00:00,8.6
02/26/21,00:00,9.0
02/27/21,00:00,8.8
02/28/21,00:00,9.0
03/01/21,00:00,8.2
03/02/21,00:00,8.4
03/03/21,00:00,9.2
03/04/21,00:00,9.8
03/05/21,00:00,9.0
03/06/21,00:00,9.9
03/07/21,00:00,9.0
03/08/21,00:00,8.8
03/09/21,00:00,8.2
03/10/21,00:00,9.56
03/11/21,00:00,8.8
03/12/21,00:00,8.8
03/13/21,00:00,8.8
03/14/21,00:00,8.8
03/15/21,00:00,8.2
03/16/21,00:00,7.64
03/17/21,00:00,7.64
03/18/21,00:00,9.04
03/19/21,00:00,8.64
03/20/21,00:00,8.0
03/21/21,00:00,7.6
03/22/21,00:00,7.8
03/23/21,00:00,7.24
03/24/21,00:00,7.8
03/25/21,00:00,8.0
03/26/21,00:00,8.0
03/27/21,00:00,8.0
03/28/21,00:00,8.2
03/29/21,00:00,8.2
03/30/21,00:00,8.16
03/31/21,00:00,8.0
04/01/21,00:00,7.8
04/02/21,00:00,7.4
04/03/21,00:00,8.4
04/04/21,00:00,8.2
04/05/21,00:00,8.4
04/06/21,00:00,8.8
04/07/21,00:00,8.7
04/08/21,00:00,8.0
04/09/21,00:00,8.36
04/10/21,00:00,7.4
04/11/21,00:00,8.6
04/12/21,00:00,7.4
