date,hour,value
01/01/21,00:00,6.92
01/02/21,00:00,6.97
01/03/21,00:00,7.00
01/04/21,00:00,7.08
01/05/21,00:00,7.09
01/06/21,00:00,7.04
01/07/21,00:00,7.04
01/08/21,00:00,7.05
01/09/21,00:00,7.03
01/10/21,00:00,7.07
01/11/21,00:00,7.06
01/12/21,00:00,6.86
01/13/21,00:00,6.95
01/14/21,00:00,6.94
01/15/21,00:00,6.98
01/16/21,00:00,7.03
01/17/21,00:00,7.03
01/18/21,00:00,6.99
01/19/21,00:00,6.87
01/20/21,00:00,6.94
01/21/21,00:00,7.77
01/22/21,00:00,6.93
01/23/21,00:00,7.04
01/24/21,00:00,7.00
01/25/21,00:00,7.06
01/26/21,00:00,6.78
01/27/21,00:00,6.88
01/28/21,00:00,6.91
01/29/21,00:00,6.99
01/30/21,00:00,6.97
01/31/21,00:00,6.98
02/01/21,00:00,7.00
02/02/21,00:00,6.83
02/03/21,00:00,6.91
02/04/21,00:00,6.95
02/05/21,00:00,7.00
02/06/21,00:00,7.00
02/07/21,00:00,7.00
02/08/21,00:00,7.01
02/09/21,00:00,6.77
02/10/21,00:00,6.97
02/11/21,00:00,6.88
02/12/21,00:00,6.96
02/13/21,00:00,6.97
02/14/21,00:00,6.97
02/15/21,00:00,6.97
02/16/21,00:00,6.67
02/17/21,00:00,6.71
02/18/21,00:00,6.68
02/19/21,00:00,6.95
02/20/21,00:00,6.99
02/21/21,00:00,7.00
02/22/21,00:00,7.04
02/23/21,00:00,7.13
02/24/21,00:00,7.11
02/25/21,00:00,7.07
02/26/21,00:00,7.06
02/27/21,00:00,7.04
02/28/21,00:00,7.02
03/01/21,00:00,7.04
03/02/21,00:00,6.69
03/03/21,00:00,6.69
03/04/21,00:00,6.69
03/05/21,00:00,6.69
03/06/21,00:00,6.68
03/07/21,00:00,6.63
03/08/21,00:00,7.00
03/09/21,00:00,7.00
03/10/21,00:00,6.99
03/11/21,00:00,7.06
03/12/21,00:00,7.01
03/13/21,00:00,6.99
03/14/21,00:00,7.06
03/15/21,00:00,7.00
03/16/21,00:00,6.92
03/17/21,00:00,6.94
03/18/21,00:00,6.94
03/19/21,00:00,6.92
03/20/21,00:00,6.96
03/21/21,00:00,6.95
03/22/21,00:00,6.94
03/23/21,00:00,6.95
03/24/21,00:00,6.99
03/25/21,00:00,7.01
03/26/21,00:00,6.94
03/27/21,00:00,7.00
03/28/21,00:00,7.01
03/29/21,00:00,7.04
03/30/21,00:00,6.84
03/31/21,00:00,6.92
04/01/21,00:00,6.84
04/02/21,00:00,6.89
04/03/21,00:00,6.89
04/04/21,00:00,7.03
04/05/21,00:00,6.90
04/06/21,00:00,6.87
04/07/21,00:00,6.87
04/08/21,00:00,6.96
04/09/21,00:00,7.00
04/10/21,00:00,7.01
04/11/21,00:00,7.02
04/12/21,00:00,7.04
04/13/21,00:00,6.80
04/14/21,00:00,6.91
04/15/21,00:00,6.94
04/16/21,00:00,6.92
04/17/21,00:00,6.97
04/18/21,00:00,7.02
04/19/21,00:00,6.92
04/20/21,00:00,6.75
04/21/21,00:00,6.79
04/22/21,00:00,6.96
04/23/21,00:00,6.99
04/24/21,00:00,6.84
04/25/21,00:00,6.99
04/26/21,00:00,7.85
04/27/21,00:00,6.92
04/28/21,00:00,6.86
04/29/21,00:00,6.93
04/30/21,00:00,6.98
05/01/21,00:00,7.01
05/02/21,00:00,7.03
05/05/21,00:00,6.94
05/06/21,00:00,7.01
05/07/21,00:00,7.05
05/08/21,00:00,7.04
05/09/21,00:00,7.05
05/10/21,00:00,7.11
05/11/21,00:00,6.99
05/14/21,00:00,6.94
05/15/21,00:00,6.95
05/16/21,00:00,6.99
05/17/21,00:00,6.96
05/18/21,00:00,6.98
05/19/21,00:00,6.98
05/20/21,00:00,6.91
05/21/21,00:00,6.95
05/22/21,00:00,6.96
05/23/21,00:00,7.01
05/24/21,00:00,6.98
05/25/21,00:00,6.98
05/26/21,00:00,6.99
05/27/21,00:00,6.99
06/01/21,00:00,7.02
06/02/21,00:00,7.03
06/03/21,00:00,7.01
06/04/21,00:00,7.02
06/05/21,00:00,7.03
06/06/21,00:00,7.04
06/07/21,00:00,7.05
06/08/21,00:00,6.88
06/09/21,00:00,6.89
06/10/21,00:00,6.93
06/11/21,00:00,6.99
06/12/21,00:00,6.98
06/13/21,00:00,7.01
06/14/21,00:00,7.01
06/15/21,00:00,6.88
06/16/21,00:00,6.95
06/17/21,00:00,6.93
06/18/21,00:00,6.95
06/19/21,00:00,6.96
06/20/21,00:00,7.03
06/21/21,00:00,7.02
06/22/21,00:00,6.95
06/23/21,00:00,6.99
06/24/21,00:00,6.99
06/25/21,00:00,6.99
06/26/21,00:00,7.00
06/27/21,00:00,7.00
06/28/21,00:00,7.00
06/29/21,00:00,7.02
06/30/21,00:00,6.93
07/01/21,00:00,6.74
07/02/21,00:00,6.90
07/03/21,00:00,6.93
07/04/21,00:00,6.83
07/05/21,00:00,6.70
07/06/21,00:00,6.70
07/07/21,00:00,6.77
07/08/21,00:00,6.84
07/09/21,00:00,6.85
07/10/21,00:00,6.88
07/11/21,00:00,6.85
07/12/21,00:00,6.90
07/13/21,00:00,6.89
07/14/21,00:00,6.90
07/15/21,00:00,6.93
07/16/21,00:00,6.92
07/17/21,00:00,6.94
07/18/21,00:00,6.94
07/19/21,00:00,6.95
07/20/21,00:00,6.77
07/21/21,00:00,6.82
07/22/21,00:00,6.83
07/23/21,00:00,6.86
07/24/21,00:00,6.85
07/25/21,00:00,6.92
07/26/21,00:00,6.95
07/27/21,00:00,6.97
07/28/21,00:00,6.88
07/29/21,00:00,6.95
07/30/21,00:00,7.02
07/31/21,00:00,6.91
08/01/21,00:00,6.92
08/02/21,00:00,6.94
08/03/21,00:00,6.87
08/04/21,00:00,6.89
08/05/21,00:00,6.91
08/06/21,00:00,6.92
08/07/21,00:00,6.90
08/08/21,00:00,6.92
08/09/21,00:00,6.95
08/10/21,00:00,6.86
08/11/21,00:00,6.87
08/12/21,00:00,6.87
08/13/21,00:00,6.89
08/14/21,00:00,6.91
08/15/21,00:00,6.92
08/16/21,00:00,6.92
08/17/21,00:00,6.90
08/18/21,00:00,6.91
08/19/21,00:00,6.93
08/20/21,00:00,6.93
08/21/21,00:00,6.93
08/22/21,00:00,6.93
08/23/21,00:00,6.58
08/24/21,00:00,6.93
08/25/21,00:00,6.90
08/26/21,00:00,6.92
08/27/21,00:00,6.90
08/28/21,00:00,6.89
08/29/21,00:00,6.90
08/30/21,00:00,6.91
08/31/21,00:00,6.96
09/01/21,00:00,6.83
09/02/21,00:00,6.91
09/03/21,00:00,6.94
09/04/21,00:00,6.92
09/05/21,00:00,6.94
09/06/21,00:00,6.89
09/07/21,00:00,6.91
09/08/21,00:00,6.76
09/09/21,00:00,6.86
09/10/21,00:00,6.92
09/11/21,00:00,6.86
09/12/21,00:00,6.90
09/13/21,00:00,6.95
09/15/21,00:00,6.86
09/16/21,00:00,6.84
09/17/21,00:00,6.95
09/18/21,00:00,7.07
09/19/21,00:00,6.96
09/20/21,00:00,6.77
09/21/21,00:00,6.79
09/22/21,00:00,6.78
09/23/21,00:00,6.78
09/24/21,00:00,6.80
09/25/21,00:00,6.80
09/26/21,00:00,6.87
09/27/21,00:00,6.90
09/28/21,00:00,6.89
09/29/21,00:00,6.92
09/30/21,00:00,6.94
10/01/21,00:00,6.96
