date,hour,value
01/01/21,00:00,1.0
01/02/21,00:00,1.0
01/03/21,00:00,1.0
01/04/21,00:00,1.0
01/05/21,00:00,0.8
01/06/21,00:00,0.8
01/07/21,00:00,0.8
01/08/21,00:00,1.0
01/09/21,00:00,1.0
01/10/21,00:00,1.0
01/11/21,00:00,1.0
01/12/21,00:00,0.8
01/13/21,00:00,0.8
01/14/21,00:00,1.0
01/15/21,00:00,0.8
01/16/21,00:00,0.8
01/17/21,00:00,0.8
01/18/21,00:00,0.8
01/19/21,00:00,1.0
01/22/21,00:00,1.0
01/23/21,00:00,1.0
01/24/21,00:00,0.8
01/25/21,00:00,0.8
01/26/21,00:00,1.0
01/27/21,00:00,1.0
01/28/21,00:00,1.0
01/29/21,00:00,1.0
01/30/21,00:00,1.0
01/31/21,00:00,1.0
02/01/21,00:00,1.0
02/02/21,00:00,1.0
02/03/21,00:00,0.8
02/04/21,00:00,0.8
02/05/21,00:00,1.0
02/06/21,00:00,1.0
02/07/21,00:00,1.0
02/08/21,00:00,1.0
02/09/21,00:00,1.6
02/10/21,00:00,1.6
02/11/21,00:00,1.2
02/12/21,00:00,1.6
02/13/21,00:00,1.6
02/14/21,00:00,1.4
02/15/21,00:00,1.4
02/16/21,00:00,1.2
02/17/21,00:00,1.2
02/18/21,00:00,1.2
02/19/21,00:00,1.4
02/20/21,00:00,1.4
02/21/21,00:00,1.4
02/22/21,00:00,1.4
02/23/21,00:00,1.2
02/24/21,00:00,1.2
02/25/21,00:00,1.2
02/26/21,00:00,1.4
02/27/21,00:00,1.4
02/28/21,00:00,1.4
03/01/21,00:00,1.4
03/02/21,00:00,1.4
03/03/21,00:00,1.4
03/04/21,00:00,1.6
03/05/21,00:00,1.6
03/06/21,00:00,1.6
03/07/21,00:00,1.6
03/08/21,00:00,1.4
03/09/21,00:00,1.4
03/10/21,00:00,1.4
03/11/21,00:00,1.4
03/12/21,00:00,1.4
03/13/21,00:00,1.4
03/14/21,00:00,1.2
03/15/21,00:00,1.2
03/16/21,00:00,1.0
03/17/21,00:00,1.0
03/18/21,00:00,1.0
03/19/21,00:00,0.6
03/20/21,00:00,0.6
03/21/21,00:00,0.6
03/22/21,00:00,0.8
03/23/21,00:00,0.8
03/24/21,00:00,0.8
03/25/21,00:00,0.6
03/26/21,00:00,0.6
03/27/21,00:00,0.6
03/28/21,00:00,0.8
03/29/21,00:00,0.8
03/30/21,00:00,1.2
03/31/21,00:00,1.2
04/01/21,00:00,1.0
04/02/21,00:00,1.0
04/03/21,00:00,1.0
04/04/21,00:00,1.4
04/05/21,00:00,1.4
04/06/21,00:00,1.4
04/07/21,00:00,1.5
04/08/21,00:00,1.2
04/09/21,00:00,1.2
04/10/21,00:00,1.2
04/11/21,00:00,1.2
04/12/21,00:00,1.2
04/13/21,00:00,1.4
04/14/21,00:00,1.4
04/15/21,00:00,1.4
04/16/21,00:00,1.2
04/17/21,00:00,1.2
04/18/21,00:00,1.2
04/19/21,00:00,1.2
04/20/21,00:00,1.0
04/21/21,00:00,1.0
04/22/21,00:00,1.2
04/23/21,00:00,1.0
04/24/21,00:00,1.0
04/25/21,00:00,1.0
04/26/21,00:00,1.2
04/27/21,00:00,1.2
04/28/21,00:00,1.6
04/29/21,00:00,1.6
04/30/21,00:00,1.2
05/01/21,00:00,1.2
05/02/21,00:00,1.2
05/05/21,00:00,2.2
05/06/21,00:00,2.0
05/07/21,00:00,2.0
05/08/21,00:00,1.6
05/09/21,00:00,1.6
05/10/21,00:00,2.0
05/11/21,00:00,2.0
05/14/21,00:00,1.6
05/15/21,00:00,1.6
05/16/21,00:00,1.6
05/17/21,00:00,1.6
05/18/21,00:00,1.6
05/19/21,00:00,1.6
05/20/21,00:00,1.2
05/21/21,00:00,1.2
05/22/21,00:00,1.2
05/23/21,00:00,1.2
05/24/21,00:00,1.4
05/25/21,00:00,1.4
05/26/21,00:00,1.4
05/27/21,00:00,1.6
06/01/21,00:00,1.6
06/02/21,00:00,1.6
06/03/21,00:00,1.2
06/04/21,00:00,1.2
06/05/21,00:00,1.2
06/06/21,00:00,1.2
06/07/21,00:00,1.4
06/08/21,00:00,1.0
06/09/21,00:00,1.4
06/10/21,00:00,1.4
06/11/21,00:00,1.4
06/12/21,00:00,1.2
06/13/21,00:00,1.2
06/14/21,00:00,1.0
06/15/21,00:00,1.0
06/16/21,00:00,1.0
06/17/21,00:00,1.0
06/18/21,00:00,1.4
06/19/21,00:00,1.2
06/20/21,00:00,1.2
06/21/21,00:00,1.2
06/22/21,00:00,1.0
06/23/21,00:00,1.0
06/24/21,00:00,1.0
06/25/21,00:00,1.2
06/26/21,00:00,1.2
06/27/21,00:00,1.2
06/28/21,00:00,1.0
06/29/21,00:00,1.2
06/30/21,00:00,1.4
07/01/21,00:00,1.4
07/02/21,00:00,1.4
07/03/21,00:00,1.2
07/04/21,00:00,1.2
07/05/21,00:00,1.2
07/06/21,00:00,1.2
07/07/21,00:00,1.6
07/08/21,00:00,1.6
07/09/21,00:00,1.6
07/10/21,00:00,2.0
07/11/21,00:00,2.0
07/12/21,00:00,2.0
07/13/21,00:00,1.6
07/14/21,00:00,1.8
07/15/21,00:00,1.8
07/16/21,00:00,1.8
07/17/21,00:00,1.8
07/18/21,00:00,1.6
07/19/21,00:00,1.6
07/20/21,00:00,1.6
07/21/21,00:00,1.6
07/22/21,00:00,1.6
07/23/21,00:00,1.6
07/24/21,00:00,1.8
07/25/21,00:00,1.8
07/26/21,00:00,1.8
07/27/21,00:00,1.6
07/28/21,00:00,1.6
07/29/21,00:00,1.6
07/30/21,00:00,1.6
07/31/21,00:00,1.6
08/01/21,00:00,1.8
08/02/21,00:00,1.8
08/03/21,00:00,1.8
08/04/21,00:00,1.8
08/05/21,00:00,1.6
08/06/21,00:00,1.6
08/07/21,00:00,1.6
08/08/21,00:00,1.6
08/09/21,00:00,1.8
08/10/21,00:00,1.8
08/11/21,00:00,1.8
08/12/21,00:00,1.8
08/13/21,00:00,1.6
08/14/21,00:00,1.6
08/15/21,00:00,1.6
08/16/21,00:00,1.6
08/17/21,00:00,1.2
08/18/21,00:00,1.2
08/19/21,00:00,1.6
08/20/21,00:00,1.6
08/21/21,00:00,1.8
08/22/21,00:00,1.8
08/23/21,00:00,2.0
08/24/21,00:00,1.8
08/25/21,00:00,1.8
08/26/21,00:00,1.8
08/27/21,00:00,2.0
08/28/21,00:00,1.8
08/29/21,00:00,1.8
08/30/21,00:00,1.2
08/31/21,00:00,1.2
09/01/21,00:00,1.8
09/02/21,00:00,1.6
09/03/21,00:00,2.0
09/04/21,00:00,1.8
09/05/21,00:00,2.0
09/06/21,00:00,1.8
09/07/21,00:00,1.8
09/08/21,00:00,1.8
09/09/21,00:00,1.8
09/10/21,00:00,2.0
09/11/21,00:00,2.0
09/12/21,00:00,2.0
09/13/21,00:00,2.0
09/15/21,00:00,1.8
09/16/21,00:00,1.8
09/17/21,00:00,1.8
09/18/21,00:00,1.2
09/19/21,00:00,1.2
09/20/21,00:00,1.6
09/21/21,00:00,1.6
09/22/21,00:00,1.2
09/23/21,00:00,1.4
09/24/21,00:00,1.4
09/25/21,00:00,1.2
09/26/21,00:00,1.4
09/27/21,00:00,1.4
09/28/21,00:00,1.5
09/29/21,00:00,1.5
09/30/21,00:00,1.5
10/01/21,00:00,1.5
10/02/21,00:00,1.5
10/03/21,00:00,1.5
10/04/21,00:00,1.5
10/05/21,00:00,1.0
10/06/21,00:00,1.0
10/07/21,00:00,1.0
10/08/21,00:00,1.5
10/09/21,00:00,1.5
10/10/21,00:00,1.0
10/11/21,00:00,1.0
10/12/21,00:00,1.5
10/13/21,00:00,1.5
10/14/21,00:00,1.5
10/15/21,00:00,1.8
10/16/21,00:00,1.8
10/17/21,00:00,1.8
10/18/21,00:00,1.2
10/19/21,00:00,1.2
10/20/21,00:00,1.5
10/21/21,00:00,1.5
10/22/21,00:00,1.5
10/23/21,00:00,1.5
10/24/21,00:00,1.2
10/25/21,00:00,1.2
10/26/21,00:00,1.5
10/27/21,00:00,1.5
10/28/21,00:00,1.5
10/29/21,00:00,1.2
10/30/21,00:00,1.0
10/31/21,00:00,1.0
11/01/21,00:00,1.0
11/02/21,00:00,1.2
11/03/21,00:00,1.0
11/04/21,00:00,1.0
11/05/21,00:00,1.0
11/06/21,00:00,1.2
11/07/21,00:00,1.2
11/08/21,00:00,1.0
11/09/21,00:00,1.2
11/10/21,00:00,1.2
11/11/21,00:00,1.2
11/12/21,00:00,1.0
11/13/21,00:00,1.0
11/14/21,00:00,1.0
11/15/21,00:00,1.2
11/16/21,00:00,1.2
11/17/21,00:00,1.2
11/18/21,00:00,1.2
11/19/21,00:00,1.2
11/20/21,00:00,1.0
11/21/21,00:00,1.0
11/22/21,00:00,1.5
11/23/21,00:00,1.2
11/24/21,00:00,1.0
11/25/21,00:00,1.5
11/26/21,00:00,1.5
11/27/21,00:00,1.2
11/28/21,00:00,1.5
11/29/21,00:00,1.8
11/30/21,00:00,1.2
12/01/21,00:00,1.2
12/02/21,00:00,1.5
12/03/21,00:00,1.5
12/04/21,00:00,1.5
12/05/21,00:00,1.2
12/06/21,00:00,1.8
12/07/21,00:00,1.2
12/08/21,00:00,1.8
12/09/21,00:00,1.5
12/10/21,00:00,1.2
12/11/21,00:00,1.2
12/12/21,00:00,1.2
12/13/21,00:00,1.2
12/15/21,00:00,1.2
12/16/21,00:00,1.0
12/17/21,00:00,1.0
12/18/21,00:00,1.0
12/19/21,00:00,1.2
12/20/21,00:00,1.2
12/21/21,00:00,1.2
12/22/21,00:00,1.2
12/23/21,00:00,1.2
12/24/21,00:00,1.2
12/25/21,00:00,1.2
12/26/21,00:00,1.2
12/27/21,00:00,1.4
12/28/21,00:00,1.2
12/29/21,00:00,1.2
12/30/21,00:00,1.6
