date,hour,value
01/01/22,00:00,10.07
01/02/22,00:00,10.07
01/03/22,00:00,10.07
01/04/22,00:00,10.07
01/05/22,00:00,10.45
01/06/22,00:00,10.07
01/07/22,00:00,10.07
01/08/22,00:00,10.45
01/09/22,00:00,10.45
01/10/22,00:00,10.07
01/11/22,00:00,10.45
01/12/22,00:00,9.88
01/13/22,00:00,10.45
01/14/22,00:00,10.45
01/15/22,00:00,10.45
01/16/22,00:00,10.45
01/17/22,00:00,10.45
01/18/22,00:00,10.45
01/19/22,00:00,10.07
01/20/22,00:00,10.45
01/21/22,00:00,10.45
01/22/22,00:00,10.07
01/23/22,00:00,10.07
01/24/22,00:00,10.45
01/25/22,00:00,9.88
01/26/22,00:00,9.88
01/27/22,00:00,9.88
01/28/22,00:00,9.88
01/29/22,00:00,9.88
01/30/22,00:00,10.45
01/31/22,00:00,9.88
02/01/22,00:00,9.88
02/02/22,00:00,9.88
02/03/22,00:00,9.88
02/04/22,00:00,10.07
02/05/22,00:00,10.45
02/06/22,00:00,10.45
02/07/22,00:00,10.45
02/08/22,00:00,9.88
02/09/22,00:00,10.45
02/10/22,00:00,10.45
02/11/22,00:00,10.45
02/12/22,00:00,10.45
02/13/22,00:00,10.45
02/14/22,00:00,10.45
02/15/22,00:00,10.45
02/16/22,00:00,10.45
02/17/22,00:00,10.46
02/18/22,00:00,10.45
02/19/22,00:00,10.45
02/20/22,00:00,10.45
02/21/22,00:00,10.45
02/22/22,00:00,10.45
02/23/22,00:00,10.45
02/24/22,00:00,10.45
02/25/22,00:00,9.88
02/26/22,00:00,10.07
02/27/22,00:00,10.07
02/28/22,00:00,10.45
03/01/22,00:00,10.45
03/02/22,00:00,10.45
03/03/22,00:00,10.45
03/04/22,00:00,10.45
03/05/22,00:00,10.45
03/06/22,00:00,10.45
03/07/22,00:00,10.45
03/08/22,00:00,10.45
03/09/22,00:00,10.45
03/10/22,00:00,10.45
03/11/22,00:00,10.45
03/12/22,00:00,10.45
03/13/22,00:00,10.07
03/14/22,00:00,10.07
03/15/22,00:00,10.07
03/16/22,00:00,10.45
03/17/22,00:00,10.07
03/18/22,00:00,10.07
03/19/22,00:00,10.07
03/20/22,00:00,10.07
03/21/22,00:00,10.07
03/22/22,00:00,10.07
03/23/22,00:00,10.45
03/24/22,00:00,10.45
03/26/22,00:00,10.45
03/27/22,00:00,10.07
03/28/22,00:00,10.07
03/29/22,00:00,10.45
03/30/22,00:00,10.45
03/31/22,00:00,10.07
04/01/22,00:00,10.07
04/02/22,00:00,10.07
04/03/22,00:00,10.07
04/04/22,00:00,10.07
04/05/22,00:00,10.07
04/06/22,00:00,10.07
04/07/22,00:00,10.07
04/08/22,00:00,10.07
04/09/22,00:00,10.07
04/10/22,00:00,10.45
04/11/22,00:00,10.07
04/12/22,00:00,10.07
04/13/22,00:00,10.45
04/14/22,00:00,10.07
04/15/22,00:00,10.07
04/16/22,00:00,10.07
04/17/22,00:00,10.07
04/18/22,00:00,10.07
04/19/22,00:00,10.45
04/20/22,00:00,10.07
04/21/22,00:00,10.07
04/22/22,00:00,10.07
04/23/22,00:00,10.07
04/24/22,00:00,10.07
04/25/22,00:00,10.45
04/26/22,00:00,10.07
04/27/22,00:00,10.07
04/28/22,00:00,10.45
04/29/22,00:00,10.45
04/30/22,00:00,10.07
05/01/22,00:00,10.07
05/02/22,00:00,10.07
05/03/22,00:00,9.88
05/04/22,00:00,10.07
05/05/22,00:00,10.07
05/06/22,00:00,9.88
05/07/22,00:00,10.07
05/08/22,00:00,10.07
05/09/22,00:00,9.88
05/10/22,00:00,10.07
05/11/22,00:00,9.88
05/12/22,00:00,10.07
05/13/22,00:00,9.88
05/14/22,00:00,9.88
05/15/22,00:00,10.45
05/16/22,00:00,10.07
05/17/22,00:00,10.45
05/18/22,00:00,10.45
05/19/22,00:00,9.88
05/20/22,00:00,10.45
05/21/22,00:00,10.45
05/22/22,00:00,10.07
05/23/22,00:00,10.45
05/24/22,00:00,9.88
05/25/22,00:00,10.45
05/26/22,00:00,10.07
05/27/22,00:00,10.07
05/28/22,00:00,9.88
05/29/22,00:00,10.07
05/30/22,00:00,9.88
05/31/22,00:00,10.45
06/01/22,00:00,10.07
06/02/22,00:00,10.07
06/03/22,00:00,10.07
06/04/22,00:00,10.07
06/05/22,00:00,10.07
06/06/22,00:00,9.88
06/07/22,00:00,9.88
06/08/22,00:00,9.88
06/09/22,00:00,9.88
06/10/22,00:00,10.07
06/11/22,00:00,9.88
06/12/22,00:00,10.07
06/13/22,00:00,10.07
06/14/22,00:00,9.88
06/15/22,00:00,10.07
06/16/22,00:00,9.88
06/17/22,00:00,9.88
06/18/22,00:00,9.50
06/19/22,00:00,9.50
06/20/22,00:00,9.50
06/21/22,00:00,9.50
06/22/22,00:00,9.50
06/23/22,00:00,9.88
06/24/22,00:00,9.88
06/25/22,00:00,9.50
06/26/22,00:00,9.50
06/27/22,00:00,9.50
06/28/22,00:00,9.50
06/29/22,00:00,9.50
06/30/22,00:00,9.88
07/01/22,00:00,9.50
07/02/22,00:00,9.88
07/03/22,00:00,9.88
07/04/22,00:00,9.50
07/05/22,00:00,9.50
07/06/22,00:00,9.50
07/07/22,00:00,9.88
07/08/22,00:00,9.88
07/09/22,00:00,9.50
07/10/22,00:00,9.50
07/11/22,00:00,9.50
07/12/22,00:00,9.50
07/13/22,00:00,9.88
07/14/22,00:00,9.88
07/15/22,00:00,9.50
07/17/22,00:00,9.5
07/18/22,00:00,9.88
07/19/22,00:00,9.50
07/20/22,00:00,9.50
07/21/22,00:00,9.50
07/22/22,00:00,9.50
07/23/22,00:00,9.50
07/24/22,00:00,9.50
07/25/22,00:00,9.12
07/26/22,00:00,9.50
07/27/22,00:00,9.12
07/28/22,00:00,9.50
07/29/22,00:00,9.12
07/30/22,00:00,9.12
07/31/22,00:00,9.12
08/01/22,00:00,9.12
08/02/22,00:00,9.50
08/03/22,00:00,9.50
08/04/22,00:00,9.50
08/05/22,00:00,9.12
08/06/22,00:00,9.5
08/07/22,00:00,9.5
08/08/22,00:00,9.12
08/09/22,00:00,9.5
08/10/22,00:00,9.5
08/11/22,00:00,9.5
08/12/22,00:00,9.5
08/13/22,00:00,10.07
08/14/22,00:00,9.88
08/15/22,00:00,9.5
08/16/22,00:00,9.88
08/17/22,00:00,9.88
08/18/22,00:00,9.88
08/19/22,00:00,9.88
08/20/22,00:00,9.88
08/21/22,00:00,9.88
08/22/22,00:00,9.5
08/23/22,00:00,9.88
08/24/22,00:00,9.5
08/25/22,00:00,9.88
08/26/22,00:00,9.88
08/27/22,00:00,10.07
08/28/22,00:00,9.88
08/29/22,00:00,9.88
08/30/22,00:00,9.88
08/31/22,00:00,9.88
09/01/22,00:00,9.88
09/02/22,00:00,9.88
09/03/22,00:00,10.07
09/04/22,00:00,9.88
09/05/22,00:00,9.88
09/06/22,00:00,9.88
09/07/22,00:00,10.07
09/08/22,00:00,9.88
09/09/22,00:00,9.88
09/10/22,00:00,10.07
09/11/22,00:00,9.88
09/12/22,00:00,10.07
09/13/22,00:00,9.88
09/14/22,00:00,10.07
09/15/22,00:00,10.07
09/16/22,00:00,10.07
09/17/22,00:00,9.88
09/18/22,00:00,10.07
09/19/22,00:00,9.88
09/20/22,00:00,9.88
09/21/22,00:00,10.07
09/22/22,00:00,10.07
09/23/22,00:00,10.07
09/24/22,00:00,10.07
09/25/22,00:00,9.88
09/26/22,00:00,9.88
09/27/22,00:00,9.88
09/28/22,00:00,9.88
09/29/22,00:00,10.07
09/30/22,00:00,9.88
10/01/22,00:00,10.07
10/02/22,00:00,10.07
10/03/22,00:00,10.07
10/04/22,00:00,10.07
10/05/22,00:00,10.07
10/06/22,00:00,9.88
10/07/22,00:00,9.88
10/08/22,00:00,10.07
10/09/22,00:00,10.07
10/10/22,00:00,10.07
10/11/22,00:00,10.07
10/12/22,00:00,10.07
10/13/22,00:00,10.07
10/14/22,00:00,10.07
10/15/22,00:00,10.07
10/16/22,00:00,10.07
10/17/22,00:00,10.07
10/18/22,00:00,10.07
10/19/22,00:00,10.07
10/20/22,00:00,10.07
10/21/22,00:00,9.88
10/22/22,00:00,10.07
10/23/22,00:00,10.07
10/24/22,00:00,10.07
10/25/22,00:00,10.07
10/26/22,00:00,10.07
10/27/22,00:00,10.07
10/28/22,00:00,10.07
10/29/22,00:00,10.07
10/30/22,00:00,10.07
10/31/22,00:00,9.88
11/01/22,00:00,10.07
11/02/22,00:00,10.07
11/03/22,00:00,9.88
11/04/22,00:00,10.07
11/05/22,00:00,10.07
11/06/22,00:00,9.88
11/07/22,00:00,10.07
11/08/22,00:00,10.07
11/09/22,00:00,10.07
11/10/22,00:00,10.07
11/11/22,00:00,10.07
11/12/22,00:00,10.07
11/13/22,00:00,9.88
11/14/22,00:00,9.88
11/15/22,00:00,9.88
11/16/22,00:00,9.88
11/17/22,00:00,10.07
11/18/22,00:00,10.07
11/19/22,00:00,9.88
11/20/22,00:00,9.88
11/21/22,00:00,9.88
