date,hour,value
01/01/22,00:00,18.7
01/02/22,00:00,18.5
01/03/22,00:00,18.5
01/04/22,00:00,18.6
01/05/22,00:00,21.0
01/06/22,00:00,21.6
01/07/22,00:00,21.1
01/08/22,00:00,20.7
01/09/22,00:00,20.7
01/10/22,00:00,21.2
01/11/22,00:00,21.8
01/12/22,00:00,20.7
01/13/22,00:00,21.6
01/14/22,00:00,21.4
01/15/22,00:00,19.8
01/16/22,00:00,19.4
01/17/22,00:00,19.4
01/18/22,00:00,20.0
01/19/22,00:00,19.7
01/20/22,00:00,19.7
01/21/22,00:00,18.7
01/22/22,00:00,13.5
01/23/22,00:00,13.5
01/24/22,00:00,18.2
01/25/22,00:00,20.9
01/26/22,00:00,20.2
01/27/22,00:00,19.9
01/28/22,00:00,16.7
01/29/22,00:00,18.7
01/30/22,00:00,17.8
01/31/22,00:00,13.7
02/01/22,00:00,20.7
02/02/22,00:00,21.8
02/03/22,00:00,21.5
02/04/22,00:00,21.0
02/05/22,00:00,20.5
02/06/22,00:00,20.5
02/07/22,00:00,20.5
02/08/22,00:00,21.1
02/09/22,00:00,18.9
02/10/22,00:00,18.5
02/11/22,00:00,21.6
02/12/22,00:00,28.8
02/13/22,00:00,28.0
02/14/22,00:00,21.8
02/15/22,00:00,21.6
02/16/22,00:00,21.7
02/17/22,00:00,21.5
02/18/22,00:00,22.5
02/19/22,00:00,15.6
02/20/22,00:00,13.3
02/21/22,00:00,22.3
02/22/22,00:00,22.6
02/23/22,00:00,22.8
02/24/22,00:00,22.9
02/25/22,00:00,22.1
02/26/22,00:00,21.7
02/27/22,00:00,21.6
02/28/22,00:00,21.6
03/01/22,00:00,23.3
03/02/22,00:00,21.4
03/03/22,00:00,14.4
03/04/22,00:00,22.0
03/05/22,00:00,20.2
03/06/22,00:00,19.9
03/07/22,00:00,19.9
03/08/22,00:00,22.2
03/09/22,00:00,22.7
03/10/22,00:00,20.4
03/11/22,00:00,21.2
03/12/22,00:00,18.6
03/13/22,00:00,18.1
03/14/22,00:00,19.4
03/15/22,00:00,20.0
03/16/22,00:00,20.4
03/17/22,00:00,19.5
03/18/22,00:00,26.8
03/19/22,00:00,26.8
03/20/22,00:00,27.0
03/21/22,00:00,27.0
03/22/22,00:00,21.5
03/23/22,00:00,20.4
03/24/22,00:00,21.6
03/26/22,00:00,21.4
03/27/22,00:00,21.2
03/28/22,00:00,20.2
03/29/22,00:00,22.2
03/30/22,00:00,22.2
03/31/22,00:00,20.5
04/01/22,00:00,22.0
04/02/22,00:00,21.6
04/03/22,00:00,21.6
04/04/22,00:00,21.8
04/05/22,00:00,21.8
04/06/22,00:00,21.6
04/07/22,00:00,21.4
04/08/22,00:00,20.7
04/09/22,00:00,22.2
04/10/22,00:00,22.0
04/11/22,00:00,22.1
04/12/22,00:00,21.6
04/13/22,00:00,22.4
04/14/22,00:00,20.0
04/15/22,00:00,22.1
04/16/22,00:00,22.1
04/17/22,00:00,22.5
04/18/22,00:00,22.6
04/19/22,00:00,22.5
04/20/22,00:00,22.8
04/21/22,00:00,23.1
04/22/22,00:00,23.1
04/23/22,00:00,22.3
04/24/22,00:00,22.2
04/25/22,00:00,22.6
04/26/22,00:00,18.6
04/27/22,00:00,18.6
04/28/22,00:00,18.2
04/29/22,00:00,20.6
04/30/22,00:00,20.2
05/01/22,00:00,20.2
05/02/22,00:00,20.1
05/03/22,00:00,16.4
05/04/22,00:00,20.1
05/05/22,00:00,16.4
05/06/22,00:00,20.1
05/07/22,00:00,15.0
05/08/22,00:00,15.1
05/09/22,00:00,15.2
05/10/22,00:00,15.2
05/11/22,00:00,15.6
05/12/22,00:00,15.6
05/13/22,00:00,19.4
05/14/22,00:00,19.6
05/15/22,00:00,19.4
05/16/22,00:00,19.7
05/17/22,00:00,19.2
05/18/22,00:00,19.5
05/19/22,00:00,16.5
05/20/22,00:00,15.1
05/21/22,00:00,15.1
05/22/22,00:00,15.2
