date,hour,value
01/01/21,00:00,207
01/02/21,00:00,196
01/04/21,00:00,218
01/05/21,00:00,206
01/06/21,00:00,202
01/07/21,00:00,321
01/08/21,00:00,309
01/09/21,00:00,323
01/10/21,00:00,311
01/11/21,00:00,297
01/13/21,00:00,308
01/14/21,00:00,263
01/15/21,00:00,212
01/17/21,00:00,214
01/18/21,00:00,233
01/19/21,00:00,235
01/20/21,00:00,241
01/21/21,00:00,253
01/23/21,00:00,217
01/24/21,00:00,176
01/25/21,00:00,231
01/26/21,00:00,214
01/28/21,00:00,195
01/29/21,00:00,213
01/30/21,00:00,216
01/31/21,00:00,285
02/01/21,00:00,252
02/02/21,00:00,323
02/03/21,00:00,240
02/04/21,00:00,228
02/05/21,00:00,248
02/06/21,00:00,210
02/07/21,00:00,237
02/08/21,00:00,316
02/09/21,00:00,191
02/10/21,00:00,226
02/11/21,00:00,235
02/12/21,00:00,244
02/13/21,00:00,254
02/15/21,00:00,223
02/16/21,00:00,233
02/17/21,00:00,243
02/18/21,00:00,212
02/19/21,00:00,234
02/20/21,00:00,256
02/21/21,00:00,228
02/22/21,00:00,230
02/23/21,00:00,250
02/25/21,00:00,221
02/27/21,00:00,232
02/28/21,00:00,227
03/01/21,00:00,238
03/02/21,00:00,238
03/03/21,00:00,226
03/04/21,00:00,235
03/05/21,00:00,233
03/06/21,00:00,245
03/07/21,00:00,229
03/08/21,00:00,229
03/10/21,00:00,238
03/11/21,00:00,237
03/12/21,00:00,220
03/13/21,00:00,242
03/14/21,00:00,227
03/15/21,00:00,225
03/16/21,00:00,234
03/17/21,00:00,244
03/18/21,00:00,230
03/19/21,00:00,240
03/20/21,00:00,228
03/21/21,00:00,228
03/22/21,00:00,180
03/23/21,00:00,202
03/25/21,00:00,215
03/26/21,00:00,234
03/27/21,00:00,256
03/28/21,00:00,210
03/29/21,00:00,176
03/31/21,00:00,230
04/01/21,00:00,218
04/02/21,00:00,218
04/04/21,00:00,237
04/05/21,00:00,264
04/06/21,00:00,216
04/07/21,00:00,203
04/08/21,00:00,214
04/09/21,00:00,225
04/11/21,00:00,224
04/12/21,00:00,236
04/13/21,00:00,174
04/14/21,00:00,272
04/15/21,00:00,223
04/16/21,00:00,241
04/17/21,00:00,244
04/18/21,00:00,264
04/19/21,00:00,228
04/20/21,00:00,260
04/21/21,00:00,249
04/22/21,00:00,210
04/23/21,00:00,220
04/24/21,00:00,220
04/25/21,00:00,209
04/26/21,00:00,229
04/27/21,00:00,218
04/28/21,00:00,217
04/29/21,00:00,220
04/30/21,00:00,230
05/01/21,00:00,218
05/02/21,00:00,233
05/03/21,00:00,244
05/04/21,00:00,244
05/05/21,00:00,253
05/06/21,00:00,242
05/07/21,00:00,241
05/08/21,00:00,261
05/09/21,00:00,253
05/10/21,00:00,230
05/11/21,00:00,231
05/12/21,00:00,238
05/13/21,00:00,276
05/14/21,00:00,210
05/15/21,00:00,263
05/16/21,00:00,217
05/17/21,00:00,248
05/18/21,00:00,227
05/19/21,00:00,227
05/20/21,00:00,244
05/21/21,00:00,225
05/22/21,00:00,225
05/23/21,00:00,244
05/24/21,00:00,247
05/25/21,00:00,217
05/26/21,00:00,247
05/27/21,00:00,237
05/29/21,00:00,221
05/30/21,00:00,208
05/31/21,00:00,238
06/01/21,00:00,229
06/02/21,00:00,196
06/04/21,00:00,234
06/05/21,00:00,253
06/06/21,00:00,219
06/07/21,00:00,230
06/08/21,00:00,227
06/09/21,00:00,179
06/10/21,00:00,209
06/12/21,00:00,230
06/13/21,00:00,239
06/14/21,00:00,240
06/15/21,00:00,174
06/16/21,00:00,174
06/17/21,00:00,214
06/18/21,00:00,221
06/19/21,00:00,190
06/20/21,00:00,170
06/21/21,00:00,172
06/22/21,00:00,202
06/23/21,00:00,195
06/24/21,00:00,214
06/25/21,00:00,240
06/26/21,00:00,249
06/27/21,00:00,214
06/28/21,00:00,239
06/29/21,00:00,249
07/01/21,00:00,220
07/02/21,00:00,235
07/03/21,00:00,249
07/04/21,00:00,292
07/05/21,00:00,225
07/06/21,00:00,219
07/07/21,00:00,249
07/08/21,00:00,209
07/10/21,00:00,199
07/11/21,00:00,161
07/12/21,00:00,192
07/13/21,00:00,211
07/14/21,00:00,226
07/15/21,00:00,217
07/17/21,00:00,211
07/18/21,00:00,191
07/19/21,00:00,212
07/21/21,00:00,205
07/22/21,00:00,221
07/23/21,00:00,220
07/24/21,00:00,248
07/25/21,00:00,204
07/26/21,00:00,204
07/27/21,00:00,216
07/28/21,00:00,203
07/29/21,00:00,194
08/02/21,00:00,251
08/03/21,00:00,223
08/04/21,00:00,235
08/05/21,00:00,234
08/06/21,00:00,239
08/07/21,00:00,247
08/08/21,00:00,245
08/09/21,00:00,275
08/10/21,00:00,252
08/11/21,00:00,202
08/12/21,00:00,250
08/13/21,00:00,218
08/14/21,00:00,238
08/15/21,00:00,252
08/16/21,00:00,252
08/17/21,00:00,241
08/18/21,00:00,208
08/20/21,00:00,204
08/21/21,00:00,246
08/22/21,00:00,255
08/23/21,00:00,234
08/24/21,00:00,265
08/25/21,00:00,233
08/26/21,00:00,247
08/27/21,00:00,231
08/28/21,00:00,265
08/29/21,00:00,242
08/30/21,00:00,209
08/31/21,00:00,236
09/01/21,00:00,217
09/02/21,00:00,204
09/03/21,00:00,214
09/04/21,00:00,234
09/05/21,00:00,232
09/06/21,00:00,194
09/07/21,00:00,210
09/08/21,00:00,218
09/09/21,00:00,229
09/10/21,00:00,261
09/11/21,00:00,225
09/12/21,00:00,201
09/13/21,00:00,195
09/14/21,00:00,187
09/16/21,00:00,176
09/17/21,00:00,201
09/18/21,00:00,192
09/19/21,00:00,183
09/20/21,00:00,221
09/21/21,00:00,242
09/22/21,00:00,243
09/23/21,00:00,238
09/24/21,00:00,230
09/25/21,00:00,241
09/26/21,00:00,240
09/27/21,00:00,219
09/28/21,00:00,250
09/29/21,00:00,229
09/30/21,00:00,223
10/01/21,00:00,237
10/02/21,00:00,225
10/03/21,00:00,234
10/04/21,00:00,222
10/05/21,00:00,221
10/06/21,00:00,221
10/07/21,00:00,252
10/08/21,00:00,243
10/09/21,00:00,232
10/10/21,00:00,235
10/11/21,00:00,216
10/12/21,00:00,209
10/13/21,00:00,224
10/14/21,00:00,197
10/15/21,00:00,210
10/16/21,00:00,220
10/17/21,00:00,239
10/18/21,00:00,219
10/19/21,00:00,239
10/20/21,00:00,228
10/21/21,00:00,214
10/23/21,00:00,186
10/24/21,00:00,229
10/25/21,00:00,175
10/26/21,00:00,215
10/27/21,00:00,164
10/28/21,00:00,232
10/29/21,00:00,226
