date,hour,value
01/01/22,00:00,11.73
01/02/22,00:00,11.73
01/03/22,00:00,11.63
01/04/22,00:00,11.63
01/05/22,00:00,11.63
01/06/22,00:00,11.63
01/07/22,00:00,11.73
01/08/22,00:00,11.63
01/09/22,00:00,11.63
01/10/22,00:00,11.83
01/11/22,00:00,11.83
01/12/22,00:00,11.93
01/13/22,00:00,11.63
01/14/22,00:00,11.73
01/15/22,00:00,11.73
01/16/22,00:00,11.73
01/17/22,00:00,11.73
01/18/22,00:00,11.73
01/19/22,00:00,11.83
01/20/22,00:00,11.93
01/21/22,00:00,11.73
01/22/22,00:00,11.73
01/23/22,00:00,11.83
01/24/22,00:00,11.83
01/25/22,00:00,11.73
01/26/22,00:00,11.73
01/27/22,00:00,11.83
01/28/22,00:00,11.83
01/29/22,00:00,11.93
01/30/22,00:00,11.83
01/31/22,00:00,11.63
02/01/22,00:00,11.73
02/02/22,00:00,11.73
02/03/22,00:00,11.73
02/04/22,00:00,11.73
02/05/22,00:00,11.63
02/06/22,00:00,11.83
02/07/22,00:00,11.83
02/08/22,00:00,11.83
02/09/22,00:00,11.93
02/10/22,00:00,11.93
02/11/22,00:00,11.73
02/12/22,00:00,11.73
02/13/22,00:00,11.93
02/14/22,00:00,11.83
02/15/22,00:00,11.93
02/16/22,00:00,11.73
02/17/22,00:00,11.93
02/18/22,00:00,11.83
02/19/22,00:00,11.83
02/20/22,00:00,11.83
02/21/22,00:00,11.73
02/22/22,00:00,11.83
02/23/22,00:00,11.73
02/24/22,00:00,11.73
02/25/22,00:00,11.83
02/26/22,00:00,11.73
02/27/22,00:00,11.83
02/28/22,00:00,11.83
03/01/22,00:00,11.93
03/02/22,00:00,11.93
03/03/22,00:00,11.73
03/04/22,00:00,11.93
03/05/22,00:00,11.93
03/06/22,00:00,11.83
03/07/22,00:00,11.83
03/08/22,00:00,11.83
03/09/22,00:00,11.73
03/10/22,00:00,11.73
03/11/22,00:00,11.73
03/12/22,00:00,11.73
03/13/22,00:00,11.83
03/14/22,00:00,11.73
03/15/22,00:00,11.73
03/16/22,00:00,11.83
03/17/22,00:00,11.83
03/18/22,00:00,11.93
03/19/22,00:00,11.93
03/20/22,00:00,11.93
03/21/22,00:00,11.83
03/22/22,00:00,11.73
03/23/22,00:00,11.83
03/24/22,00:00,11.93
03/25/22,00:00,11.83
03/26/22,00:00,11.73
03/27/22,00:00,11.73
03/28/22,00:00,11.73
03/29/22,00:00,11.93
03/30/22,00:00,11.83
03/31/22,00:00,11.83
04/01/22,00:00,11.93
04/02/22,00:00,12.03
04/03/22,00:00,11.83
04/04/22,00:00,11.93
04/05/22,00:00,11.73
04/06/22,00:00,11.73
04/07/22,00:00,11.83
04/08/22,00:00,11.93
04/09/22,00:00,11.73
04/10/22,00:00,11.73
04/11/22,00:00,11.63
04/12/22,00:00,11.73
04/13/22,00:00,11.73
04/14/22,00:00,11.83
04/15/22,00:00,11.83
04/16/22,00:00,11.93
04/17/22,00:00,11.93
04/18/22,00:00,11.73
04/19/22,00:00,11.83
04/20/22,00:00,11.73
04/21/22,00:00,11.83
04/22/22,00:00,11.93
04/23/22,00:00,11.93
04/24/22,00:00,12.03
04/25/22,00:00,11.83
04/26/22,00:00,11.73
04/27/22,00:00,11.93
04/28/22,00:00,12.03
04/29/22,00:00,11.93
04/30/22,00:00,11.93
05/01/22,00:00,11.93
05/02/22,00:00,11.93
05/03/22,00:00,11.83
05/04/22,00:00,11.93
05/05/22,00:00,11.93
05/06/22,00:00,11.73
05/07/22,00:00,11.73
05/08/22,00:00,11.83
05/09/22,00:00,11.93
05/10/22,00:00,11.83
05/11/22,00:00,11.93
05/12/22,00:00,12.03
05/13/22,00:00,12.03
05/14/22,00:00,11.93
05/15/22,00:00,11.93
05/16/22,00:00,11.97
05/18/22,00:00,11.87
05/21/22,00:00,11.77
05/24/22,00:00,11.64
05/29/22,00:00,11.77
06/01/22,00:00,11.77
06/04/22,00:00,11.97
06/06/22,00:00,11.87
06/07/22,00:00,11.77
06/08/22,00:00,11.77
06/09/22,00:00,11.77
06/10/22,00:00,11.77
06/11/22,00:00,11.77
06/12/22,00:00,11.87
06/13/22,00:00,11.77
06/14/22,00:00,11.87
06/15/22,00:00,11.97
06/16/22,00:00,11.77
06/17/22,00:00,11.77
06/18/22,00:00,11.87
06/19/22,00:00,11.77
06/20/22,00:00,11.77
06/21/22,00:00,11.97
06/22/22,00:00,11.77
06/23/22,00:00,11.57
06/24/22,00:00,11.77
06/25/22,00:00,11.77
06/26/22,00:00,11.77
06/27/22,00:00,11.87
06/28/22,00:00,11.77
06/29/22,00:00,11.77
06/30/22,00:00,11.57
07/01/22,00:00,11.87
07/02/22,00:00,11.77
07/03/22,00:00,11.87
07/04/22,00:00,11.87
07/05/22,00:00,11.97
07/06/22,00:00,11.97
07/08/22,00:00,11.97
07/09/22,00:00,11.77
07/10/22,00:00,11.77
07/11/22,00:00,11.97
07/12/22,00:00,11.97
07/13/22,00:00,11.87
07/14/22,00:00,11.97
07/15/22,00:00,11.97
07/16/22,00:00,11.87
07/17/22,00:00,11.97
07/18/22,00:00,11.87
07/19/22,00:00,11.77
07/20/22,00:00,11.77
07/21/22,00:00,11.77
07/22/22,00:00,11.87
07/23/22,00:00,11.77
07/24/22,00:00,11.87
07/25/22,00:00,11.97
07/26/22,00:00,11.97
07/27/22,00:00,11.97
07/28/22,00:00,11.97
07/29/22,00:00,11.97
07/30/22,00:00,11.87
07/31/22,00:00,11.97
08/01/22,00:00,11.97
08/02/22,00:00,11.77
08/03/22,00:00,11.77
08/04/22,00:00,12.07
08/05/22,00:00,12.07
08/06/22,00:00,11.97
08/07/22,00:00,11.97
08/08/22,00:00,11.97
08/09/22,00:00,11.97
08/10/22,00:00,11.97
08/11/22,00:00,12.07
08/12/22,00:00,11.97
08/13/22,00:00,12.07
08/14/22,00:00,12.07
08/15/22,00:00,11.77
08/16/22,00:00,11.77
08/17/22,00:00,11.97
08/18/22,00:00,11.97
08/19/22,00:00,11.97
08/20/22,00:00,11.77
08/21/22,00:00,12.07
08/22/22,00:00,12.07
08/23/22,00:00,11.97
08/24/22,00:00,11.77
08/25/22,00:00,12.07
08/26/22,00:00,12.07
08/27/22,00:00,11.97
08/28/22,00:00,12.07
08/29/22,00:00,11.97
08/30/22,00:00,11.97
08/31/22,00:00,11.97
09/01/22,00:00,11.97
09/02/22,00:00,12.07
09/03/22,00:00,12.07
09/04/22,00:00,11.97
09/05/22,00:00,11.97
09/06/22,00:00,11.77
09/07/22,00:00,11.97
09/08/22,00:00,11.77
09/09/22,00:00,12.02
09/10/22,00:00,11.82
09/11/22,00:00,11.77
09/12/22,00:00,11.57
09/13/22,00:00,11.77
09/14/22,00:00,11.77
09/15/22,00:00,11.77
09/16/22,00:00,11.77
09/17/22,00:00,11.77
09/18/22,00:00,11.77
09/19/22,00:00,11.97
09/20/22,00:00,11.97
09/21/22,00:00,11.97
09/22/22,00:00,11.97
09/23/22,00:00,11.97
09/24/22,00:00,11.77
09/25/22,00:00,11.77
09/26/22,00:00,11.97
09/27/22,00:00,11.97
09/28/22,00:00,11.77
09/29/22,00:00,11.77
09/30/22,00:00,12.07
10/01/22,00:00,12.07
10/02/22,00:00,11.97
10/03/22,00:00,11.77
10/04/22,00:00,11.77
10/05/22,00:00,11.77
10/06/22,00:00,11.97
10/07/22,00:00,11.87
10/08/22,00:00,11.77
10/09/22,00:00,11.87
10/10/22,00:00,11.67
10/11/22,00:00,11.67
10/12/22,00:00,11.67
10/13/22,00:00,11.87
10/14/22,00:00,11.87
10/15/22,00:00,11.77
10/16/22,00:00,11.67
10/17/22,00:00,11.77
10/18/22,00:00,11.77
10/19/22,00:00,11.87
10/20/22,00:00,11.27
10/21/22,00:00,11.27
10/22/22,00:00,11.27
10/23/22,00:00,11.27
10/24/22,00:00,11.57
10/25/22,00:00,11.57
10/26/22,00:00,11.57
10/27/22,00:00,11.37
10/28/22,00:00,11.47
10/29/22,00:00,11.37
10/30/22,00:00,11.47
10/31/22,00:00,11.77
11/01/22,00:00,11.87
11/02/22,00:00,11.97
11/03/22,00:00,11.77
11/04/22,00:00,11.57
11/05/22,00:00,11.77
11/06/22,00:00,11.77
11/07/22,00:00,11.97
11/08/22,00:00,12.07
11/09/22,00:00,11.97
11/10/22,00:00,11.77
11/11/22,00:00,12.07
11/12/22,00:00,11.77
11/13/22,00:00,12.17
11/14/22,00:00,12.07
11/15/22,00:00,12.17
11/16/22,00:00,11.77
