date,hour,value
01/01/22,00:00,1.28
01/02/22,00:00,1.28
01/03/22,00:00,1.23
01/04/22,00:00,1.23
01/05/22,00:00,1.23
01/06/22,00:00,1.18
01/07/22,00:00,1.23
01/08/22,00:00,1.18
01/09/22,00:00,1.23
01/10/22,00:00,1.18
01/11/22,00:00,1.18
01/12/22,00:00,1.28
01/13/22,00:00,1.18
01/14/22,00:00,1.23
01/15/22,00:00,1.23
01/16/22,00:00,1.23
01/17/22,00:00,1.28
01/18/22,00:00,1.23
01/19/22,00:00,1.28
01/20/22,00:00,1.28
01/21/22,00:00,1.32
01/22/22,00:00,1.28
01/23/22,00:00,1.23
01/24/22,00:00,1.28
01/25/22,00:00,1.28
01/26/22,00:00,1.28
01/27/22,00:00,1.32
01/28/22,00:00,1.28
01/29/22,00:00,1.32
01/30/22,00:00,1.28
01/31/22,00:00,1.23
02/01/22,00:00,1.23
02/02/22,00:00,1.28
02/03/22,00:00,1.23
02/04/22,00:00,1.28
02/05/22,00:00,1.28
02/06/22,00:00,1.23
02/07/22,00:00,1.28
02/08/22,00:00,1.23
02/09/22,00:00,1.23
02/10/22,00:00,1.23
02/11/22,00:00,1.23
02/12/22,00:00,1.23
02/13/22,00:00,1.28
02/14/22,00:00,1.23
02/15/22,00:00,1.28
02/16/22,00:00,1.23
02/17/22,00:00,1.23
02/18/22,00:00,1.23
02/19/22,00:00,1.18
02/20/22,00:00,1.28
02/21/22,00:00,1.23
02/22/22,00:00,1.23
02/23/22,00:00,1.23
02/24/22,00:00,1.18
02/25/22,00:00,1.23
02/26/22,00:00,1.18
02/27/22,00:00,1.23
02/28/22,00:00,1.23
03/01/22,00:00,1.23
03/02/22,00:00,1.23
03/03/22,00:00,1.23
03/04/22,00:00,1.23
03/05/22,00:00,1.23
03/06/22,00:00,1.23
03/07/22,00:00,1.23
03/08/22,00:00,1.23
03/09/22,00:00,1.23
03/10/22,00:00,1.28
03/11/22,00:00,1.23
03/12/22,00:00,1.23
03/13/22,00:00,1.23
03/14/22,00:00,1.23
03/15/22,00:00,1.23
03/16/22,00:00,1.28
03/17/22,00:00,1.18
03/18/22,00:00,1.23
03/19/22,00:00,1.23
03/20/22,00:00,1.28
03/21/22,00:00,1.23
03/22/22,00:00,1.23
03/23/22,00:00,1.23
03/24/22,00:00,1.28
03/25/22,00:00,1.28
03/26/22,00:00,1.23
03/27/22,00:00,1.28
03/28/22,00:00,1.23
03/29/22,00:00,1.28
03/30/22,00:00,1.23
03/31/22,00:00,1.23
04/01/22,00:00,1.18
04/02/22,00:00,1.18
04/03/22,00:00,1.23
04/04/22,00:00,1.23
04/05/22,00:00,1.28
04/06/22,00:00,1.28
04/07/22,00:00,1.28
04/08/22,00:00,1.28
04/09/22,00:00,1.23
04/10/22,00:00,1.23
04/11/22,00:00,1.23
04/12/22,00:00,1.18
04/13/22,00:00,1.23
04/14/22,00:00,1.23
04/15/22,00:00,1.23
04/16/22,00:00,1.23
04/17/22,00:00,1.23
04/18/22,00:00,1.23
04/19/22,00:00,1.23
04/20/22,00:00,1.18
04/21/22,00:00,1.25
04/22/22,00:00,1.23
04/23/22,00:00,1.18
04/24/22,00:00,1.18
04/25/22,00:00,1.23
04/26/22,00:00,1.28
04/27/22,00:00,1.23
04/28/22,00:00,1.18
04/29/22,00:00,1.23
04/30/22,00:00,1.23
05/01/22,00:00,1.23
05/02/22,00:00,1.18
05/03/22,00:00,1.23
05/04/22,00:00,1.23
05/05/22,00:00,1.23
