date,hour,value
01/01/22,00:00,0.14
01/02/22,00:00,0.14
01/03/22,00:00,0.14
01/04/22,00:00,0.14
01/05/22,00:00,0.14
01/06/22,00:00,0.14
01/07/22,00:00,0.14
01/08/22,00:00,0.14
01/09/22,00:00,0.14
01/10/22,00:00,0.14
01/11/22,00:00,0.14
01/12/22,00:00,0.14
01/13/22,00:00,0.14
01/14/22,00:00,0.14
01/15/22,00:00,0.14
01/16/22,00:00,0.15
01/17/22,00:00,0.15
01/18/22,00:00,0.14
01/19/22,00:00,0.14
01/20/22,00:00,0.14
01/21/22,00:00,0.14
01/22/22,00:00,0.15
01/23/22,00:00,0.15
01/24/22,00:00,0.15
01/25/22,00:00,0.15
01/26/22,00:00,0.15
01/27/22,00:00,0.15
01/28/22,00:00,0.15
01/29/22,00:00,0.14
01/30/22,00:00,0.14
01/31/22,00:00,0.14
02/01/22,00:00,0.14
02/02/22,00:00,0.14
02/03/22,00:00,0.15
02/04/22,00:00,0.15
02/05/22,00:00,0.15
02/06/22,00:00,0.15
02/07/22,00:00,0.14
02/08/22,00:00,0.14
02/09/22,00:00,0.14
02/10/22,00:00,0.14
02/11/22,00:00,0.14
02/12/22,00:00,0.14
02/13/22,00:00,0.14
02/14/22,00:00,0.14
02/15/22,00:00,0.14
02/16/22,00:00,0.14
02/17/22,00:00,0.15
02/18/22,00:00,0.15
02/19/22,00:00,0.14
02/20/22,00:00,0.14
02/21/22,00:00,0.14
02/22/22,00:00,0.14
02/23/22,00:00,0.14
02/24/22,00:00,0.14
02/25/22,00:00,0.14
02/26/22,00:00,0.14
02/27/22,00:00,0.14
02/28/22,00:00,0.14
03/01/22,00:00,0.14
03/02/22,00:00,0.14
03/03/22,00:00,0.14
03/04/22,00:00,0.15
03/05/22,00:00,0.15
03/06/22,00:00,0.15
03/07/22,00:00,0.14
03/08/22,00:00,0.14
03/09/22,00:00,0.14
03/10/22,00:00,0.14
03/11/22,00:00,0.14
03/12/22,00:00,0.14
03/13/22,00:00,0.14
03/14/22,00:00,0.15
03/15/22,00:00,0.15
03/16/22,00:00,0.15
03/17/22,00:00,0.15
03/18/22,00:00,0.14
03/19/22,00:00,0.14
03/20/22,00:00,0.14
03/21/22,00:00,0.15
03/22/22,00:00,0.15
03/23/22,00:00,0.15
03/24/22,00:00,0.15
03/25/22,00:00,0.15
03/26/22,00:00,0.15
03/27/22,00:00,0.15
03/28/22,00:00,0.16
03/29/22,00:00,0.16
03/30/22,00:00,0.16
03/31/22,00:00,0.16
04/01/22,00:00,0.16
04/02/22,00:00,0.17
04/03/22,00:00,0.17
04/04/22,00:00,0.16
04/05/22,00:00,0.16
04/06/22,00:00,0.16
04/07/22,00:00,0.14
04/08/22,00:00,0.14
04/09/22,00:00,0.14
04/10/22,00:00,0.14
04/11/22,00:00,0.14
04/12/22,00:00,0.14
04/13/22,00:00,0.14
04/14/22,00:00,0.14
04/15/22,00:00,0.14
04/16/22,00:00,0.14
04/17/22,00:00,0.14
04/18/22,00:00,0.14
04/19/22,00:00,0.15
04/20/22,00:00,0.15
04/21/22,00:00,0.16
04/22/22,00:00,0.16
04/23/22,00:00,0.15
04/24/22,00:00,0.15
04/25/22,00:00,0.15
04/26/22,00:00,0.15
04/27/22,00:00,0.15
04/28/22,00:00,0.15
04/29/22,00:00,0.15
04/30/22,00:00,0.15
05/01/22,00:00,0.16
05/02/22,00:00,0.16
05/03/22,00:00,0.15
05/04/22,00:00,0.15
05/05/22,00:00,0.14
05/06/22,00:00,0.14
05/07/22,00:00,0.14
05/08/22,00:00,0.14
05/09/22,00:00,0.16
05/10/22,00:00,0.16
05/11/22,00:00,0.16
05/12/22,00:00,0.15
05/13/22,00:00,0.15
05/14/22,00:00,0.15
05/15/22,00:00,0.15
05/16/22,00:00,0.17
05/17/22,00:00,0.17
05/18/22,00:00,0.14
05/19/22,00:00,0.14
06/09/22,00:00,0.15
06/10/22,00:00,0.15
06/11/22,00:00,0.14
06/12/22,00:00,0.14
06/13/22,00:00,0.16
06/14/22,00:00,0.16
06/15/22,00:00,0.16
06/16/22,00:00,0.14
06/17/22,00:00,0.14
06/18/22,00:00,0.17
06/19/22,00:00,0.17
06/20/22,00:00,0.15
06/21/22,00:00,0.15
06/22/22,00:00,0.17
06/23/22,00:00,0.17
06/24/22,00:00,0.16
06/25/22,00:00,0.16
06/26/22,00:00,0.16
06/27/22,00:00,0.14
06/28/22,00:00,0.14
06/29/22,00:00,0.14
06/30/22,00:00,0.16
07/01/22,00:00,0.16
07/02/22,00:00,0.15
07/03/22,00:00,0.15
