date,hour,value
01/01/22,00:00,1.35
01/02/22,00:00,1.55
01/03/22,00:00,1.6
01/04/22,00:00,1.8
01/05/22,00:00,1.5
01/06/22,00:00,1.65
01/07/22,00:00,1.6
01/08/22,00:00,1.35
01/09/22,00:00,1.6
01/10/22,00:00,1.35
01/11/22,00:00,1.15
01/12/22,00:00,1.65
01/13/22,00:00,1.35
01/14/22,00:00,1.6
01/15/22,00:00,1.5
01/16/22,00:00,1.4
01/17/22,00:00,1.65
01/18/22,00:00,1.5
01/19/22,00:00,1.45
01/20/22,00:00,1.75
01/21/22,00:00,1.99
01/22/22,00:00,1.85
01/23/22,00:00,1.9
01/24/22,00:00,1.75
01/25/22,00:00,2.05
01/26/22,00:00,1.85
01/27/22,00:00,1.59
01/28/22,00:00,1.25
01/29/22,00:00,1.89
01/30/22,00:00,1.75
01/31/22,00:00,1.7
02/01/22,00:00,1.9
02/02/22,00:00,2.15
02/03/22,00:00,1.9
02/04/22,00:00,2.15
02/05/22,00:00,2.15
02/06/22,00:00,1.9
02/07/22,00:00,2.35
02/08/22,00:00,2.1
02/09/22,00:00,2.1
02/10/22,00:00,1.9
02/11/22,00:00,2.1
02/12/22,00:00,1.9
02/13/22,00:00,2.05
02/14/22,00:00,1.6
02/15/22,00:00,1.95
02/16/22,00:00,1.8
02/17/22,00:00,1.2
02/18/22,00:00,1.2
02/19/22,00:00,1.35
02/20/22,00:00,1.25
02/21/22,00:00,0.8
02/22/22,00:00,0.9
02/23/22,00:00,1
02/24/22,00:00,1.35
02/25/22,00:00,1.7
02/26/22,00:00,1.95
02/27/22,00:00,2.1
02/28/22,00:00,1.6
03/01/22,00:00,1.5
03/02/22,00:00,1.5
03/03/22,00:00,1.5
03/04/22,00:00,1
03/05/22,00:00,1.3
03/06/22,00:00,1.2
03/07/22,00:00,1.4
03/08/22,00:00,1.6
03/09/22,00:00,1.5
03/10/22,00:00,1.85
03/11/22,00:00,1.9
03/12/22,00:00,1.6
03/13/22,00:00,1.7
03/14/22,00:00,1.9
03/15/22,00:00,2.1
03/16/22,00:00,2.25
03/17/22,00:00,1.85
03/18/22,00:00,1.9
03/19/22,00:00,2
03/20/22,00:00,1.95
03/21/22,00:00,1.4
03/22/22,00:00,1.4
03/23/22,00:00,1.8
03/24/22,00:00,1.55
03/25/22,00:00,1.55
03/26/22,00:00,1.5
03/27/22,00:00,1.45
03/28/22,00:00,2
03/29/22,00:00,1.75
03/30/22,00:00,1.6
03/31/22,00:00,1.6
04/01/22,00:00,1.55
04/02/22,00:00,1.65
04/03/22,00:00,1.9
04/04/22,00:00,2.5
04/05/22,00:00,2.65
04/06/22,00:00,2.45
04/07/22,00:00,2.15
04/08/22,00:00,1.55
04/09/22,00:00,1.5
04/10/22,00:00,1.4
04/11/22,00:00,1.7
04/12/22,00:00,1.55
04/13/22,00:00,1.5
04/14/22,00:00,1.8
04/15/22,00:00,1.6
04/16/22,00:00,1.8
04/17/22,00:00,1.6
04/18/22,00:00,1.7
04/19/22,00:00,1.6
04/20/22,00:00,1.55
04/21/22,00:00,1.32
04/22/22,00:00,1.5
04/23/22,00:00,1.15
04/24/22,00:00,1.25
04/25/22,00:00,1.7
04/26/22,00:00,2.15
04/27/22,00:00,1.8
04/28/22,00:00,1.85
04/29/22,00:00,2
04/30/22,00:00,1.9
05/01/22,00:00,1.7
05/02/22,00:00,1.75
05/03/22,00:00,2
05/04/22,00:00,2.5
