date,hour,value
01/01/22,00:00,6.62
01/02/22,00:00,6.61
01/03/22,00:00,6.61
01/04/22,00:00,6.64
01/05/22,00:00,6.62
01/06/22,00:00,6.67
01/07/22,00:00,6.66
01/08/22,00:00,6.64
01/09/22,00:00,6.64
01/10/22,00:00,6.67
01/11/22,00:00,6.67
01/12/22,00:00,6.65
01/13/22,00:00,6.69
01/14/22,00:00,6.67
01/15/22,00:00,6.65
01/16/22,00:00,6.66
01/17/22,00:00,6.65
01/18/22,00:00,6.64
01/19/22,00:00,6.65
01/20/22,00:00,6.66
01/21/22,00:00,6.63
01/22/22,00:00,6.65
01/23/22,00:00,6.62
01/24/22,00:00,6.64
01/25/22,00:00,6.63
01/26/22,00:00,6.66
01/27/22,00:00,6.61
01/28/22,00:00,6.63
01/29/22,00:00,6.64
01/30/22,00:00,6.63
01/31/22,00:00,6.61
02/01/22,00:00,6.60
02/02/22,00:00,6.61
02/03/22,00:00,6.61
02/04/22,00:00,6.63
02/05/22,00:00,6.62
02/06/22,00:00,6.61
02/07/22,00:00,6.60
02/08/22,00:00,6.61
02/09/22,00:00,6.60
02/10/22,00:00,6.60
02/11/22,00:00,6.60
02/12/22,00:00,6.61
02/13/22,00:00,6.60
02/14/22,00:00,6.61
02/15/22,00:00,6.60
02/16/22,00:00,6.62
02/17/22,00:00,6.64
02/18/22,00:00,6.63
02/19/22,00:00,6.60
02/20/22,00:00,6.64
02/21/22,00:00,6.63
02/22/22,00:00,6.63
02/23/22,00:00,6.62
02/24/22,00:00,6.65
02/25/22,00:00,6.64
02/26/22,00:00,6.62
02/27/22,00:00,6.64
02/28/22,00:00,6.65
03/01/22,00:00,6.64
03/02/22,00:00,6.63
03/03/22,00:00,6.63
03/04/22,00:00,6.62
03/05/22,00:00,6.65
03/06/22,00:00,6.65
03/07/22,00:00,6.58
03/08/22,00:00,6.61
03/09/22,00:00,6.60
03/10/22,00:00,6.65
03/11/22,00:00,6.68
03/12/22,00:00,6.65
03/13/22,00:00,6.64
03/14/22,00:00,6.65
03/15/22,00:00,6.65
03/16/22,00:00,6.64
03/17/22,00:00,6.63
03/18/22,00:00,6.62
03/19/22,00:00,6.64
03/20/22,00:00,6.63
03/21/22,00:00,6.61
03/22/22,00:00,6.63
03/23/22,00:00,6.62
03/24/22,00:00,6.60
03/25/22,00:00,6.62
03/26/22,00:00,6.60
03/27/22,00:00,6.60
03/28/22,00:00,6.61
03/29/22,00:00,6.62
03/30/22,00:00,6.61
03/31/22,00:00,6.63
04/01/22,00:00,6.61
04/02/22,00:00,6.61
04/03/22,00:00,6.62
04/04/22,00:00,6.63
04/05/22,00:00,6.61
04/06/22,00:00,6.62
04/07/22,00:00,6.60
04/08/22,00:00,6.63
04/09/22,00:00,6.63
04/10/22,00:00,6.61
04/11/22,00:00,6.60
04/12/22,00:00,6.62
04/13/22,00:00,6.60
04/14/22,00:00,6.61
04/15/22,00:00,6.63
04/16/22,00:00,6.65
04/17/22,00:00,6.60
04/18/22,00:00,6.61
04/19/22,00:00,6.60
04/20/22,00:00,6.60
04/21/22,00:00,6.66
04/22/22,00:00,6.63
04/23/22,00:00,6.65
