date,hour,value
01/01/22,00:00,693
01/01/22,01:00,692
01/01/22,02:00,692
01/01/22,03:00,692
01/02/22,00:00,690
01/02/22,01:00,686
01/02/22,02:00,684
01/02/22,03:00,686
01/03/22,00:00,687
01/03/22,01:00,687
01/03/22,02:00,688
01/03/22,03:00,689
01/04/22,00:00,689
01/04/22,01:00,688
01/04/22,02:00,687
01/04/22,03:00,687
01/05/22,00:00,691
01/05/22,01:00,692
01/05/22,02:00,693
01/05/22,03:00,693
01/06/22,00:00,694
01/06/22,01:00,694
01/06/22,02:00,694
01/06/22,03:00,694
01/07/22,00:00,694
01/07/22,01:00,694
01/07/22,02:00,693
01/07/22,03:00,693
01/08/22,00:00,694
01/08/22,01:00,694
01/08/22,02:00,694
01/08/22,03:00,694
01/09/22,00:00,694
01/09/22,01:00,692
01/09/22,02:00,692
01/09/22,03:00,692
01/10/22,00:00,691
01/10/22,01:00,689
01/10/22,02:00,689
01/10/22,03:00,689
01/11/22,00:00,692
01/11/22,01:00,692
01/11/22,02:00,692
01/11/22,03:00,692
01/12/22,00:00,693
01/12/22,01:00,692
01/12/22,02:00,692
01/12/22,03:00,692
01/13/22,00:00,689
01/13/22,01:00,687
01/13/22,02:00,686
01/13/22,03:00,685
01/14/22,00:00,687
01/14/22,01:00,688
01/14/22,02:00,686
01/14/22,03:00,686
01/15/22,00:00,681
01/15/22,01:00,680
01/15/22,02:00,680
01/15/22,03:00,681
01/16/22,00:00,684
01/16/22,01:00,686
01/16/22,02:00,685
01/16/22,03:00,687
01/17/22,00:00,690
01/17/22,01:00,692
01/17/22,02:00,690
01/17/22,03:00,691
01/18/22,00:00,692
01/18/22,01:00,692
01/18/22,02:00,691
01/18/22,03:00,691
01/19/22,00:00,689
01/19/22,01:00,686
01/19/22,02:00,686
01/19/22,03:00,686
01/20/22,00:00,686
01/20/22,01:00,687
01/20/22,02:00,687
01/20/22,03:00,689
01/21/22,00:00,694
01/21/22,01:00,695
01/21/22,02:00,695
01/21/22,03:00,695
01/22/22,00:00,695
01/22/22,01:00,694
01/22/22,02:00,693
01/22/22,03:00,693
01/23/22,00:00,692
01/23/22,01:00,691
01/23/22,02:00,690
01/23/22,03:00,690
01/24/22,00:00,690
01/24/22,01:00,691
01/24/22,02:00,691
01/24/22,03:00,691
01/25/22,00:00,692
01/25/22,01:00,692
01/25/22,02:00,692
01/25/22,03:00,692
01/26/22,00:00,690
01/26/22,01:00,688
01/26/22,02:00,688
01/26/22,03:00,687
01/27/22,00:00,684
01/27/22,01:00,684
01/27/22,02:00,684
01/27/22,03:00,685
01/28/22,00:00,690
01/28/22,01:00,690
01/28/22,02:00,690
01/28/22,03:00,690
01/29/22,00:00,691
01/29/22,01:00,692
01/29/22,02:00,692
01/29/22,03:00,692
01/30/22,00:00,692
01/30/22,01:00,691
01/30/22,02:00,690
01/30/22,03:00,690
01/31/22,00:00,689
01/31/22,01:00,689
01/31/22,02:00,689
01/31/22,03:00,689
02/01/22,00:00,688
02/01/22,01:00,690
