date,hour,value
01/01/22,00:00,-7
01/01/22,01:00,0
01/01/22,02:00,-1
01/02/22,00:00,-4
01/02/22,01:00,3
01/02/22,02:00,0
01/03/22,00:00,-2
01/03/22,01:00,4
01/03/22,02:00,1
01/04/22,00:00,0
01/04/22,01:00,3
01/04/22,02:00,3
01/05/22,00:00,-2
01/05/22,01:00,6
01/05/22,02:00,4
01/06/22,00:00,-3
01/06/22,01:00,6
01/06/22,02:00,3
01/07/22,00:00,-4
01/07/22,01:00,7
01/07/22,02:00,4
01/08/22,00:00,-2
01/08/22,01:00,4
01/08/22,02:00,3
01/09/22,00:00,-4
01/09/22,01:00,6
01/09/22,02:00,2
01/10/22,00:00,-1
01/10/22,01:00,0
01/10/22,02:00,2
01/11/22,00:00,2
01/11/22,01:00,4
01/11/22,02:00,4
01/12/22,00:00,2
01/12/22,01:00,5
01/12/22,02:00,5
01/13/22,00:00,2
01/13/22,01:00,4
01/13/22,02:00,3
01/14/22,00:00,1
01/14/22,01:00,3
01/14/22,02:00,0
01/15/22,00:00,-5
01/15/22,01:00,-2
01/15/22,02:00,1
01/16/22,00:00,-1
01/16/22,01:00,3
01/16/22,02:00,0
01/17/22,00:00,-7
01/17/22,01:00,0
01/17/22,02:00,-2
01/18/22,00:00,-9
01/18/22,01:00,-1
01/18/22,02:00,-2
01/19/22,00:00,-2
01/19/22,01:00,3
01/19/22,02:00,-1
01/20/22,00:00,-2
01/20/22,01:00,2
01/20/22,02:00,-1
01/21/22,00:00,-8
01/21/22,01:00,1
01/21/22,02:00,-2
01/22/22,00:00,-9
01/22/22,01:00,0
01/22/22,02:00,-1
01/23/22,00:00,-9
01/23/22,01:00,0
01/23/22,02:00,-1
01/24/22,00:00,-6
01/24/22,01:00,1
01/24/22,02:00,0
01/25/22,00:00,-2
01/25/22,01:00,5
01/25/22,02:00,2
01/26/22,00:00,-4
01/26/22,01:00,6
01/26/22,02:00,1
01/27/22,00:00,0
01/27/22,01:00,7
01/27/22,02:00,4
01/28/22,00:00,0
01/28/22,01:00,6
