date,hour,value
01/01/23,00:00,4.2
01/02/23,00:00,4.5
01/03/23,00:00,5.0
01/04/23,00:00,4.5
01/05/23,00:00,4.3
01/06/23,00:00,4.3
01/07/23,00:00,4.9
01/08/23,00:00,4.2
01/09/23,00:00,3.9
01/10/23,00:00,3.9
01/11/23,00:00,4.4
01/12/23,00:00,4.0
01/13/23,00:00,4.4
01/14/23,00:00,4.5
01/15/23,00:00,4.0
01/16/23,00:00,4.0
01/17/23,00:00,4.0
01/18/23,00:00,4.2
01/19/23,00:00,4.2
01/20/23,00:00,4.2
01/21/23,00:00,3.8
01/22/23,00:00,4.1
01/23/23,00:00,4.1
01/24/23,00:00,4.0
01/25/23,00:00,4.0
01/26/23,00:00,4.4
01/27/23,00:00,4.1
01/28/23,00:00,4.4
01/29/23,00:00,3.9
01/30/23,00:00,3.9
01/31/23,00:00,4.5
02/01/23,00:00,4.4
02/02/23,00:00,4.5
02/03/23,00:00,3.9
02/04/23,00:00,4.5
02/05/23,00:00,4.8
02/06/23,00:00,4.4
02/07/23,00:00,4.7
02/08/23,00:00,4.9
02/09/23,00:00,5.0
02/10/23,00:00,4.4
02/11/23,00:00,3.1
02/12/23,00:00,4.3
02/13/23,00:00,4.4
02/14/23,00:00,3.6
02/15/23,00:00,3.5
02/16/23,00:00,4.1
02/17/23,00:00,4.1
02/18/23,00:00,4.3
02/19/23,00:00,4.0
02/20/23,00:00,4.4
02/21/23,00:00,4.0
02/22/23,00:00,3.6
02/23/23,00:00,5.1
02/24/23,00:00,4.7
02/25/23,00:00,4.0
02/26/23,00:00,4.0
02/27/23,00:00,4.1
02/28/23,00:00,4.0
03/01/23,00:00,4.4
03/02/23,00:00,4.3
03/03/23,00:00,3.9
03/04/23,00:00,4.3
03/05/23,00:00,3.8
03/06/23,00:00,3.5
03/07/23,00:00,3.9
03/08/23,00:00,4.0
03/09/23,00:00,4.8
03/10/23,00:00,4.4
03/11/23,00:00,4.3
03/12/23,00:00,5.0
03/13/23,00:00,4.1
03/14/23,00:00,4.3
03/15/23,00:00,3.9
03/16/23,00:00,4.4
03/17/23,00:00,4.9
03/18/23,00:00,4.5
03/19/23,00:00,5.0
03/20/23,00:00,4.0
03/21/23,00:00,3.9
03/22/23,00:00,4.6
03/23/23,00:00,4.0
03/24/23,00:00,4.3
03/25/23,00:00,4.4
03/26/23,00:00,4.6
03/27/23,00:00,4.2
03/28/23,00:00,4.6
03/29/23,00:00,4.4
03/30/23,00:00,4.5
03/31/23,00:00,4.8
04/01/23,00:00,4.6
04/02/23,00:00,4.7
04/03/23,00:00,4.1
04/04/23,00:00,5.0
04/05/23,00:00,4.6
04/06/23,00:00,4.5
04/07/23,00:00,4.6
04/08/23,00:00,4.3
04/09/23,00:00,4.4
04/10/23,00:00,4.9
04/11/23,00:00,5.1
04/12/23,00:00,5.0
04/13/23,00:00,4.5
04/14/23,00:00,4.4
04/15/23,00:00,4.9
04/16/23,00:00,4.8
04/17/23,00:00,2.6
04/18/23,00:00,3.0
04/19/23,00:00,3.9
04/20/23,00:00,4.7
04/21/23,00:00,5.9
04/22/23,00:00,6.0
04/23/23,00:00,5.3
04/24/23,00:00,4.0
04/25/23,00:00,4.8
04/26/23,00:00,4.7
04/27/23,00:00,5.0
04/28/23,00:00,4.9
04/29/23,00:00,4.6
04/30/23,00:00,5.6
05/01/23,00:00,4.8
05/02/23,00:00,4.8
05/03/23,00:00,4.1
05/04/23,00:00,5.2
05/05/23,00:00,4.4
05/06/23,00:00,4.7
05/07/23,00:00,4.9
05/08/23,00:00,5.4
05/09/23,00:00,5.5
05/10/23,00:00,5.3
05/11/23,00:00,5.1
05/12/23,00:00,5.3
05/13/23,00:00,5.3
05/14/23,00:00,5.3
05/15/23,00:00,5.5
05/16/23,00:00,5.6
05/17/23,00:00,5.3
05/18/23,00:00,5.9
05/19/23,00:00,5.9
05/20/23,00:00,5.4
05/21/23,00:00,5.6
05/22/23,00:00,5.9
05/23/23,00:00,6.5
05/24/23,00:00,6.2
05/25/23,00:00,4.8
05/26/23,00:00,5.5
05/27/23,00:00,6.0
05/28/23,00:00,6.2
05/29/23,00:00,5.3
05/30/23,00:00,5.6
05/31/23,00:00,5.9
06/01/23,00:00,6.5
06/02/23,00:00,6.5
06/03/23,00:00,6.5
06/04/23,00:00,6.4
06/05/23,00:00,5.9
06/06/23,00:00,6.2
06/07/23,00:00,6.5
06/08/23,00:00,6.4
06/09/23,00:00,6.0
06/10/23,00:00,6.0
06/11/23,00:00,5.9
06/12/23,00:00,6.5
06/13/23,00:00,6.4
06/14/23,00:00,6.3
06/15/23,00:00,6.0
06/16/23,00:00,5.5
06/17/23,00:00,5.5
06/18/23,00:00,5.9
06/19/23,00:00,5.8
06/20/23,00:00,5.2
06/21/23,00:00,5.7
06/22/23,00:00,6.9
06/23/23,00:00,6.5
06/24/23,00:00,6.7
06/25/23,00:00,6.2
06/26/23,00:00,5.9
06/27/23,00:00,6.6
06/28/23,00:00,5.6
06/29/23,00:00,6.1
06/30/23,00:00,5.2
07/01/23,00:00,5.8
07/02/23,00:00,5.7
07/03/23,00:00,5.7
07/04/23,00:00,6.0
07/05/23,00:00,6.0
07/06/23,00:00,5.4
07/07/23,00:00,5.2
07/08/23,00:00,5.0
07/09/23,00:00,5.2
07/10/23,00:00,5.0
07/11/23,00:00,5.2
07/12/23,00:00,5.3
07/13/23,00:00,5.4
07/14/23,00:00,5.0
07/15/23,00:00,4.9
07/16/23,00:00,5.3
07/17/23,00:00,4.9
07/18/23,00:00,5.0
07/19/23,00:00,5.3
07/20/23,00:00,5.3
07/21/23,00:00,4.9
07/22/23,00:00,5.1
07/23/23,00:00,5.3
07/24/23,00:00,5.3
