date,hour,value
01/01/23,00:00,0.578
01/02/23,00:00,0.536
01/03/23,00:00,0.536
01/04/23,00:00,0.578
01/05/23,00:00,0.788
01/06/23,00:00,0.788
01/07/23,00:00,0.746
01/08/23,00:00,0.830
01/09/23,00:00,0.704
01/10/23,00:00,0.620
01/11/23,00:00,0.620
01/12/23,00:00,0.578
01/13/23,00:00,0.662
01/14/23,00:00,0.662
01/15/23,00:00,0.704
01/16/23,00:00,0.578
01/17/23,00:00,0.536
01/18/23,00:00,0.620
01/19/23,00:00,0.578
01/20/23,00:00,0.536
01/21/23,00:00,0.494
01/22/23,00:00,0.620
01/23/23,00:00,0.620
01/24/23,00:00,0.494
01/25/23,00:00,0.578
01/26/23,00:00,0.536
01/27/23,00:00,0.620
01/28/23,00:00,0.494
01/29/23,00:00,0.410
01/30/23,00:00,0.536
01/31/23,00:00,0.410
02/01/23,00:00,0.536
02/02/23,00:00,0.620
02/03/23,00:00,0.578
02/04/23,00:00,0.662
02/05/23,00:00,0.578
02/06/23,00:00,0.494
02/07/23,00:00,0.578
02/08/23,00:00,0.536
02/09/23,00:00,0.494
02/10/23,00:00,0.536
02/11/23,00:00,0.410
02/12/23,00:00,0.452
02/13/23,00:00,0.536
02/14/23,00:00,0.620
02/15/23,00:00,0.578
02/16/23,00:00,0.452
02/17/23,00:00,0.494
02/18/23,00:00,0.494
02/19/23,00:00,0.578
02/20/23,00:00,0.452
02/21/23,00:00,0.494
02/22/23,00:00,0.410
02/23/23,00:00,0.662
02/24/23,00:00,0.704
02/25/23,00:00,0.620
02/26/23,00:00,0.662
02/27/23,00:00,0.578
02/28/23,00:00,0.620
03/01/23,00:00,0.536
03/02/23,00:00,0.536
03/03/23,00:00,0.620
03/04/23,00:00,0.578
03/05/23,00:00,0.536
03/06/23,00:00,0.494
03/07/23,00:00,0.410
03/08/23,00:00,0.536
03/09/23,00:00,0.452
03/10/23,00:00,0.578
03/11/23,00:00,0.620
03/12/23,00:00,0.494
03/13/23,00:00,0.536
03/14/23,00:00,0.410
03/15/23,00:00,0.452
03/16/23,00:00,0.494
03/17/23,00:00,0.620
03/18/23,00:00,0.536
03/19/23,00:00,0.578
03/20/23,00:00,0.494
03/21/23,00:00,0.536
03/22/23,00:00,0.452
03/23/23,00:00,0.410
03/24/23,00:00,0.536
03/25/23,00:00,0.452
03/26/23,00:00,0.579
03/27/23,00:00,0.536
03/28/23,00:00,0.620
03/29/23,00:00,0.494
03/30/23,00:00,0.368
03/31/23,00:00,0.410
04/01/23,00:00,0.536
04/02/23,00:00,0.452
04/03/23,00:00,0.536
04/04/23,00:00,0.452
04/05/23,00:00,0.578
04/06/23,00:00,0.578
04/07/23,00:00,0.494
04/08/23,00:00,0.620
04/09/23,00:00,0.536
04/10/23,00:00,0.494
04/11/23,00:00,0.578
04/12/23,00:00,0.452
04/13/23,00:00,0.536
04/14/23,00:00,0.410
04/15/23,00:00,0.494
04/16/23,00:00,0.578
04/17/23,00:00,0.494
04/18/23,00:00,0.620
04/19/23,00:00,0.536
04/20/23,00:00,0.452
04/21/23,00:00,0.578
04/22/23,00:00,0.620
04/23/23,00:00,0.494
04/24/23,00:00,0.620
04/25/23,00:00,0.452
04/26/23,00:00,0.536
04/27/23,00:00,0.578
04/28/23,00:00,0.662
04/29/23,00:00,0.536
04/30/23,00:00,0.620
05/01/23,00:00,0.578
05/02/23,00:00,0.662
05/03/23,00:00,0.536
05/04/23,00:00,0.662
05/05/23,00:00,0.620
05/06/23,00:00,0.578
05/07/23,00:00,0.494
05/08/23,00:00,0.452
05/09/23,00:00,0.410
05/10/23,00:00,0.494
05/11/23,00:00,0.494
05/12/23,00:00,0.410
05/13/23,00:00,0.410
05/14/23,00:00,0.536
05/15/23,00:00,0.662
05/16/23,00:00,0.578
05/17/23,00:00,0.620
05/18/23,00:00,0.494
05/19/23,00:00,0.536
05/20/23,00:00,0.494
05/21/23,00:00,0.578
05/22/23,00:00,0.536
05/23/23,00:00,0.620
05/24/23,00:00,0.578
05/25/23,00:00,0.452
05/26/23,00:00,0.620
05/27/23,00:00,0.410
05/28/23,00:00,0.494
05/29/23,00:00,0.578
05/30/23,00:00,0.452
05/31/23,00:00,0.536
06/01/23,00:00,0.452
06/02/23,00:00,0.620
06/03/23,00:00,0.494
06/04/23,00:00,0.536
06/05/23,00:00,0.578
06/06/23,00:00,0.410
06/07/23,00:00,0.494
06/08/23,00:00,0.494
06/09/23,00:00,0.620
06/10/23,00:00,0.452
06/11/23,00:00,0.536
06/12/23,00:00,0.494
06/13/23,00:00,0.410
06/14/23,00:00,0.578
06/15/23,00:00,0.452
06/16/23,00:00,0.536
06/17/23,00:00,0.620
06/18/23,00:00,0.494
06/19/23,00:00,0.410
06/20/23,00:00,0.494
06/21/23,00:00,0.452
06/22/23,00:00,0.620
06/23/23,00:00,0.536
06/24/23,00:00,0.494
06/25/23,00:00,0.578
06/26/23,00:00,0.578
06/27/23,00:00,0.662
06/28/23,00:00,0.536
06/29/23,00:00,0.536
06/30/23,00:00,0.452
07/01/23,00:00,0.410
07/02/23,00:00,0.494
07/03/23,00:00,0.494
07/04/23,00:00,0.410
07/05/23,00:00,0.536
07/06/23,00:00,0.578
07/07/23,00:00,0.620
07/08/23,00:00,0.494
07/09/23,00:00,0.452
07/10/23,00:00,0.704
07/11/23,00:00,0.494
07/12/23,00:00,0.662
07/13/23,00:00,0.956
07/14/23,00:00,0.746
07/15/23,00:00,0.872
07/16/23,00:00,1.730
07/20/23,00:00,1.288
07/21/23,00:00,0.746
07/22/23,00:00,1.238
07/23/23,00:00,1.856
07/24/23,00:00,1.730
07/25/23,00:00,1.238
07/26/23,00:00,1.390
