date,hour,value
01/01/23,00:00,130
01/01/23,01:00,135
01/01/23,02:00,130
01/01/23,03:00,136
01/01/23,04:00,137
01/01/23,05:00,134
01/01/23,06:00,135
01/01/23,07:00,135
01/01/23,08:00,134
01/01/23,09:00,138
01/01/23,10:00,132
01/01/23,11:00,136
01/01/23,12:00,137
01/01/23,13:00,135
01/01/23,14:00,134
01/01/23,15:00,134
01/01/23,16:00,137
01/01/23,17:00,135
01/01/23,18:00,136
01/01/23,19:00,138
01/01/23,20:00,138
01/01/23,21:00,129
01/01/23,22:00,131
01/01/23,23:00,136
01/02/23,00:00,137
01/02/23,01:00,135
01/02/23,02:00,138
01/02/23,03:00,135
01/02/23,04:00,134
01/02/23,05:00,136
01/02/23,06:00,134
01/02/23,07:00,137
01/02/23,08:00,136
01/02/23,09:00,135
01/02/23,10:00,135
01/02/23,11:00,129
01/02/23,12:00,129
01/02/23,13:00,132
01/02/23,14:00,136
01/02/23,15:00,135
01/02/23,16:00,134
01/02/23,17:00,133
01/02/23,18:00,129
01/02/23,19:00,128
01/02/23,20:00,130
01/02/23,21:00,132
01/02/23,22:00,133
01/02/23,23:00,136
01/03/23,00:00,136
01/03/23,01:00,134
01/03/23,02:00,134
01/03/23,03:00,137
01/03/23,04:00,134
01/03/23,05:00,134
01/03/23,06:00,134
01/03/23,07:00,133
01/03/23,08:00,134
01/03/23,09:00,130
01/03/23,10:00,131
01/03/23,11:00,134
01/03/23,12:00,137
01/03/23,13:00,134
01/03/23,14:00,133
01/03/23,15:00,129
01/03/23,16:00,124
01/03/23,17:00,131
01/03/23,18:00,133
01/03/23,19:00,133
01/03/23,20:00,138
01/03/23,21:00,135
01/03/23,22:00,134
01/03/23,23:00,136
01/04/23,00:00,137
01/04/23,01:00,135
01/04/23,02:00,136
01/04/23,03:00,134
01/04/23,04:00,136
01/04/23,05:00,134
01/04/23,06:00,138
01/04/23,07:00,135
01/04/23,08:00,136
01/04/23,09:00,134
01/04/23,10:00,132
01/04/23,11:00,134
01/04/23,12:00,135
01/04/23,13:00,133
01/04/23,14:00,136
01/04/23,15:00,134
01/04/23,16:00,135
01/04/23,17:00,127
01/04/23,18:00,135
01/04/23,19:00,136
01/04/23,20:00,134
01/04/23,21:00,135
01/04/23,22:00,135
01/04/23,23:00,137
01/05/23,00:00,133
01/05/23,01:00,134
01/05/23,02:00,136
01/05/23,03:00,131
01/05/23,04:00,135
01/05/23,05:00,138
01/05/23,06:00,134
01/05/23,07:00,138
01/05/23,08:00,134
01/05/23,09:00,136
01/05/23,10:00,135
01/05/23,11:00,134
01/05/23,12:00,132
01/05/23,13:00,130
01/05/23,14:00,135
01/05/23,15:00,135
01/05/23,16:00,133
01/05/23,17:00,138
01/05/23,18:00,136
01/05/23,19:00,137
01/05/23,20:00,134
01/05/23,21:00,133
01/05/23,22:00,131
01/05/23,23:00,133
01/06/23,00:00,134
01/06/23,01:00,135
01/06/23,02:00,133
01/06/23,03:00,134
01/06/23,04:00,136
01/06/23,05:00,135
01/06/23,06:00,137
01/06/23,07:00,140
01/06/23,08:00,140
01/06/23,09:00,131
01/06/23,10:00,134
01/06/23,11:00,134
01/06/23,12:00,136
01/06/23,13:00,135
01/06/23,14:00,135
01/06/23,15:00,136
01/06/23,16:00,138
01/06/23,17:00,139
01/06/23,18:00,136
01/06/23,19:00,139
01/06/23,20:00,130
01/06/23,21:00,132
01/06/23,22:00,135
01/06/23,23:00,133
01/07/23,00:00,134
01/07/23,01:00,135
01/07/23,02:00,136
01/07/23,03:00,135
01/07/23,04:00,133
01/07/23,05:00,134
01/07/23,06:00,136
01/07/23,07:00,137
01/07/23,08:00,134
01/07/23,09:00,134
01/07/23,10:00,134
01/07/23,11:00,137
01/07/23,12:00,137
01/07/23,13:00,134
01/07/23,14:00,136
01/07/23,15:00,130
01/07/23,16:00,136
01/07/23,17:00,136
01/07/23,18:00,135
01/07/23,19:00,134
01/07/23,20:00,137
01/07/23,21:00,133
01/07/23,22:00,134
01/07/23,23:00,134
01/08/23,00:00,135
01/08/23,01:00,134
01/08/23,02:00,137
01/08/23,03:00,136
01/08/23,04:00,137
01/08/23,05:00,134
01/08/23,06:00,137
01/08/23,07:00,138
01/08/23,08:00,134
01/08/23,09:00,133
01/08/23,10:00,135
01/08/23,11:00,136
01/08/23,12:00,137
01/08/23,13:00,136
01/08/23,14:00,138
01/08/23,15:00,138
01/08/23,16:00,137
01/08/23,17:00,135
01/08/23,18:00,136
01/08/23,19:00,136
01/08/23,20:00,137
01/08/23,21:00,136
01/08/23,22:00,133
01/08/23,23:00,135
01/09/23,00:00,137
01/09/23,01:00,133
01/09/23,02:00,134
01/09/23,03:00,136
01/09/23,04:00,133
01/09/23,05:00,134
01/09/23,06:00,136
01/09/23,07:00,136
01/09/23,08:00,136
01/09/23,09:00,134
