date,hour,value
01/01/21,08:00,48856
01/01/21,09:00,48858
01/01/21,10:00,48858
01/01/21,11:00,48858
01/01/21,12:00,48856
01/01/21,13:00,48848
01/01/21,14:00,48846
01/01/21,15:00,48868
01/01/21,16:00,48868
01/01/21,17:00,48858
01/01/21,18:00,48856
01/01/21,19:00,48858
01/01/21,20:00,48856
01/01/21,21:00,48858
01/01/21,22:00,48856
01/01/21,23:00,48858
01/02/21,08:00,48868
01/02/21,09:00,48858
01/02/21,10:00,48856
01/02/21,11:00,48856
01/02/21,12:00,48858
01/02/21,13:00,48856
01/02/21,14:00,48858
01/02/21,15:00,48868
01/02/21,16:00,48866
01/02/21,17:00,48868
01/02/21,18:00,48868
01/02/21,19:00,48866
01/02/21,20:00,48858
01/02/21,21:00,48858
01/02/21,22:00,48858
01/02/21,23:00,48856
01/03/21,08:00,48858
01/03/21,09:00,48856
01/03/21,10:00,48858
01/03/21,11:00,48848
01/03/21,12:00,48846
01/03/21,13:00,48848
01/03/21,14:00,48858
01/03/21,15:00,48858
01/03/21,16:00,48856
01/03/21,17:00,48856
01/03/21,18:00,48868
01/03/21,19:00,48866
01/03/21,20:00,48868
01/03/21,21:00,48868
01/03/21,22:00,48866
01/03/21,23:00,48868
01/04/21,08:00,48858
01/04/21,09:00,48856
01/04/21,10:00,48858
01/04/21,11:00,48856
01/04/21,12:00,48856
01/04/21,13:00,48858
01/04/21,14:00,48848
01/04/21,15:00,48846
01/04/21,16:00,48858
01/04/21,17:00,48856
01/04/21,18:00,48856
01/04/21,19:00,48868
01/04/21,20:00,48868
01/04/21,21:00,48866
01/04/21,22:00,48868
01/04/21,23:00,48856
01/05/21,08:00,48856
01/05/21,09:00,48856
01/05/21,10:00,48858
01/05/21,11:00,48858
01/05/21,12:00,48856
01/05/21,13:00,48858
01/05/21,14:00,48858
01/05/21,15:00,48848
01/05/21,16:00,48846
01/05/21,17:00,48846
01/05/21,18:00,48848
01/05/21,19:00,48858
01/05/21,20:00,48856
01/05/21,21:00,48866
01/05/21,22:00,48868
01/05/21,23:00,48868
01/06/21,08:00,48858
01/06/21,09:00,48856
01/06/21,10:00,48858
01/06/21,11:00,48856
01/06/21,12:00,48858
01/06/21,13:00,48856
01/06/21,14:00,48858
01/06/21,15:00,48856
01/06/21,16:00,48858
01/06/21,17:00,48848
01/06/21,18:00,48848
01/06/21,19:00,48846
01/06/21,20:00,48848
01/06/21,21:00,48846
01/06/21,22:00,48868
01/06/21,23:00,48868
01/07/21,08:00,48858
01/07/21,09:00,48856
01/07/21,10:00,48858
01/07/21,11:00,48858
01/07/21,12:00,48858
01/07/21,13:00,48856
01/07/21,14:00,48856
01/07/21,15:00,48858
01/07/21,16:00,48848
01/07/21,17:00,48848
01/07/21,18:00,48866
01/07/21,19:00,48868
01/07/21,20:00,48868
01/07/21,21:00,48858
01/07/21,22:00,48858
01/07/21,23:00,48858
01/08/21,08:00,48868
01/08/21,09:00,48866
01/08/21,10:00,48868
01/08/21,11:00,48858
01/08/21,12:00,48858
01/08/21,13:00,48868
01/08/21,14:00,48866
01/08/21,15:00,48868
01/08/21,16:00,48868
01/08/21,17:00,48858
01/08/21,18:00,48856
01/08/21,19:00,48858
01/08/21,20:00,48858
01/08/21,21:00,48856
01/08/21,22:00,48856
01/08/21,23:00,48858
01/09/21,08:00,48858
01/09/21,09:00,48858
01/09/21,10:00,48868
01/09/21,11:00,48858
01/09/21,12:00,48858
01/09/21,13:00,48858
01/09/21,14:00,48856
01/09/21,15:00,48856
01/09/21,16:00,48856
01/09/21,17:00,48858
01/09/21,18:00,48866
01/09/21,19:00,48868
01/09/21,20:00,48868
01/09/21,21:00,48868
01/09/21,22:00,48868
01/09/21,23:00,48866
01/10/21,08:00,48868
01/10/21,09:00,48866
01/10/21,10:00,48868
01/10/21,11:00,48868
01/10/21,12:00,48868
01/10/21,13:00,48866
01/10/21,14:00,48868
01/10/21,15:00,48856
01/10/21,16:00,48856
01/10/21,17:00,48868
01/10/21,18:00,48858
01/10/21,19:00,48858
01/10/21,20:00,48856
01/10/21,21:00,48868
01/10/21,22:00,48868
01/10/21,23:00,48868
01/11/21,08:00,48866
01/11/21,09:00,48868
01/11/21,10:00,48868
01/11/21,11:00,48866
01/11/21,12:00,48858
01/11/21,13:00,48858
01/11/21,14:00,48856
01/11/21,15:00,48858
01/11/21,16:00,48856
01/11/21,17:00,48858
01/11/21,18:00,48858
01/11/21,19:00,48856
01/11/21,20:00,48858
01/11/21,21:00,48858
01/11/21,22:00,48858
01/11/21,23:00,48856
01/12/21,08:00,48858
01/12/21,09:00,48858
01/12/21,10:00,48856
01/12/21,11:00,48858
01/12/21,12:00,48858
01/12/21,13:00,48856
01/12/21,14:00,48868
01/12/21,15:00,48868
01/12/21,16:00,48866
01/12/21,17:00,48868
01/12/21,18:00,48858
01/12/21,19:00,48856
01/12/21,20:00,48858
01/12/21,21:00,48856
01/12/21,22:00,48858
01/12/21,23:00,48858
01/13/21,08:00,48858
01/13/21,09:00,48856
01/13/21,10:00,48858
01/13/21,11:00,48858
01/13/21,12:00,48856
01/13/21,13:00,48856
01/13/21,14:00,48858
01/13/21,15:00,48858
01/13/21,16:00,48848
01/13/21,17:00,48848
01/13/21,18:00,48846
01/13/21,19:00,48858
01/13/21,20:00,48858
01/13/21,21:00,48856
01/13/21,22:00,48858
01/13/21,23:00,48858
01/14/21,08:00,48868
01/14/21,09:00,48868
01/14/21,10:00,48858
01/14/21,11:00,48858
01/14/21,12:00,48856
01/14/21,13:00,48856
01/14/21,14:00,48868
01/14/21,15:00,48868
01/14/21,16:00,48866
01/14/21,17:00,48858
01/14/21,18:00,48858
01/14/21,19:00,48856
01/14/21,20:00,48858
01/14/21,21:00,48858
01/14/21,22:00,48858
01/14/21,23:00,48856
01/15/21,08:00,48858
01/15/21,09:00,48868
01/15/21,10:00,48866
01/15/21,11:00,48866
01/15/21,12:00,48868
01/15/21,13:00,48868
01/15/21,14:00,48868
01/15/21,15:00,48858
01/15/21,16:00,48856
01/15/21,17:00,48858
01/15/21,18:00,48858
01/15/21,19:00,48868
01/15/21,20:00,48868
01/15/21,21:00,48866
01/15/21,22:00,48868
01/15/21,23:00,48868
01/16/21,08:00,48868
01/16/21,09:00,48866
01/16/21,10:00,48858
01/16/21,11:00,48858
01/16/21,12:00,48868
01/16/21,13:00,48868
01/16/21,14:00,48868
01/16/21,15:00,48868
01/16/21,16:00,48868
01/16/21,17:00,48856
01/16/21,18:00,48858
01/16/21,19:00,48858
01/16/21,20:00,48868
01/16/21,21:00,48866
01/16/21,22:00,48858
01/16/21,23:00,48858
01/17/21,08:00,48866
01/17/21,09:00,48868
01/17/21,10:00,48868
01/17/21,11:00,48868
01/17/21,12:00,48866
01/17/21,13:00,48868
01/17/21,14:00,48868
01/17/21,15:00,48858
01/17/21,16:00,48858
01/17/21,17:00,48856
01/17/21,18:00,48868
01/17/21,19:00,48866
01/17/21,20:00,48868
01/17/21,21:00,48866
01/17/21,22:00,48868
01/17/21,23:00,48868
01/18/21,08:00,48868
01/18/21,09:00,48866
01/18/21,10:00,48868
01/18/21,11:00,48868
01/18/21,12:00,48868
01/18/21,13:00,48868
01/18/21,14:00,48858
01/18/21,15:00,48858
01/18/21,16:00,48856
01/18/21,17:00,48856
01/18/21,18:00,48858
01/18/21,19:00,48858
01/18/21,20:00,48868
01/18/21,21:00,48866
01/18/21,22:00,48868
01/18/21,23:00,48858
01/19/21,08:00,48868
01/19/21,09:00,48866
01/19/21,10:00,48868
01/19/21,11:00,48868
01/19/21,12:00,48866
01/19/21,13:00,48866
01/19/21,14:00,48868
01/19/21,15:00,48866
01/19/21,16:00,48858
01/19/21,17:00,48856
01/19/21,18:00,48858
01/19/21,19:00,48868
01/19/21,20:00,48868
01/19/21,21:00,48866
01/19/21,22:00,48868
01/19/21,23:00,48868
01/20/21,08:00,48868
01/20/21,09:00,48858
01/20/21,10:00,48856
01/20/21,11:00,48858
01/20/21,12:00,48856
01/20/21,13:00,48868
01/20/21,14:00,48866
01/20/21,15:00,48868
01/20/21,16:00,48866
01/20/21,17:00,48868
01/20/21,18:00,48868
01/20/21,19:00,48858
01/20/21,20:00,48858
01/20/21,21:00,48868
01/20/21,22:00,48866
01/20/21,23:00,48868
01/21/21,08:00,48868
01/21/21,09:00,48868
01/21/21,10:00,48866
01/21/21,11:00,48858
01/21/21,12:00,48858
01/21/21,13:00,48856
01/21/21,14:00,48858
01/21/21,15:00,48858
01/21/21,16:00,48856
01/21/21,17:00,48866
01/21/21,18:00,48868
01/21/21,19:00,48868
01/21/21,20:00,48866
01/21/21,21:00,48868
01/21/21,22:00,48866
01/21/21,23:00,48868
