date,hour,value
01/01/21,00:00,305
01/01/21,01:00,305
01/01/21,02:00,306
01/01/21,03:00,307
01/01/21,04:00,313
01/01/21,05:00,314
01/01/21,06:00,316
01/01/21,07:00,316
01/01/21,08:00,301
01/01/21,09:00,304
01/01/21,10:00,304
01/01/21,11:00,305
01/01/21,12:00,306
01/01/21,13:00,292
01/01/21,14:00,293
01/01/21,15:00,295
01/01/21,16:00,296
01/01/21,17:00,298
01/01/21,18:00,301
01/01/21,19:00,302
01/01/21,20:00,304
01/01/21,21:00,306
01/01/21,22:00,306
01/01/21,23:00,314
01/02/21,00:00,315
01/02/21,01:00,316
01/02/21,02:00,317
01/02/21,03:00,302
01/02/21,04:00,304
01/02/21,05:00,305
01/02/21,06:00,307
01/02/21,07:00,311
01/02/21,08:00,313
01/02/21,09:00,315
01/02/21,10:00,316
01/02/21,11:00,318
01/02/21,12:00,303
01/02/21,13:00,305
01/02/21,14:00,305
01/02/21,15:00,306
01/02/21,16:00,308
01/02/21,17:00,292
01/02/21,18:00,293
01/02/21,19:00,294
01/02/21,20:00,297
01/02/21,21:00,297
01/02/21,22:00,302
01/02/21,23:00,302
01/03/21,00:00,303
01/03/21,01:00,305
01/03/21,02:00,305
01/03/21,03:00,306
01/03/21,04:00,293
01/03/21,05:00,295
01/03/21,06:00,296
01/03/21,07:00,297
01/03/21,08:00,297
01/03/21,09:00,301
01/03/21,10:00,303
01/03/21,11:00,305
01/03/21,12:00,305
01/03/21,13:00,307
01/03/21,14:00,292
01/03/21,15:00,294
01/03/21,16:00,295
01/03/21,17:00,297
01/03/21,18:00,297
01/03/21,19:00,302
01/03/21,20:00,302
01/03/21,21:00,305
01/03/21,22:00,306
01/03/21,23:00,308
01/04/21,00:00,303
01/04/21,01:00,303
01/04/21,02:00,305
01/04/21,03:00,305
01/04/21,04:00,312
01/04/21,05:00,313
01/04/21,06:00,315
01/04/21,07:00,316
01/04/21,08:00,311
01/04/21,09:00,303
01/04/21,10:00,304
01/04/21,11:00,306
01/04/21,12:00,312
01/04/21,13:00,312
01/04/21,14:00,315
01/04/21,15:00,317
01/04/21,16:00,317
01/04/21,17:00,303
01/04/21,18:00,304
01/04/21,19:00,305
01/04/21,20:00,306
01/04/21,21:00,293
01/04/21,22:00,294
01/04/21,23:00,296
01/05/21,00:00,297
01/05/21,01:00,302
01/05/21,02:00,303
01/05/21,03:00,304
01/05/21,04:00,306
01/05/21,05:00,292
01/05/21,06:00,293
01/05/21,07:00,294
01/05/21,08:00,296
01/05/21,09:00,304
01/05/21,10:00,305
01/05/21,11:00,306
01/05/21,12:00,293
01/05/21,13:00,293
01/05/21,14:00,295
01/05/21,15:00,296
01/05/21,16:00,297
01/05/21,17:00,302
01/05/21,18:00,304
01/05/21,19:00,305
01/05/21,20:00,305
01/05/21,21:00,312
01/05/21,22:00,314
01/05/21,23:00,314
01/06/21,00:00,316
01/06/21,01:00,316
01/06/21,02:00,301
01/06/21,03:00,302
01/06/21,04:00,305
01/06/21,05:00,307
01/06/21,06:00,307
01/06/21,07:00,311
01/06/21,08:00,314
01/06/21,09:00,315
01/06/21,10:00,302
01/06/21,11:00,303
01/06/21,12:00,304
01/06/21,13:00,305
01/06/21,14:00,306
01/06/21,15:00,312
01/06/21,16:00,314
01/06/21,17:00,315
01/06/21,18:00,317
01/06/21,19:00,317
01/06/21,20:00,301
01/06/21,21:00,304
01/06/21,22:00,304
01/06/21,23:00,306
01/07/21,00:00,307
01/07/21,01:00,312
01/07/21,02:00,312
01/07/21,03:00,315
01/07/21,04:00,316
01/07/21,05:00,302
01/07/21,06:00,304
01/07/21,07:00,306
01/07/21,08:00,307
01/07/21,09:00,311
01/07/21,10:00,314
01/07/21,11:00,314
01/07/21,12:00,317
01/07/21,13:00,302
01/07/21,14:00,303
01/07/21,15:00,305
01/07/21,16:00,306
01/07/21,17:00,307
01/07/21,18:00,293
01/07/21,19:00,294
01/07/21,20:00,294
01/07/21,21:00,295
01/07/21,22:00,297
01/07/21,23:00,302
01/08/21,00:00,304
01/08/21,01:00,305
01/08/21,02:00,307
01/08/21,03:00,308
01/08/21,04:00,308
01/08/21,05:00,312
01/08/21,06:00,312
01/08/21,07:00,314
01/08/21,08:00,316
01/08/21,09:00,303
01/08/21,10:00,304
01/08/21,11:00,307
01/08/21,12:00,307
01/08/21,13:00,294
01/08/21,14:00,294
01/08/21,15:00,297
01/08/21,16:00,297
01/08/21,17:00,302
01/08/21,18:00,303
01/08/21,19:00,305
01/08/21,20:00,306
01/08/21,21:00,311
01/08/21,22:00,313
01/08/21,23:00,314
01/09/21,00:00,316
01/09/21,01:00,318
01/09/21,02:00,301
01/09/21,03:00,302
01/09/21,04:00,305
01/09/21,05:00,305
01/09/21,06:00,308
01/09/21,07:00,311
01/09/21,08:00,312
01/09/21,09:00,314
01/09/21,10:00,316
01/09/21,11:00,301
01/09/21,12:00,302
01/09/21,13:00,305
01/09/21,14:00,305
01/09/21,15:00,307
01/09/21,16:00,293
01/09/21,17:00,295
01/09/21,18:00,296
01/09/21,19:00,298
01/09/21,20:00,298
01/09/21,21:00,302
01/09/21,22:00,303
01/09/21,23:00,305
01/10/21,00:00,307
01/10/21,01:00,308
01/10/21,02:00,312
01/10/21,03:00,314
01/10/21,04:00,316
01/10/21,05:00,318
01/10/21,06:00,302
01/10/21,07:00,302
01/10/21,08:00,305
01/10/21,09:00,305
01/10/21,10:00,311
01/10/21,11:00,313
01/10/21,12:00,316
01/10/21,13:00,316
01/10/21,14:00,302
01/10/21,15:00,304
01/10/21,16:00,304
01/10/21,17:00,306
01/10/21,18:00,308
01/10/21,19:00,292
01/10/21,20:00,294
01/10/21,21:00,299
01/10/21,22:00,297
01/10/21,23:00,298
01/11/21,00:00,302
01/11/21,01:00,304
01/11/21,02:00,305
01/11/21,03:00,307
01/11/21,04:00,293
01/11/21,05:00,294
01/11/21,06:00,296
01/11/21,07:00,298
01/11/21,08:00,301
01/11/21,09:00,303
01/11/21,10:00,304
01/11/21,11:00,307
01/11/21,12:00,292
01/11/21,13:00,295
01/11/21,14:00,295
01/11/21,15:00,296
01/11/21,16:00,297
01/11/21,17:00,302
01/11/21,18:00,303
01/11/21,19:00,304
01/11/21,20:00,305
01/11/21,21:00,307
01/11/21,22:00,312
01/11/21,23:00,313
01/12/21,00:00,314
01/12/21,01:00,314
01/12/21,02:00,316
