date,hour,value
01/01/21,08:00,49299.57
01/01/21,09:00,49299.37
01/01/21,10:00,49298.96
01/01/21,11:00,49296.09
01/01/21,12:00,49292.44
01/01/21,13:00,49298.41
01/01/21,14:00,49304.87
01/01/21,15:00,49308.34
01/01/21,16:00,49306.85
01/01/21,17:00,49300.22
01/01/21,18:00,49298.86
01/01/21,19:00,49299.89
01/01/21,20:00,49296.64
01/01/21,21:00,49297.79
01/01/21,22:00,49299.32
01/01/21,23:00,49299.64
01/02/21,08:00,49300.03
01/02/21,09:00,49299.71
01/02/21,10:00,49295.53
01/02/21,11:00,49289.30
01/02/21,12:00,49285.40
01/02/21,13:00,49288.57
01/02/21,14:00,49296.98
01/04/21,08:00,49282.51
01/04/21,09:00,49282.70
01/04/21,10:00,49287.19
01/04/21,11:00,49297.00
01/04/21,12:00,49302.92
01/04/21,13:00,49302.56
01/04/21,14:00,49299.42
01/04/21,15:00,49298.90
01/04/21,16:00,49298.36
01/04/21,17:00,49299.50
01/04/21,18:00,49300.89
01/04/21,19:00,49301.91
01/05/21,08:00,49304.45
01/05/21,09:00,49302.15
01/05/21,10:00,49294.37
01/05/21,11:00,49289.73
01/05/21,12:00,49279.77
01/05/21,13:00,49285.37
01/05/21,14:00,49292.55
01/05/21,15:00,49302.15
01/05/21,16:00,49308.41
01/05/21,17:00,49307.34
01/05/21,18:00,49290.36
01/05/21,19:00,49296.35
01/05/21,20:00,49293.88
01/05/21,21:00,49296.42
01/05/21,22:00,49299.97
01/05/21,23:00,49297.76
01/06/21,08:00,49297.95
01/06/21,09:00,49295.43
01/06/21,10:00,49289.72
01/06/21,11:00,49291.84
01/06/21,12:00,49294.80
01/06/21,13:00,49290.73
01/06/21,14:00,49291.10
01/06/21,15:00,49296.12
01/06/21,16:00,49300.26
01/06/21,17:00,49297.86
01/06/21,18:00,49292.16
01/06/21,19:00,49293.55
01/06/21,20:00,49294.80
01/06/21,21:00,49300.38
01/06/21,22:00,49299.16
01/06/21,23:00,49296.70
01/07/21,08:00,49298.32
01/07/21,09:00,49301.94
01/07/21,10:00,49299.96
01/07/21,11:00,49295.32
01/07/21,12:00,49294.52
01/07/21,13:00,49298.14
01/07/21,14:00,49301.97
01/07/21,15:00,49303.52
01/07/21,16:00,49304.92
01/07/21,17:00,49300.04
01/07/21,18:00,49299.25
01/07/21,19:00,49298.35
01/07/21,20:00,49299.20
01/07/21,21:00,49298.10
01/07/21,22:00,49296.52
01/07/21,23:00,49295.92
01/08/21,08:00,49300.00
01/08/21,09:00,49303.93
01/08/21,10:00,49303.57
01/08/21,11:00,49296.71
01/08/21,12:00,49297.02
01/08/21,13:00,49302.38
01/08/21,14:00,49303.69
01/08/21,15:00,49299.07
01/08/21,16:00,49297.38
01/08/21,17:00,49295.90
01/08/21,18:00,49299.75
01/08/21,19:00,49299.76
01/08/21,20:00,49299.90
01/08/21,21:00,49299.44
01/08/21,22:00,49299.75
01/08/21,23:00,49300.60
01/09/21,08:00,49299.84
01/09/21,09:00,49299.26
01/09/21,10:00,49303.95
01/09/21,11:00,49300.57
01/09/21,12:00,49298.66
01/09/21,13:00,49295.20
01/09/21,14:00,49289.02
01/09/21,15:00,49289.89
01/09/21,16:00,49295.60
01/09/21,17:00,49301.20
01/09/21,18:00,49300.64
01/09/21,19:00,49301.23
01/09/21,20:00,49300.14
01/09/21,21:00,49299.94
01/09/21,22:00,49299.71
01/09/21,23:00,49299.40
01/10/21,08:00,49300.95
01/10/21,09:00,49302.90
01/10/21,10:00,49304.34
01/10/21,11:00,49300.91
01/10/21,12:00,49300.63
01/10/21,13:00,49300.50
01/10/21,14:00,49301.55
01/10/21,15:00,49299.51
01/10/21,16:00,49299.42
01/10/21,17:00,49301.22
01/10/21,18:00,49301.15
01/10/21,19:00,49300.52
01/10/21,20:00,49299.45
01/10/21,21:00,49298.29
01/10/21,22:00,49296.39
01/10/21,23:00,49297.60
01/11/21,08:00,49302.13
01/11/21,09:00,49304.17
01/11/21,10:00,49305.82
01/11/21,11:00,49302.36
01/11/21,12:00,49297.77
01/11/21,13:00,49296.52
01/11/21,14:00,49304.31
01/11/21,15:00,49305.99
01/11/21,16:00,49312.61
01/11/21,17:00,49308.50
01/11/21,18:00,49306.54
01/11/21,19:00,49282.28
01/11/21,20:00,49276.13
01/11/21,21:00,49276.89
01/11/21,22:00,49280.20
01/11/21,23:00,49288.18
01/12/21,08:00,49295.83
01/12/21,09:00,49299.50
01/12/21,10:00,49299.75
01/12/21,11:00,49297.47
01/12/21,12:00,49294.46
01/12/21,13:00,49297.94
01/12/21,14:00,49292.61
01/12/21,15:00,49290.07
01/12/21,16:00,49294.66
01/12/21,17:00,49293.77
01/12/21,18:00,49294.38
01/12/21,19:00,49294.47
01/12/21,20:00,49296.36
01/12/21,21:00,49297.58
01/12/21,22:00,49297.69
01/12/21,23:00,49298.25
01/13/21,08:00,49301.31
01/13/21,09:00,49301.56
01/13/21,10:00,49300.72
01/13/21,11:00,49297.80
01/13/21,12:00,49296.57
01/13/21,13:00,49296.64
01/13/21,14:00,49296.36
01/13/21,15:00,49295.50
01/13/21,16:00,49292.68
01/13/21,17:00,49291.72
01/13/21,18:00,49294.88
01/13/21,19:00,49295.49
01/13/21,20:00,49297.08
01/13/21,21:00,49297.33
01/13/21,22:00,49297.18
01/13/21,23:00,49298.72
01/14/21,08:00,49304.38
01/14/21,09:00,49303.04
