date,hour,value
06/15/22,07:00,469
06/15/22,08:00,473
06/15/22,09:00,481
06/15/22,10:00,476
06/15/22,11:00,478
06/15/22,12:00,482
06/15/22,13:00,486
06/15/22,14:00,484
06/15/22,15:00,491
06/15/22,16:00,497
06/15/22,17:00,502
06/15/22,18:00,504
06/16/22,07:00,493
06/16/22,08:00,484
06/16/22,09:00,496
06/16/22,10:00,504
06/16/22,11:00,507
06/16/22,12:00,501
06/16/22,13:00,492
06/16/22,14:00,497
06/16/22,15:00,502
06/16/22,16:00,486
06/16/22,17:00,484
06/16/22,18:00,501
06/16/22,19:00,471
06/16/22,20:00,427
06/16/22,21:00,474
06/16/22,22:00,456
06/16/22,23:00,460
06/17/22,07:00,467
06/17/22,08:00,408
06/17/22,09:00,406
06/17/22,10:00,414
06/17/22,11:00,418
06/17/22,12:00,414
06/17/22,13:00,406
06/17/22,14:00,406
06/17/22,15:00,414
06/17/22,16:00,432
06/17/22,17:00,427
06/17/22,18:00,425
06/17/22,19:00,419
06/17/22,20:00,426
06/17/22,21:00,405
06/17/22,22:00,410
06/17/22,23:00,412
06/18/22,07:00,406
06/18/22,08:00,404
06/18/22,09:00,409
06/18/22,10:00,398
06/18/22,11:00,376
06/18/22,12:00,382
06/18/22,13:00,385
06/18/22,14:00,390
06/18/22,15:00,381
06/18/22,16:00,377
06/18/22,17:00,389
06/18/22,18:00,385
06/18/22,19:00,386
06/18/22,20:00,393
06/18/22,21:00,396
06/18/22,22:00,392
06/18/22,23:00,387
06/19/22,07:00,385
06/19/22,08:00,398
06/19/22,09:00,405
06/19/22,10:00,422
06/19/22,11:00,434
06/19/22,12:00,432
06/19/22,13:00,426
06/19/22,14:00,428
06/19/22,15:00,422
06/19/22,16:00,417
06/19/22,17:00,414
06/19/22,18:00,426
06/19/22,19:00,432
06/19/22,20:00,450
06/19/22,21:00,444
06/19/22,22:00,438
06/19/22,23:00,433
06/20/22,07:00,432
06/20/22,08:00,378
06/20/22,09:00,390
06/20/22,10:00,384
06/20/22,11:00,376
06/20/22,12:00,375
06/20/22,13:00,379
06/20/22,14:00,373
06/20/22,15:00,366
06/20/22,16:00,366
06/20/22,17:00,368
06/20/22,18:00,362
06/20/22,19:00,359
06/20/22,20:00,361
06/20/22,21:00,356
06/20/22,22:00,353
06/20/22,23:00,356
06/21/22,07:00,357
06/21/22,08:00,381
06/21/22,09:00,376
06/21/22,10:00,371
06/21/22,11:00,367
06/21/22,12:00,364
06/21/22,13:00,367
06/21/22,14:00,362
06/21/22,15:00,369
06/21/22,16:00,364
06/21/22,17:00,356
06/21/22,18:00,359
06/21/22,19:00,361
06/21/22,20:00,357
06/21/22,21:00,354
06/21/22,22:00,355
06/21/22,23:00,358
06/22/22,07:00,362
06/22/22,08:00,374
06/22/22,09:00,392
06/22/22,10:00,387
06/22/22,11:00,384
06/22/22,12:00,386
06/22/22,13:00,379
06/22/22,14:00,382
06/22/22,15:00,377
06/22/22,16:00,374
06/22/22,17:00,380
06/22/22,18:00,382
06/22/22,19:00,377
06/22/22,20:00,372
06/22/22,21:00,368
06/22/22,22:00,365
06/22/22,23:00,369
06/23/22,07:00,366
06/23/22,08:00,359
06/23/22,09:00,363
06/23/22,10:00,365
06/23/22,11:00,360
06/23/22,12:00,356
06/23/22,13:00,359
06/23/22,14:00,362
06/23/22,15:00,364
06/23/22,16:00,360
06/23/22,17:00,357
06/23/22,18:00,354
06/23/22,19:00,358
06/23/22,20:00,362
06/23/22,21:00,366
06/23/22,22:00,361
06/23/22,23:00,358
06/24/22,07:00,355
06/24/22,08:00,353
06/24/22,09:00,358
06/24/22,10:00,361
06/24/22,11:00,364
06/24/22,12:00,361
06/24/22,13:00,357
06/24/22,14:00,353
06/24/22,15:00,357
06/24/22,16:00,360
06/24/22,17:00,362
06/24/22,18:00,365
06/24/22,19:00,361
06/24/22,20:00,359
06/24/22,21:00,355
06/24/22,22:00,354
06/24/22,23:00,356
06/25/22,07:00,360
06/25/22,08:00,356
06/25/22,09:00,358
06/25/22,10:00,363
06/25/22,11:00,358
06/25/22,12:00,355
06/25/22,13:00,359
06/25/22,14:00,361
06/25/22,15:00,364
06/25/22,16:00,352
06/25/22,17:00,358
06/25/22,18:00,356
06/25/22,19:00,352
06/25/22,20:00,356
06/25/22,21:00,361
06/25/22,22:00,363
06/25/22,23:00,357
06/26/22,07:00,355
06/26/22,08:00,353
06/26/22,09:00,356
06/26/22,10:00,359
06/26/22,11:00,363
06/26/22,12:00,364
06/26/22,13:00,368
06/26/22,14:00,364
06/26/22,15:00,357
06/26/22,16:00,353
06/26/22,17:00,359
06/26/22,18:00,362
06/26/22,19:00,366
06/26/22,20:00,363
06/26/22,21:00,357
06/26/22,22:00,354
06/26/22,23:00,356
06/27/22,07:00,359
06/27/22,08:00,346
06/27/22,09:00,348
06/27/22,10:00,339
06/27/22,11:00,343
06/27/22,12:00,339
06/27/22,13:00,334
06/27/22,14:00,341
06/27/22,15:00,344
06/27/22,16:00,342
06/27/22,17:00,338
06/27/22,18:00,343
06/27/22,19:00,339
06/27/22,20:00,342
06/27/22,21:00,346
06/27/22,22:00,345
06/27/22,23:00,340
06/28/22,07:00,337
06/28/22,08:00,338
06/28/22,09:00,342
06/28/22,10:00,339
06/28/22,11:00,336
06/28/22,12:00,340
06/28/22,13:00,343
06/28/22,14:00,346
06/28/22,15:00,341
06/28/22,16:00,337
06/28/22,17:00,335
06/28/22,18:00,339
06/28/22,19:00,344
06/28/22,20:00,341
06/28/22,21:00,337
06/28/22,22:00,339
06/28/22,23:00,342
06/29/22,07:00,338
06/29/22,08:00,338
06/29/22,09:00,341
06/29/22,10:00,338
06/29/22,11:00,343
06/29/22,12:00,347
06/29/22,13:00,344
06/29/22,14:00,339
06/29/22,15:00,338
06/29/22,16:00,340
06/29/22,17:00,342
06/29/22,18:00,344
06/29/22,19:00,347
06/29/22,20:00,344
06/29/22,21:00,338
06/29/22,22:00,336
06/29/22,23:00,338
06/30/22,07:00,341
06/30/22,08:00,336
06/30/22,09:00,338
06/30/22,10:00,342
06/30/22,11:00,344
06/30/22,12:00,339
06/30/22,13:00,346
06/30/22,14:00,343
06/30/22,15:00,339
06/30/22,16:00,336
06/30/22,17:00,339
06/30/22,18:00,342
06/30/22,19:00,343
06/30/22,20:00,341
06/30/22,21:00,338
06/30/22,22:00,334
06/30/22,23:00,337
07/01/22,07:00,339
07/01/22,08:00,346
07/01/22,09:00,344
07/01/22,10:00,337
07/01/22,11:00,336
07/01/22,12:00,339
07/01/22,13:00,336
07/01/22,14:00,333
07/01/22,15:00,335
07/01/22,16:00,338
07/01/22,17:00,341
07/01/22,18:00,336
07/01/22,19:00,333
07/01/22,20:00,336
07/01/22,21:00,339
07/01/22,22:00,348
07/01/22,23:00,344
07/02/22,07:00,339
07/02/22,08:00,333
07/02/22,09:00,336
07/02/22,10:00,339
07/02/22,11:00,334
07/02/22,12:00,331
07/02/22,13:00,336
07/02/22,14:00,337
07/02/22,15:00,334
07/02/22,16:00,336
07/02/22,17:00,340
07/02/22,18:00,342
07/02/22,19:00,338
07/02/22,20:00,335
07/02/22,21:00,337
07/02/22,22:00,341
07/02/22,23:00,343
07/03/22,07:00,340
07/03/22,08:00,335
07/03/22,09:00,337
07/03/22,10:00,340
07/03/22,11:00,342
