date,hour,value
01/01/21,08:00,340
01/01/21,09:00,339
01/01/21,10:00,338
01/01/21,11:00,340
01/01/21,12:00,337
01/01/21,13:00,335
01/01/21,14:00,346
01/01/21,15:00,343
01/01/21,16:00,344
01/01/21,17:00,339
01/01/21,18:00,337
01/01/21,19:00,338
01/01/21,20:00,337
01/01/21,21:00,337
01/02/21,08:00,352
01/02/21,09:00,354
01/02/21,10:00,351
01/02/21,11:00,353
01/02/21,12:00,351
01/02/21,13:00,347
01/02/21,14:00,347
01/02/21,15:00,346
01/02/21,16:00,343
01/02/21,17:00,342
01/02/21,18:00,343
01/02/21,19:00,345
01/02/21,20:00,346
01/02/21,21:00,343
01/03/21,08:00,347
01/03/21,09:00,347
01/03/21,10:00,344
01/03/21,11:00,346
01/03/21,12:00,346
01/03/21,13:00,348
01/03/21,14:00,345
01/03/21,15:00,343
01/03/21,16:00,345
01/03/21,17:00,343
01/03/21,18:00,342
01/03/21,19:00,344
01/03/21,20:00,345
01/03/21,21:00,346
01/04/21,08:00,340
01/04/21,09:00,339
01/04/21,10:00,337
01/04/21,11:00,337
01/04/21,12:00,340
01/04/21,13:00,336
01/04/21,14:00,336
01/04/21,15:00,344
01/04/21,16:00,345
01/04/21,17:00,345
01/04/21,18:00,343
01/04/21,19:00,343
01/04/21,20:00,342
01/04/21,21:00,345
01/05/21,08:00,350
01/05/21,09:00,348
01/05/21,10:00,348
01/05/21,11:00,345
01/05/21,12:00,345
01/05/21,13:00,343
01/05/21,14:00,346
01/05/21,15:00,345
01/05/21,16:00,343
01/05/21,17:00,341
01/05/21,18:00,345
01/05/21,19:00,346
01/05/21,20:00,344
01/05/21,21:00,346
01/06/21,08:00,339
01/06/21,09:00,336
01/06/21,10:00,340
01/06/21,11:00,337
01/06/21,12:00,337
01/06/21,13:00,333
01/06/21,14:00,331
01/06/21,15:00,335
01/06/21,16:00,336
01/06/21,17:00,340
01/06/21,18:00,346
01/06/21,19:00,342
01/06/21,20:00,345
01/06/21,21:00,346
01/07/21,08:00,347
01/07/21,09:00,346
01/07/21,10:00,346
01/07/21,11:00,344
01/07/21,12:00,344
01/07/21,13:00,371
01/07/21,14:00,345
01/07/21,15:00,342
01/07/21,16:00,347
01/07/21,17:00,348
01/07/21,18:00,346
01/07/21,19:00,346
01/07/21,20:00,347
01/07/21,21:00,348
01/08/21,08:00,356
01/08/21,09:00,353
01/08/21,10:00,351
01/08/21,11:00,353
01/08/21,12:00,348
01/08/21,13:00,346
01/08/21,14:00,345
01/08/21,15:00,343
01/08/21,16:00,346
01/08/21,17:00,343
01/08/21,18:00,347
01/08/21,19:00,348
01/08/21,20:00,345
01/08/21,21:00,346
01/09/21,08:00,346
01/09/21,09:00,347
01/09/21,10:00,345
01/09/21,11:00,347
01/09/21,12:00,349
01/09/21,13:00,347
01/09/21,14:00,343
01/09/21,15:00,346
01/09/21,16:00,345
01/09/21,17:00,348
01/09/21,18:00,343
01/09/21,19:00,347
01/09/21,20:00,347
01/09/21,21:00,344
01/10/21,08:00,340
01/10/21,09:00,339
01/10/21,10:00,337
01/10/21,11:00,338
01/10/21,12:00,337
01/10/21,13:00,340
01/10/21,14:00,338
01/10/21,15:00,338
01/10/21,16:00,337
01/10/21,17:00,336
01/10/21,18:00,344
01/10/21,19:00,343
01/10/21,20:00,344
01/10/21,21:00,342
01/11/21,08:00,344
01/11/21,09:00,344
01/11/21,10:00,346
01/11/21,11:00,336
01/11/21,12:00,337
01/11/21,13:00,334
01/11/21,14:00,337
01/11/21,15:00,338
01/11/21,16:00,336
01/11/21,17:00,335
01/11/21,18:00,337
01/11/21,19:00,339
01/11/21,20:00,337
01/11/21,21:00,336
01/12/21,08:00,337
01/12/21,09:00,338
01/12/21,10:00,336
01/12/21,11:00,338
01/12/21,12:00,339
01/12/21,13:00,337
01/12/21,14:00,339
01/12/21,15:00,336
01/12/21,16:00,337
01/12/21,17:00,338
01/12/21,18:00,345
01/12/21,19:00,344
01/12/21,20:00,345
01/12/21,21:00,343
01/13/21,08:00,345
01/13/21,09:00,345
01/13/21,10:00,345
01/13/21,11:00,347
01/13/21,12:00,347
01/13/21,13:00,348
01/13/21,14:00,347
01/13/21,15:00,346
01/13/21,16:00,343
01/13/21,17:00,347
01/13/21,18:00,346
01/13/21,19:00,346
01/13/21,20:00,348
01/13/21,21:00,347
01/14/21,08:00,339
01/14/21,09:00,338
01/14/21,10:00,337
01/14/21,11:00,339
01/14/21,12:00,338
01/14/21,13:00,336
01/14/21,14:00,335
01/14/21,15:00,338
01/14/21,16:00,339
01/14/21,17:00,347
01/14/21,18:00,348
01/14/21,19:00,346
01/14/21,20:00,348
01/14/21,21:00,346
01/15/21,08:00,348
01/15/21,09:00,346
01/15/21,10:00,346
01/15/21,11:00,344
01/15/21,12:00,346
01/15/21,13:00,348
01/15/21,14:00,349
01/15/21,15:00,346
01/15/21,16:00,348
01/15/21,17:00,344
01/15/21,18:00,346
01/15/21,19:00,348
01/15/21,20:00,345
01/15/21,21:00,346
01/16/21,08:00,339
01/16/21,09:00,338
01/16/21,10:00,336
01/16/21,11:00,337
01/16/21,12:00,334
01/16/21,13:00,336
01/16/21,14:00,338
01/16/21,15:00,340
01/16/21,16:00,336
01/16/21,17:00,339
01/16/21,18:00,339
01/16/21,19:00,337
01/16/21,20:00,337
01/16/21,21:00,334
01/17/21,08:00,340
01/17/21,09:00,338
01/17/21,10:00,335
01/17/21,11:00,346
01/17/21,12:00,343
01/17/21,13:00,344
01/17/21,14:00,343
01/17/21,15:00,347
01/17/21,16:00,346
01/17/21,17:00,344
01/17/21,18:00,339
01/17/21,19:00,339
01/17/21,20:00,339
01/17/21,21:00,337
01/18/21,08:00,346
01/18/21,09:00,344
01/18/21,10:00,348
01/18/21,11:00,346
01/18/21,12:00,345
01/18/21,13:00,347
01/18/21,14:00,345
01/18/21,15:00,344
01/18/21,16:00,347
01/18/21,17:00,346
01/18/21,18:00,346
01/18/21,19:00,344
01/18/21,20:00,342
01/18/21,21:00,347
01/19/21,08:00,343
01/19/21,09:00,347
01/19/21,10:00,344
01/19/21,11:00,343
01/19/21,12:00,347
01/19/21,13:00,348
01/19/21,14:00,346
01/19/21,15:00,347
01/19/21,16:00,338
01/19/21,17:00,338
01/19/21,18:00,340
01/19/21,19:00,337
01/19/21,20:00,337
01/19/21,21:00,336
01/20/21,08:00,340
01/20/21,09:00,339
01/20/21,10:00,334
01/20/21,11:00,336
01/20/21,12:00,337
01/20/21,13:00,336
01/20/21,14:00,338
01/20/21,15:00,337
01/20/21,16:00,335
01/20/21,17:00,336
01/20/21,18:00,338
01/20/21,19:00,339
01/20/21,20:00,337
01/20/21,21:00,337
01/21/21,08:00,329
01/21/21,09:00,330
01/21/21,10:00,328
01/21/21,11:00,328
01/21/21,12:00,337
01/21/21,13:00,340
01/21/21,14:00,337
01/21/21,15:00,338
01/21/21,16:00,348
01/21/21,17:00,350
01/21/21,18:00,348
01/21/21,19:00,349
01/21/21,20:00,350
01/21/21,21:00,348
01/22/21,08:00,349
01/22/21,09:00,348
01/22/21,10:00,347
01/22/21,11:00,345
01/22/21,12:00,344
01/22/21,13:00,337
01/22/21,14:00,336
01/22/21,15:00,336
01/22/21,16:00,335
01/22/21,17:00,333
01/22/21,18:00,333
01/22/21,19:00,334
01/22/21,20:00,334
01/22/21,21:00,335
01/23/21,08:00,337
01/23/21,09:00,336
01/23/21,10:00,338
01/23/21,11:00,340
01/23/21,12:00,348
01/23/21,13:00,348
01/23/21,14:00,349
01/23/21,15:00,347
01/23/21,16:00,340
01/23/21,17:00,339
01/23/21,18:00,337
01/23/21,19:00,336
01/23/21,20:00,336
01/23/21,21:00,337
01/24/21,08:00,348
01/24/21,09:00,349
01/24/21,10:00,347
01/24/21,11:00,347
01/24/21,12:00,344
