date,hour,value
1/1/21,00:00,-2.41
1/1/21,01:00,-2.41
1/1/21,02:00,-2.41
1/1/21,03:00,-2.41
1/1/21,04:00,-2.41
1/1/21,05:00,-2.40
1/1/21,06:00,-2.40
1/1/21,07:00,-2.40
1/1/21,08:00,-2.40
1/1/21,09:00,-2.40
1/1/21,10:00,-2.40
1/1/21,11:00,-2.40
1/1/21,12:00,-2.41
1/1/21,13:00,-2.41
1/1/21,14:00,-2.41
1/1/21,15:00,-2.41
1/1/21,16:00,-2.41
1/1/21,17:00,-2.41
1/1/21,18:00,-2.41
1/1/21,19:00,-2.41
1/1/21,20:00,-2.42
1/1/21,21:00,-2.42
1/1/21,22:00,-2.43
1/1/21,23:00,-2.43
1/2/21,00:00,-2.43
1/2/21,01:00,-2.44
1/2/21,02:00,-2.44
1/2/21,03:00,-2.43
1/2/21,04:00,-2.43
1/2/21,05:00,-2.43
1/2/21,06:00,-2.43
1/2/21,07:00,-2.43
1/2/21,08:00,-2.42
1/2/21,09:00,-2.42
1/2/21,10:00,-2.43
1/2/21,11:00,-2.43
1/2/21,12:00,-2.43
1/2/21,13:00,-2.43
1/2/21,14:00,-2.43
1/2/21,15:00,-2.43
1/2/21,16:00,-2.43
1/2/21,17:00,-2.43
1/2/21,18:00,-2.43
1/2/21,19:00,-2.44
1/2/21,20:00,-2.44
1/2/21,21:00,-2.44
1/2/21,22:00,-2.45
1/2/21,23:00,-2.45
1/3/21,00:00,-2.45
1/3/21,01:00,-2.46
1/3/21,02:00,-2.46
1/3/21,03:00,-2.45
1/3/21,04:00,-2.45
1/3/21,05:00,-2.45
1/3/21,06:00,-2.45
1/3/21,07:00,-2.45
1/3/21,08:00,-2.45
1/3/21,09:00,-2.44
1/3/21,10:00,-2.45
1/3/21,11:00,-2.45
1/3/21,12:00,-2.45
1/3/21,13:00,-2.45
1/3/21,14:00,-2.45
1/3/21,15:00,-2.45
1/3/21,16:00,-2.46
1/3/21,17:00,-2.46
1/3/21,18:00,-2.46
1/3/21,19:00,-2.46
1/3/21,20:00,-2.46
1/3/21,21:00,-2.46
1/3/21,22:00,-2.46
1/3/21,23:00,-2.47
1/4/21,00:00,-2.47
1/4/21,01:00,-2.47
1/4/21,02:00,-2.48
1/4/21,03:00,-2.48
1/4/21,04:00,-2.48
1/4/21,05:00,-2.47
1/4/21,06:00,-2.47
1/4/21,07:00,-2.47
1/4/21,08:00,-2.47
1/4/21,09:00,-2.47
1/4/21,10:00,-2.47
1/4/21,11:00,-2.47
1/4/21,12:00,-2.47
1/4/21,13:00,-2.47
1/4/21,14:00,-2.47
1/4/21,15:00,-2.48
1/4/21,16:00,-2.48
1/4/21,17:00,-2.48
1/4/21,18:00,-2.48
1/4/21,19:00,-2.48
1/4/21,20:00,-2.48
1/4/21,21:00,-2.48
1/4/21,22:00,-2.48
1/4/21,23:00,-2.49
1/5/21,00:00,-2.49
1/5/21,01:00,-2.49
1/5/21,02:00,-2.49
1/5/21,03:00,-2.49
1/5/21,04:00,-2.49
1/5/21,05:00,-2.49
1/5/21,06:00,-2.49
1/5/21,07:00,-2.49
1/5/21,08:00,-2.49
1/5/21,09:00,-2.49
1/5/21,10:00,-2.49
1/5/21,11:00,-2.49
1/5/21,12:00,-2.49
1/5/21,13:00,-2.49
1/5/21,14:00,-2.49
1/5/21,15:00,-2.49
1/5/21,16:00,-2.50
1/5/21,17:00,-2.50
1/5/21,18:00,-2.50
1/5/21,19:00,-2.50
1/5/21,20:00,-2.50
1/5/21,21:00,-2.50
1/5/21,22:00,-2.50
1/5/21,23:00,-2.50
1/6/21,00:00,-2.50
1/6/21,01:00,-2.50
1/6/21,02:00,-2.51
1/6/21,03:00,-2.51
1/6/21,04:00,-2.51
1/6/21,05:00,-2.51
1/6/21,06:00,-2.51
1/6/21,07:00,-2.51
1/6/21,08:00,-2.51
1/6/21,09:00,-2.51
1/6/21,10:00,-2.51
1/6/21,11:00,-2.51
1/6/21,12:00,-2.51
1/6/21,13:00,-2.51
1/6/21,14:00,-2.51
1/6/21,15:00,-2.51
1/6/21,16:00,-2.52
1/6/21,17:00,-2.52
1/6/21,18:00,-2.52
1/6/21,19:00,-2.52
1/6/21,20:00,-2.52
1/6/21,21:00,-2.52
1/6/21,22:00,-2.52
1/6/21,23:00,-2.52
1/7/21,00:00,-2.52
1/7/21,01:00,-2.52
1/7/21,02:00,-2.52
1/7/21,03:00,-2.52
1/7/21,04:00,-2.52
1/7/21,05:00,-2.52
1/7/21,06:00,-2.52
1/7/21,07:00,-2.53
1/7/21,08:00,-2.52
1/7/21,09:00,-2.52
1/7/21,10:00,-2.52
1/7/21,11:00,-2.52
1/7/21,12:00,-2.52
1/7/21,13:00,-2.52
1/7/21,14:00,-2.52
1/7/21,15:00,-2.53
1/7/21,16:00,-2.53
1/7/21,17:00,-2.53
1/7/21,18:00,-2.53
1/7/21,19:00,-2.54
1/7/21,20:00,-2.54
1/7/21,21:00,-2.53
1/7/21,22:00,-2.53
1/7/21,23:00,-2.53
1/8/21,00:00,-2.53
1/8/21,01:00,-2.53
1/8/21,02:00,-2.53
1/8/21,03:00,-2.53
1/8/21,04:00,-2.53
1/8/21,05:00,-2.53
1/8/21,06:00,-2.53
1/8/21,07:00,-2.53
1/8/21,08:00,-2.53
1/8/21,09:00,-2.53
1/8/21,10:00,-2.53
1/8/21,11:00,-2.53
