date,hour,value
01/01/22,08:00,48464.88
01/01/22,09:00,48464.80
01/01/22,10:00,48464.72
01/01/22,11:00,48464.60
01/01/22,12:00,48464.52
01/01/22,13:00,48464.33
01/01/22,14:00,48464.14
01/01/22,15:00,48464.37
01/01/22,16:00,48464.56
01/01/22,17:00,48464.74
01/01/22,18:00,48464.60
01/01/22,19:00,48464.86
01/01/22,20:00,48464.64
01/01/22,21:00,48464.78
01/02/22,08:00,48464.99
01/02/22,09:00,48464.70
01/02/22,10:00,48464.58
01/02/22,11:00,48464.45
01/02/22,12:00,48463.81
01/02/22,13:00,48463.65
01/02/22,14:00,48463.52
01/02/22,15:00,48463.40
01/02/22,16:00,48463.22
01/02/22,17:00,48463.48
01/02/22,18:00,48463.59
01/02/22,19:00,48463.75
01/02/22,20:00,48463.96
01/02/22,21:00,48463.82
01/03/22,08:00,48465.70
01/03/22,09:00,48465.62
01/03/22,10:00,48465.43
01/03/22,11:00,48465.36
01/03/22,12:00,48465.24
01/03/22,13:00,48464.79
01/03/22,14:00,48464.62
01/03/22,15:00,48464.85
01/03/22,16:00,48464.35
01/03/22,17:00,48464.56
01/03/22,18:00,48464.69
01/03/22,19:00,48464.58
01/03/22,20:00,48464.72
01/03/22,21:00,48464.61
01/04/22,08:00,48464.51
01/04/22,09:00,48464.47
01/04/22,10:00,48464.33
01/04/22,11:00,48464.20
01/04/22,12:00,48464.42
01/04/22,13:00,48464.36
01/04/22,14:00,48464.58
01/04/22,15:00,48464.62
01/04/22,16:00,48464.50
01/04/22,17:00,48464.72
01/04/22,18:00,48464.86
01/04/22,19:00,48464.65
01/04/22,20:00,48464.54
01/04/22,21:00,48464.71
01/05/22,08:00,48465.81
01/05/22,09:00,48465.69
01/05/22,10:00,48465.52
01/05/22,11:00,48465.47
01/05/22,12:00,48464.59
01/05/22,13:00,48464.48
01/05/22,14:00,48464.30
01/05/22,15:00,48465.61
01/05/22,16:00,48465.79
01/05/22,17:00,48465.60
01/05/22,18:00,48465.52
01/05/22,19:00,48465.68
01/05/22,20:00,48465.80
01/05/22,21:00,48465.60
01/06/22,08:00,48464.98
01/06/22,09:00,48464.82
01/06/22,10:00,48464.66
01/06/22,11:00,48464.50
01/06/22,12:00,48464.30
01/06/22,13:00,48463.71
01/06/22,14:00,48463.64
01/06/22,15:00,48463.52
01/06/22,16:00,48463.68
01/06/22,17:00,48464.85
01/06/22,18:00,48464.70
01/06/22,19:00,48464.62
01/06/22,20:00,48464.86
01/06/22,21:00,48464.70
01/07/22,08:00,48463.90
01/07/22,09:00,48463.86
01/07/22,10:00,48463.72
01/07/22,11:00,48463.64
01/07/22,12:00,48464.77
01/07/22,13:00,48464.71
01/07/22,14:00,48464.59
01/07/22,15:00,48464.40
01/07/22,16:00,48464.51
01/07/22,17:00,48464.75
01/07/22,18:00,48464.86
01/07/22,19:00,48464.72
01/07/22,20:00,48464.69
01/07/22,21:00,48464.81
01/08/22,08:00,48464.92
01/08/22,09:00,48464.79
01/08/22,10:00,48464.68
01/08/22,11:00,48464.41
01/08/22,12:00,48464.27
01/08/22,13:00,48464.38
01/08/22,14:00,48464.62
01/08/22,15:00,48464.79
01/08/22,16:00,48464.64
01/08/22,17:00,48463.81
01/08/22,18:00,48463.66
01/08/22,19:00,48463.82
01/08/22,20:00,48463.70
01/08/22,21:00,48463.66
01/09/22,08:00,48465.60
01/09/22,09:00,48465.54
01/09/22,10:00,48465.44
01/09/22,11:00,48465.57
01/09/22,12:00,48465.32
01/09/22,13:00,48464.77
01/09/22,14:00,48464.59
01/09/22,15:00,48464.45
01/09/22,16:00,48464.30
01/09/22,17:00,48464.56
01/09/22,18:00,48464.68
01/09/22,19:00,48464.74
01/09/22,20:00,48464.86
01/09/22,21:00,48464.79
01/10/22,08:00,48464.61
01/10/22,09:00,48464.59
01/10/22,10:00,48464.50
01/10/22,11:00,48464.38
01/10/22,12:00,48464.20
01/10/22,13:00,48464.12
01/10/22,14:00,48464.27
01/10/22,15:00,48464.36
01/10/22,16:00,48464.54
01/10/22,17:00,48464.62
01/10/22,18:00,48464.80
01/10/22,19:00,48464.69
01/10/22,20:00,48464.71
01/10/22,21:00,48464.86
01/11/22,08:00,48463.92
01/11/22,09:00,48463.81
01/11/22,10:00,48463.70
01/11/22,11:00,48463.62
01/11/22,12:00,48463.57
01/11/22,13:00,48463.48
01/11/22,14:00,48463.28
01/11/22,15:00,48463.14
01/11/22,16:00,48463.26
01/11/22,17:00,48463.38
01/11/22,18:00,48463.55
01/11/22,19:00,48463.67
01/11/22,20:00,48463.77
01/11/22,21:00,48463.68
01/12/22,08:00,48464.81
01/12/22,09:00,48464.72
01/12/22,10:00,48464.60
01/12/22,11:00,48464.54
01/12/22,12:00,48464.42
01/12/22,13:00,48464.36
01/12/22,14:00,48464.20
01/12/22,15:00,48464.34
01/12/22,16:00,48464.58
01/12/22,17:00,48464.60
01/12/22,18:00,48464.70
01/12/22,19:00,48464.86
01/12/22,20:00,48464.69
01/12/22,21:00,48464.75
01/13/22,08:00,48465.71
01/13/22,09:00,48465.64
01/13/22,10:00,48465.52
01/13/22,11:00,48465.46
01/13/22,12:00,48465.32
01/13/22,13:00,48465.14
01/13/22,14:00,48465.38
01/13/22,15:00,48465.56
01/13/22,16:00,48465.45
01/13/22,17:00,48465.68
01/13/22,18:00,48465.50
01/13/22,19:00,48465.75
01/13/22,20:00,48465.82
01/13/22,21:00,48465.61
01/14/22,08:00,48464.92
01/14/22,09:00,48464.86
01/14/22,10:00,48464.70
01/14/22,11:00,48464.62
01/14/22,12:00,48464.38
01/14/22,13:00,48463.90
01/14/22,14:00,48463.79
01/14/22,15:00,48463.62
01/14/22,16:00,48463.58
01/14/22,17:00,48463.70
01/14/22,18:00,48463.65
01/14/22,19:00,48463.52
01/14/22,20:00,48463.77
01/14/22,21:00,48463.89
01/15/22,08:00,48463.81
01/15/22,09:00,48463.69
01/15/22,10:00,48463.57
01/15/22,11:00,48464.77
01/15/22,12:00,48464.60
01/15/22,13:00,48464.42
01/15/22,14:00,48464.50
01/15/22,15:00,48464.32
01/15/22,16:00,48465.66
01/15/22,17:00,48465.54
01/15/22,18:00,48465.20
01/15/22,19:00,48465.48
01/15/22,20:00,48465.51
01/15/22,21:00,48465.66
01/16/22,08:00,48465.79
01/16/22,09:00,48465.58
01/16/22,10:00,48465.30
01/16/22,11:00,48465.12
01/16/22,12:00,48464.61
01/16/22,13:00,48464.48
01/16/22,14:00,48464.36
01/16/22,15:00,48464.15
01/16/22,16:00,48464.45
01/16/22,17:00,48464.62
01/16/22,18:00,48464.79
01/16/22,19:00,48464.60
01/16/22,20:00,48464.82
01/16/22,21:00,48463.98
01/17/22,08:00,48464.99
01/17/22,09:00,48464.82
01/17/22,10:00,48464.70
01/17/22,11:00,48464.62
01/17/22,12:00,48464.44
01/17/22,13:00,48464.30
01/17/22,14:00,48464.18
01/17/22,15:00,48464.24
01/17/22,16:00,48464.36
01/17/22,17:00,48464.57
01/17/22,18:00,48464.68
