date,hour,value
01/01/23,00:00,49089
01/01/23,01:00,49087
01/01/23,02:00,49090
01/01/23,03:00,49089
01/01/23,04:00,49086
01/01/23,05:00,49089
01/01/23,06:00,49087
01/01/23,07:00,49085
01/01/23,08:00,49089
01/01/23,09:00,49090
01/01/23,10:00,49087
01/01/23,11:00,49085
01/01/23,12:00,49084
01/01/23,13:00,49086
01/01/23,14:00,49088
01/01/23,15:00,49089
01/01/23,16:00,49085
01/01/23,17:00,49087
01/01/23,18:00,49088
01/01/23,19:00,49090
01/01/23,20:00,49092
01/01/23,21:00,49095
01/01/23,22:00,49097
01/01/23,23:00,49090
01/02/23,00:00,49088
01/02/23,01:00,49086
01/02/23,02:00,49090
01/02/23,03:00,49088
01/02/23,04:00,49089
01/02/23,05:00,49086
01/02/23,06:00,49088
01/02/23,07:00,49093
01/02/23,08:00,49091
01/02/23,09:00,49092
01/02/23,10:00,49096
01/02/23,11:00,49097
01/02/23,12:00,49095
01/02/23,13:00,49093
01/02/23,14:00,49095
01/02/23,15:00,49092
01/02/23,16:00,49097
01/02/23,17:00,49100
01/02/23,18:00,49099
01/02/23,19:00,49097
01/02/23,20:00,49102
01/02/23,21:00,49098
01/02/23,22:00,49097
01/02/23,23:00,49107
01/03/23,00:00,49100
01/03/23,01:00,49099
01/03/23,02:00,49098
01/03/23,03:00,49099
01/03/23,04:00,49099
01/03/23,05:00,49102
01/03/23,06:00,49105
01/03/23,07:00,49097
01/03/23,08:00,49095
01/03/23,09:00,49099
01/03/23,10:00,49096
01/03/23,11:00,49095
01/03/23,12:00,49093
01/03/23,13:00,49096
01/03/23,14:00,49099
01/03/23,15:00,49098
01/03/23,16:00,49096
01/04/23,00:00,49099
01/04/23,01:00,49098
01/04/23,02:00,49097
01/04/23,03:00,49096
01/04/23,04:00,49094
01/04/23,05:00,49101
01/04/23,06:00,49102
01/04/23,07:00,49097
01/04/23,08:00,49096
01/04/23,09:00,49095
01/04/23,10:00,49096
01/04/23,11:00,49094
01/04/23,12:00,49095
01/04/23,13:00,49092
01/04/23,14:00,49096
01/04/23,15:00,49097
01/04/23,16:00,49094
01/04/23,17:00,49092
01/04/23,18:00,49095
01/04/23,19:00,49097
01/04/23,20:00,49094
01/04/23,21:00,49096
01/04/23,22:00,49095
01/04/23,23:00,49096
01/05/23,00:00,49096
01/05/23,01:00,49094
