date,hour,value
01/01/21,06:00,49853
01/01/21,07:00,49853
01/01/21,08:00,49853
01/01/21,09:00,49850
01/01/21,10:00,49853
01/01/21,11:00,49850
01/01/21,12:00,49847
01/01/21,13:00,49852
01/01/21,14:00,49858
01/01/21,15:00,49862
01/01/21,16:00,49863
01/01/21,17:00,49854
01/01/21,18:00,49854
01/01/21,19:00,49852
01/01/21,20:00,49850
01/01/21,21:00,49852
01/01/21,22:00,49853
01/01/21,23:00,49855
01/02/21,06:00,49855
01/02/21,07:00,49854
01/02/21,08:00,49854
01/02/21,09:00,49854
01/02/21,10:00,49849
01/02/21,11:00,49844
01/02/21,12:00,49839
01/02/21,13:00,49842
01/02/21,14:00,49850
01/02/21,15:00,49856
01/02/21,16:00,49859
01/02/21,17:00,49858
01/02/21,18:00,49855
01/02/21,19:00,49856
01/02/21,20:00,49855
01/02/21,21:00,49855
01/02/21,22:00,49855
01/02/21,23:00,49855
01/03/21,06:00,49852
01/03/21,07:00,49857
01/03/21,08:00,49856
01/03/21,09:00,49855
01/03/21,10:00,49850
01/03/21,11:00,49844
01/03/21,12:00,49842
01/03/21,13:00,49841
01/03/21,14:00,49900
01/03/21,15:00,49858
01/03/21,16:00,49858
01/03/21,17:00,49857
01/03/21,18:00,49854
01/03/21,19:00,49854
01/03/21,20:00,49855
01/03/21,21:00,49854
01/03/21,22:00,49854
01/03/21,23:00,49854
01/04/21,06:00,49854
01/04/21,07:00,49857
01/04/21,08:00,49857
01/04/21,09:00,49857
01/04/21,10:00,49849
01/04/21,11:00,49844
01/04/21,12:00,49840
01/04/21,13:00,49837
01/04/21,14:00,49842
01/04/21,15:00,49851
01/04/21,16:00,49857
01/04/21,17:00,49857
01/04/21,18:00,49853
01/04/21,19:00,49852
01/04/21,20:00,49852
01/04/21,21:00,49853
01/04/21,22:00,49854
01/04/21,23:00,49856
01/05/21,06:00,49856
01/05/21,07:00,49857
01/05/21,08:00,49859
01/05/21,09:00,49858
01/05/21,10:00,49848
01/05/21,11:00,49892
01/05/21,12:00,49835
01/05/21,13:00,49840
01/05/21,14:00,49846
01/05/21,15:00,49856
01/05/21,16:00,49865
01/05/21,17:00,49861
01/05/21,18:00,49844
01/05/21,19:00,49850
01/05/21,20:00,49848
01/05/21,21:00,49851
01/05/21,22:00,49854
01/05/21,23:00,49853
01/06/21,06:00,49851
01/06/21,07:00,49857
01/06/21,08:00,49852
01/06/21,09:00,49850
01/06/21,10:00,49844
01/06/21,11:00,49846
01/06/21,12:00,49849
01/06/21,13:00,49845
01/06/21,14:00,49845
01/06/21,15:00,49850
01/06/21,16:00,49856
01/06/21,17:00,49851
01/06/21,18:00,49846
01/06/21,19:00,49848
01/06/21,20:00,49850
01/06/21,21:00,49855
01/06/21,22:00,49853
01/06/21,23:00,49851
01/07/21,06:00,49853
01/07/21,07:00,49851
01/07/21,08:00,49853
01/07/21,09:00,49857
01/07/21,10:00,49855
01/07/21,11:00,49849
01/07/21,12:00,49848
01/07/21,13:00,49852
01/07/21,14:00,49857
01/07/21,15:00,49858
01/07/21,16:00,49860
01/07/21,17:00,49854
01/07/21,18:00,49854
01/07/21,19:00,49853
01/07/21,20:00,49853
01/07/21,21:00,49852
01/07/21,22:00,49851
01/07/21,23:00,49859
01/08/21,06:00,49853
01/08/21,07:00,49853
01/08/21,08:00,49854
01/08/21,09:00,49859
01/08/21,10:00,49859
01/08/21,11:00,49851
01/08/21,12:00,49852
01/08/21,13:00,49858
01/08/21,14:00,49859
01/08/21,15:00,49854
01/08/21,16:00,49852
01/08/21,17:00,49849
01/08/21,18:00,49855
01/08/21,19:00,49855
01/08/21,20:00,49856
01/08/21,21:00,49854
01/08/21,22:00,49855
01/08/21,23:00,49853
01/09/21,06:00,49854
01/09/21,07:00,49853
01/09/21,08:00,49855
01/09/21,09:00,49854
01/09/21,10:00,49859
01/09/21,11:00,49856
01/09/21,12:00,49853
01/09/21,13:00,49850
01/09/21,14:00,49843
01/09/21,15:00,49845
01/09/21,16:00,49850
01/09/21,17:00,49856
01/09/21,18:00,49856
01/09/21,19:00,49856
01/09/21,20:00,49855
01/09/21,21:00,49855
01/09/21,22:00,49855
01/09/21,23:00,49853
01/10/21,06:00,49851
01/10/21,07:00,49856
01/10/21,08:00,49856
01/10/21,09:00,49858
01/10/21,10:00,49860
01/10/21,11:00,49855
01/10/21,12:00,49855
01/10/21,13:00,49856
01/10/21,14:00,49856
01/10/21,15:00,49852
01/10/21,16:00,49854
01/10/21,17:00,49856
01/10/21,18:00,49856
01/10/21,19:00,49856
01/10/21,20:00,49854
01/10/21,21:00,49853
01/10/21,22:00,49852
01/10/21,23:00,49851
01/11/21,06:00,49854
01/11/21,07:00,49854
01/11/21,08:00,49857
01/11/21,09:00,49859
01/11/21,10:00,49861
01/11/21,11:00,49857
01/11/21,12:00,49853
01/11/21,13:00,49851
01/11/21,14:00,49859
01/11/21,15:00,49861
01/11/21,16:00,49868
01/11/21,17:00,49863
01/11/21,18:00,49861
01/11/21,19:00,49837
01/11/21,20:00,49832
01/11/21,21:00,49833
01/11/21,22:00,49835
01/11/21,23:00,49844
01/12/21,06:00,49846
01/12/21,07:00,49849
01/12/21,08:00,49850
01/12/21,09:00,49855
01/12/21,10:00,49854
01/12/21,11:00,49853
01/12/21,12:00,49852
01/12/21,13:00,49853
01/12/21,14:00,49849
01/12/21,15:00,49845
01/12/21,16:00,49850
01/12/21,17:00,49847
01/12/21,18:00,49849
01/12/21,19:00,49849
01/12/21,20:00,49851
01/12/21,21:00,49853
01/12/21,22:00,49853
01/12/21,23:00,49854
01/13/21,06:00,49853
01/13/21,07:00,49855
01/13/21,08:00,49857
01/13/21,09:00,49857
01/13/21,10:00,49857
01/13/21,11:00,49851
01/13/21,12:00,49852
01/13/21,13:00,49852
01/13/21,14:00,49852
01/13/21,15:00,49851
01/13/21,16:00,49849
01/13/21,17:00,49846
01/13/21,18:00,49850
01/13/21,19:00,49851
01/13/21,20:00,49853
01/13/21,21:00,49852
01/13/21,22:00,49853
01/13/21,23:00,49854
01/14/21,06:00,49855
01/14/21,07:00,49858
01/14/21,08:00,49858
