date,hour,value
1/1/23,00:00,-10.84
1/1/23,01:00,-10.84
1/1/23,02:00,-10.84
1/1/23,03:00,-10.84
1/1/23,04:00,-10.84
1/1/23,05:00,-10.84
1/1/23,06:00,-10.84
1/1/23,07:00,-10.84
1/1/23,08:00,-10.85
1/1/23,09:00,-10.85
1/1/23,10:00,-10.85
1/1/23,11:00,-10.85
1/1/23,12:00,-10.85
1/1/23,13:00,-10.85
1/1/23,14:00,-10.85
1/1/23,15:00,-10.85
1/1/23,16:00,-10.86
1/1/23,17:00,-10.86
1/1/23,18:00,-10.87
1/1/23,19:00,-10.87
1/1/23,20:00,-10.87
1/1/23,21:00,-10.88
1/1/23,22:00,-10.88
1/1/23,23:00,-10.88
1/2/23,00:00,-10.87
1/2/23,01:00,-10.87
1/2/23,02:00,-10.87
1/2/23,03:00,-10.87
1/2/23,04:00,-10.88
1/2/23,05:00,-10.88
1/2/23,06:00,-10.88
1/2/23,07:00,-10.88
1/2/23,08:00,-10.88
1/2/23,09:00,-10.89
1/2/23,10:00,-10.89
1/2/23,11:00,-10.89
1/2/23,12:00,-10.89
1/2/23,13:00,-10.89
1/2/23,14:00,-10.89
1/2/23,15:00,-10.90
1/2/23,16:00,-10.90
1/2/23,17:00,-10.91
1/2/23,18:00,-10.91
1/2/23,19:00,-10.92
1/2/23,20:00,-10.92
1/2/23,21:00,-10.92
1/2/23,22:00,-10.92
1/2/23,23:00,-10.92
1/3/23,00:00,-10.92
1/3/23,01:00,-10.92
1/3/23,02:00,-10.92
1/3/23,03:00,-10.92
1/3/23,04:00,-10.93
1/3/23,05:00,-10.93
1/3/23,06:00,-10.93
1/3/23,07:00,-10.94
1/3/23,08:00,-10.94
1/3/23,09:00,-10.94
1/3/23,10:00,-10.95
1/3/23,11:00,-10.95
1/3/23,12:00,-10.95
1/3/23,13:00,-10.95
1/3/23,14:00,-10.95
1/3/23,15:00,-10.95
1/3/23,16:00,-10.95
1/3/23,17:00,-10.96
1/3/23,18:00,-10.96
1/3/23,19:00,-10.97
1/3/23,20:00,-10.97
1/3/23,21:00,-10.98
1/3/23,22:00,-10.98
1/3/23,23:00,-10.98
1/4/23,00:00,-10.98
1/4/23,01:00,-10.98
1/4/23,02:00,-10.98
1/4/23,03:00,-10.98
1/4/23,04:00,-10.98
1/4/23,05:00,-10.98
1/4/23,06:00,-10.99
1/4/23,07:00,-10.99
1/4/23,08:00,-10.99
1/4/23,09:00,-11.00
1/4/23,10:00,-11.00
1/4/23,11:00,-11.00
1/4/23,12:00,-11.00
1/4/23,13:00,-11.00
1/4/23,14:00,-11.01
1/4/23,15:00,-11.01
1/4/23,16:00,-11.01
1/4/23,17:00,-11.02
1/4/23,18:00,-11.03
1/4/23,19:00,-11.03
1/4/23,20:00,-11.04
1/4/23,21:00,-11.04
1/4/23,22:00,-11.03
1/4/23,23:00,-11.03
1/5/23,00:00,-11.03
1/5/23,01:00,-11.03
1/5/23,02:00,-11.03
1/5/23,03:00,-11.03
1/5/23,04:00,-11.03
1/5/23,05:00,-11.03
1/5/23,06:00,-11.03
1/5/23,07:00,-11.03
1/5/23,08:00,-11.03
1/5/23,09:00,-11.03
1/5/23,10:00,-11.03
1/5/23,11:00,-11.03
1/5/23,12:00,-11.03
1/5/23,13:00,-11.03
1/5/23,14:00,-11.03
1/5/23,15:00,-11.03
1/5/23,16:00,-11.03
1/5/23,17:00,-11.03
1/5/23,18:00,-11.03
1/5/23,19:00,-11.03
1/5/23,20:00,-11.03
1/5/23,21:00,-11.03
1/5/23,22:00,-11.03
1/5/23,23:00,-11.03
1/6/23,00:00,-11.03
1/6/23,01:00,-11.03
1/6/23,02:00,-11.03
1/6/23,03:00,-11.03
1/6/23,04:00,-11.03
1/6/23,05:00,-11.03
1/6/23,06:00,-11.03
1/6/23,07:00,-11.03
1/6/23,08:00,-11.03
1/6/23,09:00,-11.03
1/6/23,10:00,-11.03
1/6/23,11:00,-11.03
1/6/23,12:00,-11.03
1/6/23,13:00,-11.03
1/6/23,14:00,-11.03
1/6/23,15:00,-11.03
1/6/23,16:00,-11.03
1/6/23,17:00,-11.03
1/6/23,18:00,-11.03
1/6/23,19:00,-11.03
1/6/23,20:00,-11.03
1/6/23,21:00,-11.03
1/6/23,22:00,-11.03
1/6/23,23:00,-11.03
1/7/23,00:00,-11.03
1/7/23,01:00,-11.03
1/7/23,02:00,-11.03
1/7/23,03:00,-11.03
1/7/23,04:00,-11.03
1/7/23,05:00,-11.03
1/7/23,06:00,-11.03
1/7/23,07:00,-11.03
1/7/23,08:00,-11.03
1/7/23,09:00,-11.03
1/7/23,10:00,-11.03
1/7/23,11:00,-11.03
1/7/23,12:00,-11.03
1/7/23,13:00,-11.03
1/7/23,14:00,-11.03
1/7/23,15:00,-11.03
1/7/23,16:00,-11.03
1/7/23,17:00,-11.03
1/7/23,18:00,-11.03
1/7/23,19:00,-11.03
1/7/23,20:00,-11.03
1/7/23,21:00,-11.03
1/7/23,22:00,-11.03
1/7/23,23:00,-11.03
1/8/23,00:00,-11.03
1/8/23,01:00,-11.03
1/8/23,02:00,-11.03
1/8/23,03:00,-11.03
1/8/23,04:00,-11.03
1/8/23,05:00,-11.03
1/8/23,06:00,-11.03
1/8/23,07:00,-11.03
1/8/23,08:00,-11.03
1/8/23,09:00,-11.03
1/8/23,10:00,-11.03
1/8/23,11:00,-11.03
1/8/23,12:00,-11.03
1/8/23,13:00,-11.03
1/8/23,14:00,-11.03
1/8/23,15:00,-11.03
1/8/23,16:00,-11.03
1/8/23,17:00,-11.03
1/8/23,18:00,-11.03
1/8/23,19:00,-11.03
1/8/23,20:00,-11.03
1/8/23,21:00,-11.03
1/8/23,22:00,-11.03
1/8/23,23:00,-11.03
1/9/23,00:00,-11.03
1/9/23,01:00,-11.03
1/9/23,02:00,-11.03
1/9/23,03:00,-11.03
1/9/23,04:00,-11.03
1/9/23,05:00,-11.03
1/9/23,06:00,-11.03
1/9/23,07:00,-11.03
1/9/23,08:00,-11.03
1/9/23,09:00,-11.03
1/9/23,10:00,-11.03
1/9/23,11:00,-11.03
1/9/23,12:00,-11.03
1/9/23,13:00,-11.03
1/9/23,14:00,-11.03
1/9/23,15:00,-11.03
1/9/23,16:00,-11.03
1/9/23,17:00,-11.03
1/9/23,18:00,-11.03
1/9/23,19:00,-11.03
1/9/23,20:00,-11.03
1/9/23,21:00,-11.03
1/9/23,22:00,-11.03
1/9/23,23:00,-11.03
1/10/23,00:00,-11.03
1/10/23,01:00,-11.03
1/10/23,02:00,-11.03
1/10/23,03:00,-11.03
1/10/23,04:00,-11.03
1/10/23,05:00,-11.03
1/10/23,06:00,-11.03
1/10/23,07:00,-11.03
1/10/23,08:00,-11.03
1/10/23,09:00,-11.03
1/10/23,10:00,-11.03
1/10/23,11:00,-11.03
1/10/23,12:00,-11.03
1/10/23,13:00,-11.03
1/10/23,14:00,-11.03
1/10/23,15:00,-11.03
1/10/23,16:00,-11.03
1/10/23,17:00,-11.03
1/10/23,18:00,-11.03
1/10/23,19:00,-11.03
1/10/23,20:00,-11.03
1/10/23,21:00,-11.03
1/10/23,22:00,-11.03
1/10/23,23:00,-11.03
1/11/23,00:00,-11.03
1/11/23,01:00,-11.03
1/11/23,02:00,-11.03
1/11/23,03:00,-11.03
1/11/23,04:00,-11.03
1/11/23,05:00,-11.03
1/11/23,06:00,-11.03
1/11/23,07:00,-11.03
1/11/23,08:00,-11.03
1/11/23,09:00,-11.03
1/11/23,10:00,-11.03
1/11/23,11:00,-11.03
1/11/23,12:00,-11.03
1/11/23,13:00,-11.03
1/11/23,14:00,-11.03
1/11/23,15:00,-11.03
1/11/23,16:00,-11.03
