date,hour,value
01/01/21,09:00,48938
01/01/21,10:00,48935
01/01/21,11:00,48933
01/01/21,12:00,48931
01/01/21,13:00,48936
01/01/21,14:00,48939
01/01/21,15:00,48942
01/01/21,16:00,48940
01/01/21,17:00,48944
01/02/21,09:00,48941
01/02/21,10:00,48938
01/02/21,11:00,48933
01/02/21,12:00,48927
01/02/21,13:00,48925
01/02/21,14:00,48921
01/02/21,15:00,48932
01/02/21,16:00,48938
01/02/21,17:00,48945
01/03/21,09:00,48939
01/03/21,10:00,48936
01/03/21,11:00,48932
01/03/21,12:00,48929
01/03/21,13:00,48931
01/03/21,14:00,48927
01/03/21,15:00,48934
01/03/21,16:00,48938
01/03/21,17:00,48941
01/04/21,09:00,48941
01/04/21,10:00,48938
01/04/21,11:00,48937
01/04/21,12:00,48936
01/04/21,13:00,48935
01/04/21,14:00,48937
01/04/21,15:00,48938
01/04/21,16:00,48939
01/04/21,17:00,48940
01/05/21,09:00,48937
01/05/21,10:00,48940
01/05/21,11:00,48938
01/05/21,12:00,48939
01/05/21,13:00,48940
01/05/21,14:00,48941
01/05/21,15:00,48943
01/05/21,16:00,48942
01/05/21,17:00,48945
01/06/21,09:00,48940
01/06/21,10:00,48938
01/06/21,11:00,48939
01/06/21,12:00,48944
01/06/21,13:00,48946
01/06/21,14:00,48947
01/06/21,15:00,48949
01/06/21,16:00,48948
01/06/21,17:00,48950
01/07/21,09:00,48948
01/07/21,10:00,48946
01/07/21,11:00,48944
01/07/21,12:00,48945
01/07/21,13:00,48943
01/07/21,14:00,48946
01/07/21,15:00,48947
01/07/21,16:00,48948
01/07/21,17:00,48949
01/08/21,09:00,48943
01/08/21,10:00,48941
01/08/21,11:00,48946
01/08/21,12:00,48946
01/08/21,13:00,48945
01/08/21,14:00,48947
01/08/21,15:00,48948
01/08/21,16:00,48949
01/08/21,17:00,48949
01/09/21,09:00,48948
01/09/21,10:00,48946
01/09/21,11:00,48941
01/09/21,12:00,48943
01/09/21,13:00,48944
01/09/21,14:00,48945
01/09/21,15:00,48947
01/09/21,16:00,48946
01/09/21,17:00,48948
01/10/21,09:00,48950
01/10/21,10:00,48949
01/10/21,11:00,48952
01/10/21,12:00,48953
01/10/21,13:00,48954
01/10/21,14:00,48956
01/10/21,15:00,48957
01/10/21,16:00,48955
01/10/21,17:00,48958
01/11/21,09:00,48957
01/11/21,10:00,48956
01/11/21,11:00,48958
01/11/21,12:00,48959
01/11/21,13:00,48961
01/11/21,14:00,48962
01/11/21,15:00,48963
01/11/21,16:00,48965
01/11/21,17:00,48965
01/12/21,09:00,48968
01/12/21,10:00,48969
01/12/21,11:00,48970
01/12/21,12:00,48971
01/12/21,13:00,48973
01/12/21,14:00,48972
01/12/21,15:00,48970
01/12/21,16:00,48971
01/12/21,17:00,48974
01/13/21,09:00,48975
01/13/21,10:00,48973
01/13/21,11:00,48974
01/13/21,12:00,48976
01/13/21,13:00,48977
01/13/21,14:00,48978
01/13/21,15:00,48975
01/13/21,16:00,48979
01/13/21,17:00,48980
01/14/21,09:00,48981
01/14/21,10:00,48982
01/14/21,11:00,48984
01/14/21,12:00,48985
01/14/21,13:00,48986
01/14/21,14:00,48987
01/14/21,15:00,48988
01/14/21,16:00,48990
01/14/21,17:00,48991
01/15/21,09:00,48994
01/15/21,10:00,48995
01/15/21,11:00,48982
01/15/21,12:00,48980
01/15/21,13:00,48975
01/15/21,14:00,48970
01/15/21,15:00,48969
01/15/21,16:00,48968
01/15/21,17:00,48967
01/16/21,09:00,48951
01/16/21,10:00,48950
01/16/21,11:00,48952
01/16/21,12:00,48953
01/16/21,13:00,48955
01/16/21,14:00,48954
01/16/21,15:00,48956
01/16/21,16:00,48957
01/16/21,17:00,48959
01/17/21,09:00,48951
01/17/21,10:00,48949
01/17/21,11:00,48948
01/17/21,12:00,48946
01/17/21,13:00,48945
01/17/21,14:00,48949
01/17/21,15:00,48942
01/17/21,16:00,48944
