date,hour,value
01/01/22,09:00,557
01/01/22,10:00,564
01/01/22,11:00,588
01/01/22,12:00,601
01/01/22,13:00,624
01/01/22,14:00,638
01/01/22,15:00,659
01/01/22,16:00,679
01/01/22,17:00,711
01/02/22,09:00,577
01/02/22,10:00,554
01/02/22,11:00,560
01/02/22,12:00,571
01/02/22,13:00,575
01/02/22,14:00,589
01/02/22,15:00,617
01/02/22,16:00,639
01/02/22,17:00,644
01/03/22,09:00,569
01/03/22,10:00,586
01/03/22,11:00,595
01/03/22,12:00,591
01/03/22,13:00,617
01/03/22,14:00,600
01/03/22,15:00,639
01/03/22,16:00,653
01/03/22,17:00,666
01/04/22,09:00,555
01/04/22,10:00,562
01/04/22,11:00,594
01/04/22,12:00,616
01/04/22,13:00,638
01/04/22,14:00,674
01/04/22,15:00,701
01/04/22,16:00,715
01/04/22,17:00,710
01/05/22,09:00,612
01/05/22,10:00,639
01/05/22,11:00,655
01/05/22,12:00,682
01/05/22,13:00,735
01/05/22,14:00,787
01/05/22,15:00,805
01/05/22,16:00,837
01/05/22,17:00,855
01/06/22,09:00,576
01/06/22,10:00,599
01/06/22,11:00,603
01/06/22,12:00,716
01/06/22,13:00,787
01/06/22,14:00,810
01/06/22,15:00,818
01/06/22,16:00,842
01/06/22,17:00,868
01/07/22,09:00,601
01/07/22,10:00,610
01/07/22,11:00,627
01/07/22,12:00,668
01/07/22,13:00,784
01/07/22,14:00,817
01/07/22,15:00,830
01/07/22,16:00,852
01/07/22,17:00,886
01/08/22,09:00,597
01/08/22,10:00,606
01/08/22,11:00,609
01/08/22,12:00,615
01/08/22,13:00,623
01/08/22,14:00,631
01/08/22,15:00,694
01/08/22,16:00,755
01/08/22,17:00,843
01/09/22,09:00,602
01/09/22,10:00,608
01/09/22,11:00,614
01/09/22,12:00,635
01/09/22,13:00,678
01/09/22,14:00,698
01/09/22,15:00,738
01/09/22,16:00,799
01/09/22,17:00,855
01/10/22,09:00,619
01/10/22,10:00,750
01/10/22,11:00,68
01/10/22,12:00,778
01/10/22,13:00,796
01/10/22,14:00,844
01/10/22,15:00,885
01/10/22,16:00,928
01/10/22,17:00,970
01/11/22,09:00,691
01/11/22,10:00,717
01/11/22,11:00,755
01/11/22,12:00,760
01/11/22,13:00,817
01/11/22,14:00,853
01/11/22,15:00,874
01/11/22,16:00,890
01/11/22,17:00,900
01/12/22,09:00,661
01/12/22,10:00,784
01/12/22,11:00,784
01/12/22,12:00,173
01/12/22,13:00,91
01/12/22,14:00,37
01/12/22,15:00,48
01/12/22,16:00,39
01/12/22,17:00,39
01/13/22,09:00,684
01/13/22,10:00,727
01/13/22,11:00,780
01/13/22,12:00,796
01/13/22,13:00,813
01/13/22,14:00,838
01/13/22,15:00,868
01/13/22,16:00,907
01/13/22,17:00,953
01/14/22,09:00,681
01/14/22,10:00,704
01/14/22,11:00,715
01/14/22,12:00,702
01/14/22,13:00,689
01/14/22,14:00,684
01/14/22,15:00,679
01/14/22,16:00,670
