date,hour,value
01/01/21,00:00,1.22
01/02/21,00:00,1.20
01/03/21,00:00,1.22
01/04/21,00:00,1.20
01/05/21,00:00,1.22
01/06/21,00:00,1.20
01/07/21,00:00,1.22
01/08/21,00:00,1.20
01/09/21,00:00,1.22
01/10/21,00:00,1.20
01/11/21,00:00,1.22
01/12/21,00:00,1.20
01/13/21,00:00,1.22
01/14/21,00:00,1.20
01/15/21,00:00,1.22
01/16/21,00:00,1.20
01/17/21,00:00,1.22
01/18/21,00:00,1.20
01/19/21,00:00,1.22
01/20/21,00:00,1.20
01/21/21,00:00,1.22
01/22/21,00:00,1.20
01/23/21,00:00,1.22
01/24/21,00:00,1.20
01/25/21,00:00,1.22
01/26/21,00:00,1.22
01/27/21,00:00,1.20
01/28/21,00:00,1.22
01/29/21,00:00,1.20
01/30/21,00:00,1.22
01/31/21,00:00,1.20
02/01/21,00:00,1.22
02/02/21,00:00,1.20
02/03/21,00:00,1.22
02/04/21,00:00,1.20
02/05/21,00:00,1.24
02/06/21,00:00,1.22
02/07/21,00:00,1.22
02/08/21,00:00,1.20
02/09/21,00:00,1.22
02/10/21,00:00,1.20
02/11/21,00:00,1.22
02/12/21,00:00,1.20
02/13/21,00:00,1.22
02/14/21,00:00,1.22
02/15/21,00:00,1.24
02/16/21,00:00,1.22
02/17/21,00:00,1.22
02/18/21,00:00,1.24
02/19/21,00:00,1.22
02/20/21,00:00,1.24
02/21/21,00:00,1.22
02/22/21,00:00,1.24
02/23/21,00:00,1.22
02/24/21,00:00,1.24
02/25/21,00:00,1.22
02/26/21,00:00,1.24
02/27/21,00:00,1.22
02/28/21,00:00,1.24
03/01/21,00:00,1.22
03/02/21,00:00,1.24
03/03/21,00:00,1.22
03/04/21,00:00,1.24
03/05/21,00:00,1.24
03/06/21,00:00,1.20
03/07/21,00:00,1.22
03/08/21,00:00,1.24
03/09/21,00:00,1.22
03/10/21,00:00,1.24
03/11/21,00:00,1.22
03/12/21,00:00,1.24
03/13/21,00:00,1.22
03/14/21,00:00,1.20
03/15/21,00:00,1.22
03/16/21,00:00,1.24
03/17/21,00:00,1.22
03/18/21,00:00,1.24
03/19/21,00:00,1.22
03/20/21,00:00,1.24
03/21/21,00:00,1.22
03/22/21,00:00,1.24
03/23/21,00:00,1.22
03/24/21,00:00,1.24
03/25/21,00:00,1.22
03/26/21,00:00,1.24
03/27/21,00:00,1.22
03/28/21,00:00,1.24
03/29/21,00:00,1.22
03/30/21,00:00,1.24
03/31/21,00:00,1.22
04/01/21,00:00,1.24
04/02/21,00:00,1.24
04/03/21,00:00,1.22
04/04/21,00:00,1.24
04/05/21,00:00,1.22
04/06/21,00:00,1.24
04/07/21,00:00,1.24
04/08/21,00:00,1.22
04/09/21,00:00,1.24
04/10/21,00:00,1.22
04/11/21,00:00,1.24
04/12/21,00:00,1.22
04/13/21,00:00,1.24
04/14/21,00:00,1.22
04/15/21,00:00,1.24
04/16/21,00:00,1.22
04/17/21,00:00,1.24
04/18/21,00:00,1.22
04/19/21,00:00,1.24
04/20/21,00:00,1.22
04/21/21,00:00,1.22
04/22/21,00:00,1.24
04/23/21,00:00,1.22
04/24/21,00:00,1.24
04/25/21,00:00,1.22
04/26/21,00:00,1.24
04/27/21,00:00,1.22
04/28/21,00:00,1.24
04/29/21,00:00,1.22
04/30/21,00:00,1.24
05/01/21,00:00,1.22
05/02/21,00:00,1.24
05/03/21,00:00,1.22
05/04/21,00:00,1.24
05/05/21,00:00,1.24
05/06/21,00:00,1.22
05/07/21,00:00,1.24
05/08/21,00:00,1.22
05/09/21,00:00,1.24
05/10/21,00:00,1.22
05/11/21,00:00,1.24
05/12/21,00:00,1.22
05/13/21,00:00,1.24
05/14/21,00:00,1.22
05/15/21,00:00,1.24
05/16/21,00:00,1.22
05/17/21,00:00,1.24
05/18/21,00:00,1.22
05/19/21,00:00,1.24
05/20/21,00:00,1.22
05/21/21,00:00,1.24
05/22/21,00:00,1.22
05/23/21,00:00,1.24
05/24/21,00:00,1.22
05/25/21,00:00,1.24
05/26/21,00:00,1.22
05/27/21,00:00,1.24
05/28/21,00:00,1.22
05/29/21,00:00,1.24
05/30/21,00:00,1.22
05/31/21,00:00,1.24
06/01/21,00:00,1.24
06/02/21,00:00,1.22
06/03/21,00:00,1.24
06/04/21,00:00,1.22
06/05/21,00:00,1.24
06/06/21,00:00,1.22
06/07/21,00:00,1.24
06/08/21,00:00,1.24
06/09/21,00:00,1.22
06/10/21,00:00,1.24
06/11/21,00:00,1.22
06/12/21,00:00,1.24
06/13/21,00:00,1.22
06/14/21,00:00,1.24
06/15/21,00:00,1.22
06/16/21,00:00,1.24
06/17/21,00:00,1.22
06/18/21,00:00,1.24
06/19/21,00:00,1.22
06/20/21,00:00,1.24
06/21/21,00:00,1.22
06/22/21,00:00,1.24
06/23/21,00:00,1.22
06/24/21,00:00,1.24
06/25/21,00:00,1.22
06/26/21,00:00,1.24
06/27/21,00:00,1.22
06/28/21,00:00,1.24
06/29/21,00:00,1.22
06/30/21,00:00,1.24
07/01/21,00:00,1.24
07/02/21,00:00,1.22
07/03/21,00:00,1.24
07/04/21,00:00,1.22
07/05/21,00:00,1.24
07/06/21,00:00,1.24
07/07/21,00:00,1.22
07/08/21,00:00,1.24
07/09/21,00:00,1.22
07/10/21,00:00,1.24
07/11/21,00:00,1.22
07/12/21,00:00,1.24
07/13/21,00:00,1.22
07/14/21,00:00,1.24
07/15/21,00:00,1.24
07/16/21,00:00,1.22
07/17/21,00:00,1.24
07/18/21,00:00,1.24
07/19/21,00:00,1.22
07/20/21,00:00,1.24
07/21/21,00:00,1.22
07/22/21,00:00,1.24
07/23/21,00:00,1.22
07/24/21,00:00,1.24
07/25/21,00:00,1.22
07/26/21,00:00,1.24
07/27/21,00:00,1.22
07/28/21,00:00,1.24
07/29/21,00:00,1.22
07/30/21,00:00,1.24
07/31/21,00:00,1.22
08/01/21,00:00,1.24
08/02/21,00:00,1.22
08/03/21,00:00,1.24
08/04/21,00:00,1.22
08/05/21,00:00,1.24
08/06/21,00:00,1.22
08/07/21,00:00,1.24
