date,hour,value
01/01/21,00:00,880
01/02/21,00:00,890
01/03/21,00:00,880
01/04/21,00:00,890
01/05/21,00:00,880
01/06/21,00:00,890
01/07/21,00:00,880
01/08/21,00:00,890
01/09/21,00:00,880
01/10/21,00:00,890
01/11/21,00:00,880
01/12/21,00:00,890
01/13/21,00:00,880
01/14/21,00:00,890
01/15/21,00:00,880
01/16/21,00:00,890
01/17/21,00:00,880
01/18/21,00:00,890
01/19/21,00:00,880
01/20/21,00:00,890
01/21/21,00:00,880
01/22/21,00:00,890
01/23/21,00:00,880
01/24/21,00:00,890
01/25/21,00:00,880
01/26/21,00:00,890
01/27/21,00:00,880
01/28/21,00:00,890
01/29/21,00:00,880
01/30/21,00:00,890
01/31/21,00:00,880
02/01/21,00:00,890
02/02/21,00:00,880
02/03/21,00:00,890
02/04/21,00:00,880
02/05/21,00:00,900
02/06/21,00:00,890
02/07/21,00:00,890
02/08/21,00:00,880
02/09/21,00:00,890
02/10/21,00:00,880
02/11/21,00:00,890
02/12/21,00:00,880
02/13/21,00:00,890
02/14/21,00:00,900
02/15/21,00:00,890
02/16/21,00:00,900
02/17/21,00:00,890
02/18/21,00:00,900
02/19/21,00:00,890
02/20/21,00:00,900
02/21/21,00:00,890
02/22/21,00:00,900
02/23/21,00:00,890
02/24/21,00:00,880
02/25/21,00:00,890
02/26/21,00:00,880
02/27/21,00:00,890
02/28/21,00:00,880
03/01/21,00:00,890
03/02/21,00:00,880
03/03/21,00:00,890
03/04/21,00:00,900
03/05/21,00:00,900
03/06/21,00:00,890
03/07/21,00:00,890
03/08/21,00:00,900
03/09/21,00:00,890
03/10/21,00:00,900
03/11/21,00:00,900
03/12/21,00:00,890
03/13/21,00:00,900
03/14/21,00:00,900
03/15/21,00:00,890
03/16/21,00:00,900
03/17/21,00:00,890
03/18/21,00:00,900
03/19/21,00:00,890
03/20/21,00:00,900
03/21/21,00:00,890
03/22/21,00:00,900
03/23/21,00:00,900
03/24/21,00:00,890
03/25/21,00:00,900
03/26/21,00:00,890
03/27/21,00:00,900
03/28/21,00:00,890
03/29/21,00:00,900
03/30/21,00:00,890
03/31/21,00:00,900
04/01/21,00:00,900
04/02/21,00:00,900
04/03/21,00:00,890
04/04/21,00:00,900
04/05/21,00:00,890
04/06/21,00:00,910
04/07/21,00:00,900
04/08/21,00:00,910
04/09/21,00:00,900
04/10/21,00:00,910
04/11/21,00:00,900
04/12/21,00:00,910
