date,hour,value
01/01/21,00:00,2.8
01/04/21,00:00,2.9
01/07/21,00:00,2.8
01/10/21,00:00,2.9
01/13/21,00:00,2.8
01/16/21,00:00,2.9
01/19/21,00:00,2.8
01/22/21,00:00,2.9
01/25/21,00:00,2.8
01/28/21,00:00,2.9
01/31/21,00:00,2.8
02/03/21,00:00,2.9
02/06/21,00:00,2.8
02/09/21,00:00,2.9
02/13/21,00:00,2.8
02/16/21,00:00,2.9
02/19/21,00:00,2.8
02/22/21,00:00,2.9
02/25/21,00:00,2.8
02/28/21,00:00,2.9
03/03/21,00:00,2.8
03/06/21,00:00,2.8
03/09/21,00:00,2.9
03/12/21,00:00,2.8
03/15/21,00:00,2.9
03/18/21,00:00,2.8
03/21/21,00:00,2.9
03/24/21,00:00,2.8
03/27/21,00:00,2.9
03/30/21,00:00,2.8
04/02/21,00:00,2.9
04/05/21,00:00,2.8
04/08/21,00:00,2.9
04/11/21,00:00,2.8
04/14/21,00:00,2.9
04/17/21,00:00,2.8
04/20/21,00:00,2.9
04/23/21,00:00,2.8
04/26/21,00:00,2.9
04/29/21,00:00,2.8
05/02/21,00:00,2.9
05/05/21,00:00,2.9
05/08/21,00:00,2.8
05/11/21,00:00,2.9
05/14/21,00:00,2.8
05/17/21,00:00,2.9
05/20/21,00:00,2.8
05/23/21,00:00,2.9
05/26/21,00:00,2.9
05/29/21,00:00,2.8
06/01/21,00:00,2.9
06/04/21,00:00,2.8
06/07/21,00:00,2.9
06/10/21,00:00,2.8
06/13/21,00:00,2.9
06/16/21,00:00,2.8
06/19/21,00:00,2.9
06/22/21,00:00,2.8
06/25/21,00:00,2.9
06/28/21,00:00,2.8
07/01/21,00:00,2.9
07/04/21,00:00,2.8
07/07/21,00:00,2.9
07/10/21,00:00,2.8
07/13/21,00:00,2.9
07/16/21,00:00,2.8
07/19/21,00:00,2.9
07/22/21,00:00,2.8
07/25/21,00:00,2.9
07/28/21,00:00,2.9
07/31/21,00:00,2.8
08/03/21,00:00,2.9
08/05/21,00:00,2.8
08/08/21,00:00,2.9
08/11/21,00:00,2.8
08/14/21,00:00,2.9
08/17/21,00:00,2.8
08/20/21,00:00,2.9
08/23/21,00:00,2.8
08/26/21,00:00,2.8
08/29/21,00:00,2.9
09/01/21,00:00,2.8
09/04/21,00:00,2.9
09/07/21,00:00,2.8
09/10/21,00:00,2.9
09/13/21,00:00,2.8
09/16/21,00:00,2.9
09/19/21,00:00,2.8
09/22/21,00:00,2.9
09/25/21,00:00,2.8
09/28/21,00:00,2.9
10/01/21,00:00,2.8
10/04/21,00:00,2.9
10/07/21,00:00,2.8
10/10/21,00:00,2.9
10/13/21,00:00,2.8
10/16/21,00:00,2.9
10/19/21,00:00,2.8
10/22/21,00:00,2.9
10/25/21,00:00,2.8
10/28/21,00:00,2.9
10/31/21,00:00,2.8
11/03/21,00:00,2.9
11/06/21,00:00,2.8
11/09/21,00:00,2.9
11/12/21,00:00,2.8
11/15/21,00:00,2.9
11/18/21,00:00,2.8
11/21/21,00:00,2.9
11/24/21,00:00,2.8
11/27/21,00:00,2.9
11/30/21,00:00,2.8
12/03/21,00:00,2.9
12/06/21,00:00,2.8
12/09/21,00:00,2.9
12/12/21,00:00,2.8
12/15/21,00:00,2.9
12/18/21,00:00,2.8
12/21/21,00:00,2.9
12/24/21,00:00,2.8
12/27/21,00:00,2.9
12/30/21,00:00,2.8
