date,hour,value
01/01/22,00:00,6.80
01/02/22,00:00,6.82
01/03/22,00:00,6.80
01/04/22,00:00,6.80
01/05/22,00:00,6.82
01/06/22,00:00,6.80
01/07/22,00:00,6.82
01/08/22,00:00,6.80
01/09/22,00:00,6.82
01/10/22,00:00,6.80
01/11/22,00:00,6.82
01/12/22,00:00,6.80
01/13/22,00:00,6.82
01/14/22,00:00,6.80
01/17/22,00:00,6.82
01/18/22,00:00,6.80
01/19/22,00:00,6.82
01/20/22,00:00,6.80
01/21/22,00:00,6.82
01/22/22,00:00,6.80
01/23/22,00:00,6.82
01/24/22,00:00,6.80
01/25/22,00:00,6.82
01/26/22,00:00,6.80
01/27/22,00:00,6.82
01/28/22,00:00,6.80
01/29/22,00:00,6.82
01/30/22,00:00,6.80
01/31/22,00:00,6.82
02/01/22,00:00,6.80
02/02/22,00:00,6.82
02/03/22,00:00,6.80
02/04/22,00:00,6.82
02/05/22,00:00,6.80
02/06/22,00:00,6.82
02/07/22,00:00,6.82
02/08/22,00:00,6.80
02/09/22,00:00,6.82
02/10/22,00:00,6.80
02/11/22,00:00,6.82
02/12/22,00:00,6.80
02/13/22,00:00,6.82
02/14/22,00:00,6.80
02/15/22,00:00,6.82
02/16/22,00:00,6.80
02/17/22,00:00,6.80
02/18/22,00:00,6.82
02/19/22,00:00,6.82
02/20/22,00:00,6.80
02/21/22,00:00,6.80
02/22/22,00:00,6.82
02/23/22,00:00,6.80
02/24/22,00:00,6.82
02/25/22,00:00,6.80
02/26/22,00:00,6.82
02/27/22,00:00,6.80
02/28/22,00:00,6.82
03/01/22,00:00,6.82
03/02/22,00:00,6.80
03/03/22,00:00,6.82
03/04/22,00:00,6.80
03/05/22,00:00,6.82
03/06/22,00:00,6.80
03/07/22,00:00,6.82
03/08/22,00:00,6.82
03/09/22,00:00,6.80
03/10/22,00:00,6.82
03/11/22,00:00,6.82
03/12/22,00:00,6.82
03/13/22,00:00,6.80
03/14/22,00:00,6.82
