date,hour,value
01/01/22,00:00,148
01/01/22,01:00,150
01/01/22,02:00,148
01/01/22,03:00,147
01/01/22,04:00,146
01/01/22,05:00,145
01/01/22,06:00,144
01/01/22,07:00,143
01/01/22,08:00,142
01/01/22,09:00,141
01/01/22,10:00,142
01/01/22,11:00,142
01/01/22,12:00,144
01/01/22,13:00,145
01/01/22,14:00,146
01/01/22,15:00,148
01/01/22,16:00,148
01/01/22,17:00,150
01/01/22,18:00,148
01/01/22,19:00,146
01/01/22,20:00,145
01/01/22,21:00,144
01/01/22,22:00,143
01/01/22,23:00,142
01/02/22,00:00,141
01/02/22,01:00,143
01/02/22,02:00,144
01/02/22,03:00,145
01/02/22,04:00,145
01/02/22,05:00,146
01/02/22,06:00,147
01/02/22,07:00,149
01/02/22,08:00,147
01/02/22,09:00,145
01/02/22,10:00,144
01/02/22,11:00,143
01/02/22,12:00,142
01/02/22,13:00,141
01/02/22,14:00,143
01/02/22,15:00,144
01/02/22,16:00,145
01/02/22,17:00,148
01/02/22,18:00,149
01/02/22,19:00,146
01/02/22,20:00,145
01/02/22,21:00,144
01/02/22,22:00,143
01/02/22,23:00,143
01/03/22,00:00,141
01/03/22,01:00,141
01/03/22,02:00,142
01/03/22,03:00,143
01/03/22,04:00,144
01/03/22,05:00,145
01/03/22,06:00,147
01/03/22,07:00,148
01/03/22,08:00,149
01/03/22,09:00,149
01/03/22,10:00,147
01/03/22,11:00,146
01/03/22,12:00,146
01/03/22,13:00,144
01/03/22,14:00,144
01/03/22,15:00,143
01/03/22,16:00,142
01/03/22,17:00,141
01/03/22,18:00,143
01/03/22,19:00,145
01/03/22,20:00,146
01/03/22,21:00,146
01/03/22,22:00,147
01/03/22,23:00,148
01/04/22,00:00,143
01/04/22,01:00,144
01/04/22,02:00,144
01/04/22,03:00,146
01/04/22,04:00,147
01/04/22,05:00,147
01/04/22,06:00,148
01/04/22,07:00,149
01/04/22,08:00,148
01/04/22,09:00,148
01/04/22,10:00,147
01/04/22,11:00,145
01/04/22,12:00,145
01/04/22,13:00,144
01/04/22,14:00,143
01/04/22,15:00,142
01/04/22,16:00,141
01/04/22,17:00,143
01/04/22,18:00,144
01/04/22,19:00,145
01/04/22,20:00,146
01/04/22,21:00,148
01/04/22,22:00,148
01/04/22,23:00,149
01/05/22,00:00,149
01/05/22,01:00,147
01/05/22,02:00,146
01/05/22,03:00,145
01/05/22,04:00,145
01/05/22,05:00,144
01/05/22,06:00,143
01/05/22,07:00,142
01/05/22,08:00,141
01/05/22,09:00,142
01/05/22,10:00,143
01/05/22,11:00,144
01/05/22,12:00,144
01/05/22,13:00,145
01/05/22,14:00,146
01/05/22,15:00,147
01/05/22,16:00,149
01/05/22,17:00,149
01/05/22,18:00,148
01/05/22,19:00,147
01/05/22,20:00,146
01/05/22,21:00,145
01/05/22,22:00,144
01/05/22,23:00,143
01/06/22,00:00,142
01/06/22,01:00,141
01/06/22,02:00,141
01/06/22,03:00,142
01/06/22,04:00,142
01/06/22,05:00,144
01/06/22,06:00,145
01/06/22,07:00,146
01/06/22,08:00,146
01/06/22,09:00,148
01/06/22,10:00,148
01/06/22,11:00,150
01/06/22,12:00,148
01/06/22,13:00,147
01/06/22,14:00,146
01/06/22,15:00,145
01/06/22,16:00,144
01/06/22,17:00,144
01/06/22,18:00,142
01/06/22,19:00,141
01/06/22,20:00,140
01/06/22,21:00,142
01/06/22,22:00,142
01/06/22,23:00,141
01/07/22,00:00,143
01/07/22,01:00,144
01/07/22,02:00,145
01/07/22,03:00,145
01/07/22,04:00,147
01/07/22,05:00,148
01/07/22,06:00,148
01/07/22,07:00,149
01/07/22,08:00,148
01/07/22,09:00,148
01/07/22,10:00,147
01/07/22,11:00,146
01/07/22,12:00,145
01/07/22,13:00,144
01/07/22,14:00,143
01/07/22,15:00,142
01/07/22,16:00,141
01/07/22,17:00,143
01/07/22,18:00,143
01/07/22,19:00,144
01/07/22,20:00,145
01/07/22,21:00,147
01/07/22,22:00,148
01/07/22,23:00,148
01/08/22,00:00,145
01/08/22,01:00,146
01/08/22,02:00,145
01/08/22,03:00,145
01/08/22,04:00,147
01/08/22,05:00,148
01/08/22,06:00,149
01/08/22,07:00,147
01/08/22,08:00,145
01/08/22,09:00,145
01/08/22,10:00,144
01/08/22,11:00,143
01/08/22,12:00,142
01/08/22,13:00,141
01/08/22,14:00,144
01/08/22,15:00,146
01/08/22,16:00,147
01/08/22,17:00,148
01/08/22,18:00,148
01/08/22,19:00,149
01/08/22,20:00,145
01/08/22,21:00,145
01/08/22,22:00,146
01/08/22,23:00,148
01/09/22,00:00,148
01/09/22,01:00,146
01/09/22,02:00,146
01/09/22,03:00,144
01/09/22,04:00,144
01/09/22,05:00,143
01/09/22,06:00,142
01/09/22,07:00,141
01/09/22,08:00,142
01/09/22,09:00,144
01/09/22,10:00,144
01/09/22,11:00,146
01/09/22,12:00,147
01/09/22,13:00,147
01/09/22,14:00,148
01/09/22,15:00,149
01/09/22,16:00,146
01/09/22,17:00,145
01/09/22,18:00,143
01/09/22,19:00,142
01/09/22,20:00,141
01/09/22,21:00,141
01/09/22,22:00,143
01/09/22,23:00,142
01/10/22,00:00,149
01/10/22,01:00,148
01/10/22,02:00,148
01/10/22,03:00,146
01/10/22,04:00,145
01/10/22,05:00,145
01/10/22,06:00,144
01/10/22,07:00,143
01/10/22,08:00,142
01/10/22,09:00,143
01/10/22,10:00,144
01/10/22,11:00,145
01/10/22,12:00,146
01/10/22,13:00,147
01/10/22,14:00,147
01/10/22,15:00,149
01/10/22,16:00,149
01/10/22,17:00,148
01/10/22,18:00,147
01/10/22,19:00,146
01/10/22,20:00,145
01/10/22,21:00,145
01/10/22,22:00,143
01/10/22,23:00,142
01/11/22,00:00,141
01/11/22,01:00,142
01/11/22,02:00,143
01/11/22,03:00,143
01/11/22,04:00,145
01/11/22,05:00,146
01/11/22,06:00,147
01/11/22,07:00,148
01/11/22,08:00,148
01/11/22,09:00,150
01/11/22,10:00,148
01/11/22,11:00,147
01/11/22,12:00,145
01/11/22,13:00,144
01/11/22,14:00,143
01/11/22,15:00,142
01/11/22,16:00,142
01/11/22,17:00,141
01/11/22,18:00,142
01/11/22,19:00,144
01/11/22,20:00,145
01/11/22,21:00,145
01/11/22,22:00,146
01/11/22,23:00,148
01/12/22,00:00,149
01/12/22,01:00,147
01/12/22,02:00,145
01/12/22,03:00,144
01/12/22,04:00,143
01/12/22,05:00,142
01/12/22,06:00,140
01/12/22,07:00,141
01/12/22,08:00,143
01/12/22,09:00,144
01/12/22,10:00,145
01/12/22,11:00,146
01/12/22,12:00,147
01/12/22,13:00,147
01/12/22,14:00,148
01/12/22,15:00,150
01/12/22,16:00,148
01/12/22,17:00,146
01/12/22,18:00,145
01/12/22,19:00,144
01/12/22,20:00,143
01/12/22,21:00,142
01/12/22,22:00,141
01/12/22,23:00,141
01/13/22,00:00,142
01/13/22,01:00,143
01/13/22,02:00,144
01/13/22,03:00,144
01/13/22,04:00,146
01/13/22,05:00,146
01/13/22,06:00,148
01/13/22,07:00,149
01/13/22,08:00,147
01/13/22,09:00,150
01/13/22,10:00,148
01/13/22,11:00,147
01/13/22,12:00,146
01/13/22,13:00,145
01/13/22,14:00,144
01/13/22,15:00,144
01/13/22,16:00,142
01/13/22,17:00,141
01/13/22,18:00,140
01/13/22,19:00,142
01/13/22,20:00,143
01/13/22,21:00,144
01/13/22,22:00,145
01/13/22,23:00,146
01/14/22,00:00,146
01/14/22,01:00,148
01/14/22,02:00,148
01/14/22,03:00,149
01/14/22,04:00,148
01/14/22,05:00,147
01/14/22,06:00,146
01/14/22,07:00,144
01/14/22,08:00,143
01/14/22,09:00,145
01/14/22,10:00,146
01/14/22,11:00,147
01/14/22,12:00,147
01/14/22,13:00,149
01/14/22,14:00,150
01/14/22,15:00,150
01/14/22,16:00,149
01/14/22,17:00,145
01/14/22,18:00,144
01/14/22,19:00,144
01/14/22,20:00,143
01/14/22,21:00,142
01/14/22,22:00,141
01/14/22,23:00,141
01/15/22,00:00,142
01/15/22,01:00,144
01/15/22,02:00,145
01/15/22,03:00,146
01/15/22,04:00,146
01/15/22,05:00,148
01/15/22,06:00,149
01/15/22,07:00,150
01/15/22,08:00,151
01/15/22,09:00,150
01/15/22,10:00,145
01/15/22,11:00,144
01/15/22,12:00,144
01/15/22,13:00,142
01/15/22,14:00,141
01/15/22,15:00,143
01/15/22,16:00,144
01/15/22,17:00,145
01/15/22,18:00,147
01/15/22,19:00,148
01/15/22,20:00,149
01/15/22,21:00,150
01/15/22,22:00,148
01/15/22,23:00,146
01/16/22,00:00,144
01/16/22,01:00,146
01/16/22,02:00,147
01/16/22,03:00,148
01/16/22,04:00,150
01/16/22,05:00,152
01/16/22,06:00,153
01/16/22,07:00,153
01/16/22,08:00,155
01/16/22,09:00,156
01/16/22,10:00,154
01/16/22,11:00,153
01/16/22,12:00,150
01/16/22,13:00,151
01/16/22,14:00,152
01/17/22,00:00,148
01/17/22,01:00,147
01/17/22,02:00,146
01/17/22,03:00,145
01/17/22,04:00,143
01/17/22,05:00,146
01/17/22,06:00,147
01/17/22,07:00,148
01/17/22,08:00,149
01/17/22,09:00,150
01/18/22,00:00,149
01/18/22,01:00,149
01/18/22,02:00,151
01/18/22,03:00,148
01/18/22,04:00,148
01/18/22,05:00,146
01/18/22,06:00,146
01/18/22,07:00,144
01/18/22,08:00,146
01/18/22,09:00,147
01/19/22,00:00,149
01/19/22,01:00,150
01/19/22,02:00,149
01/19/22,03:00,147
01/19/22,04:00,147
01/19/22,05:00,146
01/19/22,06:00,145
01/19/22,07:00,144
01/19/22,08:00,143
01/19/22,09:00,142
01/20/22,00:00,148
01/20/22,01:00,149
01/20/22,02:00,149
01/20/22,03:00,151
01/20/22,04:00,147
01/20/22,05:00,145
01/20/22,06:00,146
01/20/22,07:00,145
01/20/22,08:00,144
01/20/22,09:00,142
01/21/22,00:00,147
01/21/22,01:00,148
01/21/22,02:00,149
01/21/22,03:00,150
01/21/22,04:00,147
01/21/22,05:00,146
01/21/22,06:00,145
01/21/22,07:00,143
01/21/22,08:00,142
01/21/22,09:00,143
01/24/22,00:00,145
01/24/22,01:00,146
01/24/22,02:00,147
01/24/22,03:00,148
01/24/22,04:00,148
01/24/22,05:00,150
01/24/22,06:00,148
01/24/22,07:00,147
01/24/22,08:00,146
01/24/22,09:00,144
01/25/22,00:00,143
01/25/22,01:00,145
01/25/22,02:00,146
01/25/22,03:00,147
01/25/22,04:00,147
01/25/22,05:00,148
01/25/22,06:00,149
01/25/22,07:00,147
01/25/22,08:00,147
01/25/22,09:00,144
01/26/22,00:00,145
01/26/22,01:00,146
01/26/22,02:00,146
01/26/22,03:00,147
01/26/22,04:00,148
01/26/22,05:00,149
01/26/22,06:00,147
01/26/22,07:00,146
01/26/22,08:00,145
01/26/22,09:00,144
01/27/22,00:00,148
01/27/22,01:00,148
01/27/22,02:00,149
01/27/22,03:00,147
01/27/22,04:00,146
01/27/22,05:00,144
01/27/22,06:00,144
01/27/22,07:00,143
01/27/22,08:00,142
01/27/22,09:00,141
01/31/22,00:00,144
01/31/22,01:00,145
01/31/22,02:00,146
01/31/22,03:00,146
01/31/22,04:00,148
01/31/22,05:00,148
01/31/22,06:00,149
01/31/22,07:00,147
01/31/22,08:00,146
01/31/22,09:00,145
02/01/22,00:00,148
02/01/22,01:00,148
02/01/22,02:00,149
02/01/22,03:00,147
02/01/22,04:00,146
02/01/22,05:00,145
02/01/22,06:00,144
02/01/22,07:00,143
02/01/22,08:00,142
02/01/22,09:00,141
02/02/22,00:00,146
02/02/22,01:00,148
02/02/22,02:00,148
02/02/22,03:00,149
02/02/22,04:00,146
02/02/22,05:00,145
02/02/22,06:00,144
02/02/22,07:00,143
02/02/22,08:00,142
02/02/22,09:00,141
02/03/22,00:00,148
02/03/22,01:00,149
02/03/22,02:00,148
02/03/22,03:00,146
02/03/22,04:00,146
02/03/22,05:00,144
02/03/22,06:00,142
02/03/22,07:00,142
02/03/22,08:00,143
02/03/22,09:00,145
02/04/22,00:00,147
02/04/22,01:00,146
02/04/22,02:00,145
02/04/22,03:00,143
02/04/22,04:00,142
02/04/22,05:00,141
02/04/22,06:00,145
02/04/22,07:00,146
02/04/22,08:00,147
02/04/22,09:00,148
02/07/22,00:00,148
02/07/22,01:00,148
02/07/22,02:00,149
02/07/22,03:00,147
02/07/22,04:00,145
02/07/22,05:00,145
02/07/22,06:00,143
02/07/22,07:00,143
02/07/22,08:00,142
02/07/22,09:00,141
02/08/22,00:00,148
02/08/22,01:00,149
02/08/22,02:00,147
02/08/22,03:00,146
02/08/22,04:00,145
02/08/22,05:00,144
02/08/22,06:00,143
02/08/22,07:00,142
02/08/22,08:00,141
02/08/22,09:00,144
02/09/22,00:00,149
02/09/22,01:00,148
02/09/22,02:00,147
02/09/22,03:00,146
02/09/22,04:00,145
02/09/22,05:00,143
02/09/22,06:00,142
02/09/22,07:00,141
02/09/22,08:00,144
02/09/22,09:00,144
02/10/22,00:00,148
02/10/22,01:00,147
02/10/22,02:00,145
02/10/22,03:00,145
02/10/22,04:00,144
02/10/22,05:00,142
02/10/22,06:00,141
02/10/22,07:00,141
02/10/22,08:00,144
02/10/22,09:00,147
02/11/22,00:00,144
02/11/22,01:00,145
02/11/22,02:00,145
02/11/22,03:00,146
02/11/22,04:00,147
02/11/22,05:00,148
02/11/22,06:00,149
02/11/22,07:00,147
02/11/22,08:00,145
02/11/22,09:00,144
02/14/22,00:00,148
02/14/22,01:00,149
02/14/22,02:00,148
02/14/22,03:00,147
02/14/22,04:00,146
02/14/22,05:00,145
02/14/22,06:00,144
02/14/22,07:00,142
02/14/22,08:00,142
02/14/22,09:00,141
02/15/22,00:00,143
02/15/22,01:00,144
02/15/22,02:00,145
02/15/22,03:00,145
02/15/22,04:00,146
02/15/22,05:00,148
02/15/22,06:00,149
02/15/22,07:00,149
02/15/22,08:00,147
02/15/22,09:00,146
02/16/22,00:00,146
