date,hour,value
01/03/23,00:00,9.24
01/04/23,00:00,9.22
01/05/23,00:00,9.22
01/09/23,00:00,9.24
01/10/23,00:00,9.22
01/11/23,00:00,9.24
01/12/23,00:00,9.22
01/13/23,00:00,9.24
01/16/23,00:00,9.22
01/17/23,00:00,9.24
01/18/23,00:00,9.22
01/19/23,00:00,9.22
01/20/23,00:00,9.24
01/23/23,00:00,9.22
01/24/23,00:00,9.24
01/25/23,00:00,9.22
01/26/23,00:00,9.24
01/27/23,00:00,9.26
01/30/23,00:00,9.24
01/31/23,00:00,9.22
02/01/23,00:00,9.22
02/02/23,00:00,9.24
02/03/23,00:00,9.22
02/06/23,00:00,9.24
02/07/23,00:00,9.22
02/08/23,00:00,9.24
02/09/23,00:00,9.22
02/10/23,00:00,9.24
02/13/23,00:00,9.24
02/14/23,00:00,9.22
02/15/23,00:00,9.24
02/16/23,00:00,9.22
02/17/23,00:00,9.24
02/20/23,00:00,9.22
02/21/23,00:00,9.24
02/22/23,00:00,9.22
02/23/23,00:00,9.24
02/24/23,00:00,9.24
02/27/23,00:00,9.22
02/28/23,00:00,9.24
03/01/23,00:00,9.24
03/02/23,00:00,9.22
03/03/23,00:00,9.24
03/06/23,00:00,9.22
03/07/23,00:00,9.24
03/09/23,00:00,9.22
03/10/23,00:00,9.24
03/13/23,00:00,9.22
03/14/23,00:00,9.24
03/15/23,00:00,9.24
03/16/23,00:00,9.26
03/17/23,00:00,9.24
03/20/23,00:00,9.22
03/21/23,00:00,9.24
03/22/23,00:00,9.22
03/23/23,00:00,9.26
03/24/23,00:00,9.24
03/27/23,00:00,9.22
03/28/23,00:00,9.24
03/29/23,00:00,9.22
03/30/23,00:00,9.24
03/31/23,00:00,9.24
04/03/23,00:00,9.22
04/04/23,00:00,9.24
04/05/23,00:00,9.24
04/06/23,00:00,9.24
04/07/23,00:00,9.22
04/10/23,00:00,9.24
04/11/23,00:00,9.22
04/12/23,00:00,9.24
04/13/23,00:00,9.22
04/14/23,00:00,9.24
04/17/23,00:00,9.22
04/18/23,00:00,9.24
04/19/23,00:00,9.22
04/20/23,00:00,9.24
04/21/23,00:00,9.22
04/25/23,00:00,9.24
04/26/23,00:00,9.22
04/27/23,00:00,9.24
04/28/23,00:00,9.22
05/02/23,00:00,9.24
05/03/23,00:00,9.22
05/04/23,00:00,9.24
05/05/23,00:00,9.22
05/08/23,00:00,9.24
05/10/23,00:00,9.22
05/11/23,00:00,9.22
05/12/23,00:00,9.24
05/15/23,00:00,9.22
05/16/23,00:00,9.24
05/17/23,00:00,9.22
05/18/23,00:00,9.22
05/19/23,00:00,9.24
05/22/23,00:00,9.22
05/23/23,00:00,9.24
05/24/23,00:00,9.22
05/25/23,00:00,9.24
05/26/23,00:00,9.22
05/29/23,00:00,9.22
05/30/23,00:00,9.24
05/31/23,00:00,9.22
06/01/23,00:00,9.24
06/02/23,00:00,9.22
06/05/23,00:00,9.22
06/06/23,00:00,9.24
06/07/23,00:00,9.22
06/08/23,00:00,9.24
06/09/23,00:00,9.22
06/12/23,00:00,9.24
06/13/23,00:00,9.24
06/14/23,00:00,9.22
06/15/23,00:00,9.24
06/16/23,00:00,9.22
06/19/23,00:00,9.24
06/20/23,00:00,9.22
06/21/23,00:00,9.24
06/22/23,00:00,9.22
06/23/23,00:00,9.20
06/26/23,00:00,9.22
06/27/23,00:00,9.24
06/28/23,00:00,9.22
06/29/23,00:00,9.24
06/30/23,00:00,9.20
07/03/23,00:00,9.22
07/04/23,00:00,9.22
07/06/23,00:00,9.24
07/07/23,00:00,9.22
07/10/23,00:00,9.24
07/11/23,00:00,9.22
07/12/23,00:00,9.24
07/13/23,00:00,9.22
07/14/23,00:00,9.24
07/17/23,00:00,9.22
07/18/23,00:00,9.22
07/19/23,00:00,9.24
07/20/23,00:00,9.22
07/21/23,00:00,9.24
07/24/23,00:00,9.22
07/25/23,00:00,9.24
07/26/23,00:00,9.22
07/27/23,00:00,9.22
07/28/23,00:00,9.24
