date,hour,value
01/03/23,00:00,2.4
01/04/23,00:00,2.2
01/05/23,00:00,2.4
01/09/23,00:00,2.2
01/10/23,00:00,2.4
01/11/23,00:00,2.2
01/12/23,00:00,2.4
01/13/23,00:00,2.2
01/16/23,00:00,2.4
01/17/23,00:00,2.4
01/18/23,00:00,2.2
01/19/23,00:00,2.2
01/20/23,00:00,2.4
01/23/23,00:00,2.2
01/24/23,00:00,2.4
01/25/23,00:00,2.2
01/26/23,00:00,2.2
01/27/23,00:00,2.4
01/30/23,00:00,2.2
01/31/23,00:00,2.4
02/01/23,00:00,2.2
02/02/23,00:00,2.4
02/03/23,00:00,2.2
02/06/23,00:00,2.4
02/07/23,00:00,2.4
02/08/23,00:00,2.2
02/09/23,00:00,2.4
02/10/23,00:00,2.2
02/13/23,00:00,2.4
02/14/23,00:00,2.2
02/15/23,00:00,2.4
02/16/23,00:00,2.2
02/17/23,00:00,2.4
02/20/23,00:00,2.2
02/21/23,00:00,2.4
02/22/23,00:00,2.4
02/23/23,00:00,2.2
02/24/23,00:00,2.2
02/27/23,00:00,2.4
02/28/23,00:00,2.2
03/01/23,00:00,2.2
03/02/23,00:00,2.4
03/03/23,00:00,2.2
03/06/23,00:00,2.4
03/07/23,00:00,2.2
03/09/23,00:00,2.2
03/10/23,00:00,2.4
03/13/23,00:00,2.2
03/14/23,00:00,2.4
03/15/23,00:00,2.2
03/16/23,00:00,2.4
03/17/23,00:00,2.2
03/20/23,00:00,2.2
03/21/23,00:00,2.4
03/22/23,00:00,2.2
03/23/23,00:00,2.4
03/24/23,00:00,2.4
03/27/23,00:00,2.2
03/28/23,00:00,2.4
03/29/23,00:00,2.2
03/30/23,00:00,2.4
03/31/23,00:00,2.2
04/03/23,00:00,2.4
04/04/23,00:00,2.2
04/05/23,00:00,2.2
04/06/23,00:00,2.4
04/07/23,00:00,2.2
04/10/23,00:00,2.4
04/11/23,00:00,2.2
04/12/23,00:00,2.4
04/13/23,00:00,2.2
04/14/23,00:00,2.4
04/17/23,00:00,2.2
04/18/23,00:00,2.4
04/19/23,00:00,2.2
04/20/23,00:00,2.4
04/21/23,00:00,2.2
04/25/23,00:00,2.4
04/26/23,00:00,2.2
04/27/23,00:00,2.2
04/28/23,00:00,2.4
05/02/23,00:00,2.2
05/03/23,00:00,2.4
05/04/23,00:00,2.2
05/05/23,00:00,2.4
05/08/23,00:00,2.2
05/10/23,00:00,2.4
05/11/23,00:00,2.2
05/12/23,00:00,2.4
05/15/23,00:00,2.2
05/16/23,00:00,2.4
05/17/23,00:00,2.2
05/18/23,00:00,2.4
05/19/23,00:00,2.2
05/22/23,00:00,2.4
05/23/23,00:00,2.2
05/24/23,00:00,2.2
05/25/23,00:00,2.4
05/26/23,00:00,2.2
05/29/23,00:00,2.2
05/30/23,00:00,2.4
05/31/23,00:00,2.2
06/01/23,00:00,2.4
06/02/23,00:00,2.2
06/05/23,00:00,2.4
06/06/23,00:00,2.2
06/07/23,00:00,2.4
06/08/23,00:00,2.2
06/09/23,00:00,2.4
06/12/23,00:00,2.2
06/13/23,00:00,2.2
06/14/23,00:00,2.4
06/15/23,00:00,2.2
06/16/23,00:00,2.4
06/19/23,00:00,2.2
06/20/23,00:00,2.4
06/21/23,00:00,2.2
06/22/23,00:00,2.4
06/23/23,00:00,2.2
06/26/23,00:00,2.4
06/27/23,00:00,2.2
06/28/23,00:00,2.4
06/29/23,00:00,2.2
06/30/23,00:00,2.4
07/03/23,00:00,2.2
07/04/23,00:00,2.4
07/06/23,00:00,2.2
07/07/23,00:00,2.4
07/10/23,00:00,2.2
07/11/23,00:00,2.4
07/12/23,00:00,2.2
07/13/23,00:00,2.4
07/14/23,00:00,2.2
07/17/23,00:00,2.4
07/18/23,00:00,2.2
07/19/23,00:00,2.4
07/20/23,00:00,2.2
07/21/23,00:00,2.4
07/24/23,00:00,2.2
07/25/23,00:00,2.2
07/26/23,00:00,2.4
07/27/23,00:00,2.2
07/28/23,00:00,2.4
