date,hour,value
01/03/23,00:00,6.80
01/04/23,00:00,6.82
01/05/23,00:00,6.78
01/09/23,00:00,6.80
01/10/23,00:00,6.82
01/11/23,00:00,6.80
01/12/23,00:00,6.82
01/13/23,00:00,6.80
01/16/23,00:00,6.82
01/17/23,00:00,6.80
01/18/23,00:00,6.82
01/19/23,00:00,6.80
01/20/23,00:00,6.78
01/23/23,00:00,6.80
01/24/23,00:00,6.82
01/25/23,00:00,6.80
01/26/23,00:00,6.82
01/27/23,00:00,6.78
01/30/23,00:00,6.80
01/31/23,00:00,6.82
02/01/23,00:00,6.80
02/02/23,00:00,6.82
02/03/23,00:00,6.80
02/06/23,00:00,6.82
02/07/23,00:00,6.80
02/08/23,00:00,6.82
02/09/23,00:00,6.82
02/10/23,00:00,6.80
02/13/23,00:00,6.82
02/14/23,00:00,6.80
02/15/23,00:00,6.82
02/16/23,00:00,6.82
02/17/23,00:00,6.80
02/20/23,00:00,6.80
02/21/23,00:00,6.82
02/22/23,00:00,6.78
02/23/23,00:00,6.80
02/24/23,00:00,6.82
02/27/23,00:00,6.80
02/28/23,00:00,6.82
03/01/23,00:00,6.80
03/02/23,00:00,6.82
03/03/23,00:00,6.80
03/06/23,00:00,6.82
03/07/23,00:00,6.82
03/09/23,00:00,6.80
03/10/23,00:00,6.82
03/13/23,00:00,6.80
03/14/23,00:00,6.82
03/15/23,00:00,6.78
03/16/23,00:00,6.80
03/17/23,00:00,6.82
03/20/23,00:00,6.78
03/21/23,00:00,6.80
03/22/23,00:00,6.82
03/23/23,00:00,6.82
03/24/23,00:00,6.80
03/27/23,00:00,6.82
03/28/23,00:00,6.78
03/29/23,00:00,6.80
03/30/23,00:00,6.82
03/31/23,00:00,6.80
04/03/23,00:00,6.78
04/04/23,00:00,6.80
04/05/23,00:00,6.82
04/06/23,00:00,6.78
04/07/23,00:00,6.80
04/10/23,00:00,6.78
04/11/23,00:00,6.82
04/12/23,00:00,6.80
04/13/23,00:00,6.82
04/14/23,00:00,6.78
04/17/23,00:00,6.80
04/18/23,00:00,6.82
04/19/23,00:00,6.80
04/20/23,00:00,6.82
04/21/23,00:00,6.80
04/25/23,00:00,6.82
04/26/23,00:00,6.80
04/27/23,00:00,6.80
04/28/23,00:00,6.78
05/02/23,00:00,6.80
05/03/23,00:00,6.82
05/04/23,00:00,6.80
05/05/23,00:00,6.78
05/08/23,00:00,6.82
05/10/23,00:00,6.80
05/11/23,00:00,6.82
05/12/23,00:00,6.78
05/15/23,00:00,6.80
05/16/23,00:00,6.82
05/17/23,00:00,6.78
05/18/23,00:00,6.80
05/19/23,00:00,6.82
05/22/23,00:00,6.80
05/23/23,00:00,6.78
05/24/23,00:00,6.80
05/25/23,00:00,6.82
05/26/23,00:00,6.80
05/29/23,00:00,6.82
05/30/23,00:00,6.78
05/31/23,00:00,6.82
06/01/23,00:00,6.80
06/02/23,00:00,6.82
06/05/23,00:00,6.78
06/06/23,00:00,6.80
06/07/23,00:00,6.78
06/08/23,00:00,6.80
06/09/23,00:00,6.82
06/12/23,00:00,6.78
06/13/23,00:00,6.80
06/14/23,00:00,6.78
06/15/23,00:00,6.80
06/16/23,00:00,6.82
06/19/23,00:00,6.80
06/20/23,00:00,6.78
06/21/23,00:00,6.80
06/22/23,00:00,6.82
06/23/23,00:00,6.78
06/26/23,00:00,6.80
06/27/23,00:00,6.82
06/28/23,00:00,6.78
06/29/23,00:00,6.80
06/30/23,00:00,6.82
07/03/23,00:00,6.78
07/04/23,00:00,6.80
07/06/23,00:00,6.82
07/07/23,00:00,6.80
07/10/23,00:00,6.82
07/11/23,00:00,6.80
07/12/23,00:00,6.82
07/13/23,00:00,6.80
07/14/23,00:00,6.82
07/17/23,00:00,6.80
07/18/23,00:00,6.82
07/19/23,00:00,6.78
07/20/23,00:00,6.80
07/21/23,00:00,6.78
07/24/23,00:00,6.80
07/25/23,00:00,6.82
07/26/23,00:00,6.80
07/27/23,00:00,6.82
07/28/23,00:00,6.80
