date,hour,value
01/01/21,00:00,17.32
01/02/21,00:00,17.32
01/03/21,00:00,17.32
01/04/21,00:00,17.32
01/05/21,00:00,17.32
01/06/21,00:00,17.32
01/07/21,00:00,17.32
01/08/21,00:00,17.42
01/09/21,00:00,17.52
01/10/21,00:00,17.42
01/11/21,00:00,17.42
01/12/21,00:00,17.42
01/13/21,00:00,17.32
01/14/21,00:00,17.32
01/15/21,00:00,16.82
01/16/21,00:00,17.03
01/17/21,00:00,16.82
01/18/21,00:00,16.93
01/19/21,00:00,17.32
01/20/21,00:00,17.12
01/21/21,00:00,16.82
01/22/21,00:00,17.22
01/23/21,00:00,17.22
01/24/21,00:00,17.03
01/25/21,00:00,17.32
01/26/21,00:00,17.03
01/27/21,00:00,16.52
01/28/21,00:00,16.52
01/29/21,00:00,16.62
01/30/21,00:00,16.72
01/31/21,00:00,16.82
02/01/21,00:00,16.72
02/02/21,00:00,17.03
02/03/21,00:00,16.93
02/04/21,00:00,17.03
02/05/21,00:00,16.93
02/06/21,00:00,16.93
02/07/21,00:00,16.82
02/08/21,00:00,17.12
02/09/21,00:00,17.12
02/10/21,00:00,17.22
02/11/21,00:00,17.22
02/12/21,00:00,17.03
02/13/21,00:00,16.82
02/14/21,00:00,17.03
02/15/21,00:00,17.32
02/16/21,00:00,16.72
02/17/21,00:00,16.82
02/18/21,00:00,16.82
02/19/21,00:00,17.03
02/20/21,00:00,16.93
02/21/21,00:00,17.03
02/22/21,00:00,17.12
02/23/21,00:00,17.03
02/24/21,00:00,17.03
02/25/21,00:00,17.12
02/26/21,00:00,16.93
02/27/21,00:00,17.03
02/28/21,00:00,17.12
03/01/21,00:00,17.03
03/02/21,00:00,17.12
03/03/21,00:00,16.82
03/04/21,00:00,16.82
03/05/21,00:00,16.62
03/06/21,00:00,16.82
03/07/21,00:00,16.62
03/08/21,00:00,16.82
03/09/21,00:00,16.93
03/10/21,00:00,16.82
03/11/21,00:00,16.82
03/12/21,00:00,16.93
03/13/21,00:00,16.82
03/14/21,00:00,16.93
03/15/21,00:00,17.03
03/16/21,00:00,16.93
03/17/21,00:00,16.82
03/18/21,00:00,16.93
03/19/21,00:00,16.82
03/20/21,00:00,17.12
03/21/21,00:00,17.12
03/22/21,00:00,17.22
03/23/21,00:00,17.12
03/24/21,00:00,17.22
03/25/21,00:00,17.12
03/26/21,00:00,17.12
03/27/21,00:00,16.82
03/28/21,00:00,17.03
03/29/21,00:00,16.93
03/30/21,00:00,17.12
03/31/21,00:00,17.22
04/01/21,00:00,17.22
04/02/21,00:00,16.93
04/03/21,00:00,17.32
04/04/21,00:00,17.22
04/05/21,00:00,17.12
04/06/21,00:00,17.22
04/07/21,00:00,17.12
04/08/21,00:00,16.93
04/09/21,00:00,17.03
04/10/21,00:00,16.93
04/11/21,00:00,17.03
04/12/21,00:00,17.03
04/13/21,00:00,16.93
04/14/21,00:00,17.12
04/15/21,00:00,17.03
04/16/21,00:00,17.03
04/17/21,00:00,16.93
04/18/21,00:00,17.03
04/19/21,00:00,17.03
04/20/21,00:00,16.82
04/21/21,00:00,16.62
04/22/21,00:00,16.62
04/23/21,00:00,16.82
04/24/21,00:00,16.62
04/25/21,00:00,16.72
04/26/21,00:00,16.92
04/27/21,00:00,17.03
04/28/21,00:00,16.92
04/29/21,00:00,16.92
04/30/21,00:00,17.03
05/01/21,00:00,16.72
05/02/21,00:00,16.82
05/03/21,00:00,16.82
05/04/21,00:00,17.22
05/05/21,00:00,17.22
05/06/21,00:00,17.32
05/07/21,00:00,17.22
05/08/21,00:00,17.12
05/09/21,00:00,17.12
05/10/21,00:00,17.02
05/11/21,00:00,16.82
05/12/21,00:00,17.12
05/13/21,00:00,17.12
05/14/21,00:00,16.93
05/15/21,00:00,16.62
05/16/21,00:00,16.62
05/17/21,00:00,16.72
05/18/21,00:00,17.03
05/19/21,00:00,16.82
05/20/21,00:00,16.82
05/21/21,00:00,16.93
05/22/21,00:00,17.12
05/23/21,00:00,17.03
05/24/21,00:00,17.03
05/25/21,00:00,16.82
05/26/21,00:00,16.93
05/27/21,00:00,16.82
05/28/21,00:00,16.72
05/29/21,00:00,16.62
05/30/21,00:00,16.62
05/31/21,00:00,16.82
06/01/21,00:00,16.93
06/02/21,00:00,16.72
06/03/21,00:00,16.93
06/04/21,00:00,17.03
06/05/21,00:00,16.82
06/06/21,00:00,16.93
06/07/21,00:00,17.03
06/08/21,00:00,17.03
06/09/21,00:00,16.82
06/10/21,00:00,16.72
06/11/21,00:00,16.72
06/12/21,00:00,16.72
06/13/21,00:00,16.72
06/14/21,00:00,16.72
06/15/21,00:00,17.03
06/16/21,00:00,17.03
06/17/21,00:00,16.93
06/18/21,00:00,17.03
06/19/21,00:00,17.03
06/20/21,00:00,17.12
06/21/21,00:00,16.73
06/22/21,00:00,16.62
06/23/21,00:00,16.73
06/24/21,00:00,16.82
06/25/21,00:00,16.62
06/26/21,00:00,16.82
06/27/21,00:00,16.82
06/28/21,00:00,16.72
06/29/21,00:00,16.32
06/30/21,00:00,16.42
07/01/21,00:00,16.32
07/02/21,00:00,16.42
07/03/21,00:00,16.82
07/04/21,00:00,16.93
07/05/21,00:00,16.82
07/06/21,00:00,16.82
07/07/21,00:00,16.82
07/08/21,00:00,16.82
07/09/21,00:00,16.93
07/10/21,00:00,16.62
07/11/21,00:00,16.82
07/12/21,00:00,16.82
07/13/21,00:00,16.82
07/14/21,00:00,16.72
07/15/21,00:00,16.82
07/16/21,00:00,16.82
07/17/21,00:00,16.72
07/18/21,00:00,16.72
07/19/21,00:00,16.62
07/20/21,00:00,16.62
07/21/21,00:00,16.62
07/22/21,00:00,16.72
07/23/21,00:00,16.62
07/24/21,00:00,16.82
07/25/21,00:00,16.62
07/26/21,00:00,16.62
07/27/21,00:00,16.52
07/28/21,00:00,16.52
07/29/21,00:00,16.72
07/30/21,00:00,16.52
07/31/21,00:00,16.82
08/01/21,00:00,16.82
08/02/21,00:00,17.03
08/03/21,00:00,16.82
08/04/21,00:00,16.82
08/05/21,00:00,16.82
08/06/21,00:00,16.72
08/07/21,00:00,16.62
08/08/21,00:00,16.62
08/09/21,00:00,16.52
08/10/21,00:00,16.62
08/11/21,00:00,16.62
08/12/21,00:00,16.82
08/13/21,00:00,16.52
08/14/21,00:00,16.52
08/15/21,00:00,16.62
08/16/21,00:00,16.52
08/17/21,00:00,16.93
08/18/21,00:00,17.12
08/19/21,00:00,16.62
08/20/21,00:00,16.52
08/21/21,00:00,16.52
08/22/21,00:00,16.72
08/23/21,00:00,16.72
08/24/21,00:00,16.82
08/25/21,00:00,16.93
08/26/21,00:00,16.82
08/27/21,00:00,16.93
08/28/21,00:00,17.03
08/29/21,00:00,17.03
08/30/21,00:00,16.93
08/31/21,00:00,17.03
09/01/21,00:00,16.93
09/02/21,00:00,16.82
09/03/21,00:00,16.72
09/04/21,00:00,16.82
09/05/21,00:00,17.03
09/06/21,00:00,16.93
09/07/21,00:00,16.72
09/08/21,00:00,16.62
09/09/21,00:00,16.72
09/10/21,00:00,16.62
09/11/21,00:00,16.72
09/12/21,00:00,16.82
09/13/21,00:00,17.03
09/14/21,00:00,16.82
09/15/21,00:00,16.93
09/16/21,00:00,16.72
09/17/21,00:00,16.82
09/18/21,00:00,16.82
09/19/21,00:00,16.93
09/20/21,00:00,16.82
09/21/21,00:00,16.72
09/22/21,00:00,17.03
09/23/21,00:00,16.93
09/24/21,00:00,17.03
09/25/21,00:00,16.82
09/26/21,00:00,17.03
09/27/21,00:00,16.93
09/28/21,00:00,16.82
09/29/21,00:00,16.82
09/30/21,00:00,16.82
10/01/21,00:00,16.93
10/02/21,00:00,16.93
