date,hour,value
01/01/21,00:00,0.91
01/02/21,00:00,0.91
01/03/21,00:00,0.87
01/04/21,00:00,0.87
01/05/21,00:00,0.84
01/06/21,00:00,0.91
01/07/21,00:00,0.91
01/08/21,00:00,0.91
01/09/21,00:00,0.87
01/10/21,00:00,0.87
01/11/21,00:00,0.91
01/12/21,00:00,0.91
01/13/21,00:00,0.87
01/14/21,00:00,0.91
01/15/21,00:00,0.84
01/16/21,00:00,0.84
01/17/21,00:00,0.87
01/18/21,00:00,0.87
01/19/21,00:00,0.84
01/20/21,00:00,0.84
01/21/21,00:00,0.87
01/22/21,00:00,0.87
01/23/21,00:00,0.84
01/24/21,00:00,0.87
01/25/21,00:00,0.87
01/26/21,00:00,0.87
01/27/21,00:00,0.84
01/28/21,00:00,0.84
01/29/21,00:00,0.87
01/30/21,00:00,0.87
01/31/21,00:00,0.87
02/01/21,00:00,0.91
02/02/21,00:00,0.80
02/03/21,00:00,0.80
02/04/21,00:00,0.80
02/05/21,00:00,0.80
02/06/21,00:00,0.80
02/07/21,00:00,0.87
02/08/21,00:00,0.87
02/09/21,00:00,0.87
02/10/21,00:00,0.84
02/11/21,00:00,0.84
02/12/21,00:00,0.84
02/13/21,00:00,0.84
02/14/21,00:00,0.87
02/15/21,00:00,0.84
02/16/21,00:00,0.87
02/17/21,00:00,0.91
02/18/21,00:00,0.91
02/19/21,00:00,0.91
02/20/21,00:00,0.91
02/21/21,00:00,0.91
02/22/21,00:00,0.91
02/23/21,00:00,0.91
02/24/21,00:00,0.91
02/25/21,00:00,0.91
02/26/21,00:00,0.91
02/27/21,00:00,0.91
02/28/21,00:00,0.91
03/01/21,00:00,0.87
03/02/21,00:00,0.91
03/03/21,00:00,0.91
03/04/21,00:00,0.94
03/05/21,00:00,0.94
03/06/21,00:00,0.91
03/07/21,00:00,0.91
03/08/21,00:00,0.91
03/09/21,00:00,0.84
03/10/21,00:00,0.84
03/11/21,00:00,0.84
03/12/21,00:00,0.84
03/13/21,00:00,0.80
03/14/21,00:00,0.80
03/15/21,00:00,0.80
03/16/21,00:00,0.80
03/17/21,00:00,0.80
03/18/21,00:00,0.80
03/19/21,00:00,0.80
03/20/21,00:00,0.84
03/21/21,00:00,0.84
03/22/21,00:00,0.84
03/23/21,00:00,0.84
03/24/21,00:00,0.84
03/25/21,00:00,0.87
03/26/21,00:00,0.87
03/27/21,00:00,0.80
03/28/21,00:00,0.80
03/29/21,00:00,0.80
03/30/21,00:00,0.87
03/31/21,00:00,0.87
04/01/21,00:00,0.87
04/02/21,00:00,0.87
04/03/21,00:00,0.84
04/04/21,00:00,0.84
04/05/21,00:00,0.84
04/06/21,00:00,0.91
04/07/21,00:00,0.91
04/08/21,00:00,0.91
04/09/21,00:00,0.91
04/10/21,00:00,0.84
04/11/21,00:00,0.87
04/12/21,00:00,0.87
04/13/21,00:00,0.84
04/14/21,00:00,0.84
04/15/21,00:00,0.84
04/16/21,00:00,0.84
04/17/21,00:00,0.87
04/18/21,00:00,0.87
04/19/21,00:00,0.91
04/20/21,00:00,0.91
04/21/21,00:00,0.91
04/22/21,00:00,0.91
04/23/21,00:00,0.91
04/24/21,00:00,0.84
04/25/21,00:00,0.84
04/26/21,00:00,0.84
04/27/21,00:00,0.84
04/28/21,00:00,0.84
04/29/21,00:00,0.87
04/30/21,00:00,0.87
05/01/21,00:00,0.87
05/02/21,00:00,0.87
05/03/21,00:00,0.84
05/04/21,00:00,0.84
05/05/21,00:00,0.84
05/06/21,00:00,0.84
05/07/21,00:00,0.87
05/08/21,00:00,0.87
05/09/21,00:00,0.84
05/10/21,00:00,0.84
05/11/21,00:00,0.84
05/12/21,00:00,0.84
05/13/21,00:00,0.84
05/14/21,00:00,0.87
05/15/21,00:00,0.87
05/16/21,00:00,0.87
05/17/21,00:00,0.87
05/18/21,00:00,0.87
05/19/21,00:00,0.87
05/20/21,00:00,0.87
05/21/21,00:00,0.87
05/22/21,00:00,0.87
05/23/21,00:00,0.87
05/24/21,00:00,0.87
05/25/21,00:00,0.87
05/26/21,00:00,0.87
05/27/21,00:00,0.87
05/28/21,00:00,0.87
05/29/21,00:00,0.84
05/30/21,00:00,0.87
05/31/21,00:00,0.87
06/01/21,00:00,0.91
06/02/21,00:00,0.91
06/03/21,00:00,0.91
06/04/21,00:00,0.91
06/05/21,00:00,0.91
06/06/21,00:00,0.87
06/07/21,00:00,0.87
06/08/21,00:00,0.84
06/09/21,00:00,0.91
06/10/21,00:00,0.91
06/11/21,00:00,0.84
06/12/21,00:00,0.84
06/13/21,00:00,0.84
06/14/21,00:00,0.91
06/15/21,00:00,0.91
06/16/21,00:00,0.81
06/17/21,00:00,0.81
06/18/21,00:00,0.87
06/19/21,00:00,0.87
06/20/21,00:00,0.87
06/21/21,00:00,0.87
06/22/21,00:00,0.84
06/23/21,00:00,0.84
06/24/21,00:00,0.87
06/25/21,00:00,0.87
06/26/21,00:00,0.87
06/27/21,00:00,0.87
06/28/21,00:00,0.87
06/29/21,00:00,0.84
06/30/21,00:00,0.84
07/01/21,00:00,0.84
07/02/21,00:00,0.84
07/03/21,00:00,0.87
07/04/21,00:00,0.87
07/05/21,00:00,0.87
07/06/21,00:00,0.87
07/07/21,00:00,0.87
07/08/21,00:00,0.91
07/09/21,00:00,0.91
07/10/21,00:00,0.84
07/11/21,00:00,0.84
07/12/21,00:00,0.84
07/13/21,00:00,0.84
07/14/21,00:00,0.84
07/15/21,00:00,0.84
07/16/21,00:00,0.87
07/17/21,00:00,0.87
07/18/21,00:00,0.87
07/19/21,00:00,0.87
07/20/21,00:00,0.91
07/21/21,00:00,0.91
07/22/21,00:00,0.91
07/23/21,00:00,0.91
07/24/21,00:00,0.91
07/25/21,00:00,0.91
07/26/21,00:00,0.91
07/27/21,00:00,0.91
07/28/21,00:00,0.91
07/29/21,00:00,0.91
07/30/21,00:00,0.91
07/31/21,00:00,0.91
08/01/21,00:00,0.91
08/02/21,00:00,0.91
08/03/21,00:00,0.87
08/04/21,00:00,0.87
08/05/21,00:00,0.84
08/06/21,00:00,0.84
08/07/21,00:00,0.91
08/08/21,00:00,0.91
08/09/21,00:00,0.91
08/10/21,00:00,0.91
08/11/21,00:00,0.91
08/12/21,00:00,0.87
08/13/21,00:00,0.87
08/14/21,00:00,0.87
08/15/21,00:00,0.87
08/16/21,00:00,0.87
08/17/21,00:00,0.87
08/18/21,00:00,0.87
08/19/21,00:00,0.84
08/20/21,00:00,0.84
08/21/21,00:00,0.87
08/22/21,00:00,0.87
08/23/21,00:00,0.84
08/24/21,00:00,0.84
08/25/21,00:00,0.87
08/26/21,00:00,0.87
08/27/21,00:00,0.84
08/28/21,00:00,0.84
08/29/21,00:00,0.84
08/30/21,00:00,0.84
08/31/21,00:00,0.84
09/01/21,00:00,0.84
09/02/21,00:00,0.84
09/03/21,00:00,0.87
09/04/21,00:00,0.87
09/05/21,00:00,0.84
09/06/21,00:00,0.84
09/07/21,00:00,0.84
09/08/21,00:00,0.87
09/09/21,00:00,0.87
09/10/21,00:00,0.91
09/11/21,00:00,0.91
09/12/21,00:00,0.91
09/13/21,00:00,0.91
09/14/21,00:00,0.91
09/15/21,00:00,0.87
09/16/21,00:00,0.87
09/17/21,00:00,0.87
09/18/21,00:00,0.87
09/19/21,00:00,0.87
09/20/21,00:00,0.87
09/21/21,00:00,0.87
09/22/21,00:00,0.87
09/23/21,00:00,0.87
09/24/21,00:00,0.91
09/25/21,00:00,0.91
09/26/21,00:00,0.91
09/27/21,00:00,0.91
09/28/21,00:00,0.91
09/29/21,00:00,0.87
09/30/21,00:00,0.87
10/01/21,00:00,0.87
10/02/21,00:00,0.87
10/03/21,00:00,0.87
10/04/21,00:00,0.87
10/05/21,00:00,0.87
10/06/21,00:00,0.87
10/07/21,00:00,0.87
10/08/21,00:00,0.91
10/09/21,00:00,0.91
10/10/21,00:00,0.91
10/11/21,00:00,0.91
10/12/21,00:00,0.87
10/13/21,00:00,0.87
10/14/21,00:00,0.87
10/15/21,00:00,0.87
10/16/21,00:00,0.84
10/17/21,00:00,0.84
10/18/21,00:00,0.84
10/19/21,00:00,0.84
10/20/21,00:00,0.84
10/21/21,00:00,0.84
10/22/21,00:00,0.84
10/23/21,00:00,0.84
10/24/21,00:00,0.84
10/25/21,00:00,0.84
10/26/21,00:00,0.84
10/27/21,00:00,0.87
10/28/21,00:00,0.87
10/29/21,00:00,0.91
10/30/21,00:00,0.91
10/31/21,00:00,0.91
11/01/21,00:00,0.91
11/02/21,00:00,0.91
11/03/21,00:00,0.87
11/04/21,00:00,0.87
11/05/21,00:00,0.87
11/06/21,00:00,0.87
11/07/21,00:00,0.87
11/08/21,00:00,0.84
11/09/21,00:00,0.84
11/10/21,00:00,0.84
11/11/21,00:00,0.84
11/12/21,00:00,0.87
11/13/21,00:00,0.87
11/14/21,00:00,0.84
11/15/21,00:00,0.84
11/16/21,00:00,0.84
11/17/21,00:00,0.84
11/18/21,00:00,0.84
11/19/21,00:00,0.84
11/20/21,00:00,0.87
11/21/21,00:00,0.87
11/22/21,00:00,0.84
11/23/21,00:00,0.84
