date,hour,value
01/01/21,00:00,8.9
01/02/21,00:00,9.1
01/03/21,00:00,9.1
01/04/21,00:00,9.0
01/05/21,00:00,9.0
01/06/21,00:00,9.0
01/07/21,00:00,9.2
01/08/21,00:00,9.1
01/09/21,00:00,9.0
01/10/21,00:00,8.9
01/11/21,00:00,8.7
01/12/21,00:00,9.4
01/13/21,00:00,9.6
01/14/21,00:00,9.6
01/15/21,00:00,9.7
01/16/21,00:00,9.3
01/17/21,00:00,9.5
01/18/21,00:00,9.5
01/19/21,00:00,9.3
01/20/21,00:00,9.7
01/21/21,00:00,10.0
01/22/21,00:00,9.5
01/23/21,00:00,9.6
01/24/21,00:00,8.9
01/25/21,00:00,8.6
01/26/21,00:00,9.8
01/27/21,00:00,9.6
01/28/21,00:00,8.9
01/29/21,00:00,8.9
01/30/21,00:00,9.3
01/31/21,00:00,9.2
02/01/21,00:00,9.5
02/02/21,00:00,10.0
02/03/21,00:00,9.9
02/04/21,00:00,9.8
02/05/21,00:00,10.0
02/06/21,00:00,10.1
02/07/21,00:00,9.5
02/08/21,00:00,9.3
02/09/21,00:00,9.3
02/10/21,00:00,9.2
02/11/21,00:00,9.3
02/12/21,00:00,9.8
02/13/21,00:00,9.6
02/14/21,00:00,9.0
02/15/21,00:00,9.2
02/16/21,00:00,9.8
02/17/21,00:00,9.4
02/18/21,00:00,9.5
02/19/21,00:00,9.1
02/20/21,00:00,9.2
02/21/21,00:00,9.1
02/22/21,00:00,9.1
02/23/21,00:00,9.0
02/24/21,00:00,9.4
02/25/21,00:00,9.2
02/26/21,00:00,9.5
02/27/21,00:00,9.4
02/28/21,00:00,9.1
03/01/21,00:00,9.4
03/02/21,00:00,9.1
03/03/21,00:00,9.5
03/04/21,00:00,9.5
03/05/21,00:00,9.7
03/06/21,00:00,9.3
03/07/21,00:00,9.6
03/08/21,00:00,9.0
03/09/21,00:00,9.3
03/10/21,00:00,9.3
03/11/21,00:00,9.3
03/12/21,00:00,8.5
03/13/21,00:00,9.6
03/14/21,00:00,9.5
03/15/21,00:00,9.3
03/16/21,00:00,9.9
03/17/21,00:00,9.9
03/18/21,00:00,9.8
03/19/21,00:00,10.0
03/20/21,00:00,9.5
03/21/21,00:00,9.7
03/22/21,00:00,9.6
03/23/21,00:00,9.6
03/24/21,00:00,9.5
03/25/21,00:00,9.7
03/26/21,00:00,9.6
03/27/21,00:00,9.2
03/28/21,00:00,9.1
03/29/21,00:00,9.1
03/30/21,00:00,9.5
03/31/21,00:00,8.8
04/01/21,00:00,9.2
04/02/21,00:00,9.4
04/03/21,00:00,9.4
04/04/21,00:00,9.2
04/05/21,00:00,9.3
04/06/21,00:00,9.0
04/07/21,00:00,9.0
04/08/21,00:00,9.3
04/09/21,00:00,9.4
04/10/21,00:00,9.4
04/11/21,00:00,9.5
04/12/21,00:00,8.3
04/13/21,00:00,8.9
04/14/21,00:00,9.2
04/15/21,00:00,9.3
04/16/21,00:00,9.3
04/17/21,00:00,9.1
04/18/21,00:00,9.3
04/19/21,00:00,9.4
04/20/21,00:00,9.9
04/21/21,00:00,10.0
04/22/21,00:00,10.1
04/23/21,00:00,10.4
04/24/21,00:00,9.8
04/25/21,00:00,9.2
04/26/21,00:00,9.9
04/27/21,00:00,10.0
04/28/21,00:00,10.0
04/29/21,00:00,10.3
04/30/21,00:00,10.2
05/01/21,00:00,9.9
05/02/21,00:00,10.1
05/03/21,00:00,9.5
05/04/21,00:00,9.4
05/05/21,00:00,9.0
05/06/21,00:00,8.5
05/07/21,00:00,8.6
05/08/21,00:00,8.9
05/09/21,00:00,9.1
05/10/21,00:00,8.8
05/11/21,00:00,9.0
05/12/21,00:00,8.5
05/13/21,00:00,8.4
05/14/21,00:00,8.7
05/15/21,00:00,8.7
05/16/21,00:00,8.6
05/17/21,00:00,8.6
05/18/21,00:00,8.6
05/19/21,00:00,8.4
05/20/21,00:00,8.4
05/21/21,00:00,8.6
05/22/21,00:00,8.2
05/23/21,00:00,8.3
05/24/21,00:00,8.5
05/25/21,00:00,8.0
05/26/21,00:00,8.0
05/27/21,00:00,8.3
05/28/21,00:00,8.2
05/29/21,00:00,8.2
05/30/21,00:00,8.0
05/31/21,00:00,7.5
06/01/21,00:00,8.0
06/02/21,00:00,8.3
06/03/21,00:00,8.1
06/04/21,00:00,8.0
06/05/21,00:00,8.0
06/06/21,00:00,8.0
06/07/21,00:00,8.0
06/08/21,00:00,8.4
06/09/21,00:00,8.3
06/10/21,00:00,8.5
06/11/21,00:00,8.4
06/12/21,00:00,8.7
06/13/21,00:00,8.8
06/14/21,00:00,8.8
06/15/21,00:00,8.6
06/16/21,00:00,8.6
06/17/21,00:00,8.9
06/18/21,00:00,8.4
06/19/21,00:00,8.3
06/20/21,00:00,8.1
06/21/21,00:00,8.6
06/22/21,00:00,8.8
06/23/21,00:00,8.7
06/24/21,00:00,8.6
06/25/21,00:00,8.7
06/26/21,00:00,8.0
06/27/21,00:00,8.4
06/28/21,00:00,8.5
06/29/21,00:00,8.5
06/30/21,00:00,8.5
07/01/21,00:00,8.5
07/02/21,00:00,8.4
07/03/21,00:00,8.5
07/04/21,00:00,8.4
07/05/21,00:00,8.9
07/06/21,00:00,8.8
07/07/21,00:00,8.5
07/08/21,00:00,8.8
07/09/21,00:00,8.4
07/10/21,00:00,8.7
07/11/21,00:00,8.5
07/12/21,00:00,8.6
07/13/21,00:00,8.7
07/14/21,00:00,8.5
07/15/21,00:00,8.5
07/16/21,00:00,8.3
07/17/21,00:00,8.3
07/18/21,00:00,8.3
07/19/21,00:00,8.0
07/20/21,00:00,8.7
07/21/21,00:00,8.8
07/22/21,00:00,8.6
07/23/21,00:00,8.8
07/24/21,00:00,8.4
07/25/21,00:00,8.3
07/26/21,00:00,8.2
07/27/21,00:00,8.8
07/28/21,00:00,8.6
07/29/21,00:00,8.6
07/30/21,00:00,8.6
07/31/21,00:00,8.8
08/01/21,00:00,8.8
08/02/21,00:00,8.8
08/03/21,00:00,8.7
08/04/21,00:00,8.4
08/05/21,00:00,8.7
08/06/21,00:00,8.3
08/07/21,00:00,9.1
08/08/21,00:00,9.4
08/09/21,00:00,9.2
08/10/21,00:00,8.4
08/11/21,00:00,8.9
08/12/21,00:00,9.2
08/13/21,00:00,9.7
08/14/21,00:00,9.8
08/15/21,00:00,8.6
08/16/21,00:00,8.8
08/17/21,00:00,8.4
08/18/21,00:00,8.0
08/19/21,00:00,8.6
08/20/21,00:00,8.9
08/21/21,00:00,8.9
08/22/21,00:00,9.1
08/23/21,00:00,9.3
08/24/21,00:00,9.1
08/25/21,00:00,9.5
08/26/21,00:00,9.1
08/27/21,00:00,9.3
08/28/21,00:00,9.6
08/29/21,00:00,9.2
08/30/21,00:00,9.5
08/31/21,00:00,8.9
09/01/21,00:00,9.3
09/02/21,00:00,9.7
09/03/21,00:00,9.2
09/04/21,00:00,9.0
09/05/21,00:00,8.9
09/06/21,00:00,8.7
09/07/21,00:00,8.9
09/08/21,00:00,9.2
09/09/21,00:00,9.1
09/10/21,00:00,8.9
09/11/21,00:00,8.9
09/12/21,00:00,8.5
09/13/21,00:00,8.0
09/14/21,00:00,8.4
09/15/21,00:00,9.0
09/16/21,00:00,9.6
09/17/21,00:00,9.4
09/18/21,00:00,9.6
09/19/21,00:00,9.2
09/20/21,00:00,9.4
09/21/21,00:00,9.1
09/22/21,00:00,9.3
09/23/21,00:00,9.7
09/24/21,00:00,9.3
09/25/21,00:00,9.4
09/26/21,00:00,9.6
09/27/21,00:00,9.3
09/28/21,00:00,9.4
09/29/21,00:00,9.5
09/30/21,00:00,9.5
10/01/21,00:00,9.5
10/02/21,00:00,9.7
10/03/21,00:00,9.8
10/04/21,00:00,9.8
10/05/21,00:00,9.7
10/06/21,00:00,9.2
10/07/21,00:00,9.2
10/08/21,00:00,9.3
10/09/21,00:00,9.3
10/10/21,00:00,9.4
10/11/21,00:00,9.3
10/12/21,00:00,9.3
10/13/21,00:00,9.5
10/14/21,00:00,9.6
10/15/21,00:00,9.6
10/16/21,00:00,9.7
10/17/21,00:00,9.5
10/18/21,00:00,9.1
10/19/21,00:00,9.0
10/20/21,00:00,9.0
10/21/21,00:00,9.0
10/22/21,00:00,9.2
10/23/21,00:00,9.2
10/24/21,00:00,9.3
10/25/21,00:00,9.0
10/26/21,00:00,9.2
10/27/21,00:00,9.1
10/28/21,00:00,9.0
10/29/21,00:00,9.1
10/30/21,00:00,9.5
10/31/21,00:00,9.4
11/01/21,00:00,9.3
11/02/21,00:00,9.3
11/03/21,00:00,9.5
11/04/21,00:00,9.6
11/05/21,00:00,9.5
11/06/21,00:00,9.3
11/07/21,00:00,9.5
11/08/21,00:00,9.2
11/09/21,00:00,9.5
11/10/21,00:00,9.2
11/11/21,00:00,9.3
11/12/21,00:00,9.4
11/13/21,00:00,9.4
11/14/21,00:00,9.9
11/15/21,00:00,9.3
11/16/21,00:00,9.8
11/17/21,00:00,9.1
11/18/21,00:00,9.6
11/19/21,00:00,9.5
