date,hour,value
01/01/21,00:00,15.26
01/02/21,00:00,15.16
01/03/21,00:00,14.59
01/04/21,00:00,14.39
01/05/21,00:00,14.59
01/06/21,00:00,15.26
01/07/21,00:00,14.59
01/08/21,00:00,14.59
01/09/21,00:00,15.06
01/10/21,00:00,15.16
01/11/21,00:00,14.89
01/12/21,00:00,14.19
01/13/21,00:00,14.46
01/14/21,00:00,14.56
01/15/21,00:00,14.96
01/16/21,00:00,15.52
01/17/21,00:00,14.96
01/18/21,00:00,15.42
01/19/21,00:00,14.96
01/20/21,00:00,12.39
01/21/21,00:00,11.62
01/22/21,00:00,11.82
01/23/21,00:00,11.52
01/24/21,00:00,15.75
01/25/21,00:00,15.76
01/26/21,00:00,14.18
01/27/21,00:00,12.89
01/28/21,00:00,13.49
01/29/21,00:00,15.66
01/30/21,00:00,14.89
01/31/21,00:00,15.83
02/01/21,00:00,17.33
02/02/21,00:00,16.35
02/03/21,00:00,16.18
02/04/21,00:00,16.65
02/05/21,00:00,17.02
02/06/21,00:00,16.08
02/07/21,00:00,17.73
02/08/21,00:00,16.11
02/09/21,00:00,17.43
02/10/21,00:00,14.96
02/11/21,00:00,15.06
02/12/21,00:00,17.32
02/13/21,00:00,17.43
02/14/21,00:00,18.02
02/15/21,00:00,16.59
02/16/21,00:00,15.43
02/17/21,00:00,15.83
02/18/21,00:00,14.11
02/19/21,00:00,14.2
02/20/21,00:00,15.25
02/21/21,00:00,15.72
02/22/21,00:00,16.21
02/23/21,00:00,15.82
02/24/21,00:00,15.9
02/25/21,00:00,16.01
02/26/21,00:00,16.1
02/27/21,00:00,16.2
02/28/21,00:00,16.21
03/01/21,00:00,16.48
03/02/21,00:00,15.63
03/03/21,00:00,15.06
03/04/21,00:00,15.53
03/05/21,00:00,15.43
03/06/21,00:00,15.06
03/07/21,00:00,16.21
03/08/21,00:00,15.76
03/09/21,00:00,16.1
03/10/21,00:00,16.21
03/11/21,00:00,16.31
03/12/21,00:00,16.05
03/13/21,00:00,14.86
03/14/21,00:00,14.95
03/15/21,00:00,14.95
03/16/21,00:00,14.75
03/17/21,00:00,15.23
03/18/21,00:00,14.75
03/19/21,00:00,14.56
03/20/21,00:00,14.76
03/21/21,00:00,14.66
03/22/21,00:00,14.66
03/23/21,00:00,14.76
03/24/21,00:00,14.46
03/25/21,00:00,14.46
03/26/21,00:00,14.46
03/27/21,00:00,15.83
03/28/21,00:00,16.68
03/29/21,00:00,16.78
03/30/21,00:00,14.86
03/31/21,00:00,14.99
04/01/21,00:00,13.44
04/02/21,00:00,13.53
04/03/21,00:00,13.71
04/04/21,00:00,15.06
04/05/21,00:00,15.53
04/06/21,00:00,15.26
04/07/21,00:00,15.36
04/08/21,00:00,14.68
04/09/21,00:00,15.05
04/10/21,00:00,14.85
04/11/21,00:00,14.65
04/12/21,00:00,16.72
04/13/21,00:00,15.18
04/14/21,00:00,15.16
04/15/21,00:00,14.68
04/16/21,00:00,15.05
04/17/21,00:00,15.45
04/18/21,00:00,14.68
04/19/21,00:00,14.58
04/20/21,00:00,14.29
04/21/21,00:00,14.39
04/22/21,00:00,14.76
04/23/21,00:00,14.16
04/24/21,00:00,15.63
04/25/21,00:00,16.61
04/26/21,00:00,15.71
04/27/21,00:00,15.02
04/28/21,00:00,14.29
04/29/21,00:00,13.79
04/30/21,00:00,13.78
05/01/21,00:00,15.06
05/02/21,00:00,14.76
05/03/21,00:00,15.26
05/04/21,00:00,14.96
05/05/21,00:00,15.63
05/06/21,00:00,16.51
05/07/21,00:00,16.61
05/08/21,00:00,14.51
05/09/21,00:00,14.41
05/10/21,00:00,15.76
05/11/21,00:00,15.19
05/12/21,00:00,15.49
05/13/21,00:00,15.59
05/14/21,00:00,15.38
05/15/21,00:00,15.01
05/16/21,00:00,16.06
05/17/21,00:00,15.11
05/18/21,00:00,15.85
05/19/21,00:00,16.73
05/20/21,00:00,16.16
05/21/21,00:00,15.95
05/22/21,00:00,16.63
05/23/21,00:00,16.15
05/24/21,00:00,16.05
05/25/21,00:00,15.24
05/26/21,00:00,15.5
05/27/21,00:00,14.63
05/28/21,00:00,14.73
05/29/21,00:00,15.03
05/30/21,00:00,15.23
05/31/21,00:00,15.06
06/01/21,00:00,16.6
06/02/21,00:00,16.91
06/03/21,00:00,16.9
06/04/21,00:00,16.9
06/05/21,00:00,17.21
06/06/21,00:00,16.5
06/07/21,00:00,16.5
06/08/21,00:00,16.4
06/09/21,00:00,17.21
06/10/21,00:00,17.11
06/11/21,00:00,16.81
06/12/21,00:00,16.51
06/13/21,00:00,16.31
06/14/21,00:00,16.31
06/15/21,00:00,16.7
06/16/21,00:00,17.2
06/17/21,00:00,17.6
06/18/21,00:00,18.5
06/19/21,00:00,17.7
06/20/21,00:00,18.71
06/21/21,00:00,18.7
06/22/21,00:00,17.71
06/23/21,00:00,17.7
06/24/21,00:00,17.21
06/25/21,00:00,16.81
06/26/21,00:00,16.81
06/27/21,00:00,16.21
06/28/21,00:00,16.21
06/29/21,00:00,18.91
06/30/21,00:00,18.21
07/01/21,00:00,18.41
07/02/21,00:00,18.41
07/03/21,00:00,18.51
07/04/21,00:00,18.1
07/05/21,00:00,18.21
07/06/21,00:00,16.81
07/07/21,00:00,17.11
07/08/21,00:00,16.41
07/09/21,00:00,16.3
07/10/21,00:00,17.31
07/11/21,00:00,17.31
07/12/21,00:00,17.01
07/13/21,00:00,17.41
07/14/21,00:00,17.71
07/15/21,00:00,17.51
07/16/21,00:00,17.81
07/17/21,00:00,17.81
07/18/21,00:00,18.21
07/19/21,00:00,18.71
07/20/21,00:00,18.01
07/21/21,00:00,17.91
07/22/21,00:00,17.61
07/23/21,00:00,17.51
07/24/21,00:00,17.61
07/25/21,00:00,18.31
07/26/21,00:00,18.41
07/27/21,00:00,18.51
07/28/21,00:00,18.71
07/29/21,00:00,18.11
07/30/21,00:00,18.31
07/31/21,00:00,17.91
08/01/21,00:00,17.91
08/02/21,00:00,17.2
08/03/21,00:00,17.61
08/04/21,00:00,17.71
08/05/21,00:00,18.61
08/06/21,00:00,18.41
08/07/21,00:00,17.91
08/08/21,00:00,18.01
08/09/21,00:00,18.31
08/10/21,00:00,18.41
08/11/21,00:00,18.01
08/12/21,00:00,17.11
08/13/21,00:00,17.31
08/14/21,00:00,17.21
08/15/21,00:00,18.71
08/16/21,00:00,18.61
08/17/21,00:00,18.7
08/18/21,00:00,18.31
08/19/21,00:00,18.61
08/20/21,00:00,18.51
08/21/21,00:00,17.91
08/22/21,00:00,17.51
08/23/21,00:00,17.21
08/24/21,00:00,17.01
08/25/21,00:00,17
08/26/21,00:00,17.31
08/27/21,00:00,16.6
08/28/21,00:00,16.8
08/29/21,00:00,17.6
08/30/21,00:00,17
08/31/21,00:00,17.6
09/01/21,00:00,17.1
09/02/21,00:00,17.41
09/03/21,00:00,17.61
09/04/21,00:00,17.61
09/05/21,00:00,18
09/06/21,00:00,18.2
09/07/21,00:00,17.61
09/08/21,00:00,17.01
09/09/21,00:00,17.11
09/10/21,00:00,17.81
09/11/21,00:00,17.71
09/12/21,00:00,18.01
09/13/21,00:00,17.8
09/14/21,00:00,17.71
09/15/21,00:00,17
09/16/21,00:00,16.61
09/17/21,00:00,17.31
09/18/21,00:00,17.11
09/19/21,00:00,17.93
09/20/21,00:00,16.61
09/21/21,00:00,17.11
09/22/21,00:00,17
09/23/21,00:00,16.7
09/24/21,00:00,16.6
09/25/21,00:00,16.61
09/26/21,00:00,15.3
09/27/21,00:00,15.1
09/28/21,00:00,15.71
09/29/21,00:00,16.01
09/30/21,00:00,15.81
10/01/21,00:00,15.2
10/02/21,00:00,15
10/03/21,00:00,15.61
10/04/21,00:00,16.31
10/05/21,00:00,15.41
10/06/21,00:00,15.8
10/07/21,00:00,15.7
10/08/21,00:00,15.91
10/09/21,00:00,15.91
10/10/21,00:00,15.21
10/11/21,00:00,15.9
10/12/21,00:00,16.31
10/13/21,00:00,15.51
10/14/21,00:00,15.4
10/15/21,00:00,15.8
10/16/21,00:00,15.31
10/17/21,00:00,16.37
10/18/21,00:00,16.87
10/19/21,00:00,16.97
10/20/21,00:00,18.02
10/21/21,00:00,17.71
10/22/21,00:00,17.3
10/23/21,00:00,17.4
10/24/21,00:00,16.77
10/25/21,00:00,17.6
10/26/21,00:00,17.07
10/27/21,00:00,17.72
10/28/21,00:00,16.87
10/29/21,00:00,17.62
10/30/21,00:00,17.85
10/31/21,00:00,17.2
11/01/21,00:00,17.3
11/02/21,00:00,17.81
11/03/21,00:00,17.52
11/04/21,00:00,16.37
11/05/21,00:00,16.27
11/06/21,00:00,17
11/07/21,00:00,16.89
11/08/21,00:00,16.67
11/09/21,00:00,17.1
