date,hour,value
01/01/21,00:00,10.14
01/02/21,00:00,9.66
01/03/21,00:00,9.66
01/04/21,00:00,9.18
01/05/21,00:00,9.18
01/06/21,00:00,9.18
01/07/21,00:00,9.18
01/08/21,00:00,9.18
01/09/21,00:00,9.18
01/10/21,00:00,10.14
01/11/21,00:00,10.14
01/12/21,00:00,10.14
01/13/21,00:00,10.14
01/14/21,00:00,10.14
01/15/21,00:00,9.66
01/16/21,00:00,9.66
01/17/21,00:00,10.63
01/18/21,00:00,10.63
01/19/21,00:00,9.18
01/20/21,00:00,9.18
01/21/21,00:00,9.66
01/22/21,00:00,9.66
01/23/21,00:00,9.18
01/24/21,00:00,10.63
01/25/21,00:00,10.63
01/26/21,00:00,10.14
01/27/21,00:00,10.14
01/28/21,00:00,10.14
01/29/21,00:00,10.14
01/30/21,00:00,10.14
01/31/21,00:00,9.66
02/01/21,00:00,9.66
02/02/21,00:00,9.66
02/03/21,00:00,9.66
02/04/21,00:00,9.66
02/05/21,00:00,9.66
02/06/21,00:00,10.63
02/07/21,00:00,10.63
02/08/21,00:00,10.63
02/09/21,00:00,10.63
02/10/21,00:00,9.66
02/11/21,00:00,10.63
02/12/21,00:00,10.63
02/13/21,00:00,10.63
02/14/21,00:00,10.63
02/15/21,00:00,10.63
02/16/21,00:00,9.66
02/17/21,00:00,9.66
02/18/21,00:00,10.14
02/19/21,00:00,10.14
02/20/21,00:00,9.66
02/21/21,00:00,9.66
02/22/21,00:00,10.63
02/23/21,00:00,10.63
02/24/21,00:00,10.63
02/25/21,00:00,10.14
02/26/21,00:00,10.14
02/27/21,00:00,10.63
02/28/21,00:00,10.63
03/01/21,00:00,10.14
03/02/21,00:00,10.63
03/03/21,00:00,10.63
03/04/21,00:00,10.63
03/05/21,00:00,10.63
03/06/21,00:00,10.14
03/07/21,00:00,10.14
03/08/21,00:00,10.14
03/09/21,00:00,10.63
03/10/21,00:00,10.63
03/11/21,00:00,10.63
03/12/21,00:00,10.63
03/13/21,00:00,10.14
03/14/21,00:00,10.63
03/15/21,00:00,10.63
03/16/21,00:00,10.14
03/17/21,00:00,10.14
03/18/21,00:00,10.14
03/19/21,00:00,10.14
03/20/21,00:00,10.63
03/21/21,00:00,10.63
03/22/21,00:00,11.11
