date,hour,value
01/01/21,00:00,7.03
01/02/21,00:00,7.02
01/03/21,00:00,7.03
01/04/21,00:00,7.04
01/05/21,00:00,6.97
01/06/21,00:00,7.09
01/07/21,00:00,7.11
01/08/21,00:00,7.08
01/09/21,00:00,7.05
01/10/21,00:00,7.08
01/11/21,00:00,7.12
01/12/21,00:00,7.07
01/13/21,00:00,7.03
01/14/21,00:00,7.07
01/15/21,00:00,7.05
01/16/21,00:00,7.09
01/17/21,00:00,7.07
01/18/21,00:00,7.09
01/19/21,00:00,7.09
01/20/21,00:00,7.11
01/21/21,00:00,7.09
01/22/21,00:00,7.09
01/23/21,00:00,7.12
01/24/21,00:00,7.07
01/25/21,00:00,7.06
01/26/21,00:00,7.05
01/27/21,00:00,7.08
01/28/21,00:00,7.07
01/29/21,00:00,7.07
01/30/21,00:00,7.06
01/31/21,00:00,7.08
02/01/21,00:00,7.08
02/02/21,00:00,7.06
02/03/21,00:00,7.07
02/04/21,00:00,7.07
02/05/21,00:00,7.09
02/06/21,00:00,7.08
02/07/21,00:00,7.07
02/08/21,00:00,7.09
02/09/21,00:00,7.10
02/10/21,00:00,7.10
02/11/21,00:00,7.10
02/12/21,00:00,7.10
02/13/21,00:00,7.06
02/14/21,00:00,7.09
02/15/21,00:00,7.07
02/16/21,00:00,7.10
02/17/21,00:00,7.12
02/18/21,00:00,7.09
02/19/21,00:00,7.10
02/20/21,00:00,7.12
02/21/21,00:00,7.12
02/22/21,00:00,7.09
02/23/21,00:00,7.08
02/24/21,00:00,7.10
02/25/21,00:00,7.08
02/26/21,00:00,7.10
02/27/21,00:00,7.10
02/28/21,00:00,7.08
03/01/21,00:00,7.09
03/02/21,00:00,7.14
03/03/21,00:00,7.12
03/04/21,00:00,7.11
03/05/21,00:00,7.12
03/06/21,00:00,7.10
03/07/21,00:00,7.12
03/08/21,00:00,7.11
03/09/21,00:00,7.14
03/10/21,00:00,7.10
03/11/21,00:00,7.09
03/12/21,00:00,7.12
03/13/21,00:00,7.14
03/14/21,00:00,7.14
03/15/21,00:00,7.15
03/16/21,00:00,7.11
03/17/21,00:00,7.08
03/18/21,00:00,7.10
03/19/21,00:00,7.09
03/20/21,00:00,7.09
03/21/21,00:00,7.09
03/22/21,00:00,7.11
03/23/21,00:00,7.13
03/24/21,00:00,7.11
03/25/21,00:00,7.10
03/26/21,00:00,7.12
03/27/21,00:00,7.11
03/28/21,00:00,7.12
03/29/21,00:00,7.13
03/30/21,00:00,7.14
03/31/21,00:00,7.13
04/01/21,00:00,7.12
04/02/21,00:00,7.12
04/03/21,00:00,7.15
04/04/21,00:00,7.13
04/05/21,00:00,7.15
04/06/21,00:00,7.12
04/07/21,00:00,7.13
04/08/21,00:00,7.14
04/09/21,00:00,7.13
04/10/21,00:00,7.12
04/11/21,00:00,7.12
04/12/21,00:00,7.12
04/13/21,00:00,7.14
04/14/21,00:00,7.15
04/15/21,00:00,7.13
04/16/21,00:00,7.12
04/17/21,00:00,7.14
04/18/21,00:00,7.15
04/19/21,00:00,7.12
04/20/21,00:00,7.13
04/22/21,00:00,7.14
04/23/21,00:00,7.13
04/24/21,00:00,7.16
04/25/21,00:00,7.17
04/26/21,00:00,7.15
04/27/21,00:00,7.15
04/28/21,00:00,7.12
04/29/21,00:00,7.12
04/30/21,00:00,7.11
05/01/21,00:00,7.15
05/02/21,00:00,7.08
05/03/21,00:00,7.14
05/04/21,00:00,7.15
05/05/21,00:00,7.15
05/06/21,00:00,7.12
05/07/21,00:00,7.13
05/08/21,00:00,7.14
05/09/21,00:00,7.13
05/10/21,00:00,7.13
05/11/21,00:00,7.13
05/12/21,00:00,7.14
05/13/21,00:00,7.14
05/14/21,00:00,7.15
05/15/21,00:00,7.15
05/16/21,00:00,7.13
05/17/21,00:00,7.13
05/18/21,00:00,7.15
05/19/21,00:00,7.13
05/20/21,00:00,7.14
05/21/21,00:00,7.15
05/22/21,00:00,7.17
05/23/21,00:00,7.17
05/24/21,00:00,7.16
05/25/21,00:00,7.15
05/26/21,00:00,7.15
05/27/21,00:00,7.14
05/28/21,00:00,7.11
05/29/21,00:00,7.12
05/30/21,00:00,7.12
05/31/21,00:00,7.12
06/01/21,00:00,7.11
06/02/21,00:00,7.12
06/03/21,00:00,7.13
06/04/21,00:00,7.11
06/05/21,00:00,7.13
06/06/21,00:00,7.15
06/07/21,00:00,7.13
06/08/21,00:00,7.17
06/09/21,00:00,7.15
06/10/21,00:00,7.13
06/11/21,00:00,7.11
06/12/21,00:00,7.14
06/13/21,00:00,7.13
06/14/21,00:00,7.14
06/15/21,00:00,7.15
06/16/21,00:00,7.11
06/17/21,00:00,7.14
06/18/21,00:00,7.14
06/19/21,00:00,7.18
06/20/21,00:00,7.17
06/21/21,00:00,7.17
06/22/21,00:00,7.16
06/23/21,00:00,7.12
06/24/21,00:00,7.13
06/25/21,00:00,7.13
06/26/21,00:00,7.17
06/27/21,00:00,7.15
06/28/21,00:00,7.15
06/29/21,00:00,7.18
06/30/21,00:00,7.15
07/01/21,00:00,7.16
07/02/21,00:00,7.15
07/03/21,00:00,7.24
07/04/21,00:00,7.16
07/05/21,00:00,7.13
07/06/21,00:00,7.15
07/07/21,00:00,7.12
07/08/21,00:00,7.12
07/09/21,00:00,7.13
07/10/21,00:00,7.20
07/11/21,00:00,7.19
07/12/21,00:00,7.17
07/13/21,00:00,7.12
07/14/21,00:00,7.18
07/15/21,00:00,7.17
07/16/21,00:00,7.15
07/17/21,00:00,7.16
07/18/21,00:00,7.16
07/19/21,00:00,7.15
07/20/21,00:00,7.14
07/21/21,00:00,7.14
07/22/21,00:00,7.14
07/23/21,00:00,7.15
07/24/21,00:00,7.14
07/25/21,00:00,7.21
07/26/21,00:00,7.15
07/27/21,00:00,7.17
07/28/21,00:00,7.13
07/29/21,00:00,7.16
07/30/21,00:00,7.15
07/31/21,00:00,7.16
08/01/21,00:00,7.17
08/02/21,00:00,7.16
08/03/21,00:00,7.12
08/04/21,00:00,7.12
08/05/21,00:00,7.12
08/06/21,00:00,7.14
08/07/21,00:00,7.15
08/08/21,00:00,7.11
08/09/21,00:00,7.13
08/10/21,00:00,7.11
08/11/21,00:00,7.13
08/12/21,00:00,7.14
08/13/21,00:00,7.17
08/14/21,00:00,7.15
08/15/21,00:00,7.17
08/16/21,00:00,7.15
08/17/21,00:00,7.15
08/18/21,00:00,7.13
08/19/21,00:00,7.16
08/20/21,00:00,7.13
08/21/21,00:00,7.12
08/22/21,00:00,7.17
08/23/21,00:00,7.14
08/24/21,00:00,7.15
08/25/21,00:00,7.14
08/26/21,00:00,7.14
08/27/21,00:00,7.13
08/28/21,00:00,7.14
08/29/21,00:00,7.16
08/30/21,00:00,7.17
08/31/21,00:00,7.14
09/01/21,00:00,7.13
09/02/21,00:00,7.12
09/03/21,00:00,7.13
09/04/21,00:00,7.14
09/05/21,00:00,7.12
09/06/21,00:00,7.13
09/07/21,00:00,7.14
09/09/21,00:00,7.12
09/10/21,00:00,7.14
09/11/21,00:00,7.14
09/12/21,00:00,7.15
09/13/21,00:00,7.14
09/14/21,00:00,7.13
09/15/21,00:00,7.16
09/16/21,00:00,7.14
09/17/21,00:00,7.12
09/18/21,00:00,7.11
09/19/21,00:00,7.13
09/20/21,00:00,7.15
09/21/21,00:00,7.13
09/22/21,00:00,7.09
09/23/21,00:00,7.11
09/24/21,00:00,7.13
09/25/21,00:00,7.12
09/26/21,00:00,7.16
09/27/21,00:00,7.10
09/28/21,00:00,7.13
09/29/21,00:00,7.13
09/30/21,00:00,7.12
10/01/21,00:00,7.11
10/02/21,00:00,7.13
10/03/21,00:00,7.17
10/04/21,00:00,7.14
10/05/21,00:00,7.13
10/06/21,00:00,7.15
10/07/21,00:00,7.17
10/08/21,00:00,7.14
10/09/21,00:00,7.12
