date,hour,value
01/01/21,00:00,1.7
01/02/21,00:00,1.8
01/03/21,00:00,1.8
01/04/21,00:00,1.5
01/05/21,00:00,1.5
01/06/21,00:00,1.7
01/07/21,00:00,1.7
01/08/21,00:00,1.8
01/09/21,00:00,1.8
01/10/21,00:00,1.7
01/11/21,00:00,1.7
01/12/21,00:00,1.6
01/13/21,00:00,1.6
01/14/21,00:00,1.7
01/15/21,00:00,1.6
01/16/21,00:00,1.5
01/17/21,00:00,1.5
01/18/21,00:00,1.5
01/19/21,00:00,1.7
01/20/21,00:00,1.7
01/21/21,00:00,1.6
01/22/21,00:00,1.6
01/23/21,00:00,1.5
01/24/21,00:00,1.7
01/25/21,00:00,1.8
01/26/21,00:00,1.7
01/27/21,00:00,1.7
01/28/21,00:00,1.5
01/29/21,00:00,1.5
01/30/21,00:00,1.7
01/31/21,00:00,1.7
02/01/21,00:00,1.5
02/02/21,00:00,1.7
02/03/21,00:00,1.8
02/04/21,00:00,1.8
02/05/21,00:00,1.7
02/06/21,00:00,1.7
02/07/21,00:00,1.8
02/08/21,00:00,1.8
02/09/21,00:00,1.8
02/10/21,00:00,1.7
02/11/21,00:00,1.8
02/12/21,00:00,1.9
02/13/21,00:00,1.8
02/14/21,00:00,1.8
02/15/21,00:00,1.8
02/16/21,00:00,1.7
02/17/21,00:00,1.7
02/18/21,00:00,1.6
02/19/21,00:00,1.5
02/20/21,00:00,1.5
02/21/21,00:00,1.5
02/22/21,00:00,1.6
02/23/21,00:00,1.7
02/24/21,00:00,1.5
02/25/21,00:00,1.5
02/26/21,00:00,1.7
02/27/21,00:00,1.8
02/28/21,00:00,1.7
03/01/21,00:00,1.6
03/02/21,00:00,1.5
03/03/21,00:00,1.5
03/04/21,00:00,1.6
03/05/21,00:00,1.5
03/06/21,00:00,1.5
03/07/21,00:00,1.6
03/08/21,00:00,1.7
03/09/21,00:00,1.5
03/10/21,00:00,1.5
03/11/21,00:00,1.7
03/12/21,00:00,1.6
03/13/21,00:00,1.5
03/14/21,00:00,1.6
03/15/21,00:00,1.6
03/16/21,00:00,1.7
