date,hour,value
01/03/22,00:00,591
01/04/22,00:00,655
01/05/22,00:00,668
01/06/22,00:00,655
01/07/22,00:00,652
01/08/22,00:00,654
01/09/22,00:00,598
01/10/22,00:00,610
01/11/22,00:00,588
01/12/22,00:00,650
01/13/22,00:00,667
01/14/22,00:00,602
01/15/22,00:00,626
01/16/22,00:00,662
01/17/22,00:00,671
01/18/22,00:00,680
01/19/22,00:00,644
01/20/22,00:00,683
01/21/22,00:00,668
01/22/22,00:00,703
01/23/22,00:00,643
01/24/22,00:00,629
01/25/22,00:00,673
01/26/22,00:00,594
01/27/22,00:00,657
01/28/22,00:00,574
01/29/22,00:00,638
01/30/22,00:00,609
01/31/22,00:00,600
02/01/22,00:00,637
02/02/22,00:00,649
02/03/22,00:00,637
02/04/22,00:00,614
02/05/22,00:00,600
02/06/22,00:00,629
02/07/22,00:00,659
02/08/22,00:00,613
02/10/22,00:00,632
02/11/22,00:00,619
02/12/22,00:00,642
02/13/22,00:00,639
02/14/22,00:00,614
02/15/22,00:00,635
02/16/22,00:00,673
02/17/22,00:00,660
02/18/22,00:00,646
02/19/22,00:00,664
02/20/22,00:00,641
02/21/22,00:00,614
02/22/22,00:00,698
02/23/22,00:00,602
02/24/22,00:00,612
02/25/22,00:00,641
02/26/22,00:00,590
02/27/22,00:00,691
02/28/22,00:00,698
03/01/22,00:00,708
03/02/22,00:00,661
03/03/22,00:00,634
03/04/22,00:00,626
03/05/22,00:00,620
03/06/22,00:00,642
03/07/22,00:00,613
03/08/22,00:00,588
03/09/22,00:00,540
03/11/22,00:00,627
03/13/22,00:00,609
03/14/22,00:00,490
03/15/22,00:00,600
03/16/22,00:00,658
03/17/22,00:00,674
03/19/22,00:00,694
03/20/22,00:00,734
03/21/22,00:00,640
03/22/22,00:00,702
03/23/22,00:00,670
03/24/22,00:00,630
03/26/22,00:00,641
03/27/22,00:00,703
03/28/22,00:00,669
03/29/22,00:00,699
03/30/22,00:00,690
03/31/22,00:00,719
04/01/22,00:00,652
04/02/22,00:00,620
04/03/22,00:00,726
04/04/22,00:00,740
04/05/22,00:00,737
04/06/22,00:00,569
04/07/22,00:00,581
04/09/22,00:00,632
04/11/22,00:00,611
04/12/22,00:00,575
04/13/22,00:00,639
04/14/22,00:00,349
04/15/22,00:00,671
04/16/22,00:00,658
04/17/22,00:00,623
04/18/22,00:00,642
04/19/22,00:00,668
04/20/22,00:00,511
