date,hour,value
01/01/22,00:00,46885
01/01/22,01:00,46884
01/01/22,02:00,46885
01/01/22,03:00,46888
01/01/22,04:00,46887
01/01/22,05:00,46886
01/01/22,06:00,46889
01/01/22,07:00,46888
01/01/22,08:00,46889
01/01/22,09:00,46886
01/01/22,10:00,46889
01/01/22,11:00,46890
01/01/22,12:00,46891
01/01/22,13:00,46888
01/01/22,14:00,46886
01/01/22,15:00,46887
01/01/22,16:00,46885
01/01/22,17:00,46888
01/01/22,18:00,46889
01/01/22,19:00,46890
01/01/22,20:00,46888
01/01/22,21:00,46887
01/01/22,22:00,46886
01/01/22,23:00,46885
01/02/22,00:00,46886
01/02/22,01:00,46887
01/02/22,02:00,46889
01/02/22,03:00,46890
01/02/22,04:00,46891
01/02/22,05:00,46885
01/02/22,06:00,46887
01/02/22,07:00,46886
01/02/22,08:00,46885
01/02/22,09:00,46888
01/02/22,10:00,46890
01/02/22,11:00,46888
01/02/22,12:00,46887
01/02/22,13:00,46889
01/02/22,14:00,46888
01/02/22,15:00,46886
01/02/22,16:00,46889
01/02/22,17:00,46887
01/02/22,18:00,46885
01/02/22,19:00,46888
01/02/22,20:00,46886
01/02/22,21:00,46885
01/02/22,22:00,46887
01/02/22,23:00,46889
01/03/22,00:00,46888
01/03/22,01:00,46889
01/03/22,02:00,46890
01/03/22,03:00,46888
01/03/22,04:00,46889
01/03/22,05:00,46887
01/03/22,06:00,46888
01/03/22,07:00,46885
01/03/22,08:00,46887
01/03/22,09:00,46889
01/03/22,10:00,46888
01/03/22,11:00,46886
01/03/22,12:00,46888
01/03/22,13:00,46887
01/03/22,14:00,46889
01/03/22,15:00,46887
01/03/22,16:00,46888
01/03/22,17:00,46889
01/03/22,18:00,46884
01/03/22,19:00,46885
01/03/22,20:00,46883
01/03/22,21:00,46887
01/03/22,22:00,46886
01/03/22,23:00,46888
01/04/22,00:00,46889
01/04/22,01:00,46886
01/04/22,02:00,46888
01/04/22,03:00,46887
01/04/22,04:00,46885
01/04/22,05:00,46886
01/04/22,06:00,46889
01/04/22,07:00,46890
01/04/22,08:00,46888
01/04/22,09:00,46887
01/04/22,10:00,46889
01/04/22,11:00,46887
01/04/22,12:00,46886
01/04/22,13:00,46885
01/04/22,14:00,46887
01/04/22,15:00,46888
01/04/22,16:00,46885
01/04/22,17:00,46886
01/04/22,18:00,46887
01/04/22,19:00,46890
01/04/22,20:00,46887
01/04/22,21:00,46891
01/04/22,22:00,46892
01/04/22,23:00,46889
01/05/22,00:00,46887
01/05/22,01:00,46885
01/05/22,02:00,46886
01/05/22,03:00,46889
01/05/22,04:00,46888
01/05/22,05:00,46889
01/05/22,06:00,46886
01/05/22,07:00,46887
01/05/22,08:00,46889
01/05/22,09:00,46890
01/05/22,10:00,46891
01/05/22,11:00,46889
01/05/22,12:00,46885
01/05/22,13:00,46884
01/05/22,14:00,46886
01/05/22,15:00,46889
01/05/22,16:00,46887
01/05/22,17:00,46885
01/05/22,18:00,46888
01/05/22,19:00,46889
01/05/22,20:00,46890
01/05/22,21:00,46888
01/05/22,22:00,46889
01/05/22,23:00,46885
01/06/22,00:00,46886
01/06/22,01:00,46884
01/06/22,02:00,46887
01/06/22,03:00,46885
01/06/22,04:00,46886
01/06/22,05:00,46888
01/06/22,06:00,46885
01/06/22,07:00,46889
01/06/22,08:00,46886
01/06/22,09:00,46885
01/06/22,10:00,46887
01/06/22,11:00,46886
01/06/22,12:00,46887
01/06/22,13:00,46889
01/06/22,14:00,46888
01/06/22,15:00,46885
01/06/22,16:00,46889
01/06/22,17:00,46886
01/06/22,18:00,46887
01/06/22,19:00,46889
01/06/22,20:00,46886
01/06/22,21:00,46888
01/06/22,22:00,46887
01/06/22,23:00,46886
01/07/22,00:00,46885
01/07/22,01:00,46886
01/07/22,02:00,46888
01/07/22,03:00,46889
01/07/22,04:00,46887
01/07/22,05:00,46889
01/07/22,06:00,46888
01/07/22,07:00,46885
01/07/22,08:00,46887
01/07/22,09:00,46886
01/07/22,10:00,46884
01/07/22,11:00,46889
01/07/22,12:00,46888
01/07/22,13:00,46890
01/07/22,14:00,46891
01/07/22,15:00,46886
01/07/22,16:00,46887
01/07/22,17:00,46885
01/07/22,18:00,46888
01/07/22,19:00,46889
01/07/22,20:00,46890
01/07/22,21:00,46891
01/07/22,22:00,46889
01/07/22,23:00,46888
01/08/22,00:00,46889
01/08/22,01:00,46887
01/08/22,02:00,46886
01/08/22,03:00,46885
01/08/22,04:00,46888
01/08/22,05:00,46885
01/08/22,06:00,46887
01/08/22,07:00,46889
01/08/22,08:00,46886
01/08/22,09:00,46888
01/08/22,10:00,46886
01/08/22,11:00,46887
01/08/22,12:00,46885
01/08/22,13:00,46888
01/08/22,14:00,46889
01/08/22,15:00,46888
01/08/22,16:00,46889
01/08/22,17:00,46890
01/08/22,18:00,46886
01/08/22,19:00,46887
01/08/22,20:00,46888
01/08/22,21:00,46885
01/08/22,22:00,46887
01/08/22,23:00,46886
01/09/22,00:00,46888
01/09/22,01:00,46885
01/09/22,02:00,46887
01/09/22,03:00,46889
01/09/22,04:00,46890
01/09/22,05:00,46891
01/09/22,06:00,46888
01/09/22,07:00,46886
01/09/22,08:00,46885
01/09/22,09:00,46887
01/09/22,10:00,46889
01/09/22,11:00,46886
01/09/22,12:00,46887
01/09/22,13:00,46889
01/09/22,14:00,46885
01/09/22,15:00,46887
01/09/22,16:00,46888
01/09/22,17:00,46886
01/09/22,18:00,46887
01/09/22,19:00,46889
01/09/22,20:00,46886
01/09/22,21:00,46887
01/09/22,22:00,46889
01/09/22,23:00,46890
01/10/22,00:00,46886
01/10/22,01:00,46888
01/10/22,02:00,46889
01/10/22,03:00,46888
01/10/22,04:00,46887
01/10/22,05:00,46886
01/10/22,06:00,46884
01/10/22,07:00,46888
01/10/22,08:00,46889
01/10/22,09:00,46890
01/10/22,10:00,46887
01/10/22,11:00,46888
01/10/22,12:00,46889
01/10/22,13:00,46890
01/10/22,14:00,46887
01/10/22,15:00,46891
01/10/22,16:00,46886
01/10/22,17:00,46889
01/10/22,18:00,46888
01/10/22,19:00,46886
01/10/22,20:00,46885
01/10/22,21:00,46888
01/10/22,22:00,46884
01/10/22,23:00,46889
01/11/22,00:00,46887
01/11/22,01:00,46886
01/11/22,02:00,46888
01/11/22,03:00,46887
01/11/22,04:00,46889
01/11/22,05:00,46888
01/11/22,06:00,46885
01/11/22,07:00,46887
01/11/22,08:00,46884
01/11/22,09:00,46889
01/11/22,10:00,46885
01/11/22,11:00,46884
01/11/22,12:00,46888
01/11/22,13:00,46887
01/11/22,14:00,46886
01/11/22,15:00,46889
01/11/22,16:00,46885
01/11/22,17:00,46886
01/11/22,18:00,46889
01/11/22,19:00,46885
01/11/22,20:00,46888
01/11/22,21:00,46886
01/11/22,22:00,46888
01/11/22,23:00,46887
01/12/22,00:00,46885
01/12/22,01:00,46889
01/12/22,02:00,46885
01/12/22,03:00,46886
01/12/22,04:00,46884
01/12/22,05:00,46883
01/12/22,06:00,46889
01/12/22,07:00,46890
01/12/22,08:00,46887
01/12/22,09:00,46885
01/12/22,10:00,46886
01/12/22,11:00,46887
01/12/22,12:00,46889
01/12/22,13:00,46890
01/12/22,14:00,46888
01/12/22,15:00,46891
01/12/22,16:00,46892
01/12/22,17:00,46888
01/12/22,18:00,46887
01/12/22,19:00,46889
01/12/22,20:00,46886
01/12/22,21:00,46885
01/12/22,22:00,46887
01/12/22,23:00,46889
01/13/22,00:00,46886
01/13/22,01:00,46887
01/13/22,02:00,46889
01/13/22,03:00,46889
01/13/22,04:00,46889
01/13/22,05:00,46884
01/13/22,06:00,46888
01/13/22,07:00,46889
01/13/22,08:00,46886
01/13/22,09:00,46885
01/13/22,10:00,46887
01/13/22,11:00,46889
01/13/22,12:00,46890
01/13/22,13:00,46887
01/13/22,14:00,46888
01/13/22,15:00,46885
01/13/22,16:00,46889
01/13/22,17:00,46890
01/13/22,18:00,46891
01/13/22,19:00,46888
01/13/22,20:00,46887
01/13/22,21:00,46888
01/13/22,22:00,46890
01/13/22,23:00,46885
01/14/22,00:00,46888
01/14/22,01:00,46890
01/14/22,02:00,46891
01/14/22,03:00,46886
01/14/22,04:00,46885
01/14/22,05:00,46891
01/14/22,06:00,46888
01/14/22,07:00,46887
01/14/22,08:00,46890
01/14/22,09:00,46889
01/14/22,10:00,46891
01/14/22,11:00,46887
01/14/22,12:00,46886
01/14/22,13:00,46885
01/14/22,14:00,46889
01/14/22,15:00,46890
01/14/22,16:00,46891
01/14/22,17:00,46887
01/14/22,18:00,46888
01/14/22,19:00,46889
01/14/22,20:00,46885
01/14/22,21:00,46889
01/14/22,22:00,46887
01/14/22,23:00,46890
01/15/22,00:00,46887
01/15/22,01:00,46889
01/15/22,02:00,46888
01/15/22,03:00,46887
01/15/22,04:00,46886
01/15/22,05:00,46889
01/15/22,06:00,46890
01/15/22,07:00,46892
01/15/22,08:00,46889
01/15/22,09:00,46888
01/15/22,10:00,46886
01/15/22,11:00,46885
01/15/22,12:00,46888
01/15/22,13:00,46887
01/15/22,14:00,46886
01/15/22,15:00,46889
01/15/22,16:00,46887
01/15/22,17:00,46890
01/15/22,18:00,46891
01/15/22,19:00,46888
01/15/22,20:00,46887
01/15/22,21:00,46890
01/15/22,22:00,46889
01/15/22,23:00,46888
01/16/22,00:00,46891
01/16/22,01:00,46892
01/16/22,02:00,46889
01/16/22,03:00,46888
01/16/22,04:00,46887
01/16/22,05:00,46890
01/16/22,06:00,46889
01/16/22,07:00,46887
01/16/22,08:00,46885
01/16/22,09:00,46890
01/16/22,10:00,46889
01/16/22,11:00,46887
01/16/22,12:00,46889
01/16/22,13:00,46889
01/16/22,14:00,46887
01/16/22,15:00,46891
01/16/22,16:00,46892
01/16/22,17:00,46888
01/16/22,18:00,46889
01/16/22,19:00,46887
01/16/22,20:00,46890
01/16/22,21:00,46891
01/16/22,22:00,46888
01/16/22,23:00,46885
01/17/22,00:00,46886
01/17/22,01:00,46888
01/17/22,02:00,46887
01/17/22,03:00,46889
01/17/22,04:00,46890
01/17/22,05:00,46891
01/17/22,06:00,46885
01/17/22,07:00,46886
01/17/22,08:00,46888
01/17/22,09:00,46885
01/17/22,10:00,46888
01/17/22,11:00,46890
01/17/22,12:00,46891
01/17/22,13:00,46881
01/17/22,14:00,46889
01/17/22,15:00,46887
01/17/22,16:00,46890
01/17/22,17:00,46887
01/17/22,18:00,46886
01/17/22,19:00,46885
01/17/22,20:00,46889
01/17/22,21:00,46888
01/17/22,22:00,46890
01/17/22,23:00,46889
01/18/22,00:00,46891
01/18/22,01:00,46892
01/18/22,02:00,46889
01/18/22,03:00,46887
01/18/22,04:00,46888
01/18/22,05:00,46886
01/18/22,06:00,46891
01/18/22,07:00,46889
01/18/22,08:00,46890
01/18/22,09:00,46888
01/18/22,10:00,46889
01/18/22,11:00,46889
01/18/22,12:00,46890
01/18/22,13:00,46891
01/18/22,14:00,46888
01/18/22,15:00,46886
01/18/22,16:00,46885
01/18/22,17:00,46889
01/18/22,18:00,46890
01/18/22,19:00,46891
01/18/22,20:00,46887
01/18/22,21:00,46889
01/18/22,22:00,46887
01/18/22,23:00,46886
01/19/22,00:00,46885
01/19/22,01:00,46888
01/19/22,02:00,46890
01/19/22,03:00,46889
01/19/22,04:00,46887
01/19/22,05:00,46890
01/19/22,06:00,46888
01/19/22,07:00,46887
01/19/22,08:00,46885
01/19/22,09:00,46889
01/19/22,10:00,46887
01/19/22,11:00,46886
01/19/22,12:00,46885
01/19/22,13:00,46889
01/19/22,14:00,46888
01/19/22,15:00,46890
01/19/22,16:00,46891
01/19/22,17:00,46887
01/19/22,18:00,46885
01/19/22,19:00,46884
01/19/22,20:00,46886
01/19/22,21:00,46888
01/19/22,22:00,46890
01/19/22,23:00,46889
01/20/22,00:00,46888
01/20/22,01:00,46887
01/20/22,02:00,46889
01/20/22,03:00,46890
01/20/22,04:00,46891
01/20/22,05:00,46889
01/20/22,06:00,46885
01/20/22,07:00,46887
01/20/22,08:00,46888
01/20/22,09:00,46890
01/20/22,10:00,46889
01/20/22,11:00,46887
01/20/22,12:00,46885
01/20/22,13:00,46886
01/20/22,14:00,46889
01/20/22,15:00,46890
01/20/22,16:00,46891
01/20/22,17:00,46888
01/20/22,18:00,46887
01/20/22,19:00,46886
01/20/22,20:00,46889
01/20/22,21:00,46890
01/20/22,22:00,46887
01/20/22,23:00,46889
01/21/22,00:00,46891
01/21/22,01:00,46892
01/21/22,02:00,46887
01/21/22,03:00,46888
01/21/22,04:00,46886
01/21/22,05:00,46885
01/21/22,06:00,46890
01/21/22,07:00,46891
01/21/22,08:00,46887
01/21/22,09:00,46889
01/21/22,10:00,46888
01/21/22,11:00,46890
01/21/22,12:00,46891
01/21/22,13:00,46889
01/21/22,14:00,46887
01/21/22,15:00,46886
01/21/22,16:00,46888
01/21/22,17:00,46885
01/21/22,18:00,46890
01/21/22,19:00,46887
01/21/22,20:00,46886
01/21/22,21:00,46885
01/21/22,22:00,46891
01/21/22,23:00,46890
01/22/22,00:00,46889
01/22/22,01:00,46888
01/22/22,02:00,46885
01/22/22,03:00,46890
01/22/22,04:00,46888
01/22/22,05:00,46891
01/22/22,06:00,46887
01/22/22,07:00,46886
01/22/22,08:00,46889
01/22/22,09:00,46890
01/22/22,10:00,46887
01/22/22,11:00,46889
01/22/22,12:00,46887
01/22/22,13:00,46885
01/22/22,14:00,46887
01/22/22,15:00,46888
01/22/22,16:00,46889
01/22/22,17:00,46890
01/22/22,18:00,46888
01/22/22,19:00,46891
01/22/22,20:00,46887
01/22/22,21:00,46886
01/22/22,22:00,46889
01/22/22,23:00,46885
01/23/22,00:00,46887
01/23/22,01:00,46886
01/23/22,02:00,46888
01/23/22,03:00,46889
01/23/22,04:00,46887
01/23/22,05:00,46886
01/23/22,06:00,46889
01/23/22,07:00,46888
01/23/22,08:00,46886
01/23/22,09:00,46885
01/23/22,10:00,46888
01/23/22,11:00,46886
01/23/22,12:00,46888
01/23/22,13:00,46890
01/23/22,14:00,46891
01/23/22,15:00,46887
01/23/22,16:00,46886
01/23/22,17:00,46887
01/23/22,18:00,46889
01/23/22,19:00,46890
01/23/22,20:00,46888
01/23/22,21:00,46887
01/23/22,22:00,46885
01/23/22,23:00,46888
01/24/22,00:00,46886
01/24/22,01:00,46885
01/24/22,02:00,46884
01/24/22,03:00,46887
01/24/22,04:00,46889
01/24/22,05:00,46887
01/24/22,06:00,46888
01/24/22,07:00,46889
01/24/22,08:00,46890
01/24/22,09:00,46888
01/24/22,10:00,46891
01/24/22,11:00,46885
01/24/22,12:00,46886
01/24/22,13:00,46887
01/24/22,14:00,46888
01/24/22,15:00,46889
01/24/22,16:00,46885
01/24/22,17:00,46889
01/24/22,18:00,46886
01/24/22,19:00,46888
01/24/22,20:00,46884
01/24/22,21:00,46889
01/24/22,22:00,46888
01/24/22,23:00,46887
01/25/22,00:00,46890
01/25/22,01:00,46889
01/25/22,02:00,46886
01/25/22,03:00,46885
01/25/22,04:00,46888
01/25/22,05:00,46887
01/25/22,06:00,46886
01/25/22,07:00,46884
01/25/22,08:00,46885
01/25/22,09:00,46887
01/25/22,10:00,46886
01/25/22,11:00,46889
01/25/22,12:00,46888
01/25/22,13:00,46889
01/25/22,14:00,46890
01/25/22,15:00,46891
01/25/22,16:00,46888
01/25/22,17:00,46887
01/25/22,18:00,46889
01/25/22,19:00,46886
01/25/22,20:00,46885
01/25/22,21:00,46888
01/25/22,22:00,46887
01/25/22,23:00,46889
01/26/22,00:00,46888
01/26/22,01:00,46887
01/26/22,02:00,46889
01/26/22,03:00,46890
01/26/22,04:00,46891
01/26/22,05:00,46888
01/26/22,06:00,46887
01/26/22,07:00,46886
01/26/22,08:00,46887
01/26/22,09:00,46888
01/26/22,10:00,46889
01/26/22,11:00,46887
01/26/22,12:00,46888
01/26/22,13:00,46889
01/26/22,14:00,46886
01/26/22,15:00,46885
01/26/22,16:00,46889
01/26/22,17:00,46885
01/26/22,18:00,46886
01/26/22,19:00,46889
01/26/22,20:00,46888
01/26/22,21:00,46889
01/26/22,22:00,46886
01/26/22,23:00,46887
01/27/22,00:00,46889
01/27/22,01:00,46886
01/27/22,02:00,46888
01/27/22,03:00,46889
01/27/22,04:00,46887
01/27/22,05:00,46886
01/27/22,06:00,46885
01/27/22,07:00,46889
01/27/22,08:00,46890
01/27/22,09:00,46887
01/27/22,10:00,46891
01/27/22,11:00,46888
01/27/22,12:00,46889
01/27/22,13:00,46887
01/27/22,14:00,46888
01/27/22,15:00,46889
01/27/22,16:00,46890
01/27/22,17:00,46887
01/27/22,18:00,46888
01/27/22,19:00,46886
01/27/22,20:00,46885
01/27/22,21:00,46888
01/27/22,22:00,46889
01/27/22,23:00,46890
01/28/22,00:00,46887
01/28/22,01:00,46888
01/28/22,02:00,46886
01/28/22,03:00,46888
01/28/22,04:00,46885
01/28/22,05:00,46889
01/28/22,06:00,46886
01/28/22,07:00,46887
01/28/22,08:00,46889
01/28/22,09:00,46890
01/28/22,10:00,46891
01/28/22,11:00,46887
01/28/22,12:00,46886
01/28/22,13:00,46888
01/28/22,14:00,46890
01/28/22,15:00,46891
01/28/22,16:00,46889
01/28/22,17:00,46885
01/28/22,18:00,46887
01/28/22,19:00,46890
01/28/22,20:00,46889
01/28/22,21:00,46888
01/28/22,22:00,46887
01/28/22,23:00,46891
01/29/22,00:00,46890
01/29/22,01:00,46889
01/29/22,02:00,46888
01/29/22,03:00,46886
01/29/22,04:00,46887
01/29/22,05:00,46890
01/29/22,06:00,46889
01/29/22,07:00,46891
01/29/22,08:00,46888
01/29/22,09:00,46887
01/29/22,10:00,46886
01/29/22,11:00,46889
