date,hour,value
01/01/22,00:00,0.578
01/02/22,00:00,0.620
01/03/22,00:00,0.494
01/04/22,00:00,0.536
01/05/22,00:00,0.452
01/06/22,00:00,0.578
01/07/22,00:00,0.536
01/08/22,00:00,0.662
01/09/22,00:00,0.620
01/10/22,00:00,0.494
01/11/22,00:00,0.578
01/12/22,00:00,0.494
01/13/22,00:00,0.578
01/14/22,00:00,0.494
01/15/22,00:00,0.620
01/16/22,00:00,0.452
01/17/22,00:00,0.536
01/18/22,00:00,0.410
01/19/22,00:00,0.536
01/20/22,00:00,0.452
01/21/22,00:00,0.494
01/22/22,00:00,0.578
01/23/22,00:00,0.620
01/24/22,00:00,0.410
01/25/22,00:00,0.536
01/26/22,00:00,0.620
01/27/22,00:00,0.536
01/28/22,00:00,0.578
01/29/22,00:00,0.578
01/30/22,00:00,0.620
01/31/22,00:00,0.452
02/01/22,00:00,0.536
02/02/22,00:00,0.620
02/03/22,00:00,0.494
02/04/22,00:00,0.452
02/05/22,00:00,0.494
02/06/22,00:00,0.410
02/07/22,00:00,0.536
02/08/22,00:00,0.452
02/09/22,00:00,0.410
02/10/22,00:00,0.410
02/11/22,00:00,0.410
02/12/22,00:00,0.494
02/13/22,00:00,0.494
02/14/22,00:00,0.494
02/15/22,00:00,0.452
02/16/22,00:00,0.494
02/17/22,00:00,0.452
02/18/22,00:00,0.452
02/19/22,00:00,0.536
02/20/22,00:00,0.578
02/21/22,00:00,0.494
02/22/22,00:00,0.536
02/23/22,00:00,0.410
02/24/22,00:00,0.452
02/25/22,00:00,0.620
02/26/22,00:00,0.536
02/27/22,00:00,0.494
02/28/22,00:00,0.578
03/01/22,00:00,0.578
03/02/22,00:00,0.452
03/03/22,00:00,0.536
03/04/22,00:00,0.620
03/05/22,00:00,0.494
03/06/22,00:00,0.578
03/07/22,00:00,0.536
03/08/22,00:00,0.620
03/09/22,00:00,0.494
03/10/22,00:00,0.536
03/11/22,00:00,0.578
03/12/22,00:00,0.578
03/13/22,00:00,0.452
03/14/22,00:00,0.494
03/15/22,00:00,0.410
03/16/22,00:00,0.620
03/17/22,00:00,0.494
03/18/22,00:00,0.578
03/19/22,00:00,0.536
03/20/22,00:00,0.620
03/21/22,00:00,0.452
03/22/22,00:00,0.578
03/23/22,00:00,0.494
03/24/22,00:00,0.536
03/25/22,00:00,0.536
03/26/22,00:00,0.578
03/27/22,00:00,0.536
03/28/22,00:00,0.494
03/29/22,00:00,0.578
03/30/22,00:00,0.452
03/31/22,00:00,0.536
04/01/22,00:00,0.410
04/02/22,00:00,0.578
04/03/22,00:00,0.452
04/04/22,00:00,0.620
04/05/22,00:00,0.494
04/06/22,00:00,0.452
04/07/22,00:00,0.494
04/08/22,00:00,0.494
04/09/22,00:00,0.410
04/10/22,00:00,0.620
04/11/22,00:00,0.536
04/12/22,00:00,0.578
04/13/22,00:00,0.452
04/14/22,00:00,0.494
04/15/22,00:00,0.620
04/16/22,00:00,0.536
04/17/22,00:00,0.494
04/18/22,00:00,0.578
04/19/22,00:00,0.578
04/20/22,00:00,0.410
04/21/22,00:00,0.536
04/22/22,00:00,0.452
04/23/22,00:00,0.536
04/24/22,00:00,0.578
04/25/22,00:00,0.452
04/26/22,00:00,0.536
04/27/22,00:00,0.578
04/28/22,00:00,0.452
04/29/22,00:00,0.620
04/30/22,00:00,0.494
05/01/22,00:00,0.494
05/02/22,00:00,0.578
05/03/22,00:00,0.452
05/04/22,00:00,0.536
05/05/22,00:00,0.578
05/06/22,00:00,0.620
05/07/22,00:00,0.536
05/08/22,00:00,0.578
05/09/22,00:00,0.452
05/10/22,00:00,0.578
05/11/22,00:00,0.494
05/12/22,00:00,0.452
05/13/22,00:00,0.536
05/14/22,00:00,0.494
05/25/22,00:00,0.536
05/26/22,00:00,0.494
05/27/22,00:00,0.494
05/28/22,00:00,0.536
05/29/22,00:00,0.410
05/30/22,00:00,0.536
05/31/22,00:00,0.495
06/01/22,00:00,0.578
06/02/22,00:00,0.578
06/03/22,00:00,0.494
06/04/22,00:00,0.452
06/05/22,00:00,0.536
06/06/22,00:00,0.410
06/07/22,00:00,0.452
06/08/22,00:00,0.578
06/09/22,00:00,0.578
06/10/22,00:00,0.620
06/11/22,00:00,0.536
06/12/22,00:00,0.578
06/13/22,00:00,0.620
06/14/22,00:00,0.536
06/15/22,00:00,0.620
06/16/22,00:00,0.578
06/17/22,00:00,0.494
06/18/22,00:00,0.578
06/19/22,00:00,0.452
06/20/22,00:00,0.536
06/21/22,00:00,0.410
06/22/22,00:00,0.494
06/23/22,00:00,0.536
06/24/22,00:00,0.578
06/25/22,00:00,0.536
06/26/22,00:00,0.578
06/27/22,00:00,0.578
06/28/22,00:00,0.494
06/29/22,00:00,0.452
06/30/22,00:00,0.452
07/01/22,00:00,0.410
07/02/22,00:00,0.452
07/27/22,00:00,0.494
07/28/22,00:00,0.578
07/29/22,00:00,0.452
07/30/22,00:00,0.578
07/31/22,00:00,0.494
08/01/22,00:00,0.536
08/02/22,00:00,0.452
08/03/22,00:00,0.578
08/04/22,00:00,0.410
08/05/22,00:00,0.410
08/06/22,00:00,0.494
08/07/22,00:00,0.536
08/08/22,00:00,0.452
08/09/22,00:00,0.494
08/14/22,00:00,0.536
08/15/22,00:00,0.494
08/16/22,00:00,0.536
08/17/22,00:00,0.578
08/18/22,00:00,0.452
08/19/22,00:00,0.494
08/20/22,00:00,0.620
08/21/22,00:00,0.536
08/22/22,00:00,0.494
08/23/22,00:00,0.578
08/24/22,00:00,0.536
08/25/22,00:00,0.452
08/26/22,00:00,0.452
08/27/22,00:00,0.494
08/28/22,00:00,0.410
08/29/22,00:00,0.410
08/30/22,00:00,0.452
08/31/22,00:00,0.536
09/01/22,00:00,0.494
09/02/22,00:00,0.578
09/03/22,00:00,0.494
09/04/22,00:00,0.536
09/05/22,00:00,0.452
09/06/22,00:00,0.578
09/07/22,00:00,0.578
09/08/22,00:00,0.410
09/09/22,00:00,0.536
09/10/22,00:00,0.578
09/11/22,00:00,0.536
09/12/22,00:00,0.578
09/13/22,00:00,0.494
09/14/22,00:00,0.536
09/15/22,00:00,0.620
09/16/22,00:00,0.494
09/17/22,00:00,0.410
09/18/22,00:00,0.452
09/19/22,00:00,0.536
09/20/22,00:00,0.494
09/21/22,00:00,0.536
09/22/22,00:00,0.620
09/23/22,00:00,0.620
09/24/22,00:00,0.578
09/25/22,00:00,0.536
09/26/22,00:00,0.494
09/27/22,00:00,0.452
09/28/22,00:00,0.536
09/29/22,00:00,0.620
09/30/22,00:00,0.494
10/01/22,00:00,0.620
10/02/22,00:00,0.620
10/03/22,00:00,0.494
10/04/22,00:00,0.620
10/05/22,00:00,0.452
10/06/22,00:00,0.578
10/07/22,00:00,0.452
10/08/22,00:00,0.536
10/09/22,00:00,0.662
10/10/22,00:00,0.494
10/11/22,00:00,0.578
10/12/22,00:00,0.452
10/13/22,00:00,0.410
10/14/22,00:00,0.536
10/15/22,00:00,0.494
10/16/22,00:00,0.536
10/17/22,00:00,0.536
10/18/22,00:00,0.494
10/19/22,00:00,0.494
10/20/22,00:00,0.536
10/21/22,00:00,0.620
10/22/22,00:00,0.620
10/23/22,00:00,0.536
10/24/22,00:00,0.620
10/25/22,00:00,0.620
10/26/22,00:00,0.578
10/27/22,00:00,0.578
10/28/22,00:00,0.452
10/29/22,00:00,0.452
10/30/22,00:00,0.620
10/31/22,00:00,0.620
11/01/22,00:00,0.578
11/02/22,00:00,0.578
11/03/22,00:00,0.536
11/04/22,00:00,0.452
11/05/22,00:00,0.452
11/06/22,00:00,0.494
11/07/22,00:00,0.536
11/08/22,00:00,0.452
11/09/22,00:00,0.620
11/10/22,00:00,0.578
11/11/22,00:00,0.452
11/12/22,00:00,0.536
11/13/22,00:00,0.452
11/14/22,00:00,0.536
11/15/22,00:00,0.410
11/16/22,00:00,0.494
11/17/22,00:00,0.620
11/18/22,00:00,0.620
11/19/22,00:00,0.578
11/20/22,00:00,0.536
11/21/22,00:00,0.536
11/22/22,00:00,0.452
11/23/22,00:00,0.578
11/24/22,00:00,0.578
11/25/22,00:00,0.662
11/26/22,00:00,0.662
11/27/22,00:00,0.494
11/28/22,00:00,0.452
11/29/22,00:00,0.578
11/30/22,00:00,0.620
12/01/22,00:00,0.578
12/02/22,00:00,0.662
12/03/22,00:00,0.620
12/04/22,00:00,0.788
12/05/22,00:00,0.872
12/06/22,00:00,0.956
12/07/22,00:00,0.788
12/08/22,00:00,0.788
12/09/22,00:00,0.746
12/10/22,00:00,0.914
12/11/22,00:00,0.704
12/12/22,00:00,0.830
12/13/22,00:00,0.746
12/14/22,00:00,0.788
12/15/22,00:00,0.830
12/16/22,00:00,0.830
12/17/22,00:00,0.872
12/18/22,00:00,0.620
12/19/22,00:00,0.662
12/20/22,00:00,0.620
12/21/22,00:00,0.704
12/22/22,00:00,0.578
12/23/22,00:00,0.620
12/24/22,00:00,0.662
12/25/22,00:00,0.578
12/26/22,00:00,0.620
12/27/22,00:00,0.536
12/28/22,00:00,0.494
12/29/22,00:00,0.620
12/30/22,00:00,0.452
12/31/22,00:00,0.410
