date,hour,value
01/01/22,00:00,0.036
01/02/22,00:00,0.041
01/03/22,00:00,0.040
01/04/22,00:00,0.031
01/05/22,00:00,0.036
01/06/22,00:00,0.041
01/07/22,00:00,0.041
01/08/22,00:00,0.042
01/09/22,00:00,0.045
01/10/22,00:00,0.049
01/11/22,00:00,0.047
01/12/22,00:00,0.045
01/13/22,00:00,0.049
01/14/22,00:00,0.049
01/15/22,00:00,0.043
01/16/22,00:00,0.040
01/17/22,00:00,0.036
01/18/22,00:00,0.036
01/19/22,00:00,0.028
01/20/22,00:00,0.027
01/21/22,00:00,0.029
01/22/22,00:00,0.026
01/23/22,00:00,0.040
01/24/22,00:00,0.031
01/25/22,00:00,0.036
01/26/22,00:00,0.041
01/27/22,00:00,0.036
01/28/22,00:00,0.031
01/29/22,00:00,0.040
01/30/22,00:00,0.036
01/31/22,00:00,0.040
02/01/22,00:00,0.036
02/02/22,00:00,0.040
02/03/22,00:00,0.036
02/04/22,00:00,0.041
02/05/22,00:00,0.036
02/06/22,00:00,0.036
02/07/22,00:00,0.042
02/08/22,00:00,0.042
02/09/22,00:00,0.025
02/10/22,00:00,0.024
02/11/22,00:00,0.029
02/12/22,00:00,0.028
02/13/22,00:00,0.027
02/14/22,00:00,0.027
02/15/22,00:00,0.029
02/16/22,00:00,0.036
02/17/22,00:00,0.031
02/18/22,00:00,0.040
02/19/22,00:00,0.031
02/20/22,00:00,0.029
02/21/22,00:00,0.027
02/22/22,00:00,0.031
02/23/22,00:00,0.031
02/24/22,00:00,0.031
02/25/22,00:00,0.040
02/26/22,00:00,0.036
02/27/22,00:00,0.040
02/28/22,00:00,0.041
03/01/22,00:00,0.040
03/02/22,00:00,0.036
03/03/22,00:00,0.040
03/04/22,00:00,0.031
03/05/22,00:00,0.040
03/06/22,00:00,0.036
03/07/22,00:00,0.031
03/08/22,00:00,0.028
03/09/22,00:00,0.029
03/10/22,00:00,0.025
03/11/22,00:00,0.027
03/12/22,00:00,0.028
03/13/22,00:00,0.026
03/14/22,00:00,0.028
03/15/22,00:00,0.027
03/16/22,00:00,0.040
03/17/22,00:00,0.041
03/18/22,00:00,0.042
03/19/22,00:00,0.040
03/20/22,00:00,0.041
03/21/22,00:00,0.043
03/22/22,00:00,0.042
03/23/22,00:00,0.041
03/24/22,00:00,0.047
03/25/22,00:00,0.045
03/26/22,00:00,0.047
03/27/22,00:00,0.040
03/28/22,00:00,0.036
03/29/22,00:00,0.041
03/30/22,00:00,0.045
03/31/22,00:00,0.043
04/01/22,00:00,0.047
04/02/22,00:00,0.043
04/03/22,00:00,0.031
04/04/22,00:00,0.028
04/05/22,00:00,0.036
04/06/22,00:00,0.029
04/07/22,00:00,0.029
04/08/22,00:00,0.031
04/09/22,00:00,0.029
04/10/22,00:00,0.041
04/11/22,00:00,0.042
04/12/22,00:00,0.043
04/13/22,00:00,0.049
04/14/22,00:00,0.045
04/15/22,00:00,0.047
04/16/22,00:00,0.043
04/17/22,00:00,0.049
04/18/22,00:00,0.045
04/19/22,00:00,0.041
04/20/22,00:00,0.031
04/21/22,00:00,0.029
04/22/22,00:00,0.036
04/23/22,00:00,0.040
04/24/22,00:00,0.036
04/25/22,00:00,0.040
04/26/22,00:00,0.031
04/27/22,00:00,0.052
04/28/22,00:00,0.054
04/29/22,00:00,0.052
04/30/22,00:00,0.049
05/01/22,00:00,0.049
05/02/22,00:00,0.052
05/03/22,00:00,0.047
05/04/22,00:00,0.054
05/05/22,00:00,0.049
05/06/22,00:00,0.052
05/07/22,00:00,0.047
05/08/22,00:00,0.043
05/09/22,00:00,0.041
05/10/22,00:00,0.042
05/11/22,00:00,0.047
05/12/22,00:00,0.045
05/13/22,00:00,0.045
05/14/22,00:00,0.043
05/25/22,00:00,0.042
05/26/22,00:00,0.041
05/27/22,00:00,0.040
05/28/22,00:00,0.043
05/29/22,00:00,0.042
05/30/22,00:00,0.040
05/31/22,00:00,0.042
06/01/22,00:00,0.040
06/02/22,00:00,0.041
06/03/22,00:00,0.036
06/04/22,00:00,0.036
06/05/22,00:00,0.041
06/06/22,00:00,0.040
06/07/22,00:00,0.040
06/08/22,00:00,0.036
06/09/22,00:00,0.041
06/10/22,00:00,0.041
06/11/22,00:00,0.040
06/12/22,00:00,0.036
06/13/22,00:00,0.041
06/14/22,00:00,0.036
06/15/22,00:00,0.040
06/16/22,00:00,0.042
06/17/22,00:00,0.042
06/18/22,00:00,0.041
06/19/22,00:00,0.043
06/20/22,00:00,0.043
06/21/22,00:00,0.040
06/22/22,00:00,0.042
06/23/22,00:00,0.045
06/24/22,00:00,0.047
06/25/22,00:00,0.045
06/26/22,00:00,0.045
06/27/22,00:00,0.043
06/28/22,00:00,0.042
06/29/22,00:00,0.043
06/30/22,00:00,0.045
07/01/22,00:00,0.047
07/02/22,00:00,0.047
07/27/22,00:00,0.043
07/28/22,00:00,0.045
07/29/22,00:00,0.045
07/30/22,00:00,0.045
07/31/22,00:00,0.047
08/01/22,00:00,0.045
08/02/22,00:00,0.043
08/03/22,00:00,0.047
08/04/22,00:00,0.045
08/05/22,00:00,0.049
08/06/22,00:00,0.047
08/07/22,00:00,0.045
08/08/22,00:00,0.043
08/09/22,00:00,0.045
08/14/22,00:00,0.045
08/15/22,00:00,0.043
08/16/22,00:00,0.045
08/17/22,00:00,0.045
08/18/22,00:00,0.047
08/19/22,00:00,0.049
08/20/22,00:00,0.047
08/21/22,00:00,0.045
08/22/22,00:00,0.045
08/23/22,00:00,0.043
08/24/22,00:00,0.042
08/25/22,00:00,0.045
08/26/22,00:00,0.041
08/27/22,00:00,0.041
08/28/22,00:00,0.043
08/29/22,00:00,0.040
08/30/22,00:00,0.041
08/31/22,00:00,0.045
09/01/22,00:00,0.043
09/02/22,00:00,0.047
09/03/22,00:00,0.045
09/04/22,00:00,0.043
09/05/22,00:00,0.045
09/06/22,00:00,0.041
09/07/22,00:00,0.036
09/08/22,00:00,0.042
09/09/22,00:00,0.040
09/10/22,00:00,0.043
09/11/22,00:00,0.043
09/12/22,00:00,0.045
09/13/22,00:00,0.040
09/14/22,00:00,0.062
09/15/22,00:00,0.054
09/16/22,00:00,0.066
09/17/22,00:00,0.059
09/18/22,00:00,0.036
09/19/22,00:00,0.031
09/21/22,00:00,0.018
09/22/22,00:00,0.069
09/23/22,00:00,0.052
09/24/22,00:00,0.027
09/25/22,00:00,0.026
09/26/22,00:00,0.011
09/27/22,00:00,0.052
09/28/22,00:00,0.069
09/29/22,00:00,0.067
09/30/22,00:00,0.053
10/01/22,00:00,0.066
10/02/22,00:00,0.029
10/03/22,00:00,0.031
10/04/22,00:00,0.036
10/05/22,00:00,0.049
10/06/22,00:00,0.052
