date,hour,value
05/16/22,00:00,14.9
05/18/22,00:00,15.0
05/21/22,00:00,14.8
05/24/22,00:00,15.0
05/29/22,00:00,20.9
06/01/22,00:00,20.8
06/04/22,00:00,20.9
06/05/22,00:00,19.1
06/06/22,00:00,19.4
06/07/22,00:00,19.1
06/08/22,00:00,18.1
06/09/22,00:00,18.1
06/10/22,00:00,18.1
06/11/22,00:00,18.1
06/12/22,00:00,18.2
06/13/22,00:00,18.1
06/14/22,00:00,18.2
06/15/22,00:00,20.0
06/16/22,00:00,20.1
06/17/22,00:00,20.1
06/18/22,00:00,20.0
06/19/22,00:00,17.8
06/20/22,00:00,17.8
06/21/22,00:00,17.7
06/22/22,00:00,16.7
06/23/22,00:00,16.8
06/24/22,00:00,16.7
06/25/22,00:00,16.7
06/26/22,00:00,21.1
06/27/22,00:00,21.0
06/28/22,00:00,21.0
06/29/22,00:00,19.4
06/30/22,00:00,19.3
07/01/22,00:00,19.3
07/02/22,00:00,19.3
07/03/22,00:00,20.7
07/04/22,00:00,20.7
07/05/22,00:00,20.7
07/06/22,00:00,25.2
07/07/22,00:00,25.2
07/08/22,00:00,25.1
07/09/22,00:00,25.2
07/10/22,00:00,22.6
07/11/22,00:00,22.6
07/12/22,00:00,22.6
07/13/22,00:00,25.4
07/14/22,00:00,25.4
07/15/22,00:00,25.3
07/16/22,00:00,25.4
07/17/22,00:00,24.2
07/18/22,00:00,24.2
07/19/22,00:00,24.2
07/20/22,00:00,19.8
07/21/22,00:00,19.8
07/22/22,00:00,20.1
07/23/22,00:00,20.1
07/24/22,00:00,21.5
07/25/22,00:00,21.3
07/26/22,00:00,21.5
07/27/22,00:00,23.1
07/28/22,00:00,23.1
07/29/22,00:00,23.0
07/30/22,00:00,23.1
07/31/22,00:00,22.2
08/01/22,00:00,22.1
08/02/22,00:00,22.1
08/03/22,00:00,24.3
08/04/22,00:00,24.3
08/05/22,00:00,24.3
08/06/22,00:00,24.9
08/07/22,00:00,23.6
08/08/22,00:00,23.6
08/09/22,00:00,23.7
08/10/22,00:00,25.1
08/11/22,00:00,25.2
08/12/22,00:00,24.9
08/13/22,00:00,24.9
08/14/22,00:00,24.1
08/15/22,00:00,24.3
08/16/22,00:00,24.1
08/17/22,00:00,22.2
08/18/22,00:00,22.2
08/19/22,00:00,22.1
08/20/22,00:00,22.0
08/21/22,00:00,23.2
08/22/22,00:00,23.0
08/23/22,00:00,23.1
08/24/22,00:00,23.1
08/25/22,00:00,23.3
08/26/22,00:00,23.3
08/27/22,00:00,23.4
08/28/22,00:00,25.6
08/29/22,00:00,25.6
08/30/22,00:00,25.7
08/31/22,00:00,22.6
09/01/22,00:00,22.7
09/02/22,00:00,22.7
09/03/22,00:00,22.6
09/04/22,00:00,22.6
09/05/22,00:00,19.3
09/06/22,00:00,19.5
09/07/22,00:00,19.3
09/08/22,00:00,22.7
09/09/22,00:00,22.4
09/10/22,00:00,22.3
09/11/22,00:00,22.2
09/12/22,00:00,18.6
09/13/22,00:00,19.0
09/14/22,00:00,24.4
09/15/22,00:00,24.4
09/16/22,00:00,24.3
09/17/22,00:00,24.3
09/18/22,00:00,18.0
09/20/22,00:00,18.1
09/21/22,00:00,17.3
09/22/22,00:00,17.1
09/23/22,00:00,17.2
09/24/22,00:00,17.2
09/25/22,00:00,19.1
09/26/22,00:00,18.8
09/27/22,00:00,18.8
09/28/22,00:00,19.0
09/29/22,00:00,19.0
09/30/22,00:00,19.3
10/01/22,00:00,19.3
