date,hour,value
01/01/23,00:00,31.84
01/02/23,00:00,31.35
01/03/23,00:00,31.84
01/04/23,00:00,31.03
01/05/23,00:00,31.84
01/06/23,00:00,33.32
01/07/23,00:00,31.84
01/08/23,00:00,31.84
01/09/23,00:00,34.31
01/10/23,00:00,32.83
01/11/23,00:00,31.35
01/12/23,00:00,31.84
01/13/23,00:00,31.84
01/14/23,00:00,31.84
01/15/23,00:00,32.83
01/16/23,00:00,33.32
01/17/23,00:00,31.35
01/18/23,00:00,31.84
01/19/23,00:00,32.33
01/20/23,00:00,33.81
01/21/23,00:00,33.32
01/22/23,00:00,31.84
01/23/23,00:00,30.37
01/24/23,00:00,31.84
01/25/23,00:00,32.33
01/26/23,00:00,31.84
01/27/23,00:00,32.83
01/28/23,00:00,31.84
01/29/23,00:00,31.84
01/30/23,00:00,31.84
01/31/23,00:00,31.84
02/01/23,00:00,32.33
02/02/23,00:00,32.33
02/03/23,00:00,31.84
02/04/23,00:00,32.83
02/05/23,00:00,38.42
02/06/23,00:00,38.42
02/07/23,00:00,36.94
02/08/23,00:00,31.84
02/09/23,00:00,31.84
02/10/23,00:00,32.33
02/11/23,00:00,31.84
02/12/23,00:00,31.84
02/13/23,00:00,35.29
02/14/23,00:00,35.29
02/15/23,00:00,28.40
02/16/23,00:00,27.41
02/17/23,00:00,29.87
02/18/23,00:00,29.87
02/19/23,00:00,33.81
02/20/23,00:00,31.84
02/21/23,00:00,36.94
02/22/23,00:00,31.84
02/23/23,00:00,31.84
02/24/23,00:00,30.37
02/25/23,00:00,29.38
02/26/23,00:00,29.38
02/27/23,00:00,31.03
02/28/23,00:00,31.03
03/01/23,00:00,31.84
03/02/23,00:00,32.33
03/03/23,00:00,31.84
03/04/23,00:00,31.03
03/05/23,00:00,34.31
03/06/23,00:00,36.94
03/07/23,00:00,36.28
03/08/23,00:00,29.98
03/09/23,00:00,29.98
03/10/23,00:00,31.32
03/11/23,00:00,30.39
03/12/23,00:00,33.80
03/13/23,00:00,35.72
03/14/23,00:00,36.67
03/15/23,00:00,33.23
03/16/23,00:00,33.23
03/17/23,00:00,36.20
03/18/23,00:00,36.20
03/19/23,00:00,35.24
03/20/23,00:00,35.72
03/21/23,00:00,35.24
03/22/23,00:00,35.24
03/23/23,00:00,36.67
03/24/23,00:00,36.20
03/25/23,00:00,35.24
03/26/23,00:00,35.72
03/27/23,00:00,35.72
03/28/23,00:00,35.72
03/29/23,00:00,33.32
03/30/23,00:00,35.72
03/31/23,00:00,34.76
04/01/23,00:00,35.72
04/02/23,00:00,37.15
04/03/23,00:00,38.11
04/04/23,00:00,36.20
04/05/23,00:00,34.76
04/06/23,00:00,35.72
04/07/23,00:00,35.72
04/08/23,00:00,35.24
04/09/23,00:00,36.20
04/10/23,00:00,35.72
04/11/23,00:00,35.24
04/12/23,00:00,34.28
04/13/23,00:00,34.76
04/14/23,00:00,35.24
04/15/23,00:00,35.24
04/16/23,00:00,34.28
04/17/23,00:00,36.20
04/18/23,00:00,36.20
04/19/23,00:00,36.20
04/20/23,00:00,37.15
04/21/23,00:00,35.72
04/22/23,00:00,35.72
04/23/23,00:00,37.15
04/24/23,00:00,35.72
04/25/23,00:00,37.15
04/26/23,00:00,36.67
04/27/23,00:00,35.72
04/28/23,00:00,37.15
04/29/23,00:00,36.20
04/30/23,00:00,35.72
05/01/23,00:00,35.72
05/02/23,00:00,36.20
05/03/23,00:00,35.72
05/04/23,00:00,35.24
05/05/23,00:00,35.72
05/06/23,00:00,35.72
05/07/23,00:00,35.24
05/08/23,00:00,36.67
05/09/23,00:00,35.72
05/10/23,00:00,35.72
05/11/23,00:00,37.15
05/12/23,00:00,35.72
05/13/23,00:00,35.72
05/14/23,00:00,36.67
05/15/23,00:00,36.20
05/16/23,00:00,36.67
05/17/23,00:00,35.72
05/18/23,00:00,37.15
05/19/23,00:00,37.15
05/20/23,00:00,35.72
05/21/23,00:00,36.20
05/22/23,00:00,36.67
05/23/23,00:00,36.67
05/24/23,00:00,35.72
05/25/23,00:00,37.15
05/26/23,00:00,37.15
05/27/23,00:00,37.15
05/28/23,00:00,36.20
05/29/23,00:00,35.72
05/30/23,00:00,36.67
05/31/23,00:00,35.72
06/01/23,00:00,36.20
06/02/23,00:00,36.20
06/03/23,00:00,36.20
06/04/23,00:00,36.20
06/05/23,00:00,35.72
06/06/23,00:00,36.67
06/07/23,00:00,36.20
06/08/23,00:00,36.67
06/09/23,00:00,35.72
06/10/23,00:00,36.67
06/11/23,00:00,35.24
06/12/23,00:00,35.72
06/13/23,00:00,35.72
06/14/23,00:00,35.72
06/15/23,00:00,36.67
06/16/23,00:00,35.72
06/17/23,00:00,36.67
06/18/23,00:00,36.67
06/19/23,00:00,36.20
06/20/23,00:00,36.67
06/21/23,00:00,35.72
06/22/23,00:00,36.20
06/23/23,00:00,35.72
06/24/23,00:00,36.20
06/25/23,00:00,36.20
06/26/23,00:00,35.72
06/27/23,00:00,36.67
06/28/23,00:00,35.72
06/29/23,00:00,35.72
06/30/23,00:00,36.20
07/01/23,00:00,36.20
07/02/23,00:00,36.67
07/03/23,00:00,35.72
07/04/23,00:00,36.20
07/05/23,00:00,36.20
07/06/23,00:00,36.20
07/07/23,00:00,36.20
07/08/23,00:00,35.72
07/09/23,00:00,38.21
07/10/23,00:00,38.21
07/11/23,00:00,37.71
07/12/23,00:00,38.21
07/13/23,00:00,37.71
07/14/23,00:00,38.21
07/15/23,00:00,37.71
07/16/23,00:00,38.72
07/17/23,00:00,38.21
07/18/23,00:00,38.72
07/19/23,00:00,38.21
07/20/23,00:00,37.71
07/21/23,00:00,37.71
07/22/23,00:00,38.21
07/23/23,00:00,38.21
07/24/23,00:00,38.21
07/25/23,00:00,38.72
