date,hour,value
1/1/23,00:00,-23.84
1/1/23,01:00,-23.84
1/1/23,02:00,-23.83
1/1/23,03:00,-23.83
1/1/23,04:00,-23.83
1/1/23,05:00,-23.83
1/1/23,06:00,-23.83
1/1/23,07:00,-23.82
1/1/23,08:00,-23.83
1/1/23,09:00,-23.83
1/1/23,10:00,-23.84
1/1/23,11:00,-23.86
1/1/23,12:00,-23.87
1/1/23,13:00,-23.87
1/1/23,14:00,-23.86
1/1/23,15:00,-23.86
1/1/23,16:00,-23.86
1/1/23,17:00,-23.83
1/1/23,18:00,-23.83
1/1/23,19:00,-23.83
1/1/23,20:00,-23.82
1/1/23,21:00,-23.82
1/1/23,22:00,-23.82
1/1/23,23:00,-23.82
1/2/23,00:00,-23.82
1/2/23,01:00,-23.82
1/2/23,02:00,-23.82
1/2/23,03:00,-23.82
1/2/23,04:00,-23.83
1/2/23,05:00,-23.83
1/2/23,06:00,-23.82
1/2/23,07:00,-23.82
1/2/23,08:00,-23.82
1/2/23,09:00,-23.83
1/2/23,10:00,-23.84
1/2/23,11:00,-23.85
1/2/23,12:00,-23.86
1/2/23,13:00,-23.87
1/2/23,14:00,-23.86
1/2/23,15:00,-23.87
1/2/23,16:00,-23.86
1/2/23,17:00,-23.84
1/2/23,18:00,-23.83
1/2/23,19:00,-23.83
1/2/23,20:00,-23.83
1/2/23,21:00,-23.83
1/2/23,22:00,-23.83
1/2/23,23:00,-23.83
1/3/23,00:00,-23.83
1/3/23,01:00,-23.83
1/3/23,02:00,-23.83
1/3/23,03:00,-23.83
1/3/23,04:00,-23.83
1/3/23,05:00,-23.83
1/3/23,06:00,-23.83
1/3/23,07:00,-23.83
1/3/23,08:00,-23.83
1/3/23,09:00,-23.84
1/3/23,10:00,-23.85
1/3/23,11:00,-23.87
1/3/23,12:00,-23.89
1/3/23,13:00,-23.89
1/3/23,14:00,-23.88
1/3/23,15:00,-23.89
1/3/23,16:00,-23.88
1/3/23,17:00,-23.86
1/3/23,18:00,-23.86
1/3/23,19:00,-23.86
1/3/23,20:00,-23.86
1/3/23,21:00,-23.86
1/3/23,22:00,-23.87
1/3/23,23:00,-23.87
1/4/23,00:00,-23.87
1/4/23,01:00,-23.87
1/4/23,02:00,-23.88
1/4/23,03:00,-23.88
1/4/23,04:00,-23.89
1/4/23,05:00,-23.89
1/4/23,06:00,-23.89
1/4/23,07:00,-23.89
1/4/23,08:00,-23.90
1/4/23,09:00,-23.91
1/4/23,10:00,-23.92
1/4/23,11:00,-23.94
1/4/23,12:00,-23.96
1/4/23,13:00,-23.97
1/4/23,14:00,-23.96
1/4/23,15:00,-23.97
1/4/23,16:00,-23.97
1/4/23,17:00,-23.95
1/4/23,18:00,-23.95
1/4/23,19:00,-23.95
1/4/23,20:00,-23.95
1/4/23,21:00,-23.95
1/4/23,22:00,-23.95
1/4/23,23:00,-23.95
1/5/23,00:00,-23.96
1/5/23,01:00,-23.96
1/5/23,02:00,-23.96
1/5/23,03:00,-23.96
1/5/23,04:00,-23.96
1/5/23,05:00,-23.96
1/5/23,06:00,-23.95
1/5/23,07:00,-23.95
1/5/23,08:00,-23.95
1/5/23,09:00,-23.96
1/5/23,10:00,-23.96
1/5/23,11:00,-23.97
1/5/23,12:00,-23.97
1/5/23,13:00,-23.98
1/5/23,14:00,-23.98
1/5/23,15:00,-23.97
1/5/23,16:00,-23.97
1/5/23,17:00,-23.95
1/5/23,18:00,-23.94
1/5/23,19:00,-23.93
1/5/23,20:00,-23.93
1/5/23,21:00,-23.93
1/5/23,22:00,-23.93
1/5/23,23:00,-23.93
1/6/23,00:00,-23.93
1/6/23,01:00,-23.94
1/6/23,02:00,-23.94
1/6/23,03:00,-23.94
1/6/23,04:00,-23.94
1/6/23,05:00,-23.94
1/6/23,06:00,-23.94
1/6/23,07:00,-23.95
1/6/23,08:00,-23.95
1/6/23,09:00,-23.96
1/6/23,10:00,-23.97
1/6/23,11:00,-23.98
1/6/23,12:00,-23.99
1/6/23,13:00,-23.99
1/6/23,14:00,-23.99
1/6/23,15:00,-23.99
1/6/23,16:00,-23.99
1/6/23,17:00,-23.99
1/6/23,18:00,-23.97
1/6/23,19:00,-23.97
1/6/23,20:00,-23.97
1/6/23,21:00,-23.97
1/6/23,22:00,-23.97
1/6/23,23:00,-23.97
1/7/23,00:00,-23.97
1/7/23,01:00,-23.98
1/7/23,02:00,-23.98
1/7/23,03:00,-23.98
1/7/23,04:00,-23.98
1/7/23,05:00,-23.98
1/7/23,06:00,-23.98
1/7/23,07:00,-23.97
1/7/23,08:00,-23.97
1/7/23,09:00,-23.96
1/7/23,10:00,-23.97
1/7/23,11:00,-23.98
1/7/23,12:00,-23.99
1/7/23,13:00,-23.99
1/7/23,14:00,-23.98
1/7/23,15:00,-23.97
1/7/23,16:00,-23.97
1/7/23,17:00,-23.97
1/7/23,18:00,-23.96
1/7/23,19:00,-23.96
1/7/23,20:00,-23.96
1/7/23,21:00,-23.96
1/7/23,22:00,-23.96
1/7/23,23:00,-23.96
1/8/23,00:00,-23.96
1/8/23,01:00,-23.96
1/8/23,02:00,-23.96
1/8/23,03:00,-23.96
1/8/23,04:00,-23.96
1/8/23,05:00,-23.96
1/8/23,06:00,-23.96
1/8/23,07:00,-23.95
1/8/23,08:00,-23.95
1/8/23,09:00,-23.95
1/8/23,10:00,-23.95
1/8/23,11:00,-23.95
1/8/23,12:00,-23.96
1/8/23,13:00,-23.96
1/8/23,14:00,-23.96
1/8/23,15:00,-23.96
1/8/23,16:00,-23.96
1/8/23,17:00,-23.95
1/8/23,18:00,-23.94
1/8/23,19:00,-23.94
1/8/23,20:00,-23.94
1/8/23,21:00,-23.94
1/8/23,22:00,-23.94
1/8/23,23:00,-23.94
1/9/23,00:00,-23.94
1/9/23,01:00,-23.94
1/9/23,02:00,-23.94
1/9/23,03:00,-23.93
1/9/23,04:00,-23.93
1/9/23,05:00,-23.93
1/9/23,06:00,-23.93
1/9/23,07:00,-23.92
1/9/23,08:00,-23.92
1/9/23,09:00,-23.91
1/9/23,10:00,-23.91
1/9/23,11:00,-23.92
1/9/23,12:00,-23.92
1/9/23,13:00,-23.92
1/9/23,14:00,-23.92
1/9/23,15:00,-23.92
1/9/23,16:00,-23.91
1/9/23,17:00,-23.90
1/9/23,18:00,-23.90
1/9/23,19:00,-23.89
1/9/23,20:00,-23.89
1/9/23,21:00,-23.89
1/9/23,22:00,-23.88
1/9/23,23:00,-23.88
1/10/23,00:00,-23.89
1/10/23,01:00,-23.88
1/10/23,02:00,-23.88
1/10/23,03:00,-23.88
1/10/23,04:00,-23.88
1/10/23,05:00,-23.88
1/10/23,06:00,-23.88
1/10/23,07:00,-23.87
1/10/23,08:00,-23.87
1/10/23,09:00,-23.87
1/10/23,10:00,-23.88
1/10/23,11:00,-23.89
1/10/23,12:00,-23.90
1/10/23,13:00,-23.91
1/10/23,14:00,-23.90
1/10/23,15:00,-23.90
1/10/23,16:00,-23.89
1/10/23,17:00,-23.88
1/10/23,18:00,-23.87
1/10/23,19:00,-23.87
1/10/23,20:00,-23.87
1/10/23,21:00,-23.87
1/10/23,22:00,-23.86
1/10/23,23:00,-23.86
1/11/23,00:00,-23.86
1/11/23,01:00,-23.86
1/11/23,02:00,-23.86
1/11/23,03:00,-23.86
1/11/23,04:00,-23.86
1/11/23,05:00,-23.86
1/11/23,06:00,-23.86
1/11/23,07:00,-23.86
1/11/23,08:00,-23.86
1/11/23,09:00,-23.87
1/11/23,10:00,-23.87
1/11/23,11:00,-23.87
1/11/23,12:00,-23.88
1/11/23,13:00,-23.88
1/11/23,14:00,-23.88
1/11/23,15:00,-23.88
1/11/23,16:00,-23.88
1/11/23,17:00,-23.87
1/11/23,18:00,-23.87
1/11/23,19:00,-23.87
1/11/23,20:00,-23.87
1/11/23,21:00,-23.87
1/11/23,22:00,-23.87
1/11/23,23:00,-23.87
1/12/23,00:00,-23.87
1/12/23,01:00,-23.87
1/12/23,02:00,-23.87
1/12/23,03:00,-23.87
1/12/23,04:00,-23.88
1/12/23,05:00,-23.88
