date,hour,value
01/01/23,00:00,267
01/01/23,01:00,269
01/01/23,02:00,253
01/01/23,03:00,260
01/01/23,04:00,263
01/01/23,05:00,265
01/01/23,06:00,267
01/01/23,07:00,269
01/01/23,08:00,262
01/01/23,09:00,261
01/01/23,10:00,266
01/01/23,11:00,267
01/01/23,12:00,258
01/01/23,13:00,261
01/01/23,14:00,276
01/01/23,15:00,263
01/01/23,16:00,255
01/01/23,17:00,270
01/01/23,18:00,273
01/01/23,19:00,268
01/01/23,20:00,269
01/01/23,21:00,278
01/01/23,22:00,268
01/01/23,23:00,262
01/02/23,00:00,275
01/02/23,01:00,269
01/02/23,02:00,251
01/02/23,03:00,253
01/02/23,04:00,255
01/02/23,05:00,257
01/02/23,06:00,260
01/02/23,07:00,263
01/02/23,08:00,264
01/02/23,09:00,262
01/02/23,10:00,258
01/02/23,11:00,256
01/02/23,12:00,250
01/02/23,13:00,247
01/02/23,14:00,248
01/02/23,15:00,260
01/02/23,16:00,256
01/02/23,17:00,261
01/02/23,18:00,255
01/02/23,19:00,262
01/02/23,20:00,259
01/02/23,21:00,260
01/02/23,22:00,261
01/02/23,23:00,264
01/03/23,00:00,263
01/03/23,01:00,260
01/03/23,02:00,258
01/03/23,03:00,255
01/03/23,04:00,258
01/03/23,05:00,262
01/03/23,06:00,263
01/03/23,07:00,257
01/03/23,08:00,260
01/03/23,09:00,253
01/03/23,10:00,262
01/03/23,11:00,264
01/03/23,12:00,261
01/03/23,13:00,255
01/03/23,14:00,253
01/03/23,15:00,257
01/03/23,16:00,252
01/03/23,17:00,258
01/03/23,18:00,253
01/03/23,19:00,256
01/03/23,20:00,262
01/03/23,21:00,259
01/03/23,22:00,262
01/03/23,23:00,270
01/04/23,00:00,256
01/04/23,01:00,255
01/04/23,02:00,257
01/04/23,03:00,262
01/04/23,04:00,264
01/04/23,05:00,265
01/04/23,06:00,270
01/04/23,07:00,266
01/04/23,08:00,260
01/04/23,09:00,253
01/04/23,10:00,255
01/04/23,11:00,259
01/04/23,12:00,254
01/04/23,13:00,249
01/04/23,14:00,259
01/04/23,15:00,251
01/04/23,16:00,254
01/04/23,17:00,248
