date,hour,value
01/01/21,00:00,92
01/01/21,01:00,94
01/01/21,02:00,90
01/01/21,03:00,86
01/01/21,04:00,82
01/01/21,05:00,80
01/01/21,06:00,83
01/01/21,07:00,85
01/01/21,08:00,91
01/01/21,09:00,86
01/01/21,10:00,81
01/01/21,11:00,81
01/01/21,12:00,85
01/01/21,13:00,75
01/01/21,14:00,82
01/01/21,15:00,80
01/01/21,16:00,79
01/01/21,17:00,75
01/01/21,18:00,77
01/01/21,19:00,75
01/01/21,20:00,69
01/01/21,21:00,70
01/01/21,22:00,73
01/01/21,23:00,73
01/02/21,00:00,74
01/02/21,01:00,74
01/02/21,02:00,73
01/02/21,03:00,74
01/02/21,04:00,78
01/02/21,05:00,72
01/02/21,06:00,78
01/02/21,07:00,77
01/02/21,08:00,70
01/02/21,09:00,80
01/02/21,10:00,74
01/02/21,11:00,72
01/02/21,12:00,85
01/02/21,13:00,82
01/02/21,14:00,81
01/02/21,15:00,82
01/02/21,16:00,78
01/02/21,17:00,77
01/02/21,18:00,81
01/02/21,19:00,82
01/02/21,20:00,75
01/02/21,21:00,74
01/02/21,22:00,76
01/02/21,23:00,74
01/03/21,00:00,73
01/03/21,01:00,74
01/03/21,02:00,70
01/03/21,03:00,68
01/03/21,04:00,70
01/03/21,05:00,75
01/03/21,06:00,78
01/03/21,07:00,73
01/03/21,08:00,82
01/03/21,09:00,80
01/03/21,10:00,80
01/03/21,11:00,82
01/03/21,12:00,82
01/03/21,13:00,82
01/03/21,14:00,78
01/03/21,15:00,79
01/03/21,16:00,81
01/03/21,17:00,79
01/03/21,18:00,76
01/03/21,19:00,71
01/03/21,20:00,76
01/03/21,21:00,80
01/03/21,22:00,78
01/03/21,23:00,77
01/04/21,00:00,69
01/04/21,01:00,74
01/04/21,02:00,76
01/04/21,03:00,80
01/04/21,04:00,77
01/04/21,05:00,69
01/04/21,06:00,70
01/04/21,07:00,79
01/04/21,08:00,89
01/04/21,09:00,88
01/04/21,10:00,82
01/04/21,11:00,80
01/04/21,12:00,79
01/04/21,13:00,76
01/04/21,14:00,77
01/04/21,15:00,80
01/04/21,16:00,77
01/04/21,17:00,76
01/04/21,18:00,76
01/04/21,19:00,77
01/04/21,20:00,77
01/04/21,21:00,77
01/04/21,22:00,78
01/04/21,23:00,80
01/05/21,00:00,82
01/05/21,01:00,79
01/05/21,02:00,75
01/05/21,03:00,82
01/05/21,04:00,82
01/05/21,05:00,84
01/05/21,06:00,83
01/05/21,07:00,81
01/05/21,08:00,84
01/05/21,09:00,81
01/05/21,10:00,79
01/05/21,11:00,79
01/05/21,12:00,79
01/05/21,13:00,73
01/05/21,14:00,77
01/05/21,15:00,78
01/05/21,16:00,76
01/05/21,17:00,78
01/05/21,18:00,76
01/05/21,19:00,78
01/05/21,20:00,77
01/05/21,21:00,92
01/05/21,22:00,84
01/05/21,23:00,86
01/06/21,00:00,84
01/06/21,01:00,86
01/06/21,02:00,79
01/06/21,03:00,77
01/06/21,04:00,79
01/06/21,05:00,82
01/06/21,06:00,86
01/06/21,07:00,85
01/06/21,08:00,82
01/06/21,09:00,89
01/06/21,10:00,85
01/06/21,11:00,78
01/06/21,12:00,86
01/06/21,13:00,99
01/06/21,14:00,91
01/06/21,15:00,95
01/06/21,16:00,93
01/06/21,17:00,88
01/06/21,18:00,86
01/06/21,19:00,63
01/06/21,20:00,96
01/06/21,21:00,90
01/06/21,22:00,88
01/06/21,23:00,79
01/07/21,00:00,80
01/07/21,01:00,80
01/07/21,02:00,82
01/07/21,03:00,76
01/07/21,04:00,78
01/07/21,05:00,80
01/07/21,06:00,83
01/07/21,07:00,84
01/07/21,08:00,93
01/07/21,09:00,93
01/07/21,10:00,93
01/07/21,11:00,100
01/07/21,12:00,98
01/07/21,13:00,95
01/07/21,14:00,95
01/07/21,15:00,94
01/07/21,16:00,90
01/07/21,17:00,89
01/07/21,18:00,91
01/07/21,19:00,95
01/07/21,20:00,98
01/07/21,21:00,94
01/07/21,22:00,87
01/07/21,23:00,95
01/08/21,00:00,90
01/08/21,01:00,94
01/08/21,02:00,93
01/08/21,03:00,94
01/08/21,04:00,95
01/08/21,05:00,96
01/08/21,06:00,98
01/08/21,07:00,94
01/08/21,08:00,87
01/08/21,09:00,86
01/08/21,10:00,92
01/08/21,11:00,93
01/08/21,12:00,94
01/08/21,13:00,101
01/08/21,14:00,98
01/08/21,15:00,92
01/08/21,16:00,103
01/08/21,17:00,97
01/08/21,18:00,99
01/08/21,19:00,97
01/08/21,20:00,100
01/08/21,21:00,100
01/08/21,22:00,94
01/08/21,23:00,99
01/09/21,00:00,96
01/09/21,01:00,97
01/09/21,02:00,98
01/09/21,03:00,89
01/09/21,04:00,88
01/09/21,05:00,88
01/09/21,06:00,84
01/09/21,07:00,85
01/09/21,08:00,80
01/09/21,09:00,87
01/09/21,10:00,83
01/09/21,11:00,86
01/09/21,12:00,78
01/09/21,13:00,101
01/09/21,14:00,102
01/09/21,15:00,98
01/09/21,16:00,96
01/09/21,17:00,90
01/09/21,18:00,92
01/09/21,19:00,92
01/09/21,20:00,104
01/09/21,21:00,98
01/09/21,22:00,93
01/09/21,23:00,104
01/10/21,00:00,100
01/10/21,01:00,98
01/10/21,02:00,94
01/10/21,03:00,91
01/10/21,04:00,89
