date,hour,value
01/01/22,08:00,226
01/01/22,09:00,224
01/01/22,10:00,226
01/01/22,11:00,233
01/01/22,12:00,223
01/01/22,13:00,233
01/01/22,14:00,228
01/01/22,15:00,227
01/01/22,16:00,229
01/02/22,08:00,225
01/02/22,09:00,231
01/02/22,10:00,234
01/02/22,11:00,226
01/02/22,12:00,227
01/02/22,13:00,228
01/02/22,14:00,222
01/02/22,15:00,223
01/02/22,16:00,233
01/03/22,08:00,228
01/03/22,09:00,224
01/03/22,10:00,224
01/03/22,11:00,228
01/03/22,12:00,227
01/03/22,13:00,230
01/03/22,14:00,234
01/03/22,15:00,229
01/03/22,16:00,227
01/04/22,08:00,218
01/04/22,09:00,223
01/04/22,10:00,225
01/04/22,11:00,233
01/04/22,12:00,227
01/04/22,13:00,222
01/04/22,14:00,228
01/04/22,15:00,231
01/04/22,16:00,234
01/05/22,08:00,227
01/05/22,09:00,223
01/05/22,10:00,226
01/05/22,11:00,232
01/05/22,12:00,225
01/05/22,13:00,229
01/05/22,14:00,226
01/05/22,15:00,226
01/05/22,16:00,228
01/06/22,08:00,225
01/06/22,09:00,231
01/06/22,10:00,230
01/06/22,11:00,226
01/06/22,12:00,233
01/06/22,13:00,234
01/06/22,14:00,224
01/06/22,15:00,219
01/06/22,16:00,222
01/07/22,08:00,218
01/07/22,09:00,229
01/07/22,10:00,227
01/07/22,11:00,229
01/07/22,12:00,226
01/07/22,13:00,212
01/07/22,14:00,212
01/07/22,15:00,226
01/07/22,16:00,234
01/08/22,08:00,239
01/08/22,09:00,233
01/08/22,10:00,236
01/08/22,11:00,218
01/08/22,12:00,224
01/08/22,13:00,238
01/08/22,14:00,229
01/08/22,15:00,228
01/08/22,16:00,231
01/09/22,08:00,225
01/09/22,09:00,227
01/09/22,10:00,229
01/09/22,11:00,233
01/09/22,12:00,224
01/09/22,13:00,227
01/09/22,14:00,227
01/09/22,15:00,224
01/09/22,16:00,223
01/10/22,08:00,232
01/10/22,09:00,224
01/10/22,10:00,224
01/10/22,11:00,232
01/10/22,12:00,235
01/10/22,13:00,225
01/10/22,14:00,227
01/10/22,15:00,236
01/10/22,16:00,226
01/11/22,08:00,226
01/11/22,09:00,227
01/11/22,10:00,225
01/11/22,11:00,230
01/11/22,12:00,218
01/11/22,13:00,223
01/11/22,14:00,228
01/11/22,15:00,221
01/11/22,16:00,225
01/12/22,08:00,236
01/12/22,09:00,224
01/12/22,10:00,220
01/12/22,11:00,221
01/12/22,12:00,217
01/12/22,13:00,224
01/12/22,14:00,229
01/12/22,15:00,224
01/12/22,16:00,229
01/13/22,08:00,240
01/13/22,09:00,230
01/13/22,10:00,233
01/13/22,11:00,231
01/13/22,12:00,227
01/13/22,13:00,230
01/13/22,14:00,228
01/13/22,15:00,232
01/13/22,16:00,227
01/14/22,08:00,224
01/14/22,09:00,226
01/14/22,10:00,229
01/14/22,11:00,226
01/14/22,12:00,224
01/14/22,13:00,220
01/14/22,14:00,220
01/15/22,08:00,234
01/15/22,09:00,230
01/15/22,10:00,224
01/15/22,11:00,232
01/15/22,12:00,226
01/15/22,13:00,223
01/15/22,14:00,228
01/15/22,15:00,229
01/15/22,16:00,232
01/16/22,08:00,225
01/16/22,09:00,227
01/16/22,10:00,234
01/16/22,11:00,228
01/16/22,12:00,233
01/16/22,13:00,223
01/16/22,14:00,226
01/16/22,15:00,227
01/16/22,16:00,226
01/17/22,08:00,226
01/17/22,09:00,225
01/17/22,10:00,228
01/17/22,11:00,228
01/17/22,12:00,229
01/17/22,13:00,232
01/17/22,14:00,226
01/17/22,15:00,229
01/17/22,16:00,228
01/18/22,08:00,223
01/18/22,09:00,224
01/18/22,10:00,231
01/18/22,11:00,227
01/18/22,12:00,227
01/18/22,13:00,221
01/18/22,14:00,220
01/18/22,15:00,223
01/18/22,16:00,225
01/19/22,08:00,224
01/19/22,09:00,226
01/19/22,10:00,226
01/19/22,11:00,218
01/19/22,12:00,239
01/19/22,13:00,231
01/19/22,14:00,227
01/19/22,15:00,229
01/19/22,16:00,226
01/20/22,08:00,229
01/20/22,09:00,226
01/20/22,10:00,232
01/20/22,11:00,228
01/20/22,12:00,219
01/20/22,13:00,222
01/20/22,14:00,224
01/20/22,15:00,227
01/20/22,16:00,228
01/21/22,08:00,231
01/21/22,09:00,228
01/21/22,10:00,223
01/21/22,11:00,220
01/21/22,12:00,223
01/21/22,13:00,223
01/21/22,14:00,227
01/21/22,15:00,224
01/21/22,16:00,228
01/22/22,08:00,228
01/22/22,09:00,225
01/22/22,10:00,226
01/22/22,11:00,224
01/22/22,12:00,229
01/22/22,13:00,227
01/22/22,14:00,223
01/22/22,15:00,223
01/22/22,16:00,221
01/23/22,08:00,230
01/23/22,09:00,222
01/23/22,10:00,235
01/23/22,11:00,228
01/23/22,12:00,230
01/23/22,13:00,230
01/23/22,14:00,227
01/23/22,15:00,231
01/23/22,16:00,226
01/24/22,08:00,231
01/24/22,09:00,225
01/24/22,10:00,229
01/24/22,11:00,218
01/24/22,12:00,232
01/24/22,13:00,218
01/24/22,14:00,237
01/24/22,15:00,224
01/24/22,16:00,230
01/25/22,08:00,227
01/25/22,09:00,236
01/25/22,10:00,230
01/25/22,11:00,220
01/25/22,12:00,226
01/25/22,13:00,232
01/25/22,14:00,227
01/25/22,15:00,224
01/25/22,16:00,226
01/26/22,08:00,228
01/26/22,09:00,221
01/26/22,10:00,223
01/26/22,11:00,226
01/26/22,12:00,223
01/26/22,13:00,232
01/26/22,14:00,231
01/26/22,15:00,223
01/26/22,16:00,234
01/27/22,08:00,228
01/27/22,09:00,234
01/27/22,10:00,230
01/27/22,11:00,231
01/27/22,12:00,231
01/27/22,13:00,225
01/27/22,14:00,228
01/27/22,15:00,233
01/27/22,16:00,228
01/28/22,08:00,228
01/28/22,09:00,223
01/28/22,10:00,227
01/28/22,11:00,220
01/28/22,12:00,221
01/28/22,13:00,222
01/28/22,14:00,221
01/28/22,15:00,222
01/28/22,16:00,226
01/29/22,08:00,224
01/29/22,09:00,226
01/29/22,10:00,230
01/29/22,11:00,227
01/29/22,12:00,222
01/29/22,13:00,227
01/29/22,14:00,229
01/29/22,15:00,224
01/29/22,16:00,226
01/30/22,08:00,221
01/30/22,09:00,224
01/30/22,10:00,228
01/30/22,11:00,233
01/30/22,12:00,218
01/30/22,13:00,235
01/30/22,14:00,228
01/30/22,15:00,229
01/30/22,16:00,222
01/31/22,08:00,225
01/31/22,09:00,228
01/31/22,10:00,230
01/31/22,11:00,228
01/31/22,12:00,227
01/31/22,13:00,226
01/31/22,14:00,222
01/31/22,15:00,235
01/31/22,16:00,223
02/01/22,08:00,239
02/01/22,09:00,238
02/01/22,10:00,222
02/01/22,11:00,235
02/01/22,12:00,226
02/01/22,13:00,228
02/01/22,14:00,227
02/01/22,15:00,229
02/01/22,16:00,228
02/02/22,08:00,229
02/02/22,09:00,231
02/02/22,10:00,228
02/02/22,11:00,234
02/02/22,12:00,226
02/02/22,13:00,229
02/02/22,14:00,229
02/02/22,15:00,230
02/02/22,16:00,227
02/03/22,08:00,221
02/03/22,09:00,235
02/03/22,10:00,231
02/03/22,11:00,222
02/03/22,12:00,226
02/03/22,13:00,226
02/03/22,14:00,221
02/03/22,15:00,223
02/03/22,16:00,224
02/04/22,08:00,222
02/04/22,09:00,232
02/04/22,10:00,225
02/04/22,11:00,219
02/04/22,12:00,226
02/04/22,13:00,230
02/04/22,14:00,228
02/04/22,15:00,232
02/04/22,16:00,226
02/05/22,08:00,226
02/05/22,09:00,223
02/05/22,10:00,227
02/05/22,11:00,232
02/05/22,12:00,211
02/05/22,13:00,217
02/05/22,14:00,227
02/05/22,15:00,219
02/05/22,16:00,228
02/06/22,08:00,234
02/06/22,09:00,228
02/06/22,10:00,223
02/06/22,11:00,228
02/06/22,12:00,221
02/06/22,13:00,229
02/06/22,14:00,231
02/06/22,15:00,227
02/06/22,16:00,232
02/07/22,08:00,230
02/07/22,09:00,224
02/07/22,10:00,226
02/07/22,11:00,225
02/07/22,12:00,230
02/07/22,13:00,233
02/07/22,14:00,224
02/07/22,15:00,226
02/07/22,16:00,228
02/08/22,08:00,225
02/08/22,09:00,228
02/08/22,10:00,230
02/08/22,11:00,224
02/08/22,12:00,228
02/08/22,13:00,235
02/08/22,14:00,230
02/08/22,15:00,225
02/08/22,16:00,229
02/09/22,08:00,232
02/09/22,09:00,227
02/09/22,10:00,231
02/09/22,11:00,230
02/09/22,12:00,231
02/09/22,13:00,226
02/09/22,14:00,236
02/09/22,15:00,228
02/09/22,16:00,232
02/10/22,08:00,229
02/10/22,09:00,226
02/10/22,10:00,221
02/10/22,11:00,229
02/10/22,12:00,224
02/10/22,13:00,231
02/10/22,14:00,224
02/10/22,15:00,229
02/10/22,16:00,227
02/11/22,08:00,228
02/11/22,09:00,224
02/11/22,10:00,227
02/11/22,11:00,229
02/11/22,12:00,231
02/11/22,13:00,221
02/11/22,14:00,224
02/11/22,15:00,231
02/11/22,16:00,221
02/12/22,08:00,223
02/12/22,09:00,228
02/12/22,10:00,224
02/12/22,11:00,217
02/12/22,12:00,224
02/12/22,13:00,220
02/12/22,14:00,228
02/12/22,15:00,230
02/12/22,16:00,226
02/13/22,08:00,226
02/13/22,09:00,232
02/13/22,10:00,225
02/13/22,11:00,217
02/13/22,12:00,224
02/13/22,13:00,224
02/13/22,14:00,226
02/13/22,15:00,232
02/13/22,16:00,228
02/14/22,08:00,227
02/14/22,09:00,229
02/14/22,10:00,226
02/14/22,11:00,222
02/14/22,12:00,230
02/14/22,13:00,222
02/14/22,14:00,221
02/14/22,15:00,225
02/14/22,16:00,218
02/15/22,08:00,224
02/15/22,09:00,222
02/15/22,10:00,227
02/15/22,11:00,237
02/15/22,12:00,226
02/15/22,13:00,227
02/15/22,14:00,218
02/15/22,15:00,222
02/15/22,16:00,228
02/16/22,08:00,226
02/16/22,09:00,230
02/16/22,10:00,236
02/16/22,11:00,201
02/16/22,12:00,225
02/16/22,13:00,219
02/16/22,14:00,229
02/16/22,15:00,232
02/16/22,16:00,226
02/17/22,08:00,224
02/17/22,09:00,239
02/17/22,10:00,221
02/17/22,11:00,229
02/17/22,12:00,231
02/17/22,13:00,232
02/17/22,14:00,227
02/17/22,15:00,238
02/17/22,16:00,220
02/18/22,08:00,231
02/18/22,09:00,216
02/18/22,10:00,224
02/18/22,11:00,226
02/18/22,12:00,232
02/18/22,13:00,227
02/18/22,14:00,229
02/18/22,15:00,231
02/18/22,16:00,226
02/19/22,08:00,220
02/19/22,09:00,222
02/19/22,10:00,223
02/19/22,11:00,231
02/19/22,12:00,226
02/19/22,13:00,226
02/19/22,14:00,220
02/19/22,15:00,229
02/19/22,16:00,227
02/20/22,08:00,223
02/20/22,09:00,227
02/20/22,10:00,225
02/20/22,11:00,231
02/20/22,12:00,227
02/20/22,13:00,224
02/20/22,14:00,226
02/20/22,15:00,232
02/20/22,16:00,228
02/21/22,08:00,224
02/21/22,09:00,222
02/21/22,10:00,237
02/21/22,11:00,214
02/21/22,12:00,226
02/21/22,13:00,234
02/21/22,14:00,227
02/21/22,15:00,225
02/21/22,16:00,220
02/22/22,08:00,229
02/22/22,09:00,231
02/22/22,10:00,225
02/22/22,11:00,226
02/22/22,12:00,231
02/22/22,13:00,218
02/22/22,14:00,222
02/22/22,15:00,223
02/22/22,16:00,226
02/23/22,08:00,225
02/23/22,09:00,228
02/23/22,10:00,231
02/23/22,11:00,228
02/23/22,12:00,226
02/23/22,13:00,219
02/23/22,14:00,230
02/23/22,15:00,230
02/23/22,16:00,229
02/24/22,08:00,222
02/24/22,09:00,215
02/24/22,10:00,220
02/24/22,11:00,226
02/24/22,12:00,231
02/24/22,13:00,236
02/24/22,14:00,229
02/24/22,15:00,232
02/24/22,16:00,227
02/25/22,08:00,224
02/25/22,09:00,223
02/25/22,10:00,234
02/25/22,11:00,231
02/25/22,12:00,230
02/25/22,13:00,226
02/25/22,14:00,224
02/25/22,15:00,226
02/25/22,16:00,225
02/26/22,08:00,233
02/26/22,09:00,226
02/26/22,10:00,225
02/26/22,11:00,228
02/26/22,12:00,231
02/26/22,13:00,227
02/26/22,14:00,224
02/26/22,15:00,226
02/26/22,16:00,228
02/27/22,08:00,229
02/27/22,09:00,233
02/27/22,10:00,229
02/27/22,11:00,220
02/27/22,12:00,228
02/27/22,13:00,217
02/27/22,14:00,220
02/27/22,15:00,224
02/27/22,16:00,225
02/28/22,08:00,224
02/28/22,09:00,221
02/28/22,10:00,227
02/28/22,11:00,232
02/28/22,12:00,224
02/28/22,13:00,230
02/28/22,14:00,230
02/28/22,15:00,226
02/28/22,16:00,227
03/01/22,08:00,211
03/01/22,09:00,222
03/01/22,10:00,226
03/01/22,11:00,220
03/01/22,12:00,222
03/01/22,13:00,226
03/01/22,14:00,228
03/01/22,15:00,235
03/01/22,16:00,229
03/02/22,08:00,224
03/02/22,09:00,225
03/02/22,10:00,237
03/02/22,11:00,219
03/02/22,12:00,231
03/02/22,13:00,227
03/02/22,14:00,224
03/02/22,15:00,229
03/02/22,16:00,230
03/03/22,08:00,223
03/03/22,09:00,226
03/03/22,10:00,223
03/03/22,11:00,212
03/03/22,12:00,226
03/03/22,13:00,221
03/03/22,14:00,219
03/03/22,15:00,224
03/03/22,16:00,226
03/04/22,08:00,227
03/04/22,09:00,224
03/04/22,10:00,225
03/04/22,11:00,223
03/04/22,12:00,224
03/04/22,13:00,225
03/04/22,14:00,228
03/04/22,15:00,233
03/04/22,16:00,229
03/05/22,08:00,222
03/05/22,09:00,226
03/05/22,10:00,231
03/05/22,11:00,222
03/05/22,12:00,219
03/05/22,13:00,224
03/05/22,14:00,221
03/05/22,15:00,225
03/05/22,16:00,236
03/06/22,08:00,224
03/06/22,09:00,227
03/06/22,10:00,230
03/06/22,11:00,224
03/06/22,12:00,223
03/06/22,13:00,224
03/06/22,14:00,224
03/06/22,15:00,225
03/06/22,16:00,222
03/07/22,08:00,223
03/07/22,09:00,227
03/07/22,10:00,222
03/07/22,11:00,236
03/07/22,12:00,226
03/07/22,13:00,232
03/07/22,14:00,228
03/07/22,15:00,221
03/07/22,16:00,225
03/08/22,08:00,229
03/08/22,09:00,231
03/08/22,10:00,228
