date,hour,value
01/01/21,00:00,660
01/01/21,01:00,682
01/01/21,02:00,671
01/01/21,03:00,656
01/01/21,04:00,666
01/01/21,05:00,664
01/01/21,06:00,669
01/01/21,07:00,660
01/01/21,08:00,660
01/01/21,09:00,667
01/01/21,10:00,655
01/01/21,11:00,664
01/01/21,12:00,659
01/01/21,13:00,646
01/01/21,14:00,645
01/01/21,15:00,648
01/01/21,16:00,653
01/01/21,17:00,635
01/01/21,18:00,642
01/01/21,19:00,653
01/01/21,20:00,648
01/01/21,21:00,659
01/01/21,22:00,647
01/01/21,23:00,648
01/02/21,00:00,637
01/02/21,01:00,633
01/02/21,02:00,648
01/02/21,03:00,642
01/02/21,04:00,657
01/02/21,05:00,634
01/02/21,06:00,655
01/02/21,07:00,645
01/02/21,08:00,650
01/02/21,09:00,657
01/02/21,10:00,666
01/02/21,11:00,650
01/02/21,12:00,660
01/02/21,13:00,658
01/02/21,14:00,655
01/02/21,15:00,645
01/02/21,16:00,629
01/02/21,17:00,648
01/02/21,18:00,663
01/02/21,19:00,644
01/02/21,20:00,639
01/02/21,21:00,644
01/02/21,22:00,650
01/02/21,23:00,657
01/03/21,00:00,655
01/03/21,01:00,641
01/03/21,02:00,632
01/03/21,03:00,623
01/03/21,04:00,649
01/03/21,05:00,648
01/03/21,06:00,644
01/03/21,07:00,640
01/03/21,08:00,653
01/03/21,09:00,648
01/03/21,10:00,638
01/03/21,11:00,661
01/03/21,12:00,656
01/03/21,13:00,644
01/03/21,14:00,646
01/03/21,15:00,632
01/03/21,16:00,640
01/03/21,17:00,640
01/03/21,18:00,647
01/03/21,19:00,651
01/03/21,20:00,660
01/03/21,21:00,642
01/03/21,22:00,635
01/03/21,23:00,655
01/04/21,00:00,676
01/04/21,01:00,640
01/04/21,02:00,651
01/04/21,03:00,648
01/04/21,04:00,650
01/04/21,05:00,649
01/04/21,06:00,634
01/04/21,07:00,631
01/04/21,08:00,650
01/04/21,09:00,651
01/04/21,10:00,657
01/04/21,11:00,650
01/04/21,12:00,651
01/04/21,13:00,667
01/04/21,14:00,637
01/04/21,15:00,649
01/04/21,16:00,658
01/04/21,17:00,653
01/04/21,18:00,656
01/04/21,19:00,665
01/04/21,20:00,652
01/04/21,21:00,650
01/04/21,22:00,663
01/04/21,23:00,655
01/05/21,00:00,647
01/05/21,01:00,652
01/05/21,02:00,663
01/05/21,03:00,641
01/05/21,04:00,660
01/05/21,05:00,648
01/05/21,06:00,656
01/05/21,07:00,650
01/05/21,08:00,648
01/05/21,09:00,641
01/05/21,10:00,668
01/05/21,11:00,651
01/05/21,12:00,654
01/05/21,13:00,659
01/05/21,14:00,662
01/05/21,15:00,652
01/05/21,16:00,659
01/05/21,17:00,645
01/05/21,18:00,646
01/05/21,19:00,668
01/05/21,20:00,640
01/05/21,21:00,644
01/05/21,22:00,644
01/05/21,23:00,655
01/06/21,00:00,662
01/06/21,01:00,649
01/06/21,02:00,636
01/06/21,03:00,646
01/06/21,04:00,663
01/06/21,05:00,642
01/06/21,06:00,661
01/06/21,07:00,659
01/06/21,08:00,660
01/06/21,09:00,658
01/06/21,10:00,646
01/06/21,11:00,668
01/06/21,12:00,653
01/06/21,13:00,645
01/06/21,14:00,659
01/06/21,15:00,658
01/06/21,16:00,662
01/06/21,17:00,647
01/06/21,18:00,638
01/06/21,19:00,657
01/06/21,20:00,647
01/06/21,21:00,660
01/06/21,22:00,651
01/06/21,23:00,644
01/07/21,00:00,666
01/07/21,01:00,673
01/07/21,02:00,668
01/07/21,03:00,682
01/07/21,04:00,661
01/07/21,05:00,669
01/07/21,06:00,655
01/07/21,07:00,643
01/07/21,08:00,663
01/07/21,09:00,647
01/07/21,10:00,646
01/07/21,11:00,670
01/07/21,12:00,638
01/07/21,13:00,653
01/07/21,14:00,650
01/07/21,15:00,654
01/07/21,16:00,669
01/07/21,17:00,664
01/07/21,18:00,650
01/07/21,19:00,663
01/07/21,20:00,662
01/07/21,21:00,673
01/07/21,22:00,663
01/07/21,23:00,683
01/08/21,00:00,656
01/08/21,01:00,667
01/08/21,02:00,652
01/08/21,03:00,647
01/08/21,04:00,653
01/08/21,05:00,659
01/08/21,06:00,644
01/08/21,07:00,646
01/08/21,08:00,655
01/08/21,09:00,653
01/08/21,10:00,649
01/08/21,11:00,655
01/08/21,12:00,662
01/08/21,13:00,634
01/08/21,14:00,649
01/08/21,15:00,656
01/08/21,16:00,641
01/08/21,17:00,670
01/08/21,18:00,660
01/08/21,19:00,655
01/08/21,20:00,659
01/08/21,21:00,630
01/08/21,22:00,654
01/08/21,23:00,656
01/09/21,00:00,649
01/09/21,01:00,650
01/09/21,02:00,642
01/09/21,03:00,646
01/09/21,04:00,651
01/09/21,05:00,649
01/09/21,06:00,651
01/09/21,07:00,652
01/09/21,08:00,655
01/09/21,09:00,635
01/09/21,10:00,620
01/09/21,11:00,655
01/09/21,12:00,642
01/09/21,13:00,641
01/09/21,14:00,633
01/09/21,15:00,642
01/09/21,16:00,638
01/09/21,17:00,648
01/09/21,18:00,626
01/09/21,19:00,620
01/09/21,20:00,649
01/09/21,21:00,653
01/09/21,22:00,681
01/09/21,23:00,652
01/10/21,00:00,655
01/10/21,01:00,654
01/10/21,02:00,639
01/10/21,03:00,645
01/10/21,04:00,675
01/10/21,05:00,643
01/10/21,06:00,641
01/10/21,07:00,657
01/10/21,08:00,635
01/10/21,09:00,645
01/10/21,10:00,635
01/10/21,11:00,640
01/10/21,12:00,646
01/10/21,13:00,631
01/10/21,14:00,637
01/10/21,15:00,645
01/10/21,16:00,632
01/10/21,17:00,628
01/10/21,18:00,640
01/10/21,19:00,639
01/10/21,20:00,654
01/10/21,21:00,644
01/10/21,22:00,652
01/10/21,23:00,650
01/11/21,00:00,651
01/11/21,01:00,648
01/11/21,02:00,637
01/11/21,03:00,648
01/11/21,04:00,648
01/11/21,05:00,658
01/11/21,06:00,638
01/11/21,07:00,652
01/11/21,08:00,640
01/11/21,09:00,648
01/11/21,10:00,642
01/11/21,11:00,638
01/11/21,12:00,636
01/11/21,13:00,635
