date,hour,value
01/01/21,00:00,-14.203
01/01/21,01:00,-14.203
01/01/21,02:00,-14.203
01/01/21,03:00,-14.203
01/01/21,04:00,-14.199
01/01/21,05:00,-14.192
01/01/21,06:00,-14.181
01/01/21,07:00,-14.178
01/01/21,08:00,-14.178
01/01/21,09:00,-14.178
01/01/21,10:00,-14.178
01/01/21,11:00,-14.182
01/01/21,12:00,-14.185
01/01/21,13:00,-14.185
01/01/21,14:00,-14.185
01/01/21,15:00,-14.185
01/01/21,16:00,-14.185
01/01/21,17:00,-14.185
01/01/21,18:00,-14.184
01/01/21,19:00,-14.185
01/01/21,20:00,-14.185
01/01/21,21:00,-14.185
01/01/21,22:00,-14.195
01/01/21,23:00,-14.199
01/02/21,00:00,-14.205
01/02/21,01:00,-14.205
01/02/21,02:00,-14.205
01/02/21,03:00,-14.205
01/02/21,04:00,-14.205
01/02/21,05:00,-14.201
01/02/21,06:00,-14.200
01/02/21,07:00,-14.200
01/02/21,08:00,-14.186
01/02/21,09:00,-14.186
01/02/21,10:00,-14.187
01/02/21,11:00,-14.190
01/02/21,12:00,-14.192
01/02/21,13:00,-14.192
01/02/21,14:00,-14.192
01/02/21,15:00,-14.192
01/02/21,16:00,-14.192
01/02/21,17:00,-14.192
01/02/21,18:00,-14.192
01/02/21,19:00,-14.192
01/02/21,20:00,-14.192
01/02/21,21:00,-14.195
01/02/21,22:00,-14.197
01/02/21,23:00,-14.198
01/03/21,00:00,-14.198
01/03/21,01:00,-14.199
01/03/21,02:00,-14.211
01/03/21,03:00,-14.212
01/03/21,04:00,-14.211
01/03/21,05:00,-14.208
01/03/21,06:00,-14.201
01/03/21,07:00,-14.200
01/03/21,08:00,-14.200
01/03/21,09:00,-14.200
01/03/21,10:00,-14.200
01/03/21,11:00,-14.200
01/03/21,12:00,-14.200
01/03/21,13:00,-14.200
01/03/21,14:00,-14.200
01/03/21,15:00,-14.201
01/03/21,16:00,-14.201
01/03/21,17:00,-14.201
01/03/21,18:00,-14.201
01/03/21,19:00,-14.201
01/03/21,20:00,-14.201
01/03/21,21:00,-14.201
01/03/21,22:00,-14.202
01/03/21,23:00,-14.205
