date,hour,value
01/01/21,08:00,256
01/01/21,09:00,251
01/01/21,10:00,263
01/01/21,11:00,260
01/01/21,12:00,253
01/01/21,13:00,258
01/01/21,14:00,255
01/01/21,15:00,267
01/01/21,16:00,259
01/02/21,08:00,265
01/02/21,09:00,252
01/02/21,10:00,258
01/02/21,11:00,247
01/02/21,12:00,253
01/02/21,13:00,259
01/02/21,14:00,254
01/02/21,15:00,264
01/02/21,16:00,264
01/03/21,08:00,256
01/03/21,09:00,253
01/03/21,10:00,254
01/03/21,11:00,250
01/03/21,12:00,256
01/03/21,13:00,253
01/03/21,14:00,254
01/03/21,15:00,257
01/03/21,16:00,251
01/04/21,08:00,264
01/04/21,09:00,255
01/04/21,10:00,261
01/04/21,11:00,260
01/04/21,12:00,259
01/04/21,13:00,260
01/04/21,14:00,258
01/04/21,15:00,257
01/04/21,16:00,262
01/05/21,08:00,265
01/05/21,09:00,260
01/05/21,10:00,251
01/05/21,11:00,258
01/05/21,12:00,252
01/05/21,13:00,251
01/05/21,14:00,255
01/05/21,15:00,258
01/05/21,16:00,266
01/06/21,08:00,266
01/06/21,09:00,266
01/06/21,10:00,266
01/06/21,11:00,265
01/06/21,12:00,270
01/06/21,13:00,257
01/06/21,14:00,252
01/06/21,15:00,257
01/06/21,16:00,254
01/07/21,08:00,259
01/07/21,09:00,260
01/07/21,10:00,257
01/07/21,11:00,256
01/07/21,12:00,261
01/07/21,13:00,253
01/07/21,14:00,250
01/07/21,15:00,262
01/07/21,16:00,267
01/08/21,08:00,260
01/08/21,09:00,262
01/08/21,10:00,259
01/08/21,11:00,262
01/08/21,12:00,261
01/08/21,13:00,257
01/08/21,14:00,261
01/08/21,15:00,264
01/08/21,16:00,261
01/09/21,08:00,266
01/09/21,09:00,260
01/09/21,10:00,254
01/09/21,11:00,261
01/09/21,12:00,261
01/09/21,13:00,266
01/09/21,14:00,253
01/09/21,15:00,255
01/09/21,16:00,253
01/10/21,08:00,252
01/10/21,09:00,255
01/10/21,10:00,261
01/10/21,11:00,251
01/10/21,12:00,257
01/10/21,13:00,257
01/10/21,14:00,260
01/10/21,15:00,262
01/10/21,16:00,262
01/11/21,08:00,257
01/11/21,09:00,257
01/11/21,10:00,260
01/11/21,11:00,264
01/11/21,12:00,261
01/11/21,13:00,262
01/11/21,14:00,263
01/11/21,15:00,256
01/11/21,16:00,258
01/12/21,08:00,257
01/12/21,09:00,258
01/12/21,10:00,266
01/12/21,11:00,260
01/12/21,12:00,267
01/12/21,13:00,263
01/12/21,14:00,264
01/12/21,15:00,267
01/12/21,16:00,268
01/13/21,08:00,256
01/13/21,09:00,260
01/13/21,10:00,252
01/13/21,11:00,252
01/13/21,12:00,255
01/13/21,13:00,257
01/13/21,14:00,258
01/13/21,15:00,254
01/13/21,16:00,261
01/14/21,08:00,265
01/14/21,09:00,264
01/14/21,10:00,259
01/14/21,11:00,255
01/14/21,12:00,256
01/14/21,13:00,265
01/14/21,14:00,256
01/14/21,15:00,256
01/14/21,16:00,265
01/15/21,08:00,259
01/15/21,09:00,253
01/15/21,10:00,256
01/15/21,11:00,252
01/15/21,12:00,256
01/15/21,13:00,263
01/15/21,14:00,256
01/15/21,15:00,260
01/15/21,16:00,264
01/16/21,08:00,251
01/16/21,09:00,261
01/16/21,10:00,259
01/16/21,11:00,258
01/16/21,12:00,260
01/16/21,13:00,260
01/16/21,14:00,258
01/16/21,15:00,268
01/16/21,16:00,262
01/17/21,08:00,271
01/17/21,09:00,270
01/17/21,10:00,268
01/17/21,11:00,260
01/17/21,12:00,258
01/17/21,13:00,255
01/17/21,14:00,261
01/17/21,15:00,265
01/17/21,16:00,268
01/18/21,08:00,262
01/18/21,09:00,267
01/18/21,10:00,265
01/18/21,11:00,270
01/18/21,12:00,266
01/18/21,13:00,261
01/18/21,14:00,269
01/18/21,15:00,263
01/18/21,16:00,264
01/19/21,08:00,263
01/19/21,09:00,267
01/19/21,10:00,276
01/19/21,11:00,271
01/19/21,12:00,273
01/19/21,13:00,268
01/19/21,14:00,268
01/19/21,15:00,272
01/19/21,16:00,263
01/20/21,08:00,260
01/20/21,09:00,267
01/20/21,10:00,265
01/20/21,11:00,261
01/20/21,12:00,267
01/20/21,13:00,261
01/20/21,14:00,266
01/20/21,15:00,262
01/20/21,16:00,266
01/21/21,08:00,261
01/21/21,09:00,269
01/21/21,10:00,261
01/21/21,11:00,253
01/21/21,12:00,266
01/21/21,13:00,250
01/21/21,14:00,259
01/21/21,15:00,269
01/21/21,16:00,258
01/22/21,08:00,265
01/22/21,09:00,260
01/22/21,10:00,259
01/22/21,11:00,253
01/22/21,12:00,255
01/22/21,13:00,259
01/22/21,14:00,260
01/22/21,15:00,269
01/22/21,16:00,264
01/23/21,08:00,275
01/23/21,09:00,260
01/23/21,10:00,258
01/23/21,11:00,262
01/23/21,12:00,264
01/23/21,13:00,264
01/23/21,14:00,260
01/23/21,15:00,265
01/23/21,16:00,257
01/24/21,08:00,261
01/24/21,09:00,267
01/24/21,10:00,259
01/24/21,11:00,260
01/24/21,12:00,270
01/24/21,13:00,268
01/24/21,14:00,263
01/24/21,15:00,268
01/24/21,16:00,263
01/25/21,08:00,267
01/25/21,09:00,272
01/25/21,10:00,260
01/25/21,11:00,261
01/25/21,12:00,264
01/25/21,13:00,262
01/25/21,14:00,265
01/25/21,15:00,264
01/25/21,16:00,260
01/26/21,08:00,263
01/26/21,09:00,263
01/26/21,10:00,265
01/26/21,11:00,263
01/26/21,12:00,256
01/26/21,13:00,265
01/26/21,14:00,267
01/26/21,15:00,264
01/26/21,16:00,268
01/27/21,08:00,264
01/27/21,09:00,266
01/27/21,10:00,262
01/27/21,11:00,257
01/27/21,12:00,268
01/27/21,13:00,268
01/27/21,14:00,268
01/27/21,15:00,266
01/27/21,16:00,270
01/28/21,08:00,265
01/28/21,09:00,268
01/28/21,10:00,264
01/28/21,11:00,262
01/28/21,12:00,266
01/28/21,13:00,266
01/28/21,14:00,259
01/28/21,15:00,257
01/28/21,16:00,260
01/29/21,08:00,260
01/29/21,09:00,262
01/29/21,10:00,262
01/29/21,11:00,266
01/29/21,12:00,254
01/29/21,13:00,260
01/29/21,14:00,260
01/29/21,15:00,262
01/29/21,16:00,263
01/30/21,08:00,261
01/30/21,09:00,269
01/30/21,10:00,270
01/30/21,11:00,259
01/30/21,12:00,266
01/30/21,13:00,262
01/30/21,14:00,260
01/30/21,15:00,266
01/30/21,16:00,270
01/31/21,08:00,260
01/31/21,09:00,259
01/31/21,10:00,259
01/31/21,11:00,268
01/31/21,12:00,258
01/31/21,13:00,256
01/31/21,14:00,264
01/31/21,15:00,265
01/31/21,16:00,253
02/01/21,08:00,266
02/01/21,09:00,257
02/01/21,10:00,256
02/01/21,11:00,258
02/01/21,12:00,262
02/01/21,13:00,254
02/01/21,14:00,254
02/01/21,15:00,252
02/01/21,16:00,251
02/02/21,08:00,263
02/02/21,09:00,259
02/02/21,10:00,259
02/02/21,11:00,257
02/02/21,12:00,259
02/02/21,13:00,269
02/02/21,14:00,254
02/02/21,15:00,259
02/02/21,16:00,257
02/03/21,08:00,261
02/03/21,09:00,272
02/03/21,10:00,263
02/03/21,11:00,264
02/03/21,12:00,262
02/03/21,13:00,258
02/03/21,14:00,268
02/03/21,15:00,264
02/03/21,16:00,254
02/04/21,08:00,259
02/04/21,09:00,265
02/04/21,10:00,253
02/04/21,11:00,258
02/04/21,12:00,258
02/04/21,13:00,257
02/04/21,14:00,251
02/04/21,15:00,259
02/04/21,16:00,270
02/05/21,08:00,272
02/05/21,09:00,262
02/05/21,10:00,260
02/05/21,11:00,259
02/05/21,12:00,255
02/05/21,13:00,258
02/05/21,14:00,258
02/05/21,15:00,262
02/05/21,16:00,270
02/06/21,08:00,268
02/06/21,09:00,266
02/06/21,10:00,262
02/06/21,11:00,264
02/06/21,12:00,264
02/06/21,13:00,271
02/06/21,14:00,268
02/06/21,15:00,266
02/06/21,16:00,271
02/07/21,08:00,265
02/07/21,09:00,263
02/07/21,10:00,281
02/07/21,11:00,274
02/07/21,12:00,265
02/07/21,13:00,272
02/07/21,14:00,272
02/07/21,15:00,278
02/07/21,16:00,277
02/08/21,08:00,285
02/08/21,09:00,271
02/08/21,10:00,270
02/08/21,11:00,281
02/08/21,12:00,270
02/08/21,13:00,284
02/08/21,14:00,268
02/08/21,15:00,272
02/08/21,16:00,270
02/09/21,08:00,278
02/09/21,09:00,279
02/09/21,10:00,274
02/09/21,11:00,283
02/09/21,12:00,281
