date,hour,value
01/01/21,00:00,33.0
01/02/21,00:00,33.0
01/03/21,00:00,32.6
01/04/21,00:00,33.0
01/05/21,00:00,33.6
01/06/21,00:00,33.6
01/07/21,00:00,33.6
01/08/21,00:00,33.0
01/09/21,00:00,33.0
01/10/21,00:00,33.0
01/11/21,00:00,33.0
01/12/21,00:00,33.0
01/13/21,00:00,33.0
01/14/21,00:00,33.0
01/15/21,00:00,33.6
01/16/21,00:00,33.6
01/17/21,00:00,33.0
01/18/21,00:00,33.0
01/19/21,00:00,33.0
01/20/21,00:00,33.0
01/21/21,00:00,33.0
01/22/21,00:00,33.0
01/23/21,00:00,33.0
01/24/21,00:00,33.0
01/25/21,00:00,33.0
01/26/21,00:00,32.0
01/27/21,00:00,33.0
01/28/21,00:00,33.0
01/29/21,00:00,33.6
01/30/21,00:00,33.6
01/31/21,00:00,33.6
02/01/21,00:00,33.6
02/02/21,00:00,33.0
02/03/21,00:00,33.0
02/04/21,00:00,33.0
02/05/21,00:00,33.6
02/06/21,00:00,33.6
02/07/21,00:00,33.6
02/08/21,00:00,33.6
02/09/21,00:00,32.4
02/10/21,00:00,32.4
02/11/21,00:00,32.4
02/12/21,00:00,33.0
02/13/21,00:00,33.0
02/14/21,00:00,33.0
02/15/21,00:00,33.0
02/16/21,00:00,32.6
02/17/21,00:00,33.6
02/18/21,00:00,33.6
02/19/21,00:00,33.0
02/20/21,00:00,33.6
02/21/21,00:00,34.0
02/22/21,00:00,34.0
02/23/21,00:00,33.0
02/24/21,00:00,33.0
02/25/21,00:00,33.0
02/26/21,00:00,33.0
02/27/21,00:00,33.0
02/28/21,00:00,32.6
03/01/21,00:00,34.0
03/02/21,00:00,32.4
03/03/21,00:00,32.4
03/04/21,00:00,32.4
03/05/21,00:00,33.0
03/06/21,00:00,33.0
03/07/21,00:00,33.0
03/08/21,00:00,33.0
03/09/21,00:00,33.0
03/10/21,00:00,33.0
03/11/21,00:00,33.0
03/12/21,00:00,33.6
03/13/21,00:00,34.0
03/14/21,00:00,34.0
03/15/21,00:00,34.0
03/16/21,00:00,33.0
03/17/21,00:00,33.0
03/18/21,00:00,33.6
03/19/21,00:00,33.6
03/20/21,00:00,34.6
03/21/21,00:00,34.0
03/22/21,00:00,34.0
03/23/21,00:00,33.6
03/24/21,00:00,33.6
03/25/21,00:00,33.0
03/26/21,00:00,33.6
03/27/21,00:00,34.0
03/28/21,00:00,33.6
03/29/21,00:00,34.0
03/30/21,00:00,33.6
03/31/21,00:00,33.6
04/01/21,00:00,34.0
04/02/21,00:00,33.6
04/03/21,00:00,34.0
04/04/21,00:00,33.0
04/05/21,00:00,34.0
04/06/21,00:00,33.0
04/07/21,00:00,33.6
04/08/21,00:00,33.0
04/09/21,00:00,33.0
04/10/21,00:00,32.4
04/11/21,00:00,32.4
04/12/21,00:00,33.6
04/13/21,00:00,32.4
04/14/21,00:00,33.0
04/15/21,00:00,33.0
04/16/21,00:00,33.0
04/17/21,00:00,34.0
04/18/21,00:00,34.0
04/19/21,00:00,33.0
04/20/21,00:00,32.6
04/21/21,00:00,32.4
04/22/21,00:00,32.4
04/23/21,00:00,32.4
04/24/21,00:00,33.0
04/25/21,00:00,33.0
04/26/21,00:00,32.6
04/27/21,00:00,32.6
04/28/21,00:00,31.6
04/29/21,00:00,31.6
04/30/21,00:00,33.0
05/01/21,00:00,33.6
05/02/21,00:00,32.6
05/03/21,00:00,32.0
05/04/21,00:00,33.6
05/05/21,00:00,33.6
05/06/21,00:00,33.6
