date,hour,value
01/01/21,00:00,15.1
01/02/21,00:00,15.1
01/03/21,00:00,15.1
01/04/21,00:00,15.2
01/05/21,00:00,15.3
01/06/21,00:00,15.2
01/07/21,00:00,15.2
01/08/21,00:00,15.2
01/09/21,00:00,15.3
01/10/21,00:00,15.3
01/11/21,00:00,15.3
01/12/21,00:00,15.3
01/13/21,00:00,21.1
01/14/21,00:00,20.6
01/15/21,00:00,20.5
01/16/21,00:00,20.5
01/17/21,00:00,20.5
01/18/21,00:00,20.4
01/19/21,00:00,17.9
01/20/21,00:00,17.5
01/21/21,00:00,17.5
01/22/21,00:00,17.3
01/23/21,00:00,17.1
01/24/21,00:00,17.2
01/25/21,00:00,17.2
01/26/21,00:00,22.1
01/27/21,00:00,21.5
01/28/21,00:00,21.3
01/29/21,00:00,21.2
01/30/21,00:00,21.0
01/31/21,00:00,21.0
02/01/21,00:00,21.0
02/02/21,00:00,24.5
02/03/21,00:00,24.2
02/04/21,00:00,24.0
02/05/21,00:00,24.0
02/06/21,00:00,23.9
02/07/21,00:00,23.9
02/08/21,00:00,23.8
02/09/21,00:00,22.7
02/10/21,00:00,22.4
02/11/21,00:00,22.5
02/12/21,00:00,22.2
02/13/21,00:00,22.2
02/14/21,00:00,22.2
02/15/21,00:00,22.0
02/16/21,00:00,20.1
02/17/21,00:00,20.0
02/18/21,00:00,20.3
02/19/21,00:00,20.4
02/20/21,00:00,20.2
02/21/21,00:00,20.2
02/22/21,00:00,20.2
02/23/21,00:00,23.2
02/24/21,00:00,23.2
02/25/21,00:00,23.2
02/26/21,00:00,23.2
02/27/21,00:00,23.0
02/28/21,00:00,22.9
03/01/21,00:00,22.9
03/02/21,00:00,20.6
03/03/21,00:00,21.0
03/04/21,00:00,21.6
03/05/21,00:00,22.1
03/06/21,00:00,21.3
03/07/21,00:00,21.3
03/08/21,00:00,20.7
03/09/21,00:00,21.9
03/10/21,00:00,21.5
03/11/21,00:00,21.3
03/12/21,00:00,21.3
03/13/21,00:00,21.3
03/14/21,00:00,21.3
03/15/21,00:00,21.2
03/16/21,00:00,13.7
03/17/21,00:00,13.5
03/18/21,00:00,13.7
03/19/21,00:00,13.7
03/20/21,00:00,13.3
03/21/21,00:00,13.7
03/22/21,00:00,14.0
03/23/21,00:00,11.7
03/24/21,00:00,11.7
03/25/21,00:00,11.6
03/26/21,00:00,12.2
03/27/21,00:00,11.9
03/28/21,00:00,11.8
03/29/21,00:00,11.9
03/30/21,00:00,18.3
03/31/21,00:00,18.2
04/01/21,00:00,18.3
04/02/21,00:00,18.1
04/03/21,00:00,18.3
04/04/21,00:00,18.4
04/05/21,00:00,18.7
04/06/21,00:00,14.7
04/07/21,00:00,14.6
04/08/21,00:00,14.6
04/09/21,00:00,14.7
04/10/21,00:00,14.8
04/11/21,00:00,14.8
04/12/21,00:00,14.9
04/13/21,00:00,18.1
04/14/21,00:00,18.0
04/15/21,00:00,18.2
04/16/21,00:00,18.2
04/17/21,00:00,18.2
04/18/21,00:00,18.2
04/19/21,00:00,18.2
04/20/21,00:00,18.3
04/21/21,00:00,18.4
04/22/21,00:00,18.4
04/23/21,00:00,18.5
04/24/21,00:00,18.5
04/25/21,00:00,18.5
04/26/21,00:00,18.6
04/27/21,00:00,18.5
04/28/21,00:00,17.3
04/29/21,00:00,17.4
04/30/21,00:00,17.4
05/01/21,00:00,17.4
05/02/21,00:00,17.4
05/03/21,00:00,17.6
05/04/21,00:00,16.0
05/05/21,00:00,16.1
05/06/21,00:00,16.1
05/07/21,00:00,16.0
05/08/21,00:00,16.1
05/09/21,00:00,16.1
05/10/21,00:00,16.1
05/11/21,00:00,16.7
05/12/21,00:00,16.7
05/13/21,00:00,16.7
05/14/21,00:00,19.7
05/15/21,00:00,19.9
05/16/21,00:00,20.1
05/17/21,00:00,20.1
05/18/21,00:00,19.1
05/19/21,00:00,19.0
05/20/21,00:00,19.0
05/21/21,00:00,19.0
05/22/21,00:00,19.1
05/23/21,00:00,20.1
05/24/21,00:00,20.2
05/25/21,00:00,19.6
05/26/21,00:00,19.7
05/27/21,00:00,19.7
05/28/21,00:00,19.7
05/29/21,00:00,19.7
05/30/21,00:00,19.9
05/31/21,00:00,19.9
06/01/21,00:00,16.7
06/02/21,00:00,16.6
06/03/21,00:00,16.3
06/04/21,00:00,16.7
06/05/21,00:00,17.0
06/06/21,00:00,17.1
06/07/21,00:00,16.9
06/08/21,00:00,19.6
06/09/21,00:00,19.6
06/10/21,00:00,19.5
06/11/21,00:00,19.5
06/12/21,00:00,19.5
06/13/21,00:00,19.6
06/14/21,00:00,19.6
06/15/21,00:00,23.3
06/16/21,00:00,23.3
06/17/21,00:00,23.4
06/18/21,00:00,23.4
06/19/21,00:00,23.5
06/20/21,00:00,23.3
06/21/21,00:00,23.4
06/22/21,00:00,23.4
06/23/21,00:00,21.8
06/24/21,00:00,21.3
06/25/21,00:00,21.4
06/26/21,00:00,21.8
06/27/21,00:00,21.9
06/28/21,00:00,21.8
06/29/21,00:00,21.8
06/30/21,00:00,22.9
07/01/21,00:00,22.6
07/02/21,00:00,22.9
07/03/21,00:00,22.8
07/04/21,00:00,22.9
07/05/21,00:00,22.8
07/06/21,00:00,22.8
07/07/21,00:00,21.6
07/08/21,00:00,21.7
07/09/21,00:00,21.7
07/10/21,00:00,21.7
07/11/21,00:00,21.7
07/12/21,00:00,21.7
07/13/21,00:00,21.7
07/14/21,00:00,21.7
07/15/21,00:00,24.2
07/16/21,00:00,24.1
07/17/21,00:00,24.1
07/18/21,00:00,24.1
07/19/21,00:00,24.2
07/20/21,00:00,24.2
07/21/21,00:00,24.1
07/22/21,00:00,24.3
07/23/21,00:00,24.2
07/24/21,00:00,24.4
07/25/21,00:00,24.0
07/26/21,00:00,24.0
07/27/21,00:00,22.3
07/28/21,00:00,22.2
