date,hour,value
01/01/22,00:00,9.6
01/02/22,00:00,10.0
01/03/22,00:00,9.6
01/04/22,00:00,10.0
01/05/22,00:00,10.0
01/06/22,00:00,9.6
01/07/22,00:00,9.6
01/08/22,00:00,9.0
01/09/22,00:00,9.6
01/10/22,00:00,9.6
01/11/22,00:00,9.6
01/12/22,00:00,9.6
01/13/22,00:00,9.6
01/14/22,00:00,9.6
01/15/22,00:00,9.6
01/16/22,00:00,9.0
01/17/22,00:00,9.6
01/18/22,00:00,8.8
01/19/22,00:00,8.8
01/20/22,00:00,9.6
01/21/22,00:00,9.6
01/22/22,00:00,9.6
01/23/22,00:00,9.6
01/24/22,00:00,9.6
01/25/22,00:00,9.6
01/26/22,00:00,9.6
01/27/22,00:00,9.2
01/28/22,00:00,9.6
01/29/22,00:00,9.2
01/30/22,00:00,9.2
01/31/22,00:00,9.2
02/01/22,00:00,8.8
02/02/22,00:00,9.0
02/03/22,00:00,9.0
02/04/22,00:00,9.0
02/05/22,00:00,9.0
02/06/22,00:00,8.8
02/07/22,00:00,9.0
02/08/22,00:00,9.0
02/09/22,00:00,9.0
02/10/22,00:00,9.0
02/11/22,00:00,8.4
02/12/22,00:00,8.4
02/13/22,00:00,8.4
02/14/22,00:00,8.4
02/15/22,00:00,7.6
02/16/22,00:00,7.6
02/17/22,00:00,8.4
02/18/22,00:00,7.6
02/19/22,00:00,7.6
02/20/22,00:00,8.0
02/21/22,00:00,8.0
02/22/22,00:00,7.6
02/23/22,00:00,8.0
02/24/22,00:00,8.0
02/25/22,00:00,7.6
02/26/22,00:00,7.6
02/27/22,00:00,8.0
02/28/22,00:00,8.0
03/01/22,00:00,8.0
03/02/22,00:00,8.0
03/03/22,00:00,8.0
03/04/22,00:00,7.6
03/05/22,00:00,8.0
03/06/22,00:00,8.0
03/07/22,00:00,8.0
03/08/22,00:00,7.6
03/09/22,00:00,7.6
03/10/22,00:00,7.6
03/11/22,00:00,8.0
03/12/22,00:00,8.0
03/13/22,00:00,8.0
03/14/22,00:00,8.0
03/15/22,00:00,8.0
03/16/22,00:00,8.0
03/17/22,00:00,8.0
03/18/22,00:00,8.0
03/19/22,00:00,7.6
03/20/22,00:00,8.0
03/21/22,00:00,8.0
03/22/22,00:00,8.0
03/23/22,00:00,8.0
03/24/22,00:00,8.0
03/25/22,00:00,8.0
03/26/22,00:00,8.0
03/27/22,00:00,8.0
03/28/22,00:00,8.0
03/29/22,00:00,8.0
03/30/22,00:00,8.0
03/31/22,00:00,8.4
04/01/22,00:00,8.0
04/02/22,00:00,7.6
04/03/22,00:00,8.0
04/04/22,00:00,8.0
04/05/22,00:00,8.0
04/06/22,00:00,8.0
04/07/22,00:00,8.0
04/08/22,00:00,7.6
04/09/22,00:00,7.6
04/10/22,00:00,8.0
04/11/22,00:00,8.0
04/12/22,00:00,7.6
04/13/22,00:00,7.6
04/14/22,00:00,8.0
04/15/22,00:00,7.6
04/16/22,00:00,7.6
04/17/22,00:00,7.6
04/18/22,00:00,7.6
04/19/22,00:00,8.0
04/20/22,00:00,7.6
04/21/22,00:00,8.0
04/22/22,00:00,8.0
04/23/22,00:00,7.6
04/24/22,00:00,8.0
04/25/22,00:00,8.4
04/26/22,00:00,7.6
04/27/22,00:00,7.6
04/28/22,00:00,8.0
04/29/22,00:00,7.6
04/30/22,00:00,7.6
05/01/22,00:00,8.0
05/02/22,00:00,7.6
05/03/22,00:00,7.6
05/04/22,00:00,7.6
05/05/22,00:00,8.0
05/06/22,00:00,7.6
05/07/22,00:00,8.0
05/08/22,00:00,8.0
05/09/22,00:00,8.0
05/10/22,00:00,7.6
05/11/22,00:00,8.4
05/12/22,00:00,8.0
05/13/22,00:00,8.0
05/14/22,00:00,7.6
05/15/22,00:00,8.0
05/16/22,00:00,7.6
05/17/22,00:00,7.0
05/18/22,00:00,7.6
05/19/22,00:00,7.0
05/20/22,00:00,7.0
05/21/22,00:00,7.6
05/22/22,00:00,8.0
05/23/22,00:00,8.0
05/24/22,00:00,8.0
05/25/22,00:00,8.0
05/26/22,00:00,7.6
05/27/22,00:00,7.2
05/28/22,00:00,7.6
05/29/22,00:00,8.0
05/30/22,00:00,7.0
05/31/22,00:00,7.0
06/01/22,00:00,7.2
06/02/22,00:00,7.0
06/03/22,00:00,7.0
06/04/22,00:00,7.6
06/05/22,00:00,7.6
06/06/22,00:00,7.0
06/07/22,00:00,8.0
06/08/22,00:00,8.0
06/09/22,00:00,8.4
06/10/22,00:00,8.0
06/11/22,00:00,8.4
06/12/22,00:00,8.0
06/13/22,00:00,8.4
06/14/22,00:00,8.0
06/15/22,00:00,8.4
06/16/22,00:00,8.4
06/17/22,00:00,9.0
06/18/22,00:00,8.4
06/19/22,00:00,8.4
06/20/22,00:00,9.0
06/21/22,00:00,8.4
06/22/22,00:00,8.4
06/23/22,00:00,8.4
06/24/22,00:00,8.4
06/25/22,00:00,8.4
06/26/22,00:00,6.4
06/27/22,00:00,8.0
06/28/22,00:00,7.0
06/29/22,00:00,8.4
06/30/22,00:00,8.4
07/01/22,00:00,8.0
07/02/22,00:00,8.0
07/03/22,00:00,8.4
07/04/22,00:00,8.4
07/05/22,00:00,8.0
07/06/22,00:00,8.0
07/07/22,00:00,8.4
07/08/22,00:00,8.4
07/09/22,00:00,8.4
07/10/22,00:00,8.4
07/11/22,00:00,8.4
07/12/22,00:00,8.0
07/13/22,00:00,8.4
07/14/22,00:00,8.0
07/15/22,00:00,8.4
07/16/22,00:00,8.4
07/17/22,00:00,8.4
07/18/22,00:00,8.0
07/19/22,00:00,8.0
07/20/22,00:00,8.0
07/21/22,00:00,8.4
07/22/22,00:00,8.0
07/23/22,00:00,8.0
07/24/22,00:00,8.0
07/25/22,00:00,8.0
07/26/22,00:00,8.0
07/27/22,00:00,8.0
07/28/22,00:00,7.6
07/29/22,00:00,8.0
07/30/22,00:00,8.0
07/31/22,00:00,8.4
08/01/22,00:00,8.0
08/02/22,00:00,8.0
08/03/22,00:00,8.0
08/04/22,00:00,8.4
08/05/22,00:00,8.0
08/06/22,00:00,8.4
08/07/22,00:00,8.6
08/08/22,00:00,8.0
08/09/22,00:00,8.0
08/10/22,00:00,8.0
08/11/22,00:00,9.0
08/12/22,00:00,8.0
08/13/22,00:00,9.0
08/14/22,00:00,8.0
08/15/22,00:00,9.0
08/16/22,00:00,8.0
08/17/22,00:00,8.0
08/18/22,00:00,9.0
08/19/22,00:00,9.0
08/20/22,00:00,8.4
08/21/22,00:00,8.0
08/22/22,00:00,9.0
08/23/22,00:00,8.6
08/24/22,00:00,9.0
08/25/22,00:00,9.0
08/26/22,00:00,9.0
08/27/22,00:00,8.4
