date,hour,value
01/01/22,00:00,20.8
01/02/22,00:00,20.4
01/03/22,00:00,20.8
01/04/22,00:00,20.8
01/05/22,00:00,21.6
01/06/22,00:00,21.6
01/07/22,00:00,20.8
01/08/22,00:00,20.6
01/09/22,00:00,21.8
01/10/22,00:00,21.8
01/11/22,00:00,20.0
01/12/22,00:00,20.0
01/13/22,00:00,21.8
01/14/22,00:00,21.8
01/15/22,00:00,20.0
01/16/22,00:00,20.0
01/17/22,00:00,20.8
01/18/22,00:00,20.0
01/19/22,00:00,20.4
01/20/22,00:00,20.4
01/21/22,00:00,20.0
01/22/22,00:00,20.8
01/23/22,00:00,20.8
01/24/22,00:00,20.4
01/25/22,00:00,18.8
01/26/22,00:00,19.2
01/27/22,00:00,20.0
01/28/22,00:00,19.4
01/29/22,00:00,19.8
01/30/22,00:00,20.4
01/31/22,00:00,21.2
02/01/22,00:00,20.0
02/02/22,00:00,20.0
02/03/22,00:00,20.0
02/04/22,00:00,19.0
02/05/22,00:00,19.0
02/06/22,00:00,20.4
02/07/22,00:00,21.0
02/08/22,00:00,20.4
02/09/22,00:00,19.0
02/10/22,00:00,19.0
02/11/22,00:00,19.6
02/12/22,00:00,19.6
02/13/22,00:00,19.6
02/14/22,00:00,19.6
02/15/22,00:00,20.4
02/16/22,00:00,21.4
02/17/22,00:00,20.0
02/18/22,00:00,20.8
02/19/22,00:00,19.6
02/20/22,00:00,20.0
02/21/22,00:00,20.0
02/22/22,00:00,20.0
02/23/22,00:00,20.0
02/24/22,00:00,20.0
02/25/22,00:00,20.4
02/26/22,00:00,20.4
02/27/22,00:00,20.4
02/28/22,00:00,20.4
03/01/22,00:00,20.0
03/02/22,00:00,20.0
03/03/22,00:00,20.0
03/04/22,00:00,20.4
03/05/22,00:00,20.0
03/06/22,00:00,20.0
03/07/22,00:00,20.4
03/08/22,00:00,20.4
03/09/22,00:00,20.4
03/10/22,00:00,20.8
03/11/22,00:00,20.0
03/12/22,00:00,20.0
03/13/22,00:00,20.4
03/14/22,00:00,21.0
03/15/22,00:00,21.0
