date,hour,value
01/01/22,00:00,14.98
01/02/22,00:00,14.98
01/03/22,00:00,15.38
01/04/22,00:00,15.28
01/05/22,00:00,14.48
01/06/22,00:00,14.48
01/07/22,00:00,15.28
01/08/22,00:00,15.78
01/09/22,00:00,13.98
01/10/22,00:00,13.98
01/11/22,00:00,15.08
01/12/22,00:00,14.70
01/13/22,00:00,13.90
01/14/22,00:00,13.90
01/15/22,00:00,15.08
01/16/22,00:00,16.30
01/17/22,00:00,15.30
01/18/22,00:00,15.68
01/19/22,00:00,15.68
01/20/22,00:00,16.08
01/21/22,00:00,16.48
01/22/22,00:00,15.28
01/23/22,00:00,15.28
01/24/22,00:00,16.28
01/25/22,00:00,16.98
01/26/22,00:00,15.88
01/27/22,00:00,16.08
01/28/22,00:00,15.68
01/29/22,00:00,15.38
01/30/22,00:00,15.78
01/31/22,00:00,15.28
02/01/22,00:00,16.20
02/02/22,00:00,16.30
02/03/22,00:00,16.50
02/04/22,00:00,16.50
02/05/22,00:00,16.50
02/06/22,00:00,16.10
02/07/22,00:00,15.68
02/08/22,00:00,15.70
02/09/22,00:00,15.10
02/10/22,00:00,16.50
02/11/22,00:00,16.50
02/12/22,00:00,15.90
02/13/22,00:00,15.90
02/14/22,00:00,16.40
02/15/22,00:00,15.10
02/16/22,00:00,14.10
02/17/22,00:00,15.70
02/18/22,00:00,14.72
02/19/22,00:00,15.92
02/20/22,00:00,16.10
02/21/22,00:00,15.10
02/22/22,00:00,15.52
02/23/22,00:00,15.12
02/24/22,00:00,16.12
02/25/22,00:00,14.92
02/26/22,00:00,14.92
02/27/22,00:00,15.12
02/28/22,00:00,16.52
03/01/22,00:00,14.72
03/02/22,00:00,15.72
03/03/22,00:00,16.10
03/04/22,00:00,14.90
03/05/22,00:00,14.95
03/06/22,00:00,14.55
03/07/22,00:00,14.75
03/08/22,00:00,14.95
03/09/22,00:00,15.62
03/10/22,00:00,15.22
03/11/22,00:00,15.72
03/12/22,00:00,16.12
03/13/22,00:00,16.70
03/14/22,00:00,15.50
03/15/22,00:00,14.90
03/16/22,00:00,14.50
03/17/22,00:00,14.32
03/18/22,00:00,15.70
03/19/22,00:00,16.70
03/20/22,00:00,16.10
03/21/22,00:00,16.72
03/22/22,00:00,16.70
03/23/22,00:00,15.90
03/24/22,00:00,15.52
03/25/22,00:00,13.52
03/26/22,00:00,14.90
03/27/22,00:00,15.72
03/28/22,00:00,15.32
03/29/22,00:00,14.52
03/30/22,00:00,16.10
03/31/22,00:00,13.52
04/01/22,00:00,13.72
04/02/22,00:00,14.50
04/03/22,00:00,14.90
04/04/22,00:00,16.50
04/05/22,00:00,15.32
04/06/22,00:00,16.10
04/07/22,00:00,14.52
04/08/22,00:00,14.30
04/09/22,00:00,15.7
04/10/22,00:00,16.5
04/11/22,00:00,16.1
04/12/22,00:00,16.3
04/13/22,00:00,16.1
04/14/22,00:00,14.72
04/15/22,00:00,15.72
04/16/22,00:00,16.7
04/17/22,00:00,15.72
04/18/22,00:00,16.1
04/19/22,00:00,15.92
04/20/22,00:00,15.12
04/21/22,00:00,15.7
04/22/22,00:00,15.52
04/23/22,00:00,15.9
04/24/22,00:00,16.28
04/25/22,00:00,14.1
04/26/22,00:00,16.52
04/27/22,00:00,16.5
04/28/22,00:00,16.72
04/29/22,00:00,15.9
04/30/22,00:00,16.62
05/01/22,00:00,15.9
05/02/22,00:00,16.7
05/03/22,00:00,16.62
05/04/22,00:00,15.9
05/05/22,00:00,16.7
05/06/22,00:00,16.3
05/07/22,00:00,15.7
05/08/22,00:00,16.5
05/09/22,00:00,16.7
05/10/22,00:00,15.72
05/11/22,00:00,13.72
05/12/22,00:00,15.22
05/13/22,00:00,14.72
05/14/22,00:00,16.02
05/15/22,00:00,13.82
05/16/22,00:00,15.02
05/17/22,00:00,15.6
05/18/22,00:00,15.1
05/19/22,00:00,16.1
05/20/22,00:00,16.0
05/21/22,00:00,14.62
05/22/22,00:00,16.5
05/23/22,00:00,15.52
05/24/22,00:00,14.72
05/25/22,00:00,14.62
05/26/22,00:00,14.62
05/27/22,00:00,16.90
05/28/22,00:00,15.02
05/29/22,00:00,15.10
05/30/22,00:00,15.10
05/31/22,00:00,15.62
06/01/22,00:00,15.62
06/02/22,00:00,16.12
06/03/22,00:00,14.82
06/04/22,00:00,15.22
06/05/22,00:00,14.10
06/06/22,00:00,15.12
06/07/22,00:00,14.62
06/08/22,00:00,15.40
06/09/22,00:00,16.10
06/10/22,00:00,15.72
06/11/22,00:00,15.30
06/12/22,00:00,15.50
06/13/22,00:00,15.60
06/14/22,00:00,14.90
06/15/22,00:00,15.0
06/16/22,00:00,14.62
06/17/22,00:00,13.72
06/18/22,00:00,15.5
06/19/22,00:00,15.92
06/20/22,00:00,15.92
06/21/22,00:00,14.62
06/22/22,00:00,16.50
06/23/22,00:00,15.92
06/24/22,00:00,14.90
06/25/22,00:00,13.72
06/26/22,00:00,15.34
06/27/22,00:00,15.10
06/28/22,00:00,15.70
06/29/22,00:00,16.50
06/30/22,00:00,16.10
07/01/22,00:00,16.90
07/02/22,00:00,15.12
07/03/22,00:00,16.32
07/04/22,00:00,16.32
07/05/22,00:00,16.12
07/06/22,00:00,15.72
07/07/22,00:00,16.62
07/08/22,00:00,14.72
07/09/22,00:00,16.12
07/10/22,00:00,13.72
07/11/22,00:00,14.52
07/12/22,00:00,14.32
07/13/22,00:00,15.32
07/14/22,00:00,15.32
07/15/22,00:00,14.92
07/16/22,00:00,15.22
07/17/22,00:00,14.32
07/18/22,00:00,15.32
07/19/22,00:00,14.72
07/20/22,00:00,16.32
07/21/22,00:00,16.62
07/22/22,00:00,15.12
07/23/22,00:00,15.72
07/24/22,00:00,16.70
07/25/22,00:00,16.92
07/26/22,00:00,15.22
07/27/22,00:00,15.32
07/28/22,00:00,15.12
07/29/22,00:00,15.12
07/30/22,00:00,15.50
07/31/22,00:00,14.92
08/01/22,00:00,15.72
08/02/22,00:00,16.28
08/03/22,00:00,17.08
08/04/22,00:00,16.3
08/05/22,00:00,16.88
08/06/22,00:00,16.1
08/07/22,00:00,16.1
08/08/22,00:00,15.88
08/09/22,00:00,16.28
08/10/22,00:00,17.08
08/11/22,00:00,14.9
08/12/22,00:00,16.9
08/13/22,00:00,16.68
08/14/22,00:00,16.5
08/15/22,00:00,15.88
08/16/22,00:00,16.47
08/17/22,00:00,15.28
08/18/22,00:00,16.47
08/19/22,00:00,16.27
08/20/22,00:00,14.58
08/21/22,00:00,15.68
08/22/22,00:00,15.47
08/23/22,00:00,15.87
08/24/22,00:00,16.87
08/25/22,00:00,16.68
08/26/22,00:00,16.67
08/27/22,00:00,15.87
08/28/22,00:00,16.87
08/29/22,00:00,15.88
08/30/22,00:00,15.88
08/31/22,00:00,16.70
09/01/22,00:00,15.88
09/02/22,00:00,16.27
09/03/22,00:00,17.08
09/04/22,00:00,16.47
09/05/22,00:00,16.47
09/06/22,00:00,16.08
09/07/22,00:00,16.07
09/08/22,00:00,16.47
09/09/22,00:00,15.48
09/10/22,00:00,15.88
09/11/22,00:00,15.27
09/12/22,00:00,16.07
09/13/22,00:00,16.07
09/14/22,00:00,15.88
09/15/22,00:00,15.88
09/16/22,00:00,15.67
09/17/22,00:00,15.87
09/18/22,00:00,16.67
09/19/22,00:00,16.47
09/20/22,00:00,16.67
09/21/22,00:00,15.68
09/22/22,00:00,15.47
09/23/22,00:00,15.47
09/24/22,00:00,15.07
09/25/22,00:00,17.07
09/26/22,00:00,15.07
09/27/22,00:00,15.47
09/28/22,00:00,15.87
09/29/22,00:00,15.08
09/30/22,00:00,16.67
10/01/22,00:00,15.68
10/02/22,00:00,16.27
10/03/22,00:00,14.28
10/04/22,00:00,15.67
10/05/22,00:00,15.27
10/06/22,00:00,15.47
10/07/22,00:00,15.47
10/08/22,00:00,15.47
10/09/22,00:00,16.07
10/10/22,00:00,15.67
10/11/22,00:00,14.87
10/12/22,00:00,15.17
10/13/22,00:00,15.48
10/14/22,00:00,15.67
10/15/22,00:00,15.47
10/16/22,00:00,15.47
10/17/22,00:00,15.67
10/18/22,00:00,15.27
10/19/22,00:00,15.28
10/20/22,00:00,14.87
10/21/22,00:00,15.47
10/22/22,00:00,14.28
10/23/22,00:00,15.08
10/24/22,00:00,15.07
10/25/22,00:00,14.67
10/26/22,00:00,14.68
10/27/22,00:00,15.07
10/28/22,00:00,15.07
10/29/22,00:00,14.67
10/30/22,00:00,14.87
10/31/22,00:00,14.87
11/01/22,00:00,15.08
11/02/22,00:00,14.87
11/03/22,00:00,14.87
11/04/22,00:00,14.87
11/05/22,00:00,15.67
11/06/22,00:00,14.47
11/07/22,00:00,15.67
11/08/22,00:00,15.67
11/09/22,00:00,15.27
11/10/22,00:00,15.87
11/11/22,00:00,15.27
11/12/22,00:00,15.88
11/13/22,00:00,15.67
11/14/22,00:00,15.47
11/15/22,00:00,15.87
11/16/22,00:00,15.47
11/17/22,00:00,15.08
11/18/22,00:00,15.67
11/19/22,00:00,16.08
11/20/22,00:00,15.27
11/21/22,00:00,15.67
11/22/22,00:00,15.67
11/23/22,00:00,15.47
11/24/22,00:00,15.27
11/25/22,00:00,15.67
11/26/22,00:00,16.07
11/27/22,00:00,15.87
11/28/22,00:00,15.28
11/29/22,00:00,15.88
11/30/22,00:00,15.87
12/01/22,00:00,15.07
12/02/22,00:00,15.87
12/03/22,00:00,16.07
12/04/22,00:00,15.87
12/05/22,00:00,15.87
12/06/22,00:00,15.87
12/07/22,00:00,15.47
12/08/22,00:00,16.07
12/09/22,00:00,15.87
12/10/22,00:00,15.87
12/11/22,00:00,15.28
12/12/22,00:00,15.68
12/13/22,00:00,15.87
12/14/22,00:00,15.47
12/15/22,00:00,15.07
12/16/22,00:00,16.27
12/17/22,00:00,15.67
12/18/22,00:00,15.27
12/19/22,00:00,15.47
12/20/22,00:00,15.27
12/21/22,00:00,15.07
12/22/22,00:00,15.67
12/23/22,00:00,14.87
12/24/22,00:00,15.67
12/25/22,00:00,15.47
12/26/22,00:00,15.27
12/27/22,00:00,16.27
12/28/22,00:00,15.47
12/29/22,00:00,15.47
12/30/22,00:00,14.87
12/31/22,00:00,15.88
