date,hour,value
01/01/22,00:00,6.29
01/02/22,00:00,6.26
01/03/22,00:00,6.29
01/04/22,00:00,6.29
01/05/22,00:00,6.26
01/06/22,00:00,6.31
01/07/22,00:00,6.21
01/08/22,00:00,6.21
01/09/22,00:00,6.23
01/10/22,00:00,6.23
01/11/22,00:00,6.21
01/12/22,00:00,6.13
01/13/22,00:00,6.17
01/14/22,00:00,6.17
01/15/22,00:00,6.30
01/16/22,00:00,6.25
01/17/22,00:00,6.25
01/18/22,00:00,6.22
01/19/22,00:00,6.25
01/20/22,00:00,6.21
01/21/22,00:00,6.24
01/22/22,00:00,6.23
01/23/22,00:00,6.22
01/24/22,00:00,6.22
01/25/22,00:00,6.12
01/26/22,00:00,6.20
01/27/22,00:00,6.18
01/28/22,00:00,6.20
01/29/22,00:00,6.19
01/30/22,00:00,6.17
01/31/22,00:00,6.17
02/01/22,00:00,6.14
02/02/22,00:00,6.16
02/03/22,00:00,6.17
02/04/22,00:00,6.18
02/05/22,00:00,6.19
02/06/22,00:00,6.21
02/07/22,00:00,6.23
02/08/22,00:00,6.19
02/09/22,00:00,6.21
02/10/22,00:00,6.23
02/11/22,00:00,6.23
02/12/22,00:00,6.23
02/13/22,00:00,6.24
02/14/22,00:00,6.33
02/15/22,00:00,6.33
02/16/22,00:00,6.34
02/17/22,00:00,6.31
02/18/22,00:00,6.31
02/19/22,00:00,6.31
02/20/22,00:00,6.29
02/21/22,00:00,6.31
02/22/22,00:00,6.23
02/23/22,00:00,6.20
02/24/22,00:00,6.18
02/25/22,00:00,6.12
02/26/22,00:00,6.15
02/27/22,00:00,6.14
02/28/22,00:00,6.12
03/01/22,00:00,6.16
03/02/22,00:00,6.16
03/03/22,00:00,6.15
03/04/22,00:00,6.14
03/05/22,00:00,6.15
03/06/22,00:00,6.14
03/07/22,00:00,6.16
03/08/22,00:00,6.14
03/09/22,00:00,6.15
03/10/22,00:00,6.18
03/11/22,00:00,6.15
03/12/22,00:00,6.16
03/13/22,00:00,6.13
03/14/22,00:00,6.15
03/15/22,00:00,6.15
03/16/22,00:00,6.15
03/17/22,00:00,6.18
03/18/22,00:00,6.16
03/19/22,00:00,6.13
03/20/22,00:00,6.17
03/21/22,00:00,6.18
03/22/22,00:00,6.25
03/23/22,00:00,6.20
03/24/22,00:00,6.20
03/25/22,00:00,6.22
03/26/22,00:00,6.26
03/27/22,00:00,6.21
03/28/22,00:00,6.19
03/29/22,00:00,6.25
03/30/22,00:00,6.23
03/31/22,00:00,6.20
04/01/22,00:00,6.21
04/02/22,00:00,6.25
04/03/22,00:00,6.21
04/04/22,00:00,6.23
04/05/22,00:00,6.25
04/06/22,00:00,6.26
04/07/22,00:00,6.29
04/08/22,00:00,6.23
04/09/22,00:00,6.23
04/10/22,00:00,6.21
04/11/22,00:00,6.24
04/12/22,00:00,6.23
04/13/22,00:00,6.22
04/14/22,00:00,6.22
04/15/22,00:00,6.28
04/16/22,00:00,6.28
04/17/22,00:00,6.29
04/18/22,00:00,6.27
04/19/22,00:00,6.24
04/20/22,00:00,6.26
04/21/22,00:00,6.24
04/22/22,00:00,6.27
04/23/22,00:00,6.34
04/24/22,00:00,6.25
04/25/22,00:00,6.28
04/26/22,00:00,6.26
04/27/22,00:00,6.24
04/28/22,00:00,6.26
04/29/22,00:00,6.24
04/30/22,00:00,6.23
05/01/22,00:00,6.24
05/02/22,00:00,6.26
05/03/22,00:00,6.28
05/04/22,00:00,6.33
05/05/22,00:00,6.31
05/06/22,00:00,6.29
05/07/22,00:00,6.30
05/08/22,00:00,6.28
05/09/22,00:00,6.31
05/10/22,00:00,6.30
05/11/22,00:00,6.29
05/12/22,00:00,6.35
05/13/22,00:00,6.33
05/14/22,00:00,6.31
05/15/22,00:00,6.38
05/16/22,00:00,6.39
05/17/22,00:00,6.36
05/18/22,00:00,6.36
05/19/22,00:00,6.37
05/20/22,00:00,6.35
05/21/22,00:00,6.32
05/22/22,00:00,6.37
05/23/22,00:00,6.32
05/24/22,00:00,6.35
05/25/22,00:00,6.35
05/26/22,00:00,6.32
05/27/22,00:00,6.32
05/28/22,00:00,6.37
05/29/22,00:00,6.35
05/30/22,00:00,6.32
05/31/22,00:00,6.31
06/01/22,00:00,6.32
06/02/22,00:00,6.35
06/03/22,00:00,6.34
06/04/22,00:00,6.29
06/05/22,00:00,6.28
06/06/22,00:00,6.40
06/07/22,00:00,6.29
06/08/22,00:00,6.32
06/09/22,00:00,6.28
06/10/22,00:00,6.28
06/11/22,00:00,6.31
06/12/22,00:00,6.32
06/13/22,00:00,6.28
06/14/22,00:00,6.27
06/15/22,00:00,6.27
06/16/22,00:00,6.28
06/17/22,00:00,6.30
06/18/22,00:00,6.26
06/19/22,00:00,6.26
06/20/22,00:00,6.28
06/21/22,00:00,6.33
06/22/22,00:00,6.27
06/23/22,00:00,6.29
06/24/22,00:00,6.23
06/25/22,00:00,6.28
06/26/22,00:00,6.24
06/27/22,00:00,6.20
06/28/22,00:00,6.27
06/29/22,00:00,6.24
06/30/22,00:00,6.23
07/01/22,00:00,6.29
07/02/22,00:00,6.21
07/03/22,00:00,6.25
07/04/22,00:00,6.29
07/05/22,00:00,6.30
07/06/22,00:00,6.28
07/07/22,00:00,6.27
07/08/22,00:00,6.24
07/09/22,00:00,6.22
07/10/22,00:00,6.22
07/11/22,00:00,6.22
07/12/22,00:00,6.24
07/13/22,00:00,6.25
07/14/22,00:00,6.25
07/15/22,00:00,6.23
07/16/22,00:00,6.25
07/17/22,00:00,6.22
07/18/22,00:00,6.26
07/19/22,00:00,6.25
07/20/22,00:00,6.23
07/21/22,00:00,6.28
07/22/22,00:00,6.23
07/23/22,00:00,6.21
07/24/22,00:00,6.21
07/25/22,00:00,6.22
07/26/22,00:00,6.21
07/27/22,00:00,6.28
07/28/22,00:00,6.23
07/29/22,00:00,6.26
07/30/22,00:00,6.32
07/31/22,00:00,6.27
08/01/22,00:00,6.24
08/02/22,00:00,6.35
08/03/22,00:00,6.33
08/04/22,00:00,6.31
08/05/22,00:00,6.42
08/06/22,00:00,6.42
08/07/22,00:00,6.36
08/08/22,00:00,6.35
08/09/22,00:00,6.33
08/10/22,00:00,6.32
08/11/22,00:00,6.36
08/12/22,00:00,6.33
08/13/22,00:00,6.20
08/14/22,00:00,6.26
08/15/22,00:00,6.26
08/16/22,00:00,6.21
08/17/22,00:00,6.21
08/18/22,00:00,6.21
08/19/22,00:00,6.23
08/20/22,00:00,6.23
08/21/22,00:00,6.20
08/22/22,00:00,6.23
08/23/22,00:00,6.19
08/24/22,00:00,6.21
08/25/22,00:00,6.18
08/26/22,00:00,6.22
08/27/22,00:00,6.23
08/28/22,00:00,6.22
08/29/22,00:00,6.23
08/30/22,00:00,6.27
08/31/22,00:00,6.27
09/01/22,00:00,6.26
09/02/22,00:00,6.28
09/03/22,00:00,6.31
09/04/22,00:00,6.29
09/05/22,00:00,6.32
09/06/22,00:00,6.31
09/07/22,00:00,6.31
09/08/22,00:00,6.32
09/09/22,00:00,6.37
09/10/22,00:00,6.36
09/11/22,00:00,6.33
09/12/22,00:00,6.36
09/13/22,00:00,6.35
09/14/22,00:00,6.22
09/15/22,00:00,6.30
09/16/22,00:00,6.38
09/17/22,00:00,6.41
09/18/22,00:00,6.39
09/19/22,00:00,6.39
09/20/22,00:00,6.39
09/21/22,00:00,6.39
09/22/22,00:00,6.35
09/23/22,00:00,6.37
09/24/22,00:00,6.33
09/25/22,00:00,6.37
09/26/22,00:00,6.35
09/27/22,00:00,6.28
09/28/22,00:00,6.47
09/29/22,00:00,6.30
09/30/22,00:00,6.31
10/01/22,00:00,6.34
10/02/22,00:00,6.35
10/03/22,00:00,6.26
10/04/22,00:00,6.30
10/05/22,00:00,6.29
10/06/22,00:00,6.28
10/07/22,00:00,6.33
10/08/22,00:00,6.42
10/09/22,00:00,6.28
10/10/22,00:00,6.28
10/11/22,00:00,6.27
10/12/22,00:00,6.37
10/13/22,00:00,6.23
10/14/22,00:00,6.25
10/15/22,00:00,6.22
10/16/22,00:00,6.32
10/17/22,00:00,6.23
10/18/22,00:00,6.27
10/19/22,00:00,6.23
10/20/22,00:00,6.28
10/21/22,00:00,6.31
10/22/22,00:00,6.37
10/23/22,00:00,6.33
10/24/22,00:00,6.38
10/25/22,00:00,6.40
10/26/22,00:00,6.39
