date,hour,value
01/01/23,10:00,70
01/01/23,11:00,60
01/01/23,12:00,70
01/01/23,13:00,60
01/01/23,14:00,70
01/01/23,15:00,60
01/01/23,16:00,60
01/01/23,17:00,60
01/01/23,18:00,60
01/01/23,19:00,60
01/01/23,20:00,70
01/01/23,21:00,60
01/01/23,22:00,70
01/02/23,10:00,60
01/02/23,11:00,60
01/02/23,12:00,60
01/02/23,13:00,60
01/02/23,14:00,60
01/02/23,15:00,60
01/02/23,16:00,60
01/02/23,17:00,60
01/02/23,18:00,60
01/02/23,19:00,60
01/02/23,20:00,60
01/02/23,21:00,70
01/02/23,22:00,60
01/03/23,10:00,50
01/03/23,11:00,60
01/03/23,12:00,60
01/03/23,13:00,60
01/03/23,14:00,60
01/03/23,15:00,60
01/03/23,16:00,70
01/03/23,17:00,60
01/03/23,18:00,70
01/03/23,19:00,80
01/03/23,20:00,70
01/03/23,21:00,70
01/03/23,22:00,80
01/04/23,10:00,60
01/04/23,11:00,70
01/04/23,12:00,70
01/04/23,13:00,70
01/04/23,14:00,80
01/04/23,15:00,80
01/04/23,16:00,80
01/04/23,17:00,70
01/04/23,18:00,80
01/04/23,19:00,70
01/04/23,20:00,80
01/04/23,21:00,70
01/04/23,22:00,80
01/05/23,10:00,70
01/05/23,11:00,60
01/05/23,12:00,60
01/05/23,13:00,60
01/05/23,14:00,60
01/05/23,15:00,60
01/05/23,16:00,60
01/05/23,17:00,50
01/05/23,18:00,60
01/05/23,19:00,60
01/05/23,20:00,60
01/05/23,21:00,60
01/05/23,22:00,60
01/06/23,10:00,60
01/06/23,11:00,60
01/06/23,12:00,60
01/06/23,13:00,60
01/06/23,14:00,60
01/06/23,15:00,60
01/06/23,16:00,70
01/06/23,17:00,60
01/06/23,18:00,60
01/06/23,19:00,60
01/06/23,20:00,70
01/06/23,21:00,70
01/06/23,22:00,60
01/07/23,10:00,80
01/07/23,11:00,70
01/07/23,12:00,80
01/07/23,13:00,70
01/07/23,14:00,80
01/07/23,15:00,70
01/07/23,16:00,70
01/07/23,17:00,60
01/07/23,18:00,70
