date,hour,value
01/01/23,00:00,-40.650
01/01/23,01:00,-40.650
01/01/23,02:00,-40.650
01/01/23,03:00,-40.650
01/01/23,04:00,-40.650
01/01/23,05:00,-40.650
01/01/23,06:00,-40.650
01/01/23,07:00,-40.650
01/01/23,08:00,-40.650
01/01/23,09:00,-40.650
01/01/23,10:00,-40.650
01/01/23,11:00,-40.650
01/01/23,12:00,-40.650
01/01/23,13:00,-40.650
01/01/23,14:00,-40.674
01/01/23,15:00,-40.674
01/01/23,16:00,-40.674
01/01/23,17:00,-40.674
01/01/23,18:00,-40.674
01/01/23,19:00,-40.674
01/01/23,20:00,-40.674
01/01/23,21:00,-40.674
01/01/23,22:00,-40.674
01/01/23,23:00,-40.674
01/02/23,00:00,-40.690
01/02/23,01:00,-40.690
01/02/23,02:00,-40.690
01/02/23,03:00,-40.690
01/02/23,04:00,-40.690
01/02/23,05:00,-40.690
01/02/23,06:00,-40.690
01/02/23,07:00,-40.690
01/02/23,08:00,-40.690
01/02/23,09:00,-40.690
01/02/23,10:00,-40.690
01/02/23,11:00,-40.690
01/02/23,12:00,-40.690
01/02/23,13:00,-40.690
01/02/23,14:00,-40.690
01/02/23,15:00,-40.690
01/02/23,16:00,-40.690
01/02/23,17:00,-40.690
01/02/23,18:00,-40.690
01/02/23,19:00,-40.690
01/02/23,20:00,-40.690
01/02/23,21:00,-40.690
01/02/23,22:00,-40.690
01/02/23,23:00,-40.690
01/03/23,00:00,-40.698
01/03/23,01:00,-40.698
01/03/23,02:00,-40.698
01/03/23,03:00,-40.698
01/03/23,04:00,-40.698
01/03/23,05:00,-40.698
01/03/23,06:00,-40.698
01/03/23,07:00,-40.698
01/03/23,08:00,-40.698
01/03/23,09:00,-40.698
01/03/23,10:00,-40.698
01/03/23,11:00,-40.698
01/03/23,12:00,-40.698
01/03/23,13:00,-40.698
01/03/23,14:00,-40.698
01/03/23,15:00,-40.698
01/03/23,16:00,-40.698
01/03/23,17:00,-40.698
01/03/23,18:00,-40.698
01/03/23,19:00,-40.698
01/03/23,20:00,-40.698
01/03/23,21:00,-40.698
01/03/23,22:00,-40.698
01/03/23,23:00,-40.698
01/04/23,00:00,-40.698
01/04/23,01:00,-40.698
01/04/23,02:00,-40.698
01/04/23,03:00,-40.698
01/04/23,04:00,-40.698
01/04/23,05:00,-40.698
01/04/23,06:00,-40.698
01/04/23,07:00,-40.698
01/04/23,08:00,-40.698
01/04/23,09:00,-40.698
01/04/23,10:00,-40.698
01/04/23,11:00,-40.698
01/04/23,12:00,-40.698
01/04/23,13:00,-40.698
01/04/23,14:00,-40.698
01/04/23,15:00,-40.698
01/04/23,16:00,-40.698
01/04/23,17:00,-40.698
01/04/23,18:00,-40.698
01/04/23,19:00,-40.698
01/04/23,20:00,-40.698
01/04/23,21:00,-40.698
01/04/23,22:00,-40.698
01/04/23,23:00,-40.698
01/05/23,00:00,-40.698
01/05/23,01:00,-40.698
01/05/23,02:00,-40.698
01/05/23,03:00,-40.698
01/05/23,04:00,-40.698
01/05/23,05:00,-40.698
01/05/23,06:00,-40.698
01/05/23,07:00,-40.698
01/05/23,08:00,-40.698
01/05/23,09:00,-40.698
01/05/23,10:00,-40.698
01/05/23,11:00,-40.698
01/05/23,12:00,-40.698
01/05/23,13:00,-40.698
01/05/23,14:00,-40.698
01/05/23,15:00,-40.700
01/05/23,16:00,-40.700
01/05/23,17:00,-40.700
01/05/23,18:00,-40.700
01/05/23,19:00,-40.700
01/05/23,20:00,-40.700
01/05/23,21:00,-40.700
01/05/23,22:00,-40.700
01/05/23,23:00,-40.700
01/06/23,00:00,-40.700
01/06/23,01:00,-40.700
01/06/23,02:00,-40.700
01/06/23,03:00,-40.700
01/06/23,04:00,-40.700
01/06/23,05:00,-40.700
01/06/23,06:00,-40.700
01/06/23,07:00,-40.700
01/06/23,08:00,-40.700
01/06/23,09:00,-40.700
01/06/23,10:00,-40.700
01/06/23,11:00,-40.700
01/06/23,12:00,-40.700
01/06/23,13:00,-40.700
01/06/23,14:00,-40.700
01/06/23,15:00,-40.700
01/06/23,16:00,-40.700
01/06/23,17:00,-40.700
01/06/23,18:00,-40.700
01/06/23,19:00,-40.708
01/06/23,20:00,-40.708
01/06/23,21:00,-40.708
01/06/23,22:00,-40.708
01/06/23,23:00,-40.708
01/07/23,00:00,-40.708
01/07/23,01:00,-40.708
01/07/23,02:00,-40.708
01/07/23,03:00,-40.708
01/07/23,04:00,-40.708
01/07/23,05:00,-40.708
01/07/23,06:00,-40.708
01/07/23,07:00,-40.708
01/07/23,08:00,-40.708
01/07/23,09:00,-40.708
01/07/23,10:00,-40.708
01/07/23,11:00,-40.708
01/07/23,12:00,-40.708
01/07/23,13:00,-40.708
01/07/23,14:00,-40.708
01/07/23,15:00,-40.708
01/07/23,16:00,-40.708
01/07/23,17:00,-40.708
01/07/23,18:00,-40.708
01/07/23,19:00,-40.708
01/07/23,20:00,-40.708
01/07/23,21:00,-40.708
01/07/23,22:00,-40.708
01/07/23,23:00,-40.708
01/08/23,00:00,-40.708
01/08/23,01:00,-40.708
01/08/23,02:00,-40.708
01/08/23,03:00,-40.708
01/08/23,04:00,-40.708
01/08/23,05:00,-40.708
01/08/23,06:00,-40.708
01/08/23,07:00,-40.708
01/08/23,08:00,-40.708
01/08/23,09:00,-40.708
01/08/23,10:00,-40.708
01/08/23,11:00,-40.708
01/08/23,12:00,-40.708
01/08/23,13:00,-40.708
01/08/23,14:00,-40.708
01/08/23,15:00,-40.708
01/08/23,16:00,-40.708
01/08/23,17:00,-40.708
01/08/23,18:00,-40.708
01/08/23,19:00,-40.708
01/08/23,20:00,-40.708
01/08/23,21:00,-40.708
01/08/23,22:00,-40.708
01/08/23,23:00,-40.708
01/09/23,00:00,-40.708
01/09/23,01:00,-40.708
01/09/23,02:00,-40.708
01/09/23,03:00,-40.708
01/09/23,04:00,-40.708
01/09/23,05:00,-40.708
01/09/23,06:00,-40.708
01/09/23,07:00,-40.708
01/09/23,08:00,-40.708
01/09/23,09:00,-40.708
01/09/23,10:00,-40.708
01/09/23,11:00,-40.708
01/09/23,12:00,-40.727
01/09/23,13:00,-40.727
01/09/23,14:00,-40.727
01/09/23,15:00,-40.727
01/09/23,16:00,-40.727
01/09/23,17:00,-40.727
01/09/23,18:00,-40.727
01/09/23,19:00,-40.727
01/09/23,20:00,-40.727
01/09/23,21:00,-40.727
01/09/23,22:00,-40.727
01/09/23,23:00,-40.727
01/10/23,00:00,-40.727
01/10/23,01:00,-40.727
01/10/23,02:00,-40.727
01/10/23,03:00,-40.727
01/10/23,04:00,-40.727
01/10/23,05:00,-40.727
01/10/23,06:00,-40.727
01/10/23,07:00,-40.727
01/10/23,08:00,-40.727
01/10/23,09:00,-40.727
01/10/23,10:00,-40.727
01/10/23,11:00,-40.727
01/10/23,12:00,-40.727
01/10/23,13:00,-40.727
01/10/23,14:00,-40.727
01/10/23,15:00,-40.727
01/10/23,16:00,-40.727
01/10/23,17:00,-40.727
01/10/23,18:00,-40.727
01/10/23,19:00,-40.727
01/10/23,20:00,-40.727
01/10/23,21:00,-40.727
01/10/23,22:00,-40.727
01/10/23,23:00,-40.727
01/11/23,00:00,-40.727
01/11/23,01:00,-40.727
01/11/23,02:00,-40.727
01/11/23,03:00,-40.727
01/11/23,04:00,-40.727
01/11/23,05:00,-40.727
01/11/23,06:00,-40.727
01/11/23,07:00,-40.727
01/11/23,08:00,-40.727
01/11/23,09:00,-40.727
01/11/23,10:00,-40.727
01/11/23,11:00,-40.727
01/11/23,12:00,-40.727
01/11/23,13:00,-40.727
01/11/23,14:00,-40.752
01/11/23,15:00,-40.752
01/11/23,16:00,-40.752
01/11/23,17:00,-40.752
01/11/23,18:00,-40.752
01/11/23,19:00,-40.752
01/11/23,20:00,-40.752
01/11/23,21:00,-40.752
01/11/23,22:00,-40.752
01/11/23,23:00,-40.752
01/12/23,00:00,-40.752
01/12/23,01:00,-40.752
01/12/23,02:00,-40.752
01/12/23,03:00,-40.752
01/12/23,04:00,-40.752
01/12/23,05:00,-40.752
01/12/23,06:00,-40.752
01/12/23,07:00,-40.752
01/12/23,08:00,-40.752
01/12/23,09:00,-40.752
01/12/23,10:00,-40.727
01/12/23,11:00,-40.727
01/12/23,12:00,-40.727
01/12/23,13:00,-40.727
01/12/23,14:00,-40.752
01/12/23,15:00,-40.752
01/12/23,16:00,-40.752
01/12/23,17:00,-40.752
01/12/23,18:00,-40.752
01/12/23,19:00,-40.752
01/12/23,20:00,-40.752
01/12/23,21:00,-40.752
01/12/23,22:00,-40.752
01/12/23,23:00,-40.752
01/13/23,00:00,-40.752
01/13/23,01:00,-40.752
01/13/23,02:00,-40.752
01/13/23,03:00,-40.752
01/13/23,04:00,-40.752
01/13/23,05:00,-40.752
01/13/23,06:00,-40.752
01/13/23,07:00,-40.752
01/13/23,08:00,-40.752
01/13/23,09:00,-40.752
01/13/23,10:00,-40.752
01/13/23,11:00,-40.752
01/13/23,12:00,-40.752
01/13/23,13:00,-40.752
01/13/23,14:00,-40.752
01/13/23,15:00,-40.752
01/13/23,16:00,-40.752
01/13/23,17:00,-40.752
01/13/23,18:00,-40.752
01/13/23,19:00,-40.752
01/13/23,20:00,-40.752
01/13/23,21:00,-40.752
01/13/23,22:00,-40.752
01/13/23,23:00,-40.752
01/14/23,00:00,-40.754
01/14/23,01:00,-40.754
01/14/23,02:00,-40.754
01/14/23,03:00,-40.754
01/14/23,04:00,-40.754
01/14/23,05:00,-40.754
01/14/23,06:00,-40.754
01/14/23,07:00,-40.754
01/14/23,08:00,-40.754
01/14/23,09:00,-40.754
01/14/23,10:00,-40.754
01/14/23,11:00,-40.754
01/14/23,12:00,-40.754
01/14/23,13:00,-40.754
01/14/23,14:00,-40.754
01/14/23,15:00,-40.754
01/14/23,16:00,-40.754
01/14/23,17:00,-40.754
01/14/23,18:00,-40.754
01/14/23,19:00,-40.754
01/14/23,20:00,-40.754
01/14/23,21:00,-40.754
01/14/23,22:00,-40.754
01/14/23,23:00,-40.754
01/15/23,00:00,-40.786
01/15/23,01:00,-40.786
01/15/23,02:00,-40.786
01/15/23,03:00,-40.786
01/15/23,04:00,-40.786
01/15/23,05:00,-40.786
01/15/23,06:00,-40.786
01/15/23,07:00,-40.786
01/15/23,08:00,-40.786
01/15/23,09:00,-40.786
01/15/23,10:00,-40.786
01/15/23,11:00,-40.786
01/15/23,12:00,-40.786
01/15/23,13:00,-40.786
01/15/23,14:00,-40.786
01/15/23,15:00,-40.786
01/15/23,16:00,-40.786
01/15/23,17:00,-40.786
01/15/23,18:00,-40.786
01/15/23,19:00,-40.786
01/15/23,20:00,-40.786
01/15/23,21:00,-40.786
01/15/23,22:00,-40.786
01/15/23,23:00,-40.786
01/16/23,00:00,-40.786
01/16/23,01:00,-40.786
01/16/23,02:00,-40.786
01/16/23,03:00,-40.786
01/16/23,04:00,-40.786
01/16/23,05:00,-40.786
01/16/23,06:00,-40.786
01/16/23,07:00,-40.786
01/16/23,08:00,-40.786
